"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",3.89333333333333,"Down",25652000,-12179000,13473000,-13864000,-11032000,-1757000,-391000,27000,5000,8000,14000,-364000,-1060000,-1122000,-1122000,-1122000,-1122000,40335847.3380488,37261486.4661115,-13404413.6511095,-13404413.6511095,14067984.5671855,12854999.3973393,12854998.5974815,53854417.6514641,13844640.9221026,26212296.1532082,13516095.0480328,12791682.8434655,-95481.7382902006,40056937.0753107,93911354.7267749,47237710.0399243,77151510.6716793,-29913800.631755,-28548794.0441363,-28548794.0441363,18700009.5678104,1616059.20797865,430132.664966917,1616059.20797865,20316068.7757891,336723278.376781,-222160168.100835,2952473.46627112,73595285.9509858,73595285.9509858,93911354.7267749,-1122000,1088000,1421000,-3168000,-1781000,-242000,1706000,-775236.311535426,-768665.221338118,-75000,-75000,68000,-7000,697000,0,0.52522,-0.01524,-0.04374,-0.4157339402863,-0.289091977419135,2.90163214952205,0.339673479926351,0.000188384368159086,-0.02953,-0.02953,0.67503,2.28820956534026,-0.407551581847072,120.517799803467,64.4053143055664
"2","2011_Q3",3.28921875,"Down",23734000,-13402000,10332000,-14518000,-11540000,-2021000,-4186000,2000,4000,-64000.0000000001,62000,-4184000,-5561000,-5711000,-5711000,-5711000,-5711000,33090423.6690244,26553243.2330557,3654293.17444525,3654293.17444525,11316992.2835928,7417999.69866963,7417999.29874073,55479708.8257321,12301320.4610513,38308648.0766041,17474047.5240164,20619841.4217328,214759.1308549,50609968.5376554,106089677.363387,29485355.0199622,38637755.3358396,-9152400.31587748,-11196397.0220681,-11196397.0220681,18294504.7839052,2431529.60398932,217066.332483459,2431529.60398933,20726034.3878945,318644639.188391,-215753084.050418,4312736.73313556,85363642.9754929,85363642.9754929,106089677.363387,-5711000,1074000,1505000,2734000,-398000,-331000,624000,-402118.155767713,-398832.610669059,226000,226000,11000,237000,-3112000,0,0.43532,-0.17637,-0.24063,-0.22648697014315,-0.160110988709568,3.04876607476103,0.275576739963175,9.41921840795428e-05,-0.14842,-0.14842,0.61682,2.39378478267013,-0.221825790923536,61.6097749017335,33.3503971527832
"3","2011_Q4",2.45031746031746,"Down",25827000,-13460000,12367000,-13936000,-10878000,-2053000,-1569000,263000,1000,191000,71000,-1306000,-2e+06,-2104000,-2104000,-2104000,-2104000,27882141.2230081,19036414.4110186,12388431.0581484,12388431.0581484,9835997.42786426,4236666.56622321,4236666.43291358,54343236.275244,11154106.8203504,45234216.0255347,19501682.5080055,25377947.1405776,354586.376951633,56388322.8458851,110731559.121129,19829118.3399874,17050918.4452799,2778199.89470751,-1859132.34068938,-1859132.34068938,17971834.9279684,2885176.53466311,119022.11082782,2885176.53466311,20857011.4626315,309385213.062797,-213516694.683473,4439912.24437852,89874547.6584976,89874547.6584976,110731559.121129,-2104000,1109000,1134000,-3126000,-2987000,-448000,3543000,-178706.051922571,-177610.87022302,556000,556000,164000,720000,-460000,0,0.47884,-0.06075,-0.08147,-0.10296232338105,-0.0758536629031892,3.02995535825367,0.242208913321058,3.13973946931809e-05,-0.05468,-0.05468,0.67121,2.39596492755671,-0.100521930307845,28.0138949672445,15.7229523842611
"4","2012_Q1",2.65870967741935,"Up",26816000,-14778000,12038000,-15110000,-11741000,-1975000,-3072000,-187000,1000,-86000.0000000001,-102000,-3259000,-4202000,-4023000,-4023000,-4023000,-4023000,24161000,14161000,15245000,15245000,9260000,2733000,2733000,51399000,10335000,47740000,19985000,27373000,382000,58075000,109474000,16046000,7858000,8188000,1683000,1683000,17729000,3030000,96000,3030000,20759000,306223000,-214914000,3793000,88715000,88715000,109474000,-4023000,1198000,1958000,-2293000,-3160000,-202000,7666000,-68000,-68000,4438000,4438000,14000,4452000,-1874000,0,0.44891,-0.11456,-0.15002,-0.04535,-0.03675,2.89915,0.234,0,-0.10488,-0.10488,0.69912,2.31288,-0.04385,12.89274,7.86491
"5","2012_Q2",2.13968253968254,"Down",25753000,-13951000,11802000,-15296000,-12385000,-1625000,-3494000,36000,-2000,29000,9000,-3458000,-4326000,-4494000,-4494000,-4494000,-4494000,21377000,11377000,14671000,14671000,9224000,2329000,2329000,47601000,9776000,46577000,19310000,26912000,355000,56353000,103954000,15913000,6526000,9387000,1650000,1650000,17563000,2919000,108000,2919000,20482000,306436000,-219408000,2831000,83472000,83472000,103954000,-4494000,1222000,1538000,-568000,-2302000,-252000,-358000,-33000,-33000,-2693000,-2693000,-91000,-2784000,-2272000,0,0.45828,-0.13567,-0.1745,-0.05384,-0.04323,2.7103,0.24538,0,-0.11643,-0.11643,0.66723,2.16266,-0.05202,9.40889,6.1182
"6","2012_Q3",1.70031746031746,"Down",24972000,-13394000,11578000,-14359000,-11487000,-1703000,-2781000,-271000,14000,-352000,67000,-3052000,-4076000,-4221000,-4221000,-4221000,-4221000,18589000,8589000,13404000,13404000,9391000,2390000,2390000,43774000,9415000,45569000,18636000,26580000,353000,54984000,98758000,16582000,7819000,8763000,514000,514000,17096000,2821000,123000,2821000,19917000,306654000,-223629000,2203000,78841000,78841000,98758000,-4221000,1037000,1917000,16000.0000000002,-1251000,-292000,-1307000,-35000,-35000,-2593000,-2593000,-195000,-2788000,-1744000,2.27373675443232e-13,0.46364,-0.11136,-0.16903,-0.05354,-0.04274,2.56048,0.25262,0,-0.10931,-0.10931,0.64667,2.04167,-0.05169,10.65883,6.68429
"7","2012_Q4",2.42145161290323,"Up",25948000,-13894000,12054000,-14636000,-11855000,-1588000,-2582000,80000,-18000,80000,18000,-2502000,-3445000,-3411000,-3411000,-3411000,-3411000,15247000,5247000,13891000,13891000,9396000,2338000,2338000,40872000,9184000,45467000,18349000,26684000,434000,54651000,95523000,15830000,7204000,8626000,495000,495000,16325000,2789000,101000,2789000,19114000,304155000,-227040000,2368000,76409000,76409000,95523000,-3411000,1027000,1300000,-1759000,-2843000,-435000,-516000,-37000,-37000,-3396000,-3396000,54000,-3342000,-1555000,0,0.46454,-0.09951,-0.13146,-0.04464,-0.03571,2.50364,0.25015,-1.35525271560688e-20,-0.08786,-0.08786,0.66833,1.96804,-0.04307,9.80514,5.90511
"8","2013_Q1",2.85216666666667,"Up",26410000,-14734000,11676000,-15034000,-12201000,-1377000,-3358000,-287000,27000,-297000,-17000,-3645000,-29074000,-27143000,-27143000,-27143000,-27143000,15076000,15076000,14135000,14135000,8800000,2357000,2357000,40368000,9116000,19639000,11780000,7452000,407000,28755000,69123000,18838000,9020000,9818000,118000,118000,18956000,1066000,128000,1066000,20022000,304753000,-254183000,1605000,49101000,49101000,69123000,-27143000,1191000,24633000,1743000,423999.999999999,-385000,9642000,-49000,-49000,10017000,10017000,-188000,9829000,-2167000,1.81898940354586e-12,0.44211,-0.12715,-1.02775,-0.5528,-0.39268,2.12956,0.40777,0,-0.69324,-0.69324,0.67452,1.25405,-0.54105,6.95708,4.48958
"9","2013_Q2",2.2071875,"Down",25630000,-13894000,11736000,-14020000,-11415000,-1011000,-2284000,229000,-9000,229000,9000,-2055000,-3755000,-3691000,-3691000,-3691000,-3691000,13401000,13401000,14003000,14003000,8671000,2102000,2102000,38177000,9505000,19323000,11420000,7452000,451000,28828000,67005000,19571000,7871000,11700000,264000,264000,19835000,1458000,719000,1458000,21293000,304895000,-257874000,1765000,45712000,45712000,67005000,-3691000,1149000,1404000,-339000,-1477000,-291000,-335000,-28000,-28000,-1840000,-1840000,165000,-1675000,-1135000,0,0.4579,-0.08911,-0.14401,-0.08074,-0.05509,1.92473,0.46581,1.0842021724855e-19,-0.09397,-0.09397,0.65251,1.16378,-0.0782500000000001,11.80705,5.86734
"10","2013_Q3",2.3709375,"Up",22209000,-13568000,8641000,-13196000,-10893000,-968000,-4555000,145000,-6000,104000,47000,-4410000,-5852000,-5674000,-5674000,-5674000,-5674000,10023000,10023000,12580000,12580000,9300000,2214000,2214000,34117000,9252000,18857000,10974000,7452000,431000,28109000,62226000,20163000,8962000,11201000,281000,281000,20444000,1492000,765000,1492000,21936000,305055000,-263548000,1857000,40290000,40290000,62226000,-5674000,1187000,1524000,-133000,-3096000,-299000,-278999.999999999,-55000,-55000,-3430000,-3430000,52000,-3378000,-3368000,-2.91038304567337e-11,0.38908,-0.2051,-0.25548,-0.14083,-0.09118,1.6688,0.54445,0,-0.14433,-0.14433,0.56494,1.02488,-0.1358,2.97595,2.20044
