"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",33.8547540983607,"Up",33388000,-6801000,26587000,-41288000,-33923000,-7365000,-14701000,-105000,90000,-195000,-14806000,-14806000,-19000,-14825000,-14825000,-14825000,-14825000,200760000,105257000,95503000,13813000,13813000,4299000,4299000,218872000,35397000,10442000,2300000,2053000,6089000,45839000,264711000,11257000,4969000,6288000,32808000,32808000,44065000,5776000,5652000,5776000,49841000,346718000,-263000,-131600000,15000,214870000,214870000,264711000,-14825000,2955000,3902000,7776000,-192000,-2e+06,-59909000,-61909000,295000,-382000,-62483000,-62483000,-62483000,-11746000,0,-5951000,0.7963,-0.44031,-0.44402,-0.069,-0.056,0.40142,4.96703,0.23196,0,-0.31804,-0.31804,0.71627,4.60956,-0.12767,-0.06719,-0.02697,17.09178,13.65621
"2","2015_Q2",32.6565079365079,"Down",38145000,-7866000,30279000,-45421000,-36667000,-8754000,-15142000,125000,127000,-2000,-15017000,-15017000,-102000,-15119000,-15119000,-15119000,-15119000,195028000,70228000,124800000,18357000,18357000,4741000,4741000,218126000,38057000,10282000,2046000,2053000,6183000,48339000,266465000,12064000,5175000,6889000,42356000,42356000,54420000,5731000,5731000,5731000,60151000,353306000,-263000,-146719000,-10000,206314000,206314000,266465000,-15119000,3301000,5077000,4597000,-2144000,-2671000,-31730000,-34401000,1516000,1516000,-35029000,-35029000,-35029000,-11841000,0,-9813000,0.79379,-0.39696,-0.39636,-0.07328,-0.05674,0.64905,4.0082,0.29155,0,-0.32039,-0.32039,0.80833,4.37199,-0.20795,-0.0713,-0.04628,16.47057,12.87994
"3","2015_Q3",35.4575,"Up",42928000,-8952000,33976000,-48941000,-38325000,-10616000,-14965000,105000,136000,-31000,-14860000,-14860000,41000,-14819000,-14819000,-14819000,-14819000,189021000,68796000,120225000,20684000,20684000,8273000,8273000,217978000,40621000,13516000,1802000,2053000,9661000,54137000,272115000,13067000,5584000,7483000,47206000,47206000,60273000,8827000,5483000,8827000,69100000,364774000,-263000,-161538000,42000,203015000,203015000,272115000,-14819000,3716000,5870000,3248000,-1985000,-3937000,-838000,-4775000,5328000,5328000,-1432000,-1432000,-1432000,-11249000,0,-11979000,0.79146,-0.34861,-0.34521,-0.07299,-0.05446,0.80835,3.61651,0.34037,0,-0.30777,-0.30777,0.89155,4.2163,-0.24879,-0.06995,-0.05655,16.80336,12.63087
"4","2015_Q4",37.45984375,"Up",47744000,-9744000,3.8e+07,-56238000,-44223000,-12015000,-18238000,-25000,138000,-163000,-18263000,-18263000,-92000,-18355000,-18355000,-18355000,-18355000,191006000,71901000,119105000,23408000,23408000,5676000,5676000,220090000,40398000,25353000,3919000,11828000,9606000,65751000,285841000,15523000,6630000,8893000,59886000,59886000,75409000,9075000,6386000,9075000,84484000,381684000,-263000,-179893000,-171000,201357000,201357000,285841000,-18355000,4041000,6473000,14756000,6915000,-1511000,-502000.000000002,-7511000,3701000,3701000,3105000,3105000,3105000,-14197000,1.13686837721616e-13,-860000,0.79591,-0.382,-0.38445,-0.09116,-0.06421,0.04685,2.91862,0.41957,1.05879118406788e-22,-0.37495,-0.37495,0.9753,4.11327,-0.01757,-0.08723,-0.00409,13.45397,10.47297
"5","2016_Q1",27.6524590163934,"Down",52492000,-10621000,41871000,-61164000,-46155000,-15009000,-19293000,248000,178000,70000,-19045000,-19045000,-149000,-19194000,-19194000,-19194000,-19194000,191328000,65914000,125414000,32514000,32514000,6109000,6109000,229951000,40147000,24346000,3661000,11828000,8857000,64493000,294444000,16081000,4450000,11631000,77122000,77122000,93203000,8008000,5682000,8008000,101211000,392561000,-263000,-199087000,22000,193233000,193233000,294444000,-19194000,4061000,8268000,8085000,1220000,-3613000,-7751000,-11364000,4157000,4157000,-5987000,-5987000,-5987000,-15232000,0,-10611000,0.79766,-0.36754,-0.36566,-0.09933,-0.06519,0.55283,2.46721,0.52378,0,-0.38896,-0.38896,1.06373,3.9158,-0.21503,-0.09538,-0.05273,12.56092,9.91696
"6","2016_Q2",27.42953125,"Down",58607000,-11655000,46952000,-64991000,-49022000,-15969000,-18039000,89000,2e+05,-111000,-17950000,-17950000,-121000,-18071000,-18071000,-18071000,-18071000,196129000,81655000,114474000,28819000,28819000,9762000,9762000,234710000,40202000,24131000,3416000,11828000,8887000,64333000,299043000,18094000,7265000,10829000,85844000,85844000,103938000,8525000,6958000,8525000,112463000,403969000,-263000,-217158000,32000,186580000,186580000,299043000,-18071000,4222000,7631000,9624000,3406000,-1527000,10187000,8660000,3675000,3675000,15741000,15741000,15741000,-13817000,-9.09494701772928e-13,-5599000,0.80113,-0.3078,-0.30834,-0.09685,-0.06043,0.30983,2.25817,0.60276,0,-0.35981,-0.35981,1.16691,3.71496,-0.11148,-0.09262,-0.0287,14.19476,10.8725
"7","2016_Q3",35.1375,"Up",63440000,-11778000,51662000,-65956000,-51215000,-14741000,-14294000,103000,229000,-126000,-14191000,-14191000,61000,-14130000,-14130000,-14130000,-14130000,197324000,93945000,103379000,27022000,27022000,9759000,9759000,234105000,47210000,24312000,3161000,11828000,9323000,71522000,305627000,21354000,10120000,11234000,84448000,84448000,105802000,10350000,9442000,10350000,116152000,421005000,-263000,-231288000,21000,189475000,189475000,305627000,-14130000,4311000,8478000,1772000,431000,-6963000,10091000,3128000,8731000,8731000,12290000,12290000,12290000,-9983000,0,-15235000,0.81434,-0.22532,-0.22273,-0.07457,-0.04623,1.0782,2.21267,0.61302,0,-0.27529,-0.27529,1.23597,3.69145,-0.29682,-0.07071,-0.07624,19.766,13.80467
"8","2016_Q4",32.9888888888889,"Down",68096000,-12627000,55469000,-69413000,-55036000,-14377000,-13944000,24000,304000,-280000,-13920000,-13920000,37000,-13883000,-13883000,-13883000,-13883000,195576000,80170000,115406000,38698000,38698000,7768000,7768000,242042000,49329000,24812000,2896000,11828000,10088000,74141000,316183000,22557000,7205000,15352000,97100000,97100000,119657000,10210000,9181000,10210000,129867000,431815000,-263000,-245171000,-65000,186316000,186316000,316183000,-13883000,4823000,8432000,6128000,5500000,-8111000,-13525000,-21636000,2361000,2361000,-13775000,-13775000,-13775000,-9121000,-2.91038304567337e-11,-11141000,0.81457,-0.20477,-0.20387,-0.07451,-0.04391,0.80249,2.0228,0.69703,1.35525271560688e-20,-0.26531,-0.26531,1.30133,3.56054,-0.21291,-0.07064,-0.05669,21.44239,14.02582
"9","2017_Q1",35.036935483871,"Up",73336000,-13930000,59406000,-74472000,-58505000,-15967000,-15066000,314000,369000,-55000,-14752000,-14752000,-241000,-14993000,-14993000,-14993000,-14993000,206406000,88305000,118101000,62032000,62032000,8169000,8169000,276607000,50728000,24934000,2499000,11828000,10607000,75662000,352269000,22457000,6522000,15935000,132876000,132876000,155333000,10092000,8957000,10092000,165425000,447367000,-263000,-260164000,-96000,186844000,186844000,352269000,-14993000,5449000,8530000,10605000,9591000,-4829000,-3843000,-8672000,7216000,7216000,8135000,8135000,8135000,-9617000,0,-3600000,0.81005,-0.20544,-0.20444,-0.08024,-0.04256,0.24011,1.78074,0.88536,0,-0.28299,-0.28299,1.38422,3.52669,-0.06795,-0.07613,-0.01828,21.46262,13.70012
"10","2017_Q2",41.6284126984127,"Up",80098000,-14977000,65121000,-81569000,-63303000,-18266000,-16448000,749000,435000,314000,-15699000,-15699000,-235000,-15934000,-15934000,-15934000,-15934000,227298000,105298000,1.22e+08,39170000,39170000,12349000,12349000,278817000,51136000,24824000,2102000,11828000,10894000,75960000,354777000,21383000,5235000,16148000,131926000,131926000,153309000,9485000,8678000,9485000,162794000,468457000,-263000,-276098000,-113000,191983000,191983000,354777000,-15934000,5732000,9803000,18080000,17681000,-7414000,-4737000,-12151000,11372000,11372000,16902000,16902000,16902000,-10716000,0,185000,0.81302,-0.20535,-0.19893,-0.083,-0.04491,-0.01161,1.81866,0.84796,0,-0.29674,-0.29674,1.49167,3.5753,0.00345,-0.07909,0.000920000000000001,21.21109,13.81919
"11","2017_Q3",47.2219047619048,"Up",84685000,-15694000,68991000,-83832000,-65566000,-18266000,-14841000,339000,491000,-152000,-14502000,-14502000,-189000,-14691000,-14691000,-14691000,-14691000,227459000,110716000,116743000,39510000,39510000,10857000,10857000,277826000,53528000,27088000,1705000,11828000,13555000,80616000,358442000,21961000,4830000,17131000,130883000,130883000,152844000,8984000,8406000,8984000,161828000,487760000,-263000,-290789000,-94000,196614000,196614000,358442000,-14691000,5821000,10426000,-2636000,-1080000,-6980000,4557000,-2423000,8921000,8921000,5418000,5418000,5418000,-9020000,0,-18447000,0.81468,-0.17525,-0.17348,-0.07472,-0.04099,1.25567,1.81771,0.82307,0,-0.26858,-0.26858,1.5482,3.59447,-0.33725,-0.07145,-0.08972,25.21718,15.32639
"12","2017_Q4",54.4114285714286,"Up",91827000,-15671000,76156000,-84143000,-65989000,-18154000,-7987000,468000,513000,-44999.9999999999,-7519000,-7519000,-210000,-7729000,-7729000,-7729000,-7729000,233036000,125237000,107799000,52676000,52676000,9431000,9431000,295143000,52572000,27278000,1508000,11828000,13942000,79850000,374993000,21829000,3737000,18092000,141793000,141793000,163622000,9321000,8868000,9321000,172943000,501060000,-263000,-298518000,-229000,202050000,202050000,374993000,-7729000,5753000,10047000,-579000,7492000,-3183000,7284000,4101000,3106000,3106000,14699000,14699000,14699000,-2234000,3.72529029846191e-09,-5786000,0.82934,-0.08698,-0.08417,-0.03825,-0.02061,0.74861,1.80381,0.85594,6.93889390390723e-18,-0.14003,-0.14003,1.66365,3.66059,-0.10483,-0.03657,-0.02737,104.31334,29.17691
"13","2018_Q1",66.9654098360656,"Up",98448000,-16383000,82065000,-89597000,-69951000,-19646000,-7532000,891000,665000,226000,-6641000,-6641000,-325000,-6966000,-6966000,-6966000,-6966000,247920000,132479000,115441000,99488000,99488000,15591000,15591000,362999000,53899000,26428000,1312000,11828000,13288000,80327000,443326000,20399000,2985000,17414000,198252000,198252000,218651000,9571000,8922000,9571000,228222000,521175000,-263000,-305484000,-324000,215104000,215104000,443326000,-6966000,5937000,11881000,705000,11557000,-3791000,-9481000,-13272000,8957000,8957000,7242000,7242000,7242000,-1595000,0,-4356000,0.83359,-0.07651,-0.07076,-0.03238,-0.01571,0.62532,1.66018,1.06098,0,-0.12514,-0.12514,1.76861,3.86433,-0.07826,-0.031,-0.01939,155.43574,32.91556
