"","YQ","p","d","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","change_in_working_capital","net_cash_from_operating_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q1",30.3227272727273,"Up",-373696,32618,-717270,-684652,-3596,3380,-688248,-677515,-677515,-677515,-694804,-694804,347327,347327,902524,1254255,104973,104973,350380,493634,9718995,-9030551,667764,760621,1254255,-677515,31509,113154,-322892,765000,765000,542471,168939,364657,391436,-653143,178525,-0.91347,-0.55396,2.57584,0.64899,0.14234,-0.71612,-0.71612,0.68825,-0.73233,0.25845,0.24655
"2","2018_Q2",41.0260869565217,"Up",-239010,117869,-760653,-642784,-206,507,-642990,-643556,-643556,-643556,-637500,-637500,292454,292454,1053232,1384459,205842,205842,328987,472088,10514591,-9668051,825657,912371,1384459,-643556,23536,-26619,-512587,509110,509110,496109,-54622.9999999999,-109496,-109746,-619248,167177,-0.69873,-0.46047,3.20144,0.51743,0.12075,-0.63852,-0.63852,0.82698,-0.58532,0.20231,0.1949
"3","2018_Q3",45.375,"Up",-287399,103254,-838125,-734871,7775,8541,-727096,-737263,-737263,-737263,-754473,-754473,515290,515290,1203505,1817541,134785,134785,301958,430055,11712814,-10422524,1279315,1387486,1817541,-737263,35950,-141323,-716446,1235200,1235200,1223005,212788,435624,445672,-698921,165252,-0.54377,-0.41511,3.98567,0.30995,0.09092,-0.72768,-0.72768,1.23389,-0.48273,0.50083,0.47633
"4","2018_Q4",240.625,"Up",-173088,98229,-731827,-633598,-6265,-5744,-639863,-639863,-639863,-639863,-633739,-633739,615568,615568,1423069,2052542,140808,140808,307931,419518,12614365,-11056263,1534341,1633024,2052542,-639863,44101,-145210,-599287,784352,784352,772094,112868,213146,200556,-589497,147248,-0.38808,-0.30876,4.62139,0.2569,0.07174,-0.58692,-0.58692,1.42098,-0.35404,0.79444,0.73914
"5","2019_Q1",227.5,"Down",-622258,-252135,-1354581,-1606716,57806,58274,-1548910,-1548910,-1548910,-1548910,-1551459,-1551459,1806666,1806666,2215002,2982512,268283,268283,476067,570447,14957623,-12607722,2318934,2412065,2982512,-1548910,59736,377841,-482436,2013997,2013997,1845184,1204397,2395495,2382196,-1546980,132292,-0.64321,-0.52019,4.65271,0.2365,0.04436,-4.43406,-4.43406,6.62751,-0.60825,1.08235,1.04211
"6","2019_Q2",453.788461538462,"Up",-209670,143738,-2732628,-2588890,484,941,-2588406,-2588406,-2588406,-2588406,-2576692,-2576692,2441717,2441717,3042678,3827827,318776,318776,498418,595951,18349657,-15184414,3145604,3231876,3827827,-2588406,65711,-114616,-742990,1494805,1494805,1484856,615926,1250977,1270102,-2523179,125285,-0.79727,-0.67315,6.10467,0.1844,0.03273,-6.80867,-6.80867,8.31197,-0.76603,0.91806,0.89476
"7","2019_Q3",403.666666666667,"Down",-245188,120768,-1513352,-1392584,-41779,-41028,-1434363,-1434363,-1434363,-1434363,-1453002,-1453002,1150490,1150490,1735456,3509727,701663,701663,840708,931032,19085920,-16637416,2425918,2578695,3509727,-1434363,-33267,387482,-568565,228204,228204,188297,-1336146,-2627373,-2582454,-1425851,113006,-0.56346,-0.41399,2.06428,0.36105,0.0322,-3.82036,-3.82036,6.37844,-0.53981,0.72762,0.74501
"8","2019_Q4",759.791666666667,"Up",-469045,116157,-9422319,-9306162,-87765,-86294,-9393927,-9393927,-9393927,-9393927,-9406503,-9406503,3061430,3061430,4023519,6056516,570189,570189,720356,984330,31035361,-26043919,4925440,5072186,6056516,-9393927,133308,-766015,-1638014,3612183,3612183,3748912,1972383,3883323,3821880,-9172854,288442,-1.85453,-1.55312,5.58546,0.19406,0.04763,-24.31159,-24.31159,12.73006,-1.75474,0.3023,0.29797
"9","2020_Q1",819,"Up",-574570,-85546,1269017,1183471,18289,20877,1201760,1201760,1201760,1201760,1248232,1248232,1326040,1326040,2740252,5250544,821959,341095,976916,1135482,28898481,-24795687,4012159,4115062,5250544,1228731,286455,-135802,-1451032,612730,612730,582832,-1685835,-3421225,-3470780,1469926,257964,0.30333,0.23773,2.805,0.27593,0.04913,2.83193,2.83193,9.1026,0.28532,-0.72662,-0.90249
"10","2020_Q2",393.363448275862,"Down",-423173,123035,-3549833,-3426798,-5455,-913,-3432253,-3432253,-3432253,-3432253,-3421232,-3421232,1830952,1830952,3670560,6582849,828784,135583,1045071,1651784,33113865,-28216919,4833541,4931065,6582849,-3432253,97812,-430747,-1479364,1994523,1994523,1963195,472040,976952,1009824,-3328986,351176,-0.69381,-0.51972,3.51226,0.33498,0.05335,-8.79714,-8.79714,12.42866,-0.6046,0.44451,0.43182
"11","2020_Q3",688.900625,"Up",-496692,-103300,-2413632,-2516932,-4288,1295,-2521220,-2521220,-2521220,-2521220,-2490251,-2490251,623617,623617,2058336,4977777,713399,80183,991354,1627195,34076355,-30707170,3208831,3350582,4977777,-2521220,111574,700542,-756388,0,0,-21125,-1185582,-1690494,-1712247,-2405358,315323,-0.74323,-0.50027,2.07629,0.48565,0.06335,-6.29566,-6.29566,8.11231,-0.60633,0.12817,0.12249
"12","2020_Q4",468.0521875,"Down",-331039,-139077,-2378947,-2518024,-23038,-16590,-2541062,-2541062,-2541062,-2541062,-2542418,-2542418,5215809,5215809,5828150,8566542,825956,22311,1166787,1775962,40046676,-33249588,6646943,6790580,8566542,-2541062,101007,181839,-767962,4873263,4873263,4835861,4581453,4581453,4592192,-2417017,287130,-0.3744,-0.29678,4.99504,0.26153,0.03352,-6.46734,-6.46734,16.90834,-0.338,2.03916,1.95736
"13","2021_Q1",254.427049180328,"Down",-391180,-119611,-751720,-871331,-158318,-176962,-1029649,-1029649,-1029649,-1029649,-1023190,-1023190,4398545,4398545,5484900,8175143,752847,49778,1311120,1785385,40472375,-34272778,6389758,6389758,8175143,-1029649,98096,-162273,-1232542,-6816486,-6816486,472546,-860386,-860386,-817264,-773235,134515,-0.16013,-0.12516,4.18337,0.27941,0.01645,-2.50237,-2.50237,15.62714,-0.1474,5.51453,4.8937
"14","2021_Q2",112.276349206349,"Down",-516284,1703,-5903826,-5902123,6051,12052,-5896072,-5896072,-5896072,-5896072,-5896072,-5896072,5321558,5321558,6416444,8971770,248078,22766,822880,1275970,47672833,-40168850,7695800,7695800,8971770,-5896072,121824,-507130,-1699073,2693160,2693160,2679420,921357,921356.999999999,923013,-5780299,199175,-0.76614,-0.65718,7.79755,0.1658,0.0222,-13.98431,-13.98431,18.25291,-0.71477,0.88618,0.86789
"15","2021_Q3",95.078125,"Down",-423113,-9049,-6033585,-6042634,-42974,-37325,-6085608,-6085608,-6085608,-6085608,-6085608,-6085608,15035026,15035026,15667634,17332857,741824,42249,1422944,1841531,61550143,-46254458,15491326,15491326,17332857,-6085608,40087,576482,-1221408,11686737,11686737,11664049,9709644,9709644,9713468,-6002547,176487,-0.39284,-0.3511,11.01072,0.11887,0.01018,-14.43385,-14.43385,36.74235,-0.3805,2.47537,2.45895
