"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",6.52079365079365,"Up",5075211,-7795814,-1968791,-5827023,-2720603,14108000.3459566,14108430.1897709,-2720603,-2216525,-4937128,-1024883093.30769,-4937128,-4937128,-4937128,-4937128,17257952,8508027,3308935,3308935,672446,608450,21239333,1265531,1210586,898334,312252,2476117,23715450,4587648,3963926,623722,8227648,662211,1942210.33279787,662211,8889859,102780486,-95342950,14825591,14825591,23715450,128439,-2796280,-516670,-3184511,-3917616,1113841,-5988286,-5988286,-5988286,-2592164,0,-0.53606,-0.97279,-0.33301,-0.20818,2.58146,0.59963,0,-0.13179,-0.13179,0.13547,0.19856,-0.31878,6.65774,6.34343
"2","2010_Q3",7.63015625,"Up",4446753,-7163786,-2233825,-4929961,-2717033,7002667.67297831,7002882.59488545,-2717033,-2533744,-5250777,-489914989.63077,-5250777,-5250777,-5250777,-5250777,15289803,6540003,3445347,3445347,605903,605903,19341053,1651810,1166999,898334,268665,2818809,22159862,5151687,4403759,747928,9233687,600927,1059259.22186525,600927,9834614,103741401,-99914571,12325248,12325248,22159862,172312,-2199129,476473,-1550344,-555030,137350,-1968024,-1968024,-1968024,-2544721,0,-0.61102,-1.18081,-0.42602,-0.23695,2.09462,0.79792,0,-0.12096,-0.12096,0.10244,0.08824,-0.40621,6.00844,5.62739
"3","2010_Q4",11.72640625,"Up",6631857,-8809008,-1389259,-7419749,-2177151,2757105.2243261,2757176.86496182,-2177151,-2253154,-4430305,-164191966.111539,-4430305,-4430305,-4430305,-4430305,19460565,5711777,1361236,1361236,381487,381487,21203288,1295478,1173047,898334,274713,2468525,23671813,2608045,1415251,1192794,15730382,212874,485857.13311915,212874,15943256,116612024,-108887356,7728557,7728557,23671813,162423,-2192816,-629216,-2659609,-4800990,6632373,-828226,-828226,-828226,-2014728,0,-0.32829,-0.66803,-0.57324,-0.18716,1.34792,2.0629,0,-0.09733,-0.09733,0.1457,0.1698,-0.55787,9.65915,8.93855
"4","2011_Q1",11.8903225806452,"Up",3062016,-7021020,-2538794,-4482226,-3959004,659292,659292,-3299712,-10102242,-13401954,-175175,-13577129,-13577129,-13577129,-13577129,21331403,6332053,3002144,3002144,369017,369017,24702564,1150257,1178982,898334,280648,2329239,27031803,4263180,2884259,1378921,14787840,175175,161802.066559575,175175,14963015,134529206,-122464485,12068788,12068788,27031803,162169,-3576152,-16937,-3430920,-1262230,5313426,620276,620276,620276,-3796835,0,-1.29294,-4.43405,-1.12498,-0.50227,1.67046,1.23981,0,-0.28125,-0.28125,0.06343,0.25,-1.10888,5.61821,5.38807
"5","2011_Q2",12.1360317460317,"Up",1696721,-7816334,-4250056,-3566278,-6119613,-2793,-2792.99999999988,-6122406,1421131,-4701275,49674231.4538462,-4701275,-4701275,-4701275,-4701275,18835465,3835915,1245241,1245241,343141,343141,20423847,1024517,1178982,898334,280648,2203499,22627346,3118023,2293459,824564,10908909,356215,26892.022186525,356215,11265124,138527982,-127165760,11362222,11362222,22627346,165182,-5282981,812843,-4304956,-37890,1846708,-2496138,-2496138,-2496138,-5954431,0,-3.60673,-2.7708,-0.41376,-0.20777,1.87222,0.99145,0,-0.10412,-0.10412,0.03758,0.25165,-0.40119,3.16327,3.07788
"6","2011_Q3",5.836875,"Down",2491056,-13185926,-9350540,-3835386,-10694870,14893,14893,-10679977,1626803,-9053174,32895101,23841927,23841927,23841927,23841927,15000214,5000364,1808640,1808640,431978,431978,17240832,894258,33833492,898334,281608,34727750,51968582,3248027,1377339,1870688,8999062,20925,20925,20925.0000000002,9019987,146272428,-103323833,42948595,42948595,51968582,182132,28879768,-33513785,-4451885,4949580,666754,1164449,1164449,1164449,-10512738,-4.54747350886464e-13,-4.29331,9.57101,0.55513,0.45878,1.91585,0.21002,3.3881317890172e-21,0.47285,0.4374,0.0494,0.85178,0.55486,1.42686,1.40256
"7","2011_Q4",2.53015873015873,"Down",3577948,-9139019,-3968605,-5170414,-5561071,328.999999999985,329,-5560742,4243980,-1316762,1527275,210513,210513,210513,210513,12409958,12409958,1708294,1708294,420467,420467,14538719,794468,35450907,898334,371748,36245375,50784094,3695756,2218881,1476875,4720737,83699,83699,83699,4804436,149092978,-103113320,45979658,45979658,50784094,117954,-2021444,-995205,-2898695,9981836,326453,7409594,7409594,7409594,-5443117,0,-1.55426,0.05884,0.00458,0.00415,3.07976,0.10449,0,0.0041,0.0039,0.06964,0.89499,0.00457,2.27994,2.23158
"8","2012_Q1",2.87258064516129,"Up",4960067,-12157782,-6362512,-5795270,-7197715,632,632,-7197083,15336227,8139144,1609270,9748413.99999999,9748413.99999999,9748413.99999999,9748413.99999999,49256930,49256930,2637103,2637103,1084670,356898,52978703,818992,36582782,898334,535417,37401774,90380477,6922777,2278316,4644461,7545715,41148696,147586,41148696,48694411,150556375,-108870309,41686066,41686066,90380477,103020,-4448301,41574853,37229572,-135266,-247334,36846972,36846972,36846972,-7094695,0,-1.45113,1.96538,0.23385,0.10786,7.02103,1.16812,-2.71050543121376e-20,0.18929,0.18299,0.09631,0.80945,0.11769,6.94278,6.84341
"9","2012_Q2",2.6331746031746,"Down",1465752,-6678415,-2213877,-4464538,-5212663,162,162,-5212501,-1335827,-6548328,1932719,-4615609,-4615609,-4615609,-4615609,42588476,42588476,1932610,1932610,1192049,460242,46636330,899036,39760585,898334,1784536,42391291,89027621,7138481,3903352,3235129,8198232,42879420,152384,42879420,51077652,150873171,-112923202,37949969,37949969,89027621,103354,-3300974,-3289126,-6486746,-183398,1690,-6668454,-6668454,-6668454,-5109309,0,-3.55631,-3.14897,-0.12162,-0.05184,5.68858,1.34592,0,-0.08938,-0.08938,0.02839,0.73492,-0.0571,8.33547,8.1702
"10","2012_Q3",2.91936507936508,"Up",2701164,-8657207,-3474691,-5182516,-5956043,74,74,-5955969,528411,-5427558,1660720,-3766838,-3766838,-3766838,-3766838,34932776,34932776,1517947,1517947,1268262,542059,46578955,855208,43205844,898334,3563471,46062035,92640990,14511271,10045821,4465450,15246010,43149791,157182,43149791,58395801,151514948,-117269759,34245189,34245189,92640990,105619,-4029792,-2321780,-6245953,-1409747,0,-7655699.99999999,-7655699.99999999,-7655699.99999999,-5850424,5.82076609134674e-11,-2.20499,-1.39452,-0.11,-0.04066,3.05516,1.70523,4.33680868994202e-19,-0.07295,-0.07295,0.05231,0.66318,-0.04867,5.97098,5.8651
