"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",11.3671428571429,"Up",285786000,-204147000,81639000,-53697000,-30150000,-7880000,-15667000,27942000,-1013000,26929000,26929000,-8965000,17964000,17964000,-1089000,16875000,16875000,42551000,42551000,24839000,24839000,15073000,21921000,9692000,4018000,104384000,188776000,117200000,74058000,38325000,307117000,411501000,88875000,25785000,13224000,49866000,187916000,-489799968.528923,19485000,7245429.17899435,19485000,19485000,207401000,239886000,-250606000,208087000,-2344000,195023000,9077000,204100000,411501000,16875000,16875000,7880000,4194000,-2936000,-3247000,514000,-1205000,1002000,26013000,-9125000,-9125000,279000,-8605000,-1703716825.69555,-1336000,3933000,1106000,-230000,17178000,17178000,-84000,17094000,35822000,99041000,32726000,0.28566,0.09777,0.05905,0.08268,0.04101,1.93932,0.55548,1.01617,0.24068,0.62412,0.62146,10.56979,7.21292,1.21037,6,0.05231,0.10144,1.57696,2.02169
"2","2010_Q3",10.90828125,"Down",280647000,-201898000,78749000,-55950000,-30677000,-8175000,-17098000,22799000,-1136000,21663000,21663000,-7560000,14103000,14103000,-911000,13192000,13192000,37710000,37710000,22914000,22914000,15289000,22803000,10266000,3642000,98716000,189027000,116829000,74229000,36680000,307546000,406262000,85904000,26139000,10383000,49382000,184939000,-63247989.509641,18825000,3122714.58949718,18825000,18825000,203764000,241945000,-268652000,221279000,-1372000,193200000,9298000,202498000,406262000,13192000,13192000,8175000,-56000,-1638000,1483000,-216000,354000,-3259000,19673000,-7746000,-7746000,1215000,-7044000,-980252095.417333,-17956000,1192000,380000,-17576000,-4947000,-4947000,106000,-4841000,30974000,99035000,29150000,0.2806,0.08124,0.04701,0.06515,0.03247,2.20967,0.53378,1.00625,0.24377,0.4929,0.49008,10.48599,7.21865,1.08915,7,0.04118,0.09099,1.97989,2.68981
"3","2010_Q4",11.558125,"Up",273126000,-201462000,71664000,-57881000,-29776000,-8067000,-20038000,13783000,-1243000,12540000,12540000,-4020000,8520000,8520000,-672000,7848000,7848000,28180000,28180000,24713000,24713000,16112000,20297000,7398000,3367000,89302000,186256000,120689000,75015000,40117000,308574000,397876000,86259000,24871000,11353000,50035000,86259000,99023000,19332000,911904.863165725,19332000,118355000,204614000,242851000,-287329000,229127000,680000,185329000,7933000,193262000,397876000,7848000,7848000,8067000,821000,-263000,-2330000,-823000,-1268000,4158000,16473000,-6737000,-6737000,-776000,-6065000,-494637047.708666,-18619000,179000,-1375000,-19994000,-9586000,-9586000,56000,-9530000,21850000,99023000,18870000,0.26238,0.05046,0.02873,0.04061,0.01972,2.40443,1.03528,1.05874,0.24888,0.30236,0.30003,10.52265,7.14012,0.727,5,0.02518,0.06056,3.24224,5.13988
"4","2011_Q1",12.8551612903226,"Up",286838000,-210070000,76768000,-54548000,-28381000,-8285000,-17882000,22220000,-42000,22178000,22178000,-6702000,15476000,15476000,-813000,14663000,14663000,46225000,46225000,29468000,29468000,17402000,24012000,10009000,4356000,117107000,186594000,110636000,74697000,35939000,298834000,415941000,76183000,31569000,1789000,42825000,76183000,99017000,33541000,341000,33200000,132558000,208741000,245380000,-291048000,243152000,849000,198694000,8506000,207200000,415941000,18148000,18148000,8285000,6345000,-2356000,-928000,-1323000,6698000,-6803000,30422000,-7517000,-7517000,575000,-6721000,-200382682.569555,-2615000,1106000,-2803000,-5418000,18283000,18283000,-16000,18267000,30505000,99017000,27334000,0.26764,0.07747,0.05112,0.07077,0.03525,1.86415,1.53718,1.00744,0.23806,0.5738,0.57181,11.22478,7.76133,1.06966,8,0.04316,0.08045,1.7306,2.37588
"5","2011_Q2",14.0480952380952,"Up",312467000,-225776000,86691000,-59480000,-29855000,-8312000,-21313000,27211000,-431000,26780000,26780000,-9231000,17549000,17549000,-1122000,16427000,16427000,13744000,13744000,28325000,28325000,17430000,21671000,10333000,3647000,81170000,182724000,115101000,75290000,39811000,299634000,380804000,89769000,26751000,11380000,51638000,89769000,48008000,19611000,1138000,18473000,67619000,157388000,248831000,-295015000,259579000,2122000,215517000,7899000,223416000,380804000,17549000,17549000,8312000,4434000,-3608000,-3011000,-28000,-4818000,4249000,26687000,-4823000,-4823000,1303000,-3520000,-5.1e+07,-2805000,1314000,-1632000,-55437000,-32270000,-32270000,-6000,-32276000,35523000,48008000,36323000,0.27744,0.08708,0.05257,0.07353,0.04314,2.21118,0.90421,0.70446,0.12607,0.6446,0.63777,12.2613,8.45695,1.42533,7,0.05644,0.12481,0.96456,1.2592
"6","2011_Q3",13.1578125,"Down",293534000,-215038000,78496000,-59341000,-29076000,-8425000,-21840000,19155000,-88000.0000000001,19067000,19067000,-6014000,13053000,13053000,-929000,12124000,12124000,20106000,20106000,26471000,26471000,15583000,21613000,10277000,3710000,83773000,182788000,112420000,74746000,37674000,296922000,380695000,86280000,29599000,6868000,49813000,86280000,4.8e+07,22614000,3485000,19129000,70614000,156894000,257070000,-315108000,271703000,1608000,215273000,8528000,223801000,380695000,13053000,13053000,8425000,3707000,1053000,1844000,1847000,2848000,-5486000,26238000,-7599000,-7599000,984000,-6615000,-7.45058059692383e-09,-12694000,9349000,-750000,-13444000,6179000,6179000,88000,6266999.99999999,27580000,4.8e+07,27048000,0.26742,0.06526,0.0413,0.05417,0.03185,2.23095,0.97094,0.70104,0.12609,0.47612,0.47232,11.52741,8.45401,1.06221,6,0.04118,0.09187,1.01139,1.45623
"7","2011_Q4",15.4533333333333,"Up",305668000,-225612000,80056000,-63098000,-32109000,-7974000,-23015000,16958000,-112000,16846000,16846000,-4906000,11940000,11940000,-817000,11123000,11123000,23695000,23695000,27492000,27492000,17201000,20685000,6503000,3839000,89073000,183184000,112317000,74871000,37446000,297182000,386255000,98547000,35465000,9218000,53864000,98547000,5e+07,25154000,7110000,18044000,75154000,173701000,258220000,-338092000,282826000,1355000,204309000,8245000,212554000,386255000,11940000,11940000,7974000,3922000,10455000,-1904000,-1618000,5866000,8111000,34291000,-8225000,-8225000,-281000,-8506000,2e+06,-23099000,318000,-1115000,-22214000,3571000,3571000,-15000,3556000,24932000,5e+07,32068000,0.26191,0.05548,0.03639,0.05233,0.0288,2.88304,0.90386,0.81721,0.12945,0.44567,0.44213,12.2473,8.18611,1.28488,7,0.03866,0.11146,1.05507,1.55119
"8","2012_Q1",16.7687096774194,"Up",306213000,-148219000,157994000,-134301000,-30335000,-7970000,-95996000,23693000,-1595000,22098000,22098000,-6173000,15925000,15925000,-864000,15061000,15061000,18942000,18942000,31708000,31708000,20091000,24083000,10210000,6237000,94824000,181910000,113648000,75085000,38563000,295558000,390382000,81133000,32966000,3969000,44198000,81133000,51489000,48148000,6692000,36676000,99637000,180770000,262456000,-353826000,294801000,1849000,205647000,3965000,209612000,390382000,15925000,15925000,7970000,10038000,-20141000,-1227000,-2890000,-2499000,-13525000,13792000,-8672000,-8672000,-72999.9999999999,-8745000,1489000,-12683000,3061000,-312000,-11506000,-6459000,-6459000,25000,-6434000,31663000,51489000,9023000,0.51596,0.07737,0.04918,0.07185,0.03858,0.5991,1.16875,0.8624,0.13189,0.12103,0.11963,2.46077,1.64966,0.0725100000000001,6,0.0487,0.02918,1.02792,1.3737
"9","2012_Q2",19.4150793650794,"Up",331276000,-234125000,97151000,-69895000,-37270000,-7927000,-24698000,27256000,264000,27520000,27520000,-9213000,18307000,18307000,-1326000,16981000,16981000,45112000,45112000,34529000,30251000,18969000,20595000,9395000,4342000,119205000,184167000,113233000,75328000,37905000,297400000,416605000,95240000,34953000,13819000,46468000,95240000,5e+07,43530000,7264000,27788000,93530000,188770000,267151000,-366822000,315551000,2060000,217940000,9895000,227835000,416605000,18307000,18307000,7927000,1496000,16363000,-2670000,1122000,1987000,15924000,44093000,-6403000,-6403000,21000,-6382000,-1489000,-10092000,3728000,-92000,-11673000,26038000,26038000,132000,26170000,35183000,5e+07,54356000,0.29326,0.08228,0.05126,0.07453,0.04076,3.20099,1.25163,0.82854,0.12002,0.70598,0.69486,13.77275,9.06082,2.25984,8,0.05284,0.16914,0.13893,0.17934
"10","2012_Q3",22.5579365079365,"Up",318579000,-229077000,89502000,-65175000,-32598000,-8104000,-24473000,24327000,-861000,23466000,23466000,-8005000,15461000,15461000,-1172000,14289000,14289000,33625000,33625000,32140000,27693000,19695000,19668000,10548000,2880000,105128000,186567000,115742000,78342000,37400000,302309000,407437000,86089000,32379000,4044000,49666000,86089000,5e+07,45802000,9648000,27562000,95802000,181891000,275234000,-390754000,330320000,1609000,216409000,9137000,225546000,407437000,15461000,15461000,8104000,5639000,-8134999.99999999,2595000,-589000,-2574000,-7567000,21069000,-8643000,-8643000,499000,-13104000,0,-18236000,6672000,-1064000,-19300000,-11335000,-11335000,-152000,-11487000,32431000,5e+07,23658000,0.28094,0.07636,0.04485,0.06335,0.03507,1.65568,1.22115,0.80645,0.12272,0.60207,0.59286,13.42346,9.11848,0.99684,9,0.04447,0.07362,0.50492,0.67312
