"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",1.80777777777778,"Up",17167000,-12876000,4291000,-3015000,-3015000,1276000,-90000,-97000,7000,1186000,1186000,-455000,731000,726000,726000,726000,4547685.81045272,4547685.81045272,-122087011.263374,127379659.009095,-11444303.7220453,132183412.69547,9840333.55617337,-869953.251200348,6390478.96436937,-7260432.21556972,14162205.4696344,7599435.05554662,1126000.00000096,393325.015186333,13292252.2184341,23132585.7746075,-75393533.0146424,-130156372.371948,48037989.5681966,-127923134.884941,89498334.988833,89498334.988833,89498334.988833,-14412420.9989883,30590826.7572623,9882471.1106532,-2928291.09431975,37545006.7735957,37545006.7735957,23132585.7746075,726000,64000,419000,2857000,4066000,-52000,-1619000,-184000,-102000,-167000,-1604000,843000,843000,843000,1340000,0,4600000,0.24996,0.07433,0.04229,1.00513052813274,0.724165152886912,6.33609,43.2667353410553,-0.48286094546754,-1.22711428489353,0.07852,0.07766,1.85669,3.90841625456835,0.49751,0.0199,0.787156212118592,-1.96759418105156,0.25344,-81.1256159934432,-87.5625407727201
"2","2010_Q3",1.9946875,"Up",23711000,-18056000,5655000,-3519000,-3519000,2136000,-123000,-125000,2000,2013000,2013000,-796000,1217000,1214000,1214000,1214000,2229342.90522636,2229342.90522636,-49124005.6316871,72821829.5045475,-2849651.86102264,72553706.3477348,25927166.7780867,-107476.625600174,4952739.48218469,-5060216.10778486,12091102.7348172,7384217.52777331,1126000.00000048,250662.507593166,11983626.109217,37910792.8873037,-29121766.5073212,-55266186.1859742,22781994.7840983,-50416567.4424705,44711167.4944165,44711167.4944165,44711167.4944165,3881289.50050586,36664413.3786311,2391735.5553266,-5026645.54715987,34029503.3867979,34029503.3867979,37910792.8873037,1214000,64000,867000,-6327000,-4182000,-33000,-32999.9999999998,-185000,-395000,-488000,3310000,-905000,-905000,-905000,2200000,0,-3364000,0.2385,0.09008,0.0512,0.491890264066371,0.352017576443456,-2.771,21.0658126705276,0.11399452726623,-0.500757142446766,0.12662,0.12437,2.47299,3.55422812728418,-0.35086,0.01929,0.387278106059296,-0.82290209052578,0.15239,-35.5126629967216,-38.36846538636
"3","2010_Q4",2.40609375,"Up",21938000,-17531000,4407000,-3047000,-3047000,1360000,-120000,-112000,-8000,1240000,1240000,-460000,780000,775000,775000,775000,863114.30174212,863114.30174212,-6425335.21056238,39054609.8348491,1274116.04632579,36549902.1159116,33492388.9260289,307174.458133275,4074579.8273949,-3767405.36926162,10743367.5782724,7105072.50925777,1126000.00000016,164887.502531055,11050542.0364057,44542930.9624346,-3168922.16910707,-13273062.0619914,8791998.2613661,-7640522.48082351,17710555.8314722,17710555.8314722,17710555.8314722,12459096.5001686,40387137.792877,-2109088.14822447,-6194215.18238662,32083834.462266,32083834.462266,44542930.9624346,775000,64000,436000,-943000,332000,-20000,-20000,-193000,80000,-103000,-289000,23000,23000,23000,1424000,0,921000,0.20088,0.06199,0.03533,0.191400088022124,0.135185858814485,1.18839,8.71830089017588,0.394924842422077,-0.108365714148922,0.08103,0.07922,2.29381,3.35216937576139,0.0963,0.02018,0.154502702019765,-0.182457363508594,0.24903,-10.0871543322405,-10.93305846212
"4","2011_Q1",2.26032258064516,"Down",27155000,-21417000,5738000,-2878000,-2878000,2860000,-124000,-126000,2000,2736000,2736000,-1061000,1675000,1591000,1591000,1591000,205000,205000,13560000,21518000,2360000,18653000,35283000,472000,3625000,-3153000,9947000,6795000,1126000,122000,10419000,45702000,8019000,4763000,2969000,9971000,4336000,4336000,4336000,14307000,42335000,-4358000,-6582000,31395000,31395000,45702000,1591000,65000,692000,-555000,1793000,-98000,-98000,-190000,-5000,-20000,-1526000,169000,169000,169000,2925000,1952000,3333000,0.21131,0.10532,0.05859,0.05068,0.03481,2.09491,3.53856,0.45571,0.04271,0.1659,0.16256,2.8316,3.27372,0.34755,0.01981,0.04726,0.08845,0.11942,0.59726,0.61084
"5","2011_Q2",2.25142857142857,"Down",17499000,-13716000,3783000,-2855000,-2855000,928000,-70000,-78000,8000,858000,858000,-328000,530000,530000,530000,530000,11000,11000,18383000,15652000,1841000,13344000,34046000,485000,3473000,-2988000,9530000,6487000,1126000,108000,10015000,44061000,9996000,7782000,2214000,11984000,427000,427000,427000,12411000,43084000,-5093000,-6341000,31650000,31650000,44061000,530000,67000,582000,2994000,4173000,-75000,-75000,-287000,-107000,-735000,-4292000,-194000,-194000,-194000,995000,1988000,4242000,0.21618,0.05303,0.03029,0.01675,0.01203,8.00377,2.84095,0.39213,0.04512,0.0551,0.05433,1.81921,3.29036,0.441,0.02984,0.02398,0.12453,0.54151,1.98693,2.13039
"6","2011_Q3",2.07265625,"Down",21319000,-16578000,4741000,-2954000,-2954000,1787000,-68000,-70000,2000,1719000,1719000,-652000,1067000,1067000,1067000,1067000,117000,117000,16526000,16507000,1495000,14442000,33150000,468000,3521000,-3053000,9276000,6202000,1126000,108000,9744000,42894000,9138000,6037000,3101000,9138000,1175000,1175000,1175000,10313000,43238000,-5093000,-5564000,32581000,32581000,42894000,1067000,64000,337000,246000,1714000,-71000,-71000,-289000,0,0,-1537000,106000,106000,106000,1851000,0,2678000,0.22238,0.08382,0.05005,0.03275,0.02488,2.50984,3.62771,0.31653,0,0.11063,0.10874,2.21037,3.37802,0.27766,0.02996,0.04017,0.07933,0.27085,-0.06321,-0.06547
"7","2011_Q4",1.64698412698413,"Down",21649000,-16405000,5244000,-2698000,-2698000,2546000,-40000,-43000,3000,2506000,2506000,-958000,1548000,1548000,1548000,1548000,279000,279000,15540000,19523000,2755000,16428000,35342000,519000,3638000,-3119000,9013000,5973000,1126000,108000,9532000,44874000,10999000,8468000,2531000,10999000,880367.400253601,880367.400253601,880367.400253601,10999000,43373000,-5096000,-4402000,33875000,33875000,44874000,1548000,66000,614000,-465000,1763000,-139000,-139000,-290000,0,-3000,-1462000,162000,162000,162000,2612000,0,2966000,0.24223,0.1176,0.0715,0.0457,0.0345,1.91602,3.2132,0.32469,-3.46944695195361e-18,0.16031,0.15954,2.24203,3.50818,0.30717,0.03003,0.05426,0.08756,0.18734,-0.10681,-0.10958
"8","2012_Q1",1.95516129032258,"Up",24839000,-19064000,5775000,-2904000,-2904000,2871000,-39000,-38000,-1000,2832000,2836000,-942000,1894000,1894000,1894000,1894000,214000,214000,11839000,23025000,2427000,20323000,35078000,514000,3502000,-2988000,9069000,5972000,1126000,107000,9583000,44661000,9818000,6092000,2566000,9945000,0,0,0,9945000,43775000,-5391000,-3668000,34716000,34716000,44661000,1894000,70000,482000,-1828000,618000,-276000,-276000,-386000,-22000,-295000,-407000,-64999.9999999999,-64999.9999999999,-64999.9999999999,2941000,5.82076609134674e-11,1779000,0.2325,0.11558,0.07625,0.05456,0.04241,0.93928,3.5272,0.28647,0,0.19607,0.19492,2.57133,3.59379,0.18416,0.03996,0.06568,0.05124,0.2038,-0.07276,-0.07454
"9","2012_Q2",2.64253968253968,"Up",17453000,-13028000,4425000,-2985000,-2861000,1440000,-12000,-12000,-3862.96857649807,1428000,1428000,-531000,897000,897000,897000,897000,3561000,3561000,14519000,17310000,2110000,15165000,35390000,770000,3813000,-3043000,8917000,6039000,1126000,102000,9687000,45077000,9485000,5940000,2765000,9485000,0,0,0,9485000,44762000,-6393000,-2777000,35592000,35592000,45077000,897000,55000,328000,2848000,4128000,-290000,-290000,-387000,-204000,-1002000,-491000,3347000,3347000,3347000,1495000,0,4584000,0.25354,0.08251,0.0514,0.0252,0.0199,5.11037,3.73115,0.26649,0,0.09224,0.09151,1.79465,3.65985,0.47136,0.03979,0.03608,0.12879,0.43144,-2.38194,-2.47292
"10","2012_Q3",2.79555555555556,"Up",17282000,-13368000,3914000,-2774000,-2665000,1140000,7000,5000,2000,1147000,1147000,-392000,755000,755000,755000,755000,6336000,6336000,12469000,15892000,1582000,14199000,34697000,754000,3850000,-3096000,8698000,5922000,1126000,102000,9452000,44149000,8416000,4950000,2682000,8416000,0,0,0,8416000,45045000,-6506000,-2806000,35733000,35733000,44149000,755000,54000,358000,2469000,3636000,-115000,-115000,-779000,13999.9999999999,-113000,-746000,2775000,2775000,2775000,1194000,0,3940000,0.22648,0.06596,0.04369,0.02113,0.0171,5.21854,4.12274,0.23552,0,0.07724,0.07677,1.76798,3.65555,0.40307,0.07969,0.04293,0.11026,1.03179,-5.30653,-5.55789
