"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"22","2015_Q3",23.47578125,"Down",301791000,-76675000,225116000,-190429000,-135020000,-55409000,34687000,-211000,25000.0000000001,34476000,34476000,-9534000,24942000,24942000,24942000,24942000,422800000,232784000,190016000,205568000,205568000,187411000,110901000,80885000,926680000,264146000,265376000,76488000,167491000,21397000,529522000,1456202000,134286000,57289000,76997000,109514000,109514000,243800000,92776000,45765000,20306000,92776000,336576000,694396000,449023000,-23793000,1119626000,1119626000,1456202000,24942000,18578000,15748000,-34896000,24372000,-10484000,-9224000,-6003000,-24523000,-1531000,7014000,-25133000,-6763999.99999999,-6763999.99999999,-6763999.99999999,53265000,0,17419000,0.74593,0.11494,0.08265,0.02228,0.01713,0.69838,3.80098,0.30061,0,0.19382,0.19283,2.34517,8.70045,0.13536,0.19056,0.0408,0.01437,0.9832,-7.93767,-12.189
"23","2015_Q4",24.59390625,"Up",299813000,-77166000,222647000,-190296000,-137763000,-52533000,32351000,815000,134000,33166000,33166000,-9988000,23178000,23178000,23178000,23178000,411295000,229235000,182060000,185658000,185658000,189992000,92085000,58410000,879030000,260775000,273502000,82245000,169770000,21487000,534277000,1413307000,131422000,53762000,77660000,104509000,104509000,235931000,92773000,44093000,22253000,117773000,353704000,696086000,395154000,-31637000,1059603000,1059603000,1413307000,23178000,18655000,3172000,24693000,69698000,-9196000,-11193000,-16539000,-24537000,-57178000,6836000,-56708000,-3549000,-3549000,-3549000,51006000,2.5e+07,76491000,0.74262,0.1079,0.07731,0.02187,0.0164,3.30016,3.72579,0.33381,0.01769,0.18118,0.18031,2.34355,8.28261,0.59791,0.1918,0.04053,0.06497,1.05863,-7.57352,-11.94074
"24","2016_Q1",24.0095081967213,"Down",334339000,-86779000,247560000,-197559000,-140890000,-56669000,50001000,-5804000,-1008000,44197000,44197000,-12059000,32138000,32138000,32138000,32138000,332918000,251129000,81789000,216244000,216244000,185197000,65381000,65381000,799740000,257853000,396263000,108196000,257718000,30349000,654116000,1453856000,127932000,50970000,76962000,112283000,112283000,240215000,94920000,44673000,22539000,131920000,372135000,718980000,400831000,-38090000,1081721000,1081721000,1453856000,32138000,18172000,24554000,-26280000,48584000,-6456000,-8717000,-11885000,-24237000,3837000,6533000,-9344000,27355000,27355000,21894000,68173000,3.7e+07,47496000,0.74045,0.14955,0.09612,0.02971,0.02211,1.47788,3.32927,0.34402,0.02545,0.2524,0.25087,2.62575,8.49535,0.37301,0.19035,0.04645,0.03914,0.75415,-4.34069,-5.91824
"25","2016_Q2",23.4815625,"Down",287177000,-76146000,211031000,-197187000,-137847000,-59340000,13844000,-1579000,-2406000,12265000,12265000,-2967000,9298000,9298000,9298000,9298000,328608000,265400000,63208000,207308000,207308000,192054000,65523000,65523000,793493000,256961000,405826000,110100000,262900000,32826000,662787000,1456280000,138429000,54347000,84082000,116656000,116656000,255085000,87733000,39353000,21021000,112733000,367818000,732247000,380896000,-24681000,1088462000,1088462000,1456280000,9298000,19432000,-167000,15801000,44364000,-9630000,-8003000,399000,-25556000,2803000,7445000,-34753000,10010000,10010000,14271000,33276000,2.5e+07,42414000,0.73485,0.04821,0.03238,0.00854,0.00638,4.56163,3.1107,0.33792,0.01717,0.07287,0.07258,2.25069,8.5306,0.33241,0.20029,0.02902,0.03531,2.74855,-9.12393,-21.93066
"26","2016_Q3",23.83265625,"Up",306105000,-77508000,228597000,-201330000,-141491000,-59839000,27267000,-974000,53000,26293000,26293000,-6493000,19800000,19800000,19800000,19800000,340324000,285261000,55063000,222243000,222243000,194585000,63502000,63502000,820654000,257868000,394767000,108241000,260224000,26302000,652635000,1473289000,138038000,50724000,87314000,116202000,116202000,254240000,87858000,37751000,22041000,127858000,382098000,746086000,374190000,-29085000,1091191000,1091191000,1473289000,19800000,18785000,10737000,-13142000,36180000,-12029000,-7403000,-11287000,-25717000,6392000,7385000,-4325000,20568000,20568000,19861000,46052000,4e+07,27374000,0.74679,0.08908,0.06468,0.01815,0.01344,1.38253,3.22787,0.35017,0.02715,0.15435,0.15378,2.38621,8.50626,0.21339,0.20047,0.03734,0.02246,1.29884,-6.52141,-11.01419
"27","2016_Q4",24.9044444444444,"Up",306365000,-76733000,229632000,-200265000,-141200000,-59065000,29367000,-183000,301000,29184000,29184000,-4695000,24489000,24489000,24489000,24489000,352929000,300652000,52277000,206171000,206171000,196391000,55281000,55281000,810772000,261859000,400262000,110161000,261372000,28729000,662121000,1472893000,142208000,53192000,89016000,113645000,113645000,255853000,84629000,37787000,18694000,109629000,365482000,759700000,372893000,-25182000,1107411000,1107411000,1472893000,24489000,16947000,1744000,26292000,69472000,-14718000,-8642000,-20574000,-25783000,7327000,7327000,-33456000,15442000,15442000,15391000,46314000,2.5e+07,62583000,0.74954,0.09586,0.07993,0.02211,0.01663,2.55556,3.1689,0.33003,0.01697,0.19011,0.18977,2.37833,8.59691,0.48584,0.20016,0.04131,0.05142,1.05284,-7.08056,-11.16658
"28","2017_Q1",27.3993548387097,"Up",328532000,-82734000,245798000,-196550000,-139088000,-57462000,49248000,-2355000,471000,46893000,46893000,-17746000,29147000,29147000,29147000,29147000,358400000,285283000,73117000,228686000,228686000,193608000,53953000,53953000,834647000,260456000,401461000,108663000,253197000,39601000,661917000,1496564000,144498000,48800000,95698000,115577000,115577000,260075000,97270000,45386000,22132000,122270000,382345000,772638000,376202000,-34621000,1114219000,1114219000,1496564000,29147000,18226000,31318000,-28508000,50183000,-10390000,-7811000,-39041000,-25841000,6750000,6750000,-19091000,-7949000,-7949000,-15369000,67474000,2.5e+07,46322000,0.74817,0.1499,0.08872,0.02616,0.01948,1.58925,3.20926,0.34315,0.0167,0.22573,0.22399,2.54437,8.62926,0.35875,0.20013,0.04447,0.03746,0.88657,-4.94116,-6.76982
"29","2017_Q2",31.5190476190476,"Up",300106000,-76524000,223582000,-201264000,-143001000,-58263000,22318000,856000,431000,23174000,23174000,-5026000,18148000,18148000,18148000,18148000,365418000,279008000,86410000,224267000,224267000,194878000,45970000,45970000,830533000,260208000,401182000,113188000,254523000,33471000,661390000,1491923000,141932000,55850000,86082000,121597000,121597000,263529000,87624000,37736000,19864000,112624000,376153000,786962000,361327000,-32519000,1115770000,1115770000,1491923000,18148000,18669000,3418000,6441000,46676000,-11336000,-11624000,-36282000,-27201000,7817000,7817000,-19384000,-8990000,-8990000,-6275000,40987000,2.5e+07,41118000,0.74501,0.07437,0.06047,0.01627,0.01216,2.2657,3.15158,0.33712,0.01676,0.14021,0.13948,2.31853,8.62011,0.31767,0.21015,0.03692,0.03347,1.49884,-8.30551,-15.25307
"30","2017_Q3",35.4655555555556,"Up",318608000,-82460000,236148000,-207518000,-150606000,-56912000,28630000,722000,-234000,29352000,29352000,-4197000,25155000,25155000,25155000,25155000,368434000,263150000,105284000,230958000,230958000,186155000,52568000,52568000,838115000,256761000,410438000,120327000,261411000,28700000,667199000,1505314000,134970000,54214000,80756000,120212000,120212000,255182000,87084000,35561000,19858000,112084000,367266000,802079000,359088000,-23119000,1138048000,1138048000,1505314000,25155000,17246000,9433000,-13725000,38109000,-5515000,-13192000,-37175000,-27394000,7590000,7590000,-19804000,-18870000,-18870000,-15858000,45876000,2.5e+07,30833000,0.74119,0.08986,0.07895,0.0221,0.01671,1.22572,3.28438,0.32272,0.01661,0.1932,0.19183,2.44703,8.74063,0.23681,0.2104,0.04203,0.02466,1.08901,-7.48614,-11.9956
"31","2017_Q4",38.2249206349206,"Up",320921000,-83749000,237172000,-199654000,-143128000,-56526000,37518000,598000,-1154000,38116000,38116000,-4726000,33390000,33390000,33390000,33390000,385417000,294194000,91223000,235177000,235177000,184641000,50325000,50325000,855560000,254918000,420650000,122681000,265091000,32878000,675568000,1531128000,145139000,51274000,93865000,120271000,120271000,265410000,86919000,37074000,18440000,101919000,367329000,817459000,365021000,-18681000,1163799000,1163799000,1531128000,33390000,18879000,4131000,6271000,62671000,-8612000,-9590000,-3675000,-27456000,7463000,7463000,-29993000,29003000,29003000,31044000,56397000,1.5e+07,58782000,0.73904,0.11691,0.10404,0.02869,0.02181,1.76047,3.22354,0.31563,0.0098,0.25555,0.25369,2.45615,8.90708,0.44989,0.21013,0.04807,0.04644,0.82228,-6.56803,-9.87305
