"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",42.8262295081967,"Up",349751000,-85591000,264160000,-206848000,-146788000,-60060000,57312000,-574000,-609000,56738000,56738000,-81020000,-24282000,-24282000,-24282000,-24282000,412052000,290164000,121888000,248825000,248825000,184592000,48621000,48621000,894090000,249715000,422629000,123293000,266783000,32553000,672344000,1566434000,148617000,49733000,98884000,120638000,120638000,269255000,169158000,33609000,101807000,169158000,438413000,831289000,313241000,-16509000,1128021000,1128021000,1566434000,-24282000,17901000,82123000,1244000,76986000,-7177000,-7256000,-45278000,-27500000,6224000,6224000,-37118000,-5410000,-5410000,-4030000,75213000,0,150300000,0.75528,0.16387,-0.06943,-0.02153,-0.0155,-6.18977,3.32061,0.38866,0,-0.1855,-0.18299,2.67189,8.61743,1.1482,0.21008,0.00248,0.11587,-1.13253,-5.47847,-7.18963
"33","2018_Q2",39.1890625,"Down",311897000,-74523000,237374000,-209237000,-147394000,-61843000,28137000,1475000,-519000,29612000,29612000,-5344000,24268000,24268000,24268000,24268000,414524000,250365000,164159000,242291000,242291000,193273000,65701000,65701000,915789000,248799000,427017000,126242000,269620000,31155000,675816000,1591605000,148203000,52856000,95347000,127766000,127766000,275969000,165930000,32774000,102135000,165930000,441899000,848055000,315951000,-14300000,1149706000,1149706000,1591605000,24268000,17436000,6158000,-7879000,39983000,-10970000,-7668000,-60782000,-30177000,8600000,8600000,-21577000,-42376000,-42376000,-39799000,45573000,0,32068000,0.76107,0.09021,0.07781,0.02111,0.01525,1.32141,3.31845,0.38436,0,0.18507,0.18298,2.37859,8.76788,0.24456,0.23014,0.04138,0.02437,1.24349,-9.09582,-14.73235
"34","2018_Q3",40.5152380952381,"Up",341009000,-82159000,258850000,-221939000,-155031000,-66908000,36911000,-1909000,-1094000,35002000,35002000,-3948000,31054000,31054000,31054000,31054000,428423000,217619000,210804000,249910000,249910000,193417000,56740000,56740000,928490000,249834000,415415000,121270000,263796000,30349000,665249000,1593739000,142777000,52769000,90008000,125451000,125451000,268228000,159833000,37381000,90902000,159833000,428061000,865636000,316607000,-16565000,1165678000,1165678000,1593739000,31054000,17662000,13544000,-3391000,58869000,-12730000,-3676000,-63903000,-30398000,8022000,8022000,-22376000,-27410000,-27410000,-32746000,54573000,0,42400000,0.75907,0.10824,0.09107,0.02664,0.01948,1.36536,3.46157,0.36722,0,0.23548,0.23339,2.58581,8.83913,0.32151,0.2305,0.04636,0.03199,0.97888,-7.85046,-11.60692
"35","2018_Q4",41.6869841269841,"Up",346127000,-89016000,257111000,-211101000,-144931000,-66170000,46010000,2366000,1782000,48376000,48376000,-5182000,43194000,43194000,43194000,43194000,482409000,311381000,171028000,239468000,239468000,192412000,62447000,62447000,976736000,245898000,407286000,116061000,263119000,28106000,653184000,1629920000,155665000,51321000,104344000,120398000,120398000,276063000,156948000,36638000,88548000,156948000,433011000,882741000,329342000,-15174000,1196909000,1196909000,1629920000,43194000,18637000,8522000,18132000,88485000,-8838000,-1808000,29259000,-30459000,7802000,7802000,-22657000,95087000,95087000,93762000,64647000,0,79123000,0.74282,0.13293,0.12479,0.03609,0.0265,1.83181,3.53809,0.36177,0,0.32634,0.32429,2.6151,9.04304,0.5978,0.23013,0.0544,0.05844,0.70517,-7.4622,-10.48487
"36","2019_Q1",40.7060655737705,"Down",360099000,-88029000,272070000,-210249000,-144098000,-66151000,61821000,1642000,3405000,63463000,63463000,-6922000,56541000,56541000,56541000,56541000,530782000,259386000,271396000,242955000,242955000,194146000,54337000,54337000,1022220000,245201000,403814000,110783000,264530000,28501000,649015000,1671235000,155696000,48388000,107308000,127288000,127288000,282984000,149893000,25457000,91800000,149893000,432877000,898871000,356418000,-16931000,1238358000,1238358000,1671235000,56541000,16932000,-2346000,16116000,87243000,-7520000,-151252000,-114570000,-30503000,7177000,7177000,-24233000,-51560000,-51560000,-51995000,78753000,2.91038304567337e-11,94271000,0.75554,0.17168,0.15702,0.04566,0.03383,1.6673,3.61229,0.34956,0,0.42644,0.42125,2.71595,9.33997,0.71101,0.23006,0.0627,0.06791,0.53948,-6.73983,-8.58579
"37","2019_Q2",38.5019047619048,"Down",311074000,-76075000,234999000,-211600000,-145434000,-66166000,23399000,2576000,-24000,25975000,25975000,-2755000,23220000,23220000,23220000,23220000,480063000,228766000,251297000,215012000,215012000,204710000,66434000,66434000,966219000,228164000,476955000,104066000,262384000,110505000,705119000,1671338000,141532000,50576000,90956000,146424000,130336000,287956000,182129000,24268000,125468000,182129000,470085000,911921000,307153000,-17821000,1201253000,1201253000,1671338000,23220000,18012000,9384000,-8469000,42147000,-11042000,-2279000,-2048000,-33110000,-37191000,9213000,-70301000,-30202000,-30202000,-30620000,41411000,0,24655000,0.75544,0.07522,0.07464,0.01933,0.01389,1.0618,3.35544,0.39133,1.35525271560688e-20,0.17557,0.17411,2.35213,9.08306,0.18642,0.25036,0.04072,0.01782,1.42593,-11.59264,-20.51639
"38","2019_Q3",38.978125,"Up",334231000,-83766000,250465000,-218169000,-149912000,-68257000,32296000,555000,143000,32851000,32851000,-4159000,28692000,28692000,28692000,28692000,439653000,191761000,247892000,222565000,222565000,206851000,66021000,66021000,935090000,233900000,470483000,97612000,263984000,108887000,704383000,1639473000,140761000,54966000,85795000,144522000,128787000,285283000,179616000,27903000,118776000,179616000,464899000,926120000,264484000,-16030000,1174574000,1174574000,1639473000,28692000,17972000,17546000,-17720000,46490000,-15493000,-2217999.99999999,-13437000,-32957000,-37539000,8432000,-70496000,-37443000,-37443000,-37005000,50268000,-5.82076609134674e-11,21214000,0.74938,0.09663,0.08584,0.02443,0.0175,0.73937,3.27776,0.3958,0,0.21726,0.21577,2.5309,8.89425,0.16064,0.24956,0.04552,0.01567,1.14865,-8.74618,-13.61323
"39","2019_Q4",38.1990625,"Down",340442000,-85915000,254527000,-216191000,-149633000,-66558000,38336000,2248000,5260000,40584000,67426000,-15783000,51643000,51643000,51643000,51643000,432189000,222773000,209416000,224305000,224305000,206727000,66313000,66313000,929534000,239140000,459647000,91162000,259430000,109055000,698787000,1628321000,154667000,56839000,97828000,138424000,124386000,293091000,173069000,25949000,115200000,173069000,466160000,940432000,245465000,-23736000,1162161000,1162161000,1628321000,51643000,18562000,-17179000,7682000,60708000,-21780000,-2682000,41785000,-33016000,-36618000,8178000,-69634000,32859000,32859000,31012000,56898000,0,58583000,0.74764,0.11261,0.15169,0.04444,0.03172,1.13438,3.17149,0.40111,0,0.39309,0.39027,2.59136,8.84607,0.44592,0.25131,0.0634,0.04387,0.63931,-7.59586,-11.27371
"40","2020_Q1",36.6964516129032,"Down",367468000,-91135000,276333000,-222652000,-151181000,-71471000,53681000,611000,611000,54292000,54292000,4304000,58596000,58596000,58596000,58596000,432599000,194616000,237983000,248872000,248872000,200410000,65477000,65477000,947358000,243717000,460814000,84083000,262242000,114489000,704531000,1651889000,140531000,52192000,88339000,165592000,131445000,306123000,169416000,14065000,121871000,169416000,475539000,954883000,242537000,-21070000,1176350000,1176350000,1651889000,58596000,18995000,3224999.99999999,-5756000,75060000,-13751000,32475000,-44248000,-32772000,-26777000,7368000,-60386000,-29574000,-29574000,-28157000,72676000,0,48865000,0.75199,0.14608,0.15946,0.04981,0.03547,0.83393,3.0947,0.40425,0,0.44662,0.44302,2.80082,8.96608,0.37245,0.24979,0.06789,0.03631,0.55929,-5.95243,-8.0587
"41","2020_Q2",34.9474603174603,"Down",309381000,-83761000,225620000,-213547000,-141926000,-71621000,12073000,560000,560000,12633000,172386000,-39731000,132655000,132655000,132655000,132655000,584014000,254441000,329573000,213015000,213015000,208493000,64972000,64972000,1070494000,245166000,447205000,76308000,253191000,117706000,692371000,1762865000,182196000,50259000,131937000,131540000,117598000,313736000,169012000,12475000,123684000,169012000,482748000,974660000,335876000,-30419000,1280117000,1280117000,1762865000,132655000,19265000,-148223000,39923000,43620000,-12928000,-96419000,49626000,-33997000,2465000,8991000,-31532000,61714000,61714000,59825000,31338000,0,98064000,0.72926,0.03902,0.42878,0.10363,0.07525,0.73924,3.41209,0.37711,-1.73472347597681e-18,1.01563,1.00988,2.36868,9.80084,0.7508,0.26029,0.115,0.06767,0.25628,-18.63597,-48.37356
"42","2020_Q3",33.83640625,"Down",301328000,-85901000,215427000,-199013000,-134788000,-64225000,16414000,-1143000,-1143000,15271000,15271000,-4382000,10889000,10889000,10889000,10889000,608309000,471205000,137104000,211766000,211766000,209928000,65817000,65817000,1095820000,247548000,506447000,68975000,255153000,182319000,753995000,1849815000,203973000,53247000,150726000,127368000,113785000,334841000,160315000,16258000,111589000,245335000,580176000,994372000,299132000,-23865000,1269639000,1269639000,1849815000,10889000,19076000,20448000,7464999.99999999,57878000,-13064000,193936000,182165000,-34159000,-8893000,8261000,45468000,285511000,285511000,286764000,35490000,88520000,34273000,0.71493,0.05447,0.03614,0.00858,0.00589,3.14749,3.27266,0.45696,0.04785,0.08311,0.08272,2.29999,9.69094,0.2616,0.26073,0.02967,0.02257,3.13702,-14.64607,-31.66742
"43","2020_Q4",35.0075,"Up",308125000,-92263000,215862000,-218007000,-147205000,-70802000,-2145000,-2001000,-2001000,-4146000,-4146000,-475000,-4621000,-4621000,-4621000,-4621000,290172000,197319000,92853000,214620000,214620000,209558000,72956000,72956000,787306000,253073000,803493000,183067000,487101000,133325000,1056566000,1843872000,143986000,48886000,95100000,183307000,116871000,330793000,189592000,41514000,113868000,273881000,604674000,1013968000,247970000,-22740000,1239198000,1239198000,1843872000,-4621000,22887000,12205000,-23185000,7286000,-11626000,44944000,-309165000,-34240000,-7845000,7719000,-42960000,-344839000,-344839000,-343886000,20742000,87789000,-13594000,0.70057,-0.00696,-0.015,-0.00373,-0.00251,2.94179,2.38006,0.48796,0.04761,-0.03516,-0.035,2.34449,9.42894,-0.10344,0.26053,0.01953,-0.00896000000000001,-7.40965,-9.75716,94.35105
"44","2021_Q1",41.536393442623,"Up",367837000,-109196000,258641000,-245186000,-171453000,-73733000,13455000,1796000,1796000,15251000,15251000,-10515000,4736000,4736000,4736000,4736000,320155000,260232000,59923000,266869000,266869000,194012000,68470000,68470000,849506000,254399000,780583000,172719000,467547000,140317000,1034982000,1884488000,186321000,51124000,135197000,190530000,132151000,381851000,185730000,25288000,124107000,277766000,659617000,1034596000,211101000,-20826000,1224871000,1224871000,1884488000,4736000,25836000,24906000,16505000,71983000,-13475000,31807000,16073000,-34149000,-2493000,6976000,-27430000,60626000,60626000,62912999.9999999,39291000,97036000,52836000,0.70314,0.03658,0.01288,0.00387,0.00251,11.15625,2.22471,0.53852,0.05149,0.03608,0.03583,2.80199,9.33043,0.40248,0.26013,0.02579,0.03505,7.21052,-5.67863,-16.58261
"45","2021_Q2",40.0557142857143,"Down",335182000,-95414000,239768000,-230227000,-150141000,-80086000,9541000,-5070000,-5070000,4471000,4471000,24000,4495000,4495000,4495000,4495000,298883000,266712000,32171000,241088000,241088000,197179000,75674000,75674000,812824000,252320000,760822000,159639000,462646000,138537000,1013142000,1825966000,148723000,54686000,94037000,185712000,128740000,339435000,174031000,25050000,113916000,265022000,604457000,1060334000,180063000,-18888000,1221509000,1221509000,1825966000,4495000,23872000,17616000,-16142000,29841000,-9506000,15899000,6393000,-35533000,8565000,8565000,-28218000,8016000,8016000,6480000,33413000,95991000,7741000,0.71534,0.02847,0.01341,0.00368,0.00246,1.72214,2.39464,0.49484,0.05257,0.03419,0.03387,2.54924,9.29024,0.05887,0.27025,0.02684,0.00518999999999999,7.90501,-6.07225,-21.26528
"46","2021_Q3",40.0534375,"Down",346696000,-99238000,247458000,-222912000,-141478000,-81434000,24546000,-2961000,-2961000,21585000,21585000,-4278000,17307000,17307000,17307000,17307000,264531000,250421000,14110000,258641000,258641000,211023000,80121000,80121000,814316000,250761000,766952000,149126000,483136000,134690000,1017713000,1832029000,164748000,56477000,108271000,166229000,125986000,330977000,165400000,28359000,102417000,265400000,596377000,1088952000,161475000,-14775000,1235652000,1235652000,1832029000,17307000,26152000,26253000,-47230000,22482000,-9424000,16500000,-12708000,-35895000,8674000,8674000,-26714000,-16940000,-16940000,-16291000,50698000,1e+08,-1678000.00000001,0.71376,0.0708,0.04992,0.01401,0.00945,-0.0969500000000001,2.46034,0.48264,0.05458,0.13163,0.13041,2.63681,9.39781,-0.0127600000000001,0.273,0.03544,-0.00112,2.07402,-3.24532,-6.70297
"47","2021_Q4",40.96109375,"Up",367162000,-102715000,264447000,-230267000,-148102000,-82165000,34180000,-1820000,-1820000,32360000,32360000,-5183000,27177000,27177000,27177000,27177000,230697000,230697000,5622889.00414946,279196000,279196000,236733000,89152000,89152000,835778000,248712000,753921000,136938000,480489000,136494000,1002633000,1838411000,195043000,63568000,131475000,158284000,120762000,353327000,158612000,26023000,100311000,258612000,611939000,1111244000,132404000,-17176000,1226472000,1226472000,1838411000,27177000,23394000,15247000,-32105000,33713000,-9534000,10316000,782000,-35969000,-16801000,8199000,-52770000,-18275000,-18275000,-19724000,57574000,1e+08,21118000,0.72025,0.09309,0.07402,0.02216,0.01478,0.77705,2.36545,0.49894,0.05439,0.20429,0.20329,2.75997,9.21945,0.15874,0.27038,0.04252,0.01422,1.32351,-2.27007,-3.82379
"48","2022_Q1",39.1453225806452,"Down",420641000,-123596000,297045000,-247147000,-154846000,-92301000,49898000,-4739000,-4739000,45159000,45159000,-4823000,40336000,40336000,40336000,40336000,211106000,211106000,11222667.0124484,341275000,341275000,289243000,89925000,89925000,931549000,253668000,929768000,220418000,575992000,133358000,1183436000,2114985000,253588000,83218000,170370000,191626000,137818000,445214000,146074000,68444000,44808000,446074000,891288000,1130970000,112858000,-20131000,1223697000,1223697000,2114985000,40336000,25984000,5390000,-14247000,57463000,-15262000,16119000,-218192000,-35716000,-22920000,7080000,141364000,-19365000,-19365000,-19591000,75882000,3e+08,51196000,0.70617,0.11862,0.09589,0.03296,0.01907,1.26924,2.09236,0.72836,0.14184,0.30321,0.30172,3.16198,9.19859,0.38484,0.26848,0.04555,0.03066,0.88546,1.17148,1.78151
"49","2022_Q2",34.6216129032258,"Down",385256000,-119227000,266029000,-235497000,-153336000,-82161000,30532000,33000,33000,30565000,30565000,-5329000,25236000,25236000,25236000,25236000,142883000,142883000,35422334.0248968,312939000,312939000,307892000,109764000,109764000,873478000,253976000,944014000,216292000,592074000,135648000,1197990000,2071468000,190885000,81824000,109061000,199059000,134640000,389944000,149086000,11583000,101737000,474086000,864030000,1153668000,76264000,-22494000,1207438000,1207438000,2071468000,25236000,21566000,15911000,-66561000,-3848000,-11456000,-187000,-29153000,-36976000,-22211000,9244000,-34187000,-67188000,-67188000,-68223000,52098000,3.25e+08,-20590000,0.69053,0.07925,0.0655,0.0209,0.01218,-0.8159,2.24001,0.71559,0.15689,0.19087,0.18942,2.91386,9.13238,-0.15573,0.27967,0.037,-0.01224,1.46521,3.49566,5.96479
"50","2022_Q3",37.22375,"Up",395514000,-127475000,268039000,-247266000,-161677000,-85589000,20773000,-3506000,-3506000,17267000,17267000,-4833000,12434000,12434000,12434000,12434000,110873000,110873000,82734890.0414946,356077000,356077000,343627000,122361000,122361000,932938000,258155000,976763000,237059000,603793000,135911000,1234918000,2167856000,193384000,91227000,102157000,180990000,122029000,374374000,149975000,16575000,90457000,624975000,999349000,1174454000,21533000,-27480000,1168507000,1168507000,2167856000,12434000,24176000,25705000,-103369000,-41054000,-15531000,-3.72529029846191e-09,-70823000,-37058000,-29930000,8615000,83011999.9999999,-28865000,-28865000,-32010000,44949000,4.75e+08,-69118000,0.6777,0.05252,0.03144,0.01064,0.00574,-5.55879,2.49199,0.85524,0.21911,0.09422,0.09369,2.99693,8.85414,-0.52373,0.2808,0.0276,-0.03854,2.98038,8.10089,17.52886
