"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q2",14.2414285714286,"Down",1.357e+09,-6.83e+08,6.74e+08,-5.19e+08,-1.35e+08,-1.7e+08,-2.14e+08,1.55e+08,-1.5e+07,-2.4e+07,9e+06,1.4e+08,-2.1e+07,1.19e+08,-4.1e+07,7.8e+07,7.8e+07,-1509860.67132227,7.8e+07,7.8e+07,9.16e+08,9.16e+08,4.82e+08,4.82e+08,3.15e+08,4.72e+08,7.2e+07,2.31e+08,1.69e+08,2.185e+09,4.415e+09,1.113e+09,7.002e+09,3.069e+09,1.907e+09,1.08e+09,9.46e+08,1.253e+10,1.4715e+10,4.86e+08,4.02e+08,3e+06,5.2e+07,4.5e+07,4.5e+08,1.24e+08,3.26e+08,9.81e+08,4.541e+09,2.513e+09,2.513e+09,7.054e+09,8.035e+09,7.75e+09,-1.076e+09,6e+06,6.68e+09,-55539388.0097376,6.68e+09,1.4715e+10,7.8e+07,2.26e+08,5.2e+07,-2.15e+08,1.41e+08,-3.1e+07,-2.2e+07,-5.3e+07,-1.3e+07,-3e+06,-1.6e+07,7.2e+07,7.2e+07,7.2e+07,3.81e+08,4.586e+09,1.76e+08,0.49668,0.11422,0.05748,0.01168,0.0053,2.25641,2.22732,1.20284,0.31165,0.18242,0.18233,3.17365,15.62269,0.41162,0.00566,0.01277,9.63255,23.67742
"2","2017_Q3",15.617619047619,"Up",1.296e+09,-7.28e+08,5.68e+08,-5.16e+08,-1.5e+08,-1.71e+08,-1.95e+08,52000000.0000002,-6.5e+07,-6.9e+07,4e+06,-1.3e+07,-2.1e+07,-3.4e+07,8000000.00000006,-2.6e+07,-2.6e+07,0,-2.6e+07,-2.6e+07,9.86e+08,9.86e+08,6.51e+08,6.51e+08,3.1e+08,4.5e+08,1.53e+08,2.07e+08,9e+07,2.397e+09,4.392e+09,1.143e+09,6.852e+09,2.936e+09,1.907e+09,1.093e+09,9.16e+08,1.2387e+10,1.4784e+10,5.62e+08,4.74e+08,5e+06,7.9e+07,4.4e+07,4.02e+08,1.18e+08,2.84e+08,1.008e+09,4.531e+09,2.587e+09,2.587e+09,7.118e+09,8.126e+09,7.754e+09,-1.102e+09,6e+06,6.658e+09,-29021006.9385267,6.658e+09,1.4784e+10,-2.6e+07,2.11e+08,1.48e+08,-1.41e+08,1.92e+08,-3.2e+07,-1.09e+08,-1.41e+08,-1.1e+07,0,-1.1e+07,4e+07,4e+07,4e+07,2.63e+08,4.575e+09,8.2e+07,0.43827,0.0401200000000002,-0.0200599999999999,-0.00391000000000002,-0.00176,-3.15385,2.37798,1.22049,0.30946,-0.0608100000000001,-0.0608099999999999,3.03096,15.57109,0.19177,-0.00187999999999999,0.00593,13.64639,69.01923
"3","2017_Q4",16.9809523809524,"Up",1.834e+09,-8.39e+08,9.95e+08,-5.44e+08,-1.49e+08,-1.78e+08,-2.17e+08,4.51e+08,-6.5e+07,-7.6e+07,1.1e+07,3.86e+08,1.38e+08,5.24e+08,-2.51e+08,2.73e+08,2.73e+08,1.16415321826935e-10,2.73e+08,2.73e+08,1.054e+09,1.054e+09,7.17e+08,7.17e+08,2.95e+08,3.74e+08,1.28e+08,1.82e+08,6.4e+07,2.44e+09,4.746e+09,1.183e+09,6.631e+09,2.849e+09,1.907e+09,9.13e+08,9.62e+08,1.256e+10,1.5e+10,6.53e+08,4.87e+08,6e+06,1.05e+08,4.4e+07,4.22e+08,7.2e+07,3.5e+08,1.119e+09,4.54e+09,2.406e+09,2.406e+09,6.946e+09,8.065e+09,7.759e+09,-8.3e+08,6e+06,6.935e+09,-11007877.6019475,6.935e+09,1.5e+10,2.73e+08,1.84e+08,-6e+06,6.1e+07,5.12e+08,-2.3e+07,-5.9e+07,-4.37e+08,-8e+06,-2e+06,-1e+07,6.5e+07,6.5e+07,6.5e+07,6.35e+08,4.584e+09,9.24e+08,0.54253,0.24591,0.14885,0.03937,0.0182,3.38462,2.18052,1.16294,0.3056,0.63846,0.63739,4.28914,16.21875,2.16094,0.01961,0.06636,5.55906,7.82705
"4","2018_Q1",17.51,"Up",9.43e+08,-6.85e+08,2.58e+08,-6.93e+08,-1.66e+08,-1.8e+08,-3.47e+08,-4.35e+08,-1.6e+07,-2.4e+07,8e+06,-4.51e+08,9.2e+07,-3.59e+08,-2.2e+08,-5.79e+08,-5.79e+08,0,-5.79e+08,-5.79e+08,1.487e+09,1.487e+09,5.82e+08,5.82e+08,2.53e+08,3.51e+08,7.2e+07,1.9e+08,8.9e+07,2.673e+09,4.82e+09,1.24e+09,5.867e+09,2.53e+09,1.907e+09,7.1e+08,7.2e+08,1.1927e+10,1.46e+10,6.83e+08,4.73e+08,1.6e+07,1.36e+08,4.4e+07,6.24e+08,2.24e+08,4e+08,1.351e+09,4.379e+09,2.528e+09,2.528e+09,6.907e+09,8.258e+09,7.769e+09,-1.41e+09,-1.7e+07,6.342e+09,0,6.342e+09,1.46e+10,-5.79e+08,2.14e+08,5.39e+08,3.67e+08,5.41e+08,-2.7e+07,-6.9e+07,-9.6e+07,-1.59e+08,-5e+06,-1.64e+08,2.81e+08,2.81e+08,2.81e+08,-2.21e+08,4.423e+09,3.39e+08,0.27359,-0.46129,-0.614,-0.0913,-0.03966,-0.58549,1.97853,1.30211,0.30295,-1.35191,-1.35488,2.20181,14.80794,0.79153,-0.04356,0.0255,-13.28507,-6.74943
"5","2018_Q2",20.8353125,"Up",7.65e+08,-6.5e+08,1.15e+08,-5.09e+08,-1.62e+08,-1.53e+08,-1.94e+08,-3.94e+08,1.7e+07,9e+06,8e+06,-3.77e+08,-1.8e+07,-3.95e+08,8.9e+07,-3.06e+08,-3.06e+08,2554669.0943904,-3.06e+08,-3.06e+08,1.379e+09,1.379e+09,4.63e+08,4.63e+08,2.26e+08,6.31e+08,7.5e+07,4.04e+08,1.52e+08,2.699e+09,4.85e+09,1.232e+09,5.995e+09,2.437e+09,1.907e+09,7.93e+08,8.58e+08,1.2077e+10,1.4776e+10,5.41e+08,4.21e+08,3e+06,5.9e+07,4.4e+07,9.72e+08,5.95e+08,3.77e+08,1.557e+09,4.366e+09,2.793e+09,2.793e+09,7.159e+09,8.716e+09,7.776e+09,-1.7e+09,-1.6e+07,6.06e+09,5502625.86731584,6.06e+09,1.4776e+10,-3.06e+08,1.8e+08,2.59e+08,-1.55e+08,-2.2e+07,-3.9e+07,-3.6e+07,-7.5e+07,-1e+07,-1e+06,-1.1e+07,-1.08e+08,-1.08e+08,-1.08e+08,-2.14e+08,4.41e+09,-4.97e+08,0.15033,-0.51503,-0.4,-0.0505,-0.02071,1.62418,1.73346,1.43828,0.29846,-0.7142,-0.7142,1.7855,14.14399,-1.15999,-0.02307,-0.03747,-14.16355,-7.69289
"6","2018_Q3",20.8528571428571,"Up",2.573e+09,-1.216e+09,1.357e+09,-1.127e+09,-3.52e+08,-3.89e+08,-3.86e+08,2.3e+08,-1.35e+08,-1.46e+08,7e+06,94999999.9999999,-6.4e+07,3.1e+07,7.4e+07,1.05e+08,1.05e+08,3e+06,1.08e+08,1.08e+08,7.57e+08,7.57e+08,1.149e+09,1.149e+09,4.65e+08,1.003e+09,1.35e+08,5.98e+08,2.59e+08,3.374e+09,1.4981e+10,1.425e+09,6.69e+09,2.698e+09,1.907e+09,1.26e+09,8.25e+08,2.3096e+10,2.647e+10,1.046e+09,7.95e+08,1.08e+08,1.43e+08,1.56e+08,1.444e+09,8.83e+08,5.61e+08,2.646e+09,1.1807e+10,3.597e+09,3.592e+09,1.5404e+10,1.805e+10,1.002e+10,-1.591e+09,-1.6e+07,8.413e+09,7e+06,8.42e+09,2.647e+10,1.05e+08,4.39e+08,-1.87e+08,-3.64e+08,-6999999.99999994,-1.14e+08,-1.4e+07,3.17e+08,-1.328e+09,-4.1e+07,-1.432e+09,-1.122e+09,-1.122e+09,-1.122e+09,6.69e+08,1.1963e+10,1.17e+08,0.5274,0.08939,0.04197,0.01283,0.00408,1.08333,1.27513,2.14371,0.45195,0.20519,0.20233,4.88854,15.98418,0.22229,0.0045,0.00488,16.75037,48.72174
"7","2018_Q4",21.3684126984127,"Up",3.243e+09,-1.626e+09,1.617e+09,-9.68e+08,-1.97e+08,-4.25e+08,-3.46e+08,6.49e+08,-1.41e+08,-1.54e+08,6e+06,5.08e+08,1.7e+07,5.25e+08,-1.94e+08,3.31e+08,3.31e+08,-1e+06,3.3e+08,3.3e+08,8.11e+08,8.11e+08,1.243e+09,1.243e+09,3.93e+08,8.29e+08,1.23e+08,4.58e+08,2.36e+08,3.276e+09,1.4756e+10,1.492e+09,6.364e+09,2.711e+09,1.907e+09,1.053e+09,6.93e+08,2.2612e+10,2.5888e+10,1.074e+09,8.12e+08,1.23e+08,1.39e+08,5.31e+08,1.497e+09,9.81e+08,5.16e+08,3.102e+09,1.106e+10,3.321e+09,3.316e+09,1.4381e+10,1.7483e+10,9.675e+09,-1.261e+09,-1.5e+07,8.399e+09,6e+06,8.405e+09,2.5888e+10,3.31e+08,4.51e+08,2.27e+08,-1.17e+08,8.92e+08,-5.6e+07,-5.4e+07,-1.1e+08,-5.64e+08,1.87e+08,-7.28e+08,5.4e+07,5.4e+07,5.4e+07,1.1e+09,1.1591e+10,1.121e+09,0.49861,0.20012,0.10176,0.03926,0.01275,3.39697,1.05609,2.08007,0.44774,0.61897,0.61001,6.08281,15.75377,2.10263,0.01415,0.04808,9.8,16.61017
"8","2019_Q1",22.8888524590164,"Up",2.563e+09,-1.544e+09,1.019e+09,-1.013e+09,-2.15e+08,-4.27e+08,-3.71e+08,6000000.00000012,-2.49e+08,-2.81e+08,2.6e+07,-2.43e+08,-1.9e+07,-2.62e+08,7.6e+07,-1.86e+08,-1.86e+08,-4.65661287307739e-10,-1.86e+08,-1.86e+08,6.36e+08,6.36e+08,1.087e+09,1.087e+09,4.12e+08,1.3e+09,1.52e+08,7.3e+08,4.18e+08,3.435e+09,1.4612e+10,1.381e+09,6.596e+09,2.493e+09,2.068e+09,1.336e+09,6.99e+08,2.2589e+10,2.6024e+10,1.214e+09,9.45e+08,7.7e+07,1.82e+08,5.3e+08,1.881e+09,1.376e+09,5.05e+08,3.625e+09,1.0874e+10,3.658e+09,3.648e+09,1.4532e+10,1.8157e+10,9.334e+09,-1.449e+09,-2.2e+07,7.863e+09,4e+06,7.867e+09,2.6024e+10,-1.86e+08,4.63e+08,2.91e+08,4e+07,6.08e+08,-3.13e+08,8e+07,-2.33e+08,-1.73e+08,-3e+07,-5.52e+08,-1.77e+08,-1.77e+08,-1.77e+08,4.69e+08,1.1404e+10,1.2e+08,0.39758,0.00234000000000001,-0.07257,-0.02364,-0.00715,-0.645160000000001,0.94759,2.308,0.43821,-0.3497,-0.36004,4.81865,14.78307,0.22561,-0.00811,0.00523,22.95949,1794.66667
"9","2019_Q2",22.8463492063492,"Down",2.923e+09,-1.461e+09,1.462e+09,-9.72e+08,-1.82e+08,-4.05e+08,-3.85e+08,4.9e+08,-1.92e+08,-2.22e+08,2.3e+07,2.98e+08,3e+06,3.01e+08,-7.7e+07,2.24e+08,2.24e+08,1e+06,2.25e+08,2.25e+08,5.46e+08,5.46e+08,1e+09,1e+09,4.33e+08,1.345e+09,2.7e+08,7.02e+08,3.73e+08,3.324e+09,1.4448e+10,1.502e+09,6.294e+09,2.4e+09,2.082e+09,1.291e+09,5.21e+08,2.2244e+10,2.5568e+10,9.93e+08,7.87e+08,9.1e+07,7.8e+07,5.54e+08,1.691e+09,1.215e+09,4.76e+08,3.238e+09,1.0803e+10,3.721e+09,3.711e+09,1.4524e+10,1.7762e+10,9.11e+09,-1.285e+09,-2.1e+07,7.804e+09,2e+06,7.806e+09,2.5568e+10,2.24e+08,4.61e+08,-1.1e+07,-2.86e+08,3.88e+08,-1.53e+08,4e+06,-1.49e+08,1.8e+07,-5.3e+07,-3.44e+08,-1.05e+08,-1.05e+08,-1.05e+08,9.51e+08,1.1357e+10,5.89e+08,0.50017,0.16764,0.07698,0.02882,0.0088,2.61778,1.02656,2.27543,0.44419,0.44788,0.44192,5.81845,15.53445,1.17245,0.0125,0.02574,11.36803,22.06327
"10","2019_Q3",21.79796875,"Down",2.832e+09,-1.139e+09,1.693e+09,-9.65e+08,-2.1e+08,-3.85e+08,-3.7e+08,7.28e+08,-2.59e+08,-2.73e+08,1.1e+07,4.69e+08,3.3e+07,5.02e+08,-1.48e+08,3.54e+08,3.54e+08,2e+06,3.56e+08,3.56e+08,9.64e+08,9.64e+08,1.101e+09,1.101e+09,4.76e+08,1.998e+09,2.85e+08,1.418e+09,2.95e+08,4.539e+09,1.426e+10,1.549e+09,6.172e+09,2.383e+09,2.082e+09,1.144e+09,5.63e+08,2.1981e+10,2.652e+10,9.91e+08,7.82e+08,8.2e+07,1.15e+08,5.91e+08,2.075e+09,1.514e+09,5.61e+08,3.657e+09,1.1193e+10,3.766e+09,3.756e+09,1.4959e+10,1.8616e+10,8.914e+09,-9.89e+08,-2.1e+07,7.904e+09,0,7.904e+09,2.652e+10,3.54e+08,4.25e+08,-7.6e+07,-2.09e+08,4.94e+08,-1.19e+08,-1.31e+08,-2.5e+08,4.45e+08,-2999999.99999999,1.74e+08,4.18e+08,4.18e+08,4.18e+08,1.153e+09,1.1784e+10,9.73e+08,0.59781,0.25706,0.12571,0.04504,0.01342,2.73315,1.24118,2.35526,0.44434,0.71766,0.70445,5.70899,15.93356,1.96146,0.01769,0.04149,9.38422,14.8626399999997
