"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",2.42365079365079,"Down",3856000,-2197000,1659000,-1230000,-1146000,-84000,429000,-20000,-20000,409000,409000,-10000,399000,399000,399000,399000,1061410.06978509,1061410.06978509,2081826.54536028,2081826.54536028,821227.576441536,706446.133229695,735570.309944164,4670910.3248166,4876275.78410566,-662383.006520929,169301.264933665,4213892.77758473,8884803.10240133,838433.669765122,513960.355632713,324473.314132409,798559.285650725,360626.509811705,360626.509811705,1426988.38498626,1040409.08314974,1040100.68037747,2467089.06536373,27190343.0136765,-20772628.9766389,6417714.0370376,6417714.0370376,8884803.10240133,399000,145000,14000,-435000,123000,-194000,-194000,-194000,56000,-128000,-128000,51000,51000,51000,574000,0,-45000,0.43024,0.11126,0.10348,-0.116780392941348,-0.0987088014463458,-0.11278,3.59474846847283,0.368602210827829,0.164093901189094,0.07596,0.07499,0.73406,1.20132505796198,-0.00857,-0.117136842661682,0.00557453098523885,3.23785005145066,10.417550695358
"2","2010_Q3",2.1571875,"Down",3834000,-2182000,1652000,-1098000,-1036000,-62000,554000,-18000,-18000,536000,536000,-9999.99999999994,526000,526000,526000,526000,817000,817000,2064000,2064000,3933000,4e+05,4e+05,7214000,4681000,253000,253000,4934000,12148000,1846000,1125000,721000,426000,230813.254905853,230813.254905853,2272000,756000,756000,3028000,27650000,-18530000,9120000,9120000,12148000,526000,134000,36000,-805000,-109000,-113000,-113000,-113000,-113000,-48000,137000,-85000.0000000001,-85000.0000000001,-85000.0000000001,688000,1182000,-220000,0.43088,0.1445,0.13719,0.05768,0.0433,-0.41825,3.17518,0.33202,0.0973,0.09786,0.09841,0.7133,1.69674,-0.04093,0.05106,-0.02136,0.53052,0.65884
"3","2010_Q4",2.70921875,"Up",3919000,-2687000,1232000,-1215000,-1132000,-83000,17000,-16000,-16000,1000,1000,9000,10000,10000,10000,10000,1237529.9767383,1237529.9767383,2312224.48487991,2312224.48487991,4458174.14118616,221517.955590102,207559.896685278,8229446.55839447,4567741.40529811,698044.335506976,287066.245022112,5265785.74080509,13495232.2991996,2053772.11007829,1216763.2147891,837008.895289197,249980.238116425,154271.084968618,154271.084968618,2400003.87167125,610780.305616752,610883.106540843,3010886.97821209,27850552.3287745,-17366207.007787,10484345.3209875,10484345.3209875,13495232.2991996,10000,145000,15000,69000,239000,-94000,-94000,-94000,-94000,-199000,-199000,-54000,-54000,-54000,162000,0,128000,0.31437,0.00434,0.00255,0.100053464313783,0.0789879338154486,12.8,3.38473967717572,0.28771176305739,0.0650628662703019,0.00185,0.00184,0.72682,1.94647748067934,0.02374,0.0930031142205607,0.00519265633825371,-1.58785335048355,-4.06572606511934
"4","2011_Q1",3.23774193548387,"Up",5218000,-3420000,1798000,-1547000,-1494000,-53000,251000,-12000,-16000,239000,217000,578000,795000,795000,795000,795000,2062000,2062000,2641000,2641000,3627000,151000,134000,8481000,4557000,822000,287000,5379000,13860000,1877000,1054000,823000,204000,115000,115000,2196000,553000,553000,2749000,27911000,-16800000,11111000,11111000,13860000,795000,193000,-349000,855000,1494000,-113000,-113000,-113000,-113000,-50000,-48000,1333000,1333000,1333000,444000,757000,608000,0.34458,0.0481,0.15236,0.07155,0.05736,0.76478,3.86202,0.24741,0.05462,0.14744,0.14314,0.96773,2.06065,0.11276,0.06699,0.05123,-2.93919,-5.1992
"5","2011_Q2",3.31333333333333,"Up",5950000,-3846000,2104000,-1586000,-1515000,-71000,518000,-14000,-14000,504000,502000,-16000,486000,486000,486000,486000,3109000,3109000,2762000,2762000,2809000,164000,147000,8844000,4649000,814000,279000,5463000,14307000,1815000,981000,834000,217000,97000,97000,2129000,531000,531000,2660000,27961000,-16314000,11647000,11647000,14307000,486000,164000,64000,6e+05,1314000,-260000,-260000,-260000,-260000,-7000,-7000,1047000,1047000,1047000,682000,748000,1038000,0.35361,0.08706,0.08168,0.04173,0.03397,2.1358,4.15406,0.22838,0.05228,0.09008,0.08901,1.10287,2.15885,0.1924,0.03921,0.08374,-3.46188,-4.55792
"6","2011_Q3",3.74578125,"Up",5989000,-3199000,2790000,-1815000,-1726000,-89000,975000,-10000,-10000,965000,903000,-27999.9999999999,875000,875000,875000,875000,4091000,4091000,2524000,2524000,3188000,242000,225000,10045000,4871000,810000,275000,5681000,15726000,2255000,1236000,1019000,224000,77000,77000,2556000,493000,493000,3049000,28116000,-15439000,12677000,12677000,15726000,875000,173000,221000,196000,1465000,-456000,-456000,-456000,-456000,-33000,-27000,982000,982000,982000,1148000,717000,916000,0.46585,0.1628,0.1461,0.06902,0.05564,1.04686,3.92997,0.24051,0.04559,0.16207,0.15961,1.10928,2.34803,0.16966,0.06533,0.06839,-2.93902,-3.46051
"7","2011_Q4",5.97746031746032,"Up",6706000,-3879000,2827000,-1663000,-1586000,-77000,1164000,-14000,-14000,1150000,1149000,-37000,1112000,1112000,1112000,1112000,4190000,4190000,2855000,2855000,3556000,391000,374000,10992000,5416000,826000,291000,6242000,17234000,2537000,1194000,1343000,234000,39000,39000,2810000,457000,457000,3267000,28294000,-14327000,13967000,13967000,17234000,1112000,176000,132000,-624000,796000,-722000,-722000,-722000,-722000,-25000,25000,99000,99000,99000,1340000,691000,31000,0.42156,0.17358,0.16582,0.07962,0.06452,0.02788,3.91174,0.23391,0.0401,0.20501,0.20116,1.23636,2.57504,0.00572,0.07586,0.00211,-2.61119,-3.00601
"8","2012_Q1",8.11483870967742,"Up",5986000,-3933000,2053000,-1750000,-1667000,-83000,303000,-12000,-17000,291000,299000,860000,1159000,1159000,1159000,1159000,5061000,5061000,2373000,2373000,3548000,437000,3e+05,11419000,5834000,1785000,478000,7619000,19038000,3078000,1726000,1352000,234000,49000,49000,3361000,4e+05,412000,3773000,28433000,-13168000,15265000,15265000,19038000,1159000,182000,-793000,959000,1507000,-591000,-591000,-591000,-591000,-58000,-45000,871000,871000,871000,485000,634000,-7000,0.34297,0.05062,0.19362,0.07593,0.06088,-0.00604000000000011,3.3975,0.24717,0.0333,0.21313,0.20455,1.10077,2.8071,-0.00129,0.07284,-0.000439999999999997,-9.12784,-14.61056
"9","2012_Q2",8.5152380952381,"Up",6506000,-3932000,2574000,-2037000,-1986000,-51000,537000,-12000,-12000,525000,503000,-10000,493000,493000,493000,493000,4652000,4652000,2737000,2737000,3089000,399000,262000,10877000,6186000,1821000,514000,8007000,18884000,2373000,1489000,884000,222000,36000,36000,2631000,354000,370000,3001000,28558000,-12675000,15883000,15883000,18884000,493000,192000,148000,-618000,215000,-566000,-566000,-566000,-566000,-58000,-58000,-409000,-409000,-409000,729000,576000,-445000,0.39563,0.08254,0.07578,0.03104,0.02611,-0.90264,4.13417,0.18894,0.0305,0.09061,0.08394,1.19574,2.91913,-0.08179,0.02992,-0.02701,-5.59122,-7.59032
"10","2012_Q3",6.14253968253968,"Down",6936000,-4124000,2812000,-2245000,-2165000,-80000,567000,-17000,-17000,550000,486000,-10000,476000,476000,476000,476000,3603000,3603000,3818000,3818000,3357000,405000,268000,11183000,6704000,4316000,3009000,11020000,22203000,3147000,2176000,971000,60000,43000,43000,3250000,2310000,2325000,5575000,28827000,-12199000,16628000,16628000,22203000,476000,207000,374000,-624000,433000,-738000,-738000,-738000,-2988000,1743000,1506000,-1049000,-1049000,-1049000,774000,2370000,-578000,0.40542,0.08175,0.06863,0.02863,0.02144,-1.21429,3.44092,0.33528,0.10674,0.08736,0.08435,1.27289,3.05157,-0.10607,0.02504,-0.0304,-1.59302,-2.1746
