"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",16.015625,"Up",222818000,-194872000,27946000,-15424000,-12037000,-1112000,-2275000,12522000,-5466000,-5867000,401000,7056000,6583000,-2568000,4015000,4015000,0,4015000,4015000,447043936.54506,297415845.93185,-205015531.891249,-205015531.891249,54391930.951038,14541905.3873193,12003453.5772563,310962240.992168,13757540.0732914,-160258611.296295,-124599700.461342,-146501071.223004,164461169.769165,-101508928.796092,-101508928.796092,110638727.421449,-57716756.3843804,-57716765.150701,-190068854.8755,457807823.420572,-188010355.584123,-110515628.987912,-77494726.5962103,269797467.836449,79728612.960949,186252106.420049,-18596886.5767774,30926516.0430874,-113532596.103869,85049139.7824904,-316582.97427444,84732556.8082159,164461169.769165,4015000,8982000,3147000,698000,16842000,-8321000,-8273000,-6930000,-7507000,1062000,1062000,0,1062000,21504000,0,16449000,0.12542,0.0562,0.01802,-0.258828789873539,-0.0881387610412886,4.09689,10.010493917896,1.66652597754377,0.777855853918815,0.11515,0.07755,6.39033,5.32053579525259,0.47175,-0.105445053091005,0.361178297987151,403.136352026021,-52.6268497655236
"2","2011_Q1",21.316935483871,"Up",232669000,-216515000,16154000,-25289000,-21557000,-1278000,-2454000,-9135000,-6156000,-6954000,798000,-15291000,-26669000,10081000,-16588000,-16588000,0,-16588000,-16588000,239500000,239500000,89004000,89004000,118143000,34703000,18663000,481350000,248054000,51476000,51476000,299530000,780880000,35281000,35281000,54556863.7107244,57072000,57072000,92353000,373564000,42932000,1664000,41268000,416496000,508849000,300570000,-19324000,9744000,-18959000,272031000,0,272031000,780880000,-16588000,9950000,1560000,48141000,43063000,-8798000,-8782999.99999999,50508000,45905000,80185000,80185000,0,80185000,815000,373564000,30077000,0.06943,-0.03926,-0.07129,-0.06098,-0.02124,-1.81318,5.21207,1.87056,0.47839,-0.47536,-0.47536,6.6675,7.79548,0.8619,-0.02383,0.04368,164.49571,-14.67586
"3","2011_Q2",25.2980952380952,"Up",280829000,-224557000,56272000,-29393000,-25293000,-1183000,-2917000,26879000,-6087000,-6280000,193000,20792000,4657000,-7693000,-3036000,-3036000,0,-3036000,-3036000,140726187.818313,171849551.35605,219387427.297083,219387427.297083,155178439.682987,43327948.2042269,24931015.4742479,558620003.002611,343912819.97557,132607787.098765,125681733.487114,476520607.074335,1035140610.07695,99706392.9320306,99706392.9320306,23446954.5702415,101169002.128127,101169005.050234,211988701.625167,331561975.526476,128234951.861374,45701626.3293041,82533325.5320701,459796927.38785,671785629.013017,358128797.859984,-19002871.1410742,13377411.3189709,9954282.03462297,362457620.072503,897360.991424813,363354981.063928,1035140610.07695,-3036000,9299000,24069000,-35927000,-5595000,-3469000,-2846000,-1064000,-1011000,-9452000,-9452000,0,-9452000,36178000,0,4475000,0.20038,0.09571,-0.01081,0.036214596624513,0.0127454203470962,-1.47398,3.01646202736799,1.85057800748541,0.341056382027062,-0.07494,-0.07494,6.93217,8.95928806824914,0.11046,0.0172325176970018,-0.0424419326623837,44.170777657993,1.5528499218412
"4","2011_Q3",21.1075,"Down",404447000,-340113000,64334000,-19937000,-16573000,-1014000,-2350000,44397000,-3879000,-6149000,2270000,40518000,40518000,-14962000,25556000,25556000,8000.00000000001,25564000,25564000,114162000,114162000,243478000,243478000,174367000,45858000,29671000,577865000,353546000,133970000,133970000,487516000,1065381000,114837000,114837000,10330000,102352000,102352000,227519000,317881000,127285000,47921000,79364000,445166000,672685000,377602000,-18172000,31851000,-506000,390775000,1921000,392696000,1065381000,25556000,11847000,1245000,-63685000,-25037000,-6727000,-105073000,14148000,14185000,-115925000,-115925000,38999.9999999999,-115886000,56244000,328211000,794000.000000004,0.15907,0.10977,0.06321,0.0651,0.024,0.0310600000000001,2.53985,1.71299,0.30807,0.60883,0.38764,9.63221,9.3066,0.0189100000000001,0.03039,0.000939999999999996,3.80572000000001,4.82125
"5","2011_Q4",19.5798412698413,"Down",398805000,-345811000,52994000,-11607000,-8548000,-796000,-2263000,41387000,-7172000,-6616000,-556000,34215000,34215000,-12690000,21525000,21525000,-362000,21163000,21163000,122403000,94274000,213884000,213884000,183150000,47969000,31082000,567406000,333575000,110233000,110233000,443808000,1011214000,98898000,98898000,8227000,88542000,88542000,195667000,317881000,105314000,37080000,68234000,423195000,618862000,378918000,-17446000,52803000,-24206000,390069000,2283000,392352000,1011214000,21525000,11607000,99000,-14282000,18949000,-7705000,-37159000,-629000,-840000,-19050000,-19050000,-838000,-19888000,52994000,326108000,43697000,0.13288,0.10378,0.05307,0.05394,0.02093,2.06478,2.89986,1.57731,0.32249,0.50345,0.40347,9.48723,9.2794,1.03951,0.02595,0.05304,3.84393,4.92196
"6","2012_Q1",23.5382258064516,"Up",402917000,-344409000,58508000,-38998000,-35503000,-1235000,-2260000,19510000,-3290000,-6214000,2924000,16220000,16505000,-2414000,14091000,14091000,370000,14461000,14461000,129170000,129170000,189527000,189527000,190872000,55024000,28249000,564593000,334742000,110951000,91110000,445693000,1010286000,76574000,76574000,11723000,87469000,87469000,175766000,317881000,119760000,38691000,81069000,437641000,613407000,380332000,-17338000,67053000,-34808000,395239000,1640000,396879000,1010286000,14091000,12155000,-9378000,-759000,16109000,-17843000,14275000,3504000.00000001,4046000,34430000,34430000,466000,34896000,31665000,329604000,15477000,0.14521,0.04842,0.03589,0.03644,0.01431,1.07026,3.21219,1.54558,0.32625,0.34356,0.26946,9.57229,9.38988,0.36769,0.01734,0.01829,6.32983,10.2734
"7","2012_Q2",23.3165079365079,"Down",463088000,-369725000,93363000,-34692000,-30835000,-1508000,-2349000,58671000,-3184000,-6295000,3111000,55487000,55487000,-20093000,35394000,35394000,25000,35419000,35419000,129308000,129308000,245948000,245948000,214154000,65626000,31528000,655036000,333918000,110245000,110245000,444163000,1099199000,112666000,112666000,17553607.8956765,99481000,99481000,212147000,317881000,125483000,38414000,87069000,443364000,655511000,381365000,-17065000,102261000,-24488000,442073000,1615000,443688000,1099199000,35394000,11843000,-7167000,-19422000,20648000,-8155000,-8047000,-12444000,-12279000,322000,322000,-184000,138000,70514000,317881000,63030000,0.20161,0.1267,0.07648,0.07983,0.03222,1.77955,3.08765,1.47741,0.28919,0.84121,0.66266,10.99841,10.4993,1.49697,0.04017,0.07106,2.67426,3.21408
"8","2012_Q3",20.7574603174603,"Down",459233000,-377147000,82086000,-27251000,-23410000,-1189000,-2652000,54835000,-5604000,-6217000,613000,49231000,75365000,-31040000,44325000,44325000,-269000,44056000,44056000,149450000,149450000,237418000,237418000,214858000,68410000,38637000,670136000,324676000,99187000,99187000,423863000,1093999000,109555000,109555000,7596000,70464000,70464000,187615000,312881000,116427000,43243000,73184000,429308000,616923000,383139000,-16600000,146105000,-37368000,475276000,1800000,477076000,1093999000,44325000,11710000,-16117000,-11883000,28035000,-10851000,-10506000,2596000,3085000,20614000,20614000,-472000,20142000,66545000,320477000,74851000,0.17875,0.11941,0.09593,0.09235,0.04027,1.699,3.57187,1.29313,0.29294,1.04502,0.82295,10.89314,11.27368,1.77549,0.04843,0.0819,2.5701,3.11894
"9","2012_Q4",19.5656451612903,"Down",404719000,-337558000,67161000,-30995000,-25497000,-1759000,-3739000,36166000,-3748000,-6187000,2439000,32418000,32418000,-13589000,18829000,18829000,750000,19579000,19579000,134890000,134890000,228375000,228375000,247778000,77962000,45256000,689005000,336769000,132356000,132356000,469125000,1158130000,106670000,106670000,7517000,81298000,81298000,195485000,313897000,126500000,53001000,73499000,440397000,635882000,384035000,-16519000,165473000,-38132000,494857000,27391000,522248000,1158130000,18829000,12312000,7283000,-2019000,36405000,-17313000,-49890000,-208000,-386000,-13871000,-13871000,-689000,-14560000,48478000,321414000,42735000,0.16594,0.08936,0.04838,0.03749,0.01691,2.1827,3.52459,1.21759,0.27753,0.46417,0.36716,9.59482,11.73175,1.01313,0.0204,0.04405,3.8476,5.15744
"10","2013_Q1",22.7693333333333,"Up",493638000,-442109000,51529000,-52627000,-46415000,-2692000,-3520000,-1098000.00000001,-8299000,-8959000,660000,-9397000,28981000,-21891000,7090000,7090000,1087000,8177000,8177000,189114000,189114000,297798000,297798000,366385000,142826000,92268000,996123000,568344000,145768000,112444000,714112000,1710235000,180065000,180065000,145801000,141214000,141214000,467080000,441438000,169355000,62259000,107096000,610793000,1077873000,507199000,-16445000,173407000,-57544000,606617000,25745000,632362000,1710235000,7090000,18230000,-26850000,46610000,45080000,-29421000,4549000,6416000.00000001,4937999.99999999,54567000,54567000,-343000,54224000,17132000,587239000,56212000,0.10439,-0.00222,0.01656,0.01293,0.00478,6.8744,2.13266,1.70452,0.34337,0.1737,0.14017,10.48598,12.88591,1.19407,0.00604,0.04047,23.23868,-362.59107
