"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital"
"1","2014_Q3",5.80484375,"Up",42829920,-34364685,8465235,-6843058,-5658740,-1184318,1622177,-636867,-636867,985310,746147,-499610,246537,246537,246537,246537,23908125,23908125,1313880,844436,25222005,606817,31215003,15733264,5863483,7574029,2044227,31821820,57043825,12083613,1653082,217580,9745162,1932141,1932141,16265754,30562500,2463723,2463723,33026223,49291977,2053953,5697895,7751848,7751848,57043825,246537,1184318,549240,-2075540,-95445,-121268,-121268,737500,216713,0,0,0,2806495,32812500,1109297,0.19765,0.03787,0.00576,0.0318,0.00432,4.49952,1.55062,6.35874,0.57522,0.04403,0.04344,7.64911,1.38442,0.19811,0.00573,0.02578
"2","2014_Q4",7.91265625,"Up",48007611,-38021871,9985740,-7276099,-6222795,-1053304,2709641,-634238,-634238,2075403,1120798,-755635,365163,365163,365163,365163,27512495,27512495,1254951,593033,28767446,652660,30076702,14728666,5863483,7481407,2003146,30729362,59496808,13531341,1304103,247814,10680063,1988540,1988540,17769881,30100000,3418433,3418433,33518433,51288314,2145436,6063058,8208494,8208494,59496808,365163,1053304,731464,-1571568,578363,-94549,-94549,-462500,-483814,0,0,0,3762945,32350000,2852463,0.208,0.05644,0.00761,0.04449,0.00614,7.81148,1.61889,6.2482,0.54373,0.06511,0.06348,8.5601,1.46363,0.50861,0.0083,0.06486
"3","2015_Q1",8.60032786885246,"Up",42935365,-34570752,8364613,-6752157,-5697086,-1055071,1612456,-617460,-617460,994996,991434,-501898,489536,489536,489536,489536,22030342,22030342,872138,624975,22902480,667597,29705883,13724068,6404367,7694419,1883029,30373480,53275960,10851323,1114594,1255855,8480874,1548858,1548858,14598533,19392540,2921595,2921595,22314135,36912668,10800420,5562872,16363292,16363292,53275960,489536,1055071,527242,281132,2352981,-61404,-61404,-10762500,-2291577,0,0,0,2667527,21590892,3389153,0.19482,0.03756,0.0114,0.02992,0.00919,6.92319,1.56882,2.25582,0.40527,0.08458,0.08793,7.41807,2.82714,0.58555,0.01198,0.08291
"4","2015_Q2",7.89190476190476,"Down",40884144,-32543122,8341022,-7477021,-6348428,-1128593,864001,-531716,-531716,332285,311196,-146960,164236,164236,164236,164236,23927146,23927146,1210659,569773,25137805,818921,37643979,19856838,7817136,7516610,2453395,38462900,63600705,10651084,1015616,152740,9240160,1319165,1319165,14407749,27609167,5002038,5002038,32611205,47018954,10854643,5727108,16581751,16581751,63600705,164236,1128593,240199,685936,2218964,-198586,-8698586,7837500,6479622,0,0,0,1992594,30046667,2626904,0.20402,0.02113,0.00402,0.0099,0.00258,15.99469,1.74474,2.83558,0.47243,0.02489,0.02368,6.19631,2.51309,0.39813,0.02235,0.05088
"5","2015_Q3",8.431875,"Up",49781393,-38915474,10865919,-8189207,-6877523,-1311684,2676712,-558777,-558777,2117935,2308405,-846399,1462006,1462006,1462006,1462006,26644327,26644327,1129071,397602,27773398,913106,36905058,19673590,7089257,7594976,2547235,37818164,65591562,14058615,633052,2007575,10699480,2417369,2417369,19194734,22065417,1917479,1917479,23982896,43177630,18847140,3566792,22413932,22413932,65591562,1462006,1311684,38935,-1154823,1657802,-160850,-441941,-5262500,-1215861,0,0,0,3988396,24784167,3519122,0.21827,0.05377,0.02937,0.06523,0.02229,2.40705,1.44693,1.92637,0.37786,0.2095,0.2011,7.13363,3.21189,0.50429,0.06664,0.07165
"6","2015_Q4",9.353125,"Up",60170823,-46315310,13855513,-8997583,-7703446,-1294137,4857930,-660590,-660590,4197340,3656012,-1441333,2214679,2214679,2214679,2214679,29828732,29828732,1024369,378233,30917933,1286425,36056891,18476141,7089257,7656773,2834720,37343316,68261249,13734296,1240628,277135,11357578,2081324,2081324,15815620,24750000,2424174,2424174,27174174,42989794,19523691,5747764,25271455,25271455,68261249,2214679,1294137,1077156,-2567992,2017980,-149708,-149708,87499.9999999981,-1803440,64832,64832,64832,6152067,24750000,4875700,0.23027,0.08074,0.03681,0.08764,0.03244,2.20154,1.9549,1.70112,0.36258,0.30092,0.29242,8.17579,3.43379,0.66249,0.0774,0.09297
"7","2016_Q1",9.28344262295082,"Down",66697496,-51853244,14844252,-11270206,-9460880,-1809326,3574046,-1244562,-1244562,2329484,2439795,-933308,1506487,1506487,1506487,1506487,32324284,32324284,995316,861146,33319600,1489061,49590896,29761035,9184659,8411792,2233410,51079957,84399557,14987744,1572195,627638,12343746,8315959,8315959,23303703,30648926,4518504,4518504,35167430,58471133,20520828,5407596,25928424,25928424,84399557,1506487,1809326,989109,1592246,5897168,-52766,-10052766,5930512,4090766,-64832,-64832,-64832,5383372,30648926,7856160,0.22256,0.05359,0.02259,0.0581,0.01785,5.21489,1.4298,2.2551,0.36314,0.20409,0.20426,9.03559,3.51255,1.06428,0.05488,0.12859
"8","2016_Q2",11.15703125,"Up",59550986,-46204356,13346630,-10684469,-8902999,-1781470,2662161,-1279657,-1279657,1382504,1382504,-549366,833138,833138,833138,833138,33328900,33328900,1105369,950696,34434269,1910858,44869007,23514376,9184659,9512455,2657517,46779865,81214134,11668835,951672,100868,10423031,3580561,3580561,15249396,23618194,1858090,1858090,25476284,40725680,36229373,4259081,40488454,40488454,81214134,833138,1781470,479041,1749895,4843544,-228729,-228729.000000002,-1151000,-4614815,0,0,0,4443631,23618194,6514163,0.22412,0.0447,0.01399,0.02058,0.01026,7.81883,2.25807,1.00586,0.29081,0.11276,0.10895,8.05992,5.4799,0.88166,0.04063,0.09875
"9","2016_Q3",13.6103125,"Up",62615014,-47430489,15184525,-11200161,-9473723,-1726438,3984364,-1296557,-1296557,2687807,2283688,-886207,1397481,1397481,1397481,1397481,31557638,31557638,769773,648102,32327411,1688564,47291243,26484327,9184659,9171494,2450763,48979807,81307218,14449920,1240750,125895,12749416,4416045,4416045,18865965,17663411,4967291,4967291,22630702,41496667,35869016,3941535,39810551,39810551,81307218,1397481,1726438,653243,-2525395,1251767,-194398,-194398,-12532657,-1057369,0,0,0,5710802,17663411,3877216,0.24251,0.06363,0.02232,0.0351,0.01719,2.77443,1.71353,1.04235,0.21724,0.18123,0.17354,8.12017,5.16279,0.50281,0.052,0.06209
"10","2016_Q4",10.5922222222222,"Down",67407350,-50975462,16431888,-11965292,-10291744,-1673548,4466596,-701968,-701968,3764628,3764628,-1416773,2347855,2347855,2347855,2347855,35476843,35476843,679465,575842,36156308,1720923,46188900,24935413,9184659,9513494,2555334,47909823,84066131,15003499,1247823,105277,13352149,4601389,4601389,19604888,18969794,5200823,5200823,24170617,43775505,36168357,4122269,40290626,40290626,84066131,2347855,1673548,229187,-3234331,1016259,-187443,-187443,1443612,-828816,-3.63797880709171e-12,-3.63797880709171e-12,-3.63797880709171e-12,6140144,18969794,4135143,0.24377,0.06626,0.03483,0.05827,0.02793,1.76124,1.84425,1.08649,0.22565,0.27118,0.26005,7.7855,4.65354,0.47761,0.07004,0.06415
