"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",75.7411111111111,"Up",8.009e+09,-6.076e+09,1.933e+09,-1.618e+09,-4.95e+08,-1.123e+09,3.15e+08,-2.1e+07,-1.8e+07,-3e+06,2.94e+08,2.94e+08,-1.13e+08,1.81e+08,1.81e+08,1.81e+08,1.81e+08,1.789e+09,1.789e+09,3.41e+09,3.41e+09,1.189e+09,3.07e+08,3.72e+08,6.388e+09,1.3538e+10,2.9484e+10,-1.5946e+10,3.931e+09,2.233e+09,1.698e+09,1.7469e+10,2.3857e+10,3.728e+09,1.311e+09,2.417e+09,1.58e+08,3.886e+09,1.918e+09,4.267e+09,9.55e+08,1.132e+09,2.18e+09,6.185e+09,1.0071e+10,2.122e+09,-4e+06,1.3031e+10,-1.363e+09,1.3786e+10,1.3786e+10,2.3857e+10,1.81e+08,4.95e+08,1.22e+08,1e+08,8.98e+08,-8.8e+08,2.6e+07,-8.54e+08,-3.4e+07,-5.08e+08,7e+06,7e+06,-1.5e+07,-5.5e+08,-5.06e+08,-5.06e+08,3e+06,-5.03e+08,8.1e+08,2.076e+09,1.43e+08,0.24135,0.03933,0.0226,0.01313,0.00759,0.79006,1.64385,0.73052,0.08702,0.58013,0.58013,25.66987,44.1859,0.45833,0.10897,0.01068,0.0071,0.18785,0.35432,0.91111
"2","2010_Q3",72.2178125,"Down",8.596e+09,-6.326e+09,2.27e+09,-1.699e+09,-4.87e+08,-1.212e+09,5.71e+08,-2.4e+07,-1.5e+07,-9e+06,5.47e+08,5.47e+08,-2.02e+08,3.45e+08,3.45e+08,3.45e+08,3.45e+08,1.465e+09,1.465e+09,3.771e+09,3.771e+09,1.198e+09,2.92e+08,3.91e+08,6.434e+09,1.3937e+10,3.0234e+10,-1.6297e+10,4.223e+09,2.237e+09,1.986e+09,1.816e+10,2.4594e+10,4.079e+09,1.417e+09,2.662e+09,4e+07,4.119e+09,1.918e+09,4.389e+09,9.29e+08,1.228e+09,2.232e+09,6.307e+09,1.0426e+10,2.163e+09,-3e+06,1.3342e+10,-1.334e+09,1.4168e+10,1.4168e+10,2.4594e+10,3.45e+08,4.87e+08,5.4e+07,-4.27e+08,4.59e+08,-6.69e+08,7e+06,-6.62e+08,-3.5e+07,-1.17e+08,1.7e+07,1.7e+07,4e+06,-1.31e+08,-3.34e+08,-3.34e+08,1e+07,-3.24e+08,1.058e+09,1.958e+09,1.64e+08,0.26408,0.06643,0.04013,0.02435,0.01403,0.47536,1.56203,0.73588,0.07961,1.10577,1.09873,27.55128,45.41026,0.52564,0.11218,0.01852,0.00799,0.10145,0.46597,0.8634
"3","2010_Q4",80.32484375,"Up",8.701e+09,-6.576e+09,2.125e+09,-1.709e+09,-4.88e+08,-1.221e+09,4.16e+08,-3.5e+07,-1.9e+07,-1.6e+07,3.81e+08,3.81e+08,-1.42e+08,2.39e+08,2.39e+08,2.39e+08,2.39e+08,1751149859.88105,1751149859.88105,4008759466.55713,4008759466.55713,1169588109.92614,249453203.603129,393668400.841174,6929497436.36433,14175214646.0966,30800848742.2434,-16625634096.1467,3751695757.13514,2210489075.92446,1541206681.21068,17926910403.2318,24856407839.5961,4298601936.2121,1491183190.93137,2807418745.28073,138605216.933236,4437207153.14802,1801553769.43467,4611988831.00449,1342015049.44357,1052125542.9303,2217848238.63061,6413542600.43915,10850749753.5872,2227067756.4855,-5325730.18744055,13680740572.1757,-1896824512.46484,14005658086.0089,14005658086.0089,24856407839.5961,2.39e+08,4.88e+08,1.87e+08,-3.63e+08,5.51e+08,-4.32e+08,-2e+06,-4.34e+08,-3.4e+07,-7e+06,1.2e+07,1.2e+07,4e+06,-2.5e+07,9.2e+07,9.2e+07,-8e+06,8.4e+07,9.04e+08,0,2.51e+08,0.24422,0.04781,0.02747,0.0315261507087202,0.0177636670613531,1.05021,1.55895851259821,0.775065074744683,0.0780097678970499,0.76603,0.75873,27.88782,44.8961955216152,0.80449,0.10897,0.0231662561799625,0.0298054672179288,0.14226,0.170677480394252,0.270359072814744
"4","2011_Q1",82.2622580645161,"Up",9.428e+09,-6.957e+09,2.471e+09,-1.757e+09,-4.88e+08,-1.269e+09,7.14e+08,-2.4e+07,-1.9e+07,-5e+06,6.9e+08,6.72e+08,-2.53e+08,4.19e+08,4.19e+08,4.19e+08,4.19e+08,1.952e+09,1.952e+09,4.163e+09,4.163e+09,1.169e+09,2.51e+08,3.89e+08,7.284e+09,1.4385e+10,3.1302e+10,-1.6917e+10,3.233e+09,2.2e+09,1.033e+09,1.7618e+10,2.4902e+10,4.383e+09,1.522e+09,2.861e+09,2.62e+08,4.645e+09,1.668e+09,4.778e+09,1.705e+09,8.91e+08,2.182e+09,6.446e+09,1.1091e+10,2.292e+09,-7e+06,1.3966e+10,-2.44e+09,1.3811e+10,1.3811e+10,2.4902e+10,4.19e+08,4.88e+08,2.11e+08,1.12e+08,1.23e+09,-8.35e+08,4e+06,-8.31e+08,-3.5e+07,-2.1e+07,5.8e+07,5.8e+07,1.2e+07,1.4e+07,4.13e+08,4.13e+08,-1e+07,4.03e+08,1.202e+09,1.93e+09,7.32e+08,0.26209,0.07573,0.04444,0.03034,0.01683,1.74702,1.56814,0.80306,0.0775,1.34295,1.33016,30.21795,44.26603,2.34615,0.11218,0.02213,0.03567,0.08353,-0.0183,-0.0308099999999999
"5","2011_Q2",82.5244444444444,"Up",9.457e+09,-7.135e+09,2.322e+09,-1.694e+09,-4.79e+08,-1.215e+09,6.28e+08,-2.5e+07,-1.8e+07,-7e+06,6.03e+08,6.03e+08,-2.23e+08,3.8e+08,3.8e+08,3.8e+08,3.8e+08,1551707326.78259,1551707326.78259,4272187994.5901,4272187994.5901,1244700459.90351,345693549.44501,385762694.308743,7068595781.2762,14674671741.3522,31840362962.4683,-17165691221.1161,3242030358.97818,2240351217.62007,1001679141.3581,17916702100.3304,24985297881.6066,4350416557.30202,1507961164.69864,2842455392.60338,251456903.929349,4601873461.21869,1602611871.40409,4778517309.73689,1643325149.7819,972978923.676502,2162213236.27849,6381129181.14098,10983002642.3597,2340435359.56953,-5296066.17867516,14145780711.8242,-2478624765.96812,14002295239.247,14002295239.247,24985297881.6066,3.8e+08,4.79e+08,9.8e+07,-1.61e+08,7.96e+08,-1.012e+09,3e+06,-1.009e+09,-3.8e+07,-1.2e+07,8e+06,8e+06,1e+06,-4.1e+07,-2.54e+08,-2.54e+08,1.1e+07,-2.43e+08,1.107e+09,0,1.57e+08,0.24553,0.06641,0.04018,0.0188245097475603,0.0104825611035512,0.41316,1.53963894311759,0.786052526881841,0.0741917107467378,1.21019,1.20635,30.11783,44.8366470833535,0.5,0.12102,0.0144216276756333,0.000106589007881318,0.1,0.274074576315477,0.556459958196216
"6","2011_Q3",72.9615625,"Down",9.632e+09,-7.208e+09,2.424e+09,-1.888e+09,-5.02e+08,-1.386e+09,5.36e+08,-3.2e+07,-2.3e+07,-9e+06,5.04e+08,4.37e+08,-1.54e+08,2.83e+08,2.83e+08,2.83e+08,2.83e+08,1087294354.64477,1087294354.64477,4367431740.05763,4367431740.05763,1346842220.9828,450179118.428548,391394273.374952,6801568315.6852,15011619172.155,32433585463.9447,-17421966291.7897,3528553888.73353,2297690982.39751,1230862906.33602,18540173060.8886,25341741376.5738,4348204652.59726,1506551655.23605,2841652997.36121,142213826.205156,4490418478.7828,1608209562.04658,4794905607.09816,1453072034.67304,1184847894.4932,2156985677.93192,6403115169.14474,10893533647.9275,2383396007.04888,-4817393.79426052,14339399088.7343,-2269769973.3427,14448207728.6462,14448207728.6462,25341741376.5738,2.83e+08,5.02e+08,1.64e+08,2.66e+08,1.215e+09,-1.047e+09,4e+06,-1.043e+09,-3.8e+07,-1.49011611938477e-08,1.7e+07,1.7e+07,3e+06,-1.8e+07,1.54e+08,1.54e+08,1.4e+07,1.68e+08,1.038e+09,0,4.11e+08,0.25166,0.05565,0.02938,0.00879679285890877,0.00509476749354465,1.4523,1.52059579459284,0.755903020626412,0.0690632967108857,0.90127,0.89557,30.67516,46.1344213239305,1.30892,0.12102,0.00783974260926076,-0.0355377511785819,0.13428,0.612579881175727,1.21811361247129
"7","2011_Q4",71.6233333333333,"Down",9.663e+09,-7.424e+09,2.239e+09,-1.825e+09,-4.93e+08,-1.332e+09,4.14e+08,-3.3e+07,-2.4e+07,-9e+06,3.81e+08,3.6e+08,-1.29e+08,2.31e+08,2.31e+08,2.31e+08,2.31e+08,1.359e+09,1.359e+09,4.478e+09,4.478e+09,1.401e+09,4.48e+08,4.13e+08,7.238e+09,1.5328e+10,3.3078e+10,-1.775e+10,3.636e+09,2.321e+09,1.315e+09,1.8964e+10,2.6202e+10,4.556e+09,1.59e+09,2.966e+09,1.8e+07,4.574e+09,1.667e+09,5.081e+09,1.598e+09,1.328e+09,2.155e+09,6.748e+09,1.1322e+10,2.439e+09,-1.2e+07,1.4709e+10,-2.256e+09,1.488e+10,1.488e+10,2.6202e+10,2.31e+08,4.93e+08,4e+08,-6.78e+08,4.46e+08,-6.44e+08,8e+06,-7.32e+08,-3.7e+07,-2.5e+08,3.9e+07,3.9e+07,7e+06,-2.41e+08,-5.27e+08,-5.27e+08,9e+06,-5.18e+08,9.07e+08,1.685e+09,-2.86e+08,0.23171,0.04284,0.02391,0.01552,0.00882,-1.2381,1.58242,0.76089,0.06431,0.73333,0.72871,30.67619,47.2381,-0.90794,0.11746,0.01238,-0.01321,0.16017,0.35943,0.78744
"8","2012_Q1",82.555,"Up",1.0552e+10,-7.775e+09,2.777e+09,-1.888e+09,-4.99e+08,-1.389e+09,8.89e+08,-2.3e+07,-1.2e+07,-1.1e+07,8.66e+08,8.65e+08,-3.07e+08,5.58e+08,5.58e+08,5.58e+08,5.58e+08,2.328e+09,2.328e+09,4.581e+09,4.581e+09,1.376e+09,3.29e+08,4.37e+08,8.285e+09,1.5543e+10,3.3686e+10,-1.8143e+10,3.557e+09,2.326e+09,1.231e+09,1.91e+10,2.7385e+10,4.864e+09,1.702e+09,3.162e+09,1.8e+07,4.882e+09,1.667e+09,5.616e+09,2.124e+09,1.336e+09,2.156e+09,7.283e+09,1.2165e+10,2.516e+09,-1.2e+07,1.5266e+10,-2.55e+09,1.522e+10,1.522e+10,2.7385e+10,5.58e+08,4.99e+08,2.86e+08,2.41e+08,1.584e+09,-7.31e+08,9.6e+07,-6.35e+08,-3.8e+07,5.96046447753906e-08,4.4e+07,4.4e+07,7e+06,13000000.0000001,9.62e+08,9.62e+08,7e+06,9.69e+08,1.388e+09,1.685e+09,1.205e+09,0.26317,0.08425,0.05288,0.03666,0.02038,2.1595,1.69705,0.79928,0.06153,1.76025,1.74375,33.28707,48.01262,3.80126,0.11987,0.02646,0.05351,0.0681,-0.46326,-0.72328
"9","2012_Q2",79.674126984127,"Down",1.0521e+10,-7.937e+09,2.584e+09,-1.847e+09,-5.09e+08,-1.338e+09,7.37e+08,-1.3e+07,-1.1e+07,-2e+06,7.24e+08,7.24e+08,-2.6e+08,4.64e+08,4.64e+08,4.64e+08,4.64e+08,1.959e+09,1.959e+09,4.624e+09,4.624e+09,1.38e+09,3.52e+08,4.18e+08,7.963e+09,1.582e+10,3.4224e+10,-1.8404e+10,4.055e+09,2.435e+09,1.62e+09,1.9875e+10,2.7838e+10,4.68e+09,1.563e+09,3.117e+09,3.01e+08,4.981e+09,1.367e+09,5.776e+09,2.123e+09,1.441e+09,2.212e+09,7.143e+09,1.2124e+10,2.579e+09,-1.2e+07,1.5648e+10,-2.501e+09,1.5714e+10,1.5714e+10,2.7838e+10,4.64e+08,5.09e+08,2.11e+08,-3.24e+08,8.6e+08,-1.11e+09,5e+06,-1.216e+09,-4.1e+07,-1.7e+07,2.8e+07,2.8e+07,4e+06,-2.6e+07,-3.82e+08,-3.82e+08,1.3e+07,-3.69e+08,1.246e+09,1.668e+09,7.2e+07,0.2456,0.07005,0.0441,0.02953,0.01667,0.15517,1.59867,0.77154,0.05992,1.46835,1.45912,33.2943,49.72785,0.22785,0.12975,0.02181,0.00310999999999999,0.08836,-0.23355,-0.39484
"10","2012_Q3",80.1996825396825,"Up",1.0587e+10,-7.892e+09,2.695e+09,-1.915e+09,-5.18e+08,-1.397e+09,7.8e+08,-3e+06,-7e+06,4e+06,7.77e+08,7.77e+08,-2.8e+08,4.97e+08,4.97e+08,4.97e+08,4.97e+08,1.896e+09,1.896e+09,4.837e+09,4.837e+09,1.435e+09,3.67e+08,4.4e+08,8.168e+09,1.6709e+10,3.5399e+10,-1.869e+10,3.575e+09,2.399e+09,1.176e+09,2.0284e+10,2.8452e+10,4.952e+09,1.646e+09,3.306e+09,4.28e+08,5.38e+09,1.251e+09,5.904e+09,2.065e+09,1.555e+09,2.284e+09,7.155e+09,1.2535e+10,2.589e+09,-1.94e+08,1.6103e+10,-2.581e+09,1.5917e+10,1.5917e+10,2.8452e+10,4.97e+08,5.18e+08,2.11e+08,81999999.9999999,1.308e+09,-1.107e+09,1e+07,-1.1e+09,-4.1e+07,-999999.999999985,-1.93e+08,4e+06,1e+06,-2.34e+08,-2.6e+07,-2.6e+07,-3.7e+07,-6.3e+07,1.298e+09,1.679e+09,5.53e+08,0.25456,0.07368,0.04694,0.03122,0.01747,1.11268,1.51822,0.78752,0.05901,1.57778,1.57278,33.60952,50.53016,1.75556,0.13016,0.02289,0.02353,0.08249,-0.16718,-0.27821
