"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"23","2016_Q2",3.0746875,"Up",18713000,-13460000,5253000,-4755000,-3374000,-1381000,498000,-266000,-456000,190000,232000,330000,-397000,-67000,-67000,109000,42000,42000,34120000,25067000,9053000,19711000,19711000,38822000,4386000,4386000,97039000,31141000,15336000,15336000,55688000,152727000,13391000,8034000,5357000,13391000,1314000,1314000,1314000,14705000,3532000,194931000,-70579000,4665000,132549000,5473000,138022000,152727000,-67000,1178000,566000,-1788000,-111000,-795000,1032000,237000,-674682.975544994,-816935.093761589,-39000,87000,87000,105000,192000,1676000,0,-510000,0.28071,0.02661,0.00224,3e-04,0.00028,-12.14286,7.24658,0.10654,0,0.00131,0.00131,0.58474,4.03153,-0.01594,0.00058,-0.00366,-20.358,-68.51406
"24","2016_Q3",4.0440625,"Up",20495000,-14468000,6027000,-4891000,-3419000,-1472000,1136000,-72000,-4e+05,328000,1064000,938000,-140000,798000,798000,353000,1151000,1151000,36575000,26115000,10460000,18036000,18036000,38625000,5101000,5101000,98337000,30178000,14528000,14528000,53093000,151430000,13219000,7848000,5371000,13219000,1170000,1170000,1170000,14389000,3532000,195188000,-69428000,2844000,132136000,4905000,137041000,151430000,798000,1220000,515000,548000,3081000,-9e+05,-609000,-1509000,2000,1999.99999999953,2000.00000000012,1574000,1574000,-526000,1048000,2356000,0,2144000,0.29407,0.05543,0.05616,0.0084,0.0076,1.86272999999999,7.43906,0.105,2.06795153138257e-25,0.03595,0.03519,0.64007,4.01636,0.06696,0.00833,0.01551,-15.52419,-32.1963
"25","2016_Q4",5.15095238095238,"Up",21872000,-14294000,7578000,-4879000,-3313000,-1566000,2699000,-417000,-581000,164000,2282000,2387000,-176000,2211000,2211000,18000,2229000,2229000,39224000,29661000,9563000,18380000,18380000,38731000,5265000,5265000,101600000,29385000,13819000,13819000,51328000,152928000,12288000,7277000,5011000,12288000,1026000,1026000,1026000,13314000,3532000,195895000,-67199000,2529000,134757000,4857000,139614000,152928000,2211000,1222000,796000,-1691000,2538000,-470000,1109000,639000,426000,426000,426000,3603000,3603000,-57000,3546000,3921000,0,1936000,0.34647,0.1234,0.10191,0.01597,0.01458,0.86855,8.26823,0.09536,0,0.06942,0.06727,0.68122,4.08711,0.0603,0.01585,0.01377,-10.00357,-14.53279
"26","2017_Q1",6.20967741935484,"Up",20269000,-12746000,7523000,-5205000,-3774000,-1431000,2318000,-380000,-558000,178000,1938000,2044000,-20000,2024000,2024000,190000,2214000,2214000,47567000,36152000,11415000,14453000,14453000,40152000,5114000,5114000,107286000,27805000,12999000,12999000,46960000,154246000,15951000,6691000,9260000,15951000,905000,905000,905000,16856000,3532000,194210000,-64985000,253000,133010000,4380000,137390000,154246000,2024000,1245000,1197000,2530000,6996000,-528000,48000,-480000.000000001,909000.000000002,909000,909000,7425000,7425000,-934000,6491000,3563000,0,5585000,0.37116,0.11436,0.10923,0.01611,0.01435,2.52258,6.72597,0.12269,0,0.06828,0.06564,0.62507,3.99291,0.17223,0.01601,0.04038,-13.35027,-20.52071
"27","2017_Q2",6.54126984126984,"Up",20616000,-14328000,6288000,-4917000,-3793000,-1124000,1371000,-885000,-933000,48000,486000,584000,-159000,425000,425000,240000,665000,665000,76995000,56512000,20483000,17649000,17649000,39195000,4822000,4663000,138661000,27141000,11853000,11853000,48756000,187417000,16065000,8159000,7906000,16065000,663000,663000,663000,16728000,3532000,227197000,-64320000,550000,166959000,3730000,170689000,187417000,425000,1140000,1195000,-1687000,1073000,-268000,-12746000,-13014000,32675000,32675000,32210000,20269000,20269000,91000,20360000,2511000,0,715000,0.30501,0.0665,0.03226,0.0039,0.00355,1.07519,8.63125,0.098,0,0.01944,0.01867,0.60263,4.77717,0.0209,0.00659,0.00417,-30.66308,-56.15974
"28","2017_Q3",7.81825396825397,"Up",23557000,-16301000,7256000,-4961000,-3942000,-1019000,2295000,-290000,-188000,-102000,2005000,2119000,-321000,1798000,1798000,132000,1930000,1930000,78946000,56483000,22463000,18262000,18262000,40627000,5410000,5301000,143245000,27945000,12004000,12004000,48527000,191772000,17552000,8189000,9363000,17552000,507000,507000,507000,18059000,3532000,227578000,-62390000,1293000,170013000,3700000,173713000,191772000,1798000,1110000,545000,-1320000,2133000,-1563000,-847000,-2357000,70999.9999999963,70999.9999999925,71000,-152999.999999996,-152999.999999996,124000,-29000.0000000037,3405000,1.4210854715202e-14,842999.999999999,0.30802,0.09742,0.08193,0.01111,0.01006,0.43679,8.16118,0.10396,5.29395592033938e-23,0.05044,0.04866,0.61561,4.35062,0.02203,0.01108,0.00484,-23.18532,-34.39913
"29","2017_Q4",9.13793650793651,"Up",28168000,-17035000,11133000,-5894000,-4484000,-1410000,5239000,-615000,-266000,-349000,4624000,4746000,-181000,4565000,4565000,-146000,4419000,4419000,68602000,48078000,20524000,20877000,20877000,40768000,5739000,5682000,135986000,42255000,11696000,11696000,63636000,199622000,18783000,9499000,9284000,18783000,422000,422000,422000,19205000,3532000,228555000,-57971000,2275000,176391000,4026000,180417000,199622000,4565000,1111000,655000,-1547000,4784000,-14726000,810000,-13861000,638000,638000,638000,-8439000,-8439000,34000,-8405000,6350000,0,-9742000,0.39524,0.18599,0.15688,0.02449,0.02214,-2.20457,7.23984,0.10645,0,0.11472,0.11015,0.73124,4.4874,-0.2529,0.02444,-0.05387,-10.80346,-13.09448
"30","2018_Q1",8.12147540983607,"Down",26332000,-16534000,9798000,-6064000,-4790000,-1274000,3734000,-457000,-307000,-150000,3277000,3404000,-131000,3273000,3273000,-139000,3134000,3134000,64384000,44352000,20032000,22778000,22778000,45840000,7519000,7519000,140521000,46530000,11573000,11573000,70679000,211200000,22594000,11445000,11149000,22594000,289000,289000,289000,22883000,3532000,231718000,-54837000,3407000,183820000,4497000,188317000,211200000,3273000,1061000,857000,-4566000,625000,-4799000,-2488000,-7226000,953999.999999999,954000,2719000,-3882000,-3882000,156000,-3726000,4795000,0,-4439000,0.37209,0.1418,0.11902,0.01664,0.01484,-1.4164,6.21939,0.12151,0,0.08082,0.07746,0.67903,4.64911,-0.11447,0.01662,-0.02354,-13.42732,-17.24264
"31","2018_Q2",6.975,"Down",24419000,-14846000,9573000,-5642000,-4222000,-1420000,3931000,-549000,-334000,-215000,3382000,3524000,-334000,3190000,3190000,-315000,2875000,2875000,54384000,39189000,15195000,21347000,21347000,51122000,6704000,6704000,133557000,58763000,11476000,11476000,82750000,216307000,21239000,12049000,9190000,21239000,329000,329000,329000,21568000,3532000,232251000,-51962000,5846000,189667000,5072000,194739000,216307000,3190000,1070000,844000,-3509000,1595000,-11849000,4742000,-7107000,66000,66000,66000,-5446000,-5446000,283000,-5163000,5001000,0,-10023000,0.39203,0.16098,0.11774,0.01476,0.01329,-3.48626,6.28829,0.11075,0,0.07383,0.07123,0.62708,4.77992,-0.25739,0.01474,-0.05138,-10.87463,-13.83465
"32","2018_Q3",7.60809523809524,"Up",27120000,-16110000,11010000,-6487000,-4987000,-1500000,4523000,256000,307000,-51000,4779000,4918000,-367000,4551000,4551000,-650000,3901000,3901000,48500000,29698000,18802000,22516000,22516000,57038000,9416000,9416000,137470000,65174000,11323000,11323000,82211000,219681000,25852000,14059000,11793000,25852000,296000,296000,296000,26148000,3532000,233023000,-48061000,1172000,189666000,3867000,193533000,219681000,4551000,1137000,182000,-7926000,-2056000,-10060000,3192000,-6868000,112000,112000,-50999.9999999998,-8975000,-8975000,-516000,-9491000,5660000,0,-11959000,0.40597,0.16678,0.14384,0.02016,0.01776,-3.06562,5.31758,0.13511,-1.35525271560688e-20,0.10003,0.09701,0.6954,4.77279,-0.30665,0.02013,-0.0617,-8.5689,-10.72297
