"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2018_Q4",5.55111111111111,"Down",28626000,-18012000,10614000,-6283000,-4615000,-1668000,4331000,93000,6000,87000,4424000,4557000,-410000,4147000,4147000,-208000,3939000,3939000,39945000,18035000,21910000,23308000,23308000,58717000,10625000,10625000,132595000,74754000,11194000,11194000,87854000,220449000,25120000,12344000,12776000,25411000,320000,320000,320000,25731000,3532000,233561000,-44122000,-1846000,191125000,3593000,194718000,220449000,4147000,1238000,532000,-5683000,234000,-12369000,720000,-11649000,86000,86000,125000,-11290000,-11290000,-373000,-11663000,5569000,0,-12073000,0.37078,0.1513,0.1376,0.02023,0.01787,-3.06499,5.21802,0.13214,0,0.10084,0.09754,0.73287,4.80269,-0.30909,0.0202,-0.0619,-7.17274,-9.22304
"34","2019_Q1",4.26754098360656,"Down",22232000,-16382000,5850000,-6488000,-5179000,-1309000,-638000,0,-1059000,531000,-638000,-1052000,173000,-879000,-879000,-182000,-1061000,-1061000,38655000,16526000,22129000,19586000,19586000,58571000,11728000,11728000,128540000,82280000,11987000,11987000,94984000,223524000,28709000,13338000,15371000,28709000,283000,283000,283000,28992000,3532000,234458000,-45183000,-1972000,190835000,3697000,194532000,223524000,-879000,1426000,1506000,1392000,3445000,-6162000,959000,-5203000,364000,364000,73000,-1685000,-1685000,176000,-1509000,788000,0,-4155000,0.26313,-0.0287,-0.04772,-0.00545,-0.00475,3.91612,4.47734,0.14903,-2.16840434497101e-19,-0.02707,-0.02646,0.5672,4.77863,-0.10601,-0.00545,-0.02133,-49.05457,60.58777
"35","2019_Q2",4.68269841269841,"Up",20208000,-13513000,6695000,-6069000,-4723000,-1346000,626000,-1588000,-1454000,-134000,-962000,-867000,-156000,-1023000,-1023000,-81000,-1104000,-1104000,34145000,21060000,13085000,19605000,19605000,53025000,11367000,11367000,118142000,84975000,11441000,11441000,96416000,214558000,17438000,7882000,9556000,17438000,213000,213000,1139000,18577000,3532000,235016000,-46287000,-733000,191528000,4453000,195981000,214558000,-1023000,1460000,2061000,-5361000,-2863000,-2909000,9800000,6891000,447741.23903975,447741.359993806,366000,4394000,4394000,140000,4534000,2086000,926000,-6028000,0.3313,0.03098,-0.05463,-0.00563,-0.00515,5.46014,6.77497,0.09479,0.00432,-0.02805,-0.02805,0.51352,4.77729,-0.15318,-0.0056,-0.03058,-15.92474,-53.0655
"36","2019_Q3",3.84875,"Down",24797000,-16291000,8506000,-6168000,-4769000,-1399000,2338000,-82000.0000000002,8000,-90000.0000000001,2256000,2335000,-597000,1738000,1738000,-287000,1451000,1451000,36249000,28732000,7517000,18275000,18275000,50326000,6853000,6853000,111703000,87613000,13314000,13314000,102187000,213890000,16949000,6004000,10945000,16949000,391000,391000,1286000,18235000,3532000,235742000,-44836000,-3130000,191308000,4347000,195655000,213890000,1738000,1370000,926000,4776000,8810000,-5317000,4326000,-991000,288092.589687578,288092.661951735,-30000,7789000,7789000,-117000,7672000,3708000,895000,3764000,0.34303,0.09429,0.05852,0.00742,0.00678,2.59407,6.59054,0.0932,0.00418,0.03678,0.03562,0.62863,4.76033,0.09542,0.00737,0.01911,-9.53452,-15.12147
"37","2019_Q4",3.2109375,"Down",19841000,-14082000,5759000,-6237000,-4755000,-1482000,-478000,-35000,-204000,169000,-513000,-472000,-23000,-495000,-495000,-403000,-898000,-898000,33953000,27837000,6116000,17450000,17450000,49071000,8249000,8249000,108723000,89680000,14788000,14788000,108987000,217710000,17579000,8147000,9432000,23188000,324000,324000,3068000,26256000,3532000,236360000,-45734000,-7240000,186918000,4536000,191454000,217710000,-495000,1343000,803000,-261000,1390000,-5743000,-1863000,-7606000,34999.9999999998,34999.9999999999,5795000,-421000,-421000,-474000,-895000,865000,2744000,-5116000,0.29026,-0.02409,-0.04526,-0.00469,-0.00412,5.6971,4.68876,0.13714,0.0126,-0.02272,-0.02349,0.5021,4.6408,-0.12947,-0.00462,-0.0263,-36.07977,65.29079
"38","2020_Q1",3.68370967741935,"Up",18410000,-14545000,3865000,-6665000,-5058000,-1607000,-2800000,993000,-226000,1002000,-1807000,-2022000,214000,-1808000,-1808000,-241000,-2049000,-2049000,36319000,26892000,9427000,19031000,19031000,49152000,8703000,8703000,113205000,97403000,12741000,12741000,110144000,223349000,21779000,10098000,11681000,27526000,366000,366000,3061000,30587000,3532000,236998000,-47783000,-4862000,187885000,4877000,192762000,223349000,-1808000,1358000,903000,4868000,5321000,-7823000,1201000,-6622000,1000,1000,55000.0000000009,-1246000,-1246000,301000,-945000,-1442000,2695000,-4611000,0.20994,-0.15209,-0.1113,-0.01063,-0.00917,2.25037,4.11266,0.15868,0.01207,-0.0517,-0.0517,0.4645,4.65139,-0.11634,-0.01046,-0.02355,23.31761,12.00857
"39","2020_Q2",4.71190476190476,"Up",20723000,-15201000,5522000,-6156000,-4749000,-1407000,-634000,1217000,-120000,1366000,583000,583000,-366000,217000,217000,-395000,-178000,-178000,28758000,20061000,8697000,23613000,23613000,48253000,10638000,10638000,111262000,97490000,13888000,13888000,111378000,222640000,19889000,9518000,10371000,25960000,1948000,1948000,4490000,30450000,3532000,238082000,-47961000,-6637000,187016000,5174000,192190000,222640000,217000,993000,773000,-8087000,-6104000,-2139000,720000,-1419000,441000,441000,832000,-6691000,-6691000,-140000,-6831000,359000,2542000,-9501000,0.26647,-0.03059,-0.00859,-0.00093,-8e-04,53.3764,4.2859,0.15844,0.01142,-0.00447,-0.00447,0.52052,4.60876,-0.23865,-0.00091,-0.04831,-73.02507,41.35016
"40","2020_Q3",5.0821875,"Up",22134000,-15366000,6768000,-6290000,-4747000,-1543000,478000,1401000,-168000,1608000,1879000,1879000,-920000,959000,959000,-598000,361000,361000,31762000,26515000,5247000,19760000,19760000,49586000,9621000,9621000,110729000,101031000,13740000,13740000,115491000,226220000,22051000,11540000,10511000,28138000,1573000,1573000,4028000,32166000,3532000,238795000,-47600000,-6365000,188362000,5692000,194054000,226220000,959000,975000,862000,5291000,8087000,-4326000,2741000,-1585000,72000,72000,-13000.0000000009,6489000,6489000,-35000,6454000,1453000,2455000,3338000,0.30577,0.0216,0.01631,0.00186,0.0016,9.24654,3.93521,0.16576,0.01085,0.00903,0.00875,0.55377,4.62422,0.08351,0.00182,0.01685,-20.16999,-61.31172
"41","2020_Q4",8.0315625,"Up",25469000,-16646000,8823000,-6646000,-4623000,-2023000,2177000,-59000,45000,-34000,2118000,2118000,-637000,1481000,1481000,-490000,991000,991000,26889000,22384000,4505000,22653000,22653000,48357000,10649000,10649000,108548000,108295000,13010000,13010000,124189000,232737000,23113000,12271000,10842000,26493000,1937000,1937000,4352000,30845000,3532000,240463000,-46609000,-1992000,195394000,6498000,201892000,232737000,1481000,995000,691000,1174000,4341000,-5656000,-1440000,-7096000,624000,624000,-1796000,-4551000,-4551000,420000,-4131000,3172000,2415000,-673000,0.34642,0.08548,0.03891,0.00491,0.00426,-0.67911,4.09723,0.15278,0.01038,0.02468,0.02418,0.63431,4.77839,-0.01676,0.00524,-0.00326,-7.71564,-11.24208
"42","2021_Q1",12.0152459016393,"Up",27035000,-17873000,9162000,-7243000,-5081000,-2162000,1919000,573000,354000,260000,2492000,2492000,-108000,2384000,2384000,-320000,2064000,2064000,72842000,72602000,240000,24558000,24558000,51515000,15603000,15603000,164518000,115825000,12793000,12793000,134344000,298862000,28664000,12669000,15995000,39075000,4255000,4255000,4255000,43330000,3532000,230423000,-44545000,3209000,192619000,62913000,255532000,298862000,2384000,1370000,453000,-4666000,-459000,-7734000,1412000,-6322000,1399000,1399000,53639000,46858000,46858000,3360000,50218000,3289000,0,-9003000,0.33889,0.07098,0.07635,0.00808,0.00691,-4.36192,4.21031,0.16957,0,0.05074,0.0491,0.66468,4.64884,-0.22135,0.01622,-0.03466,-22.14716,-37.95831
"43","2021_Q2",10.6122222222222,"Down",31350000,-19814000,11536000,-7975000,-5570000,-2405000,3561000,950000,1111000,-111000,4511000,4511000,-746000,3765000,3765000,-340000,3425000,3425000,61446000,61206000,240000,28423000,28423000,54681000,18400000,18400000,162950000,119878000,13615000,13615000,138956000,301906000,29097000,13399000,15698000,39473000,3759000,3759000,3759000,43232000,3532000,229659000,-41120000,3078000,195149000,63525000,258674000,301906000,3765000,1596000,-278000,-13392000,-8309000,-5776000,240000,-5536000,704000,704000,2614000,-11231000,-11231000,-165000,-11396000,5157000,0,-13265000,0.36797,0.11359,0.10925,0.01324,0.01134,-3.87299,4.12814,0.16713,0,0.08353,0.08016,0.76456,4.67313,-0.32351,0.01305,-0.05055,-11.91507,-17.25527
"44","2021_Q3",9.31375,"Down",33735000,-21497000,12238000,-8332000,-5795000,-2537000,3906000,1602000,1502000,61000,5508000,5508000,-893000,4615000,4615000,-230000,4385000,4385000,55534000,52783000,2751000,33473000,33473000,58926000,16509000,16509000,164442000,127241000,14777000,14777000,144962000,309404000,27677000,16130000,11547000,38210000,3849000,3849000,3849000,42059000,3532000,228453000,-36735000,4533000,199783000,67562000,267345000,309404000,4615000,1665000,252000,-8792000,-2260000,-7257000,4.65661287307739e-10,-7257000,420000,420000,608000.000000007,-8909000,-8909000,486000,-8423000.00000001,5571000,0,-9585000,0.36277,0.11578,0.12998,0.0164,0.01417,-2.18586,4.30364,0.15732,0,0.10694,0.10263,0.82272,4.78614,-0.23376,0.01617,-0.03534,-9.96841,-14.21761
"45","2021_Q4",8.455625,"Down",34576000,-23075000,11501000,-9105000,-6476000,-2629000,2396000,1965000,1061000,948000,4361000,4361000,135000,4496000,4496000,-696000,3800000,3800000,49289000,43608000,5681000,36584000,36584000,60683000,13062000,13062000,159618000,131617000,17748000,17748000,156045000,315663000,24054000,11384000,12670000,37339000,3663000,3663000,4592000,41931000,3532000,230560000,-32935000,4583000,205740000,67992000,273732000,315663000,4496000,1824000,593000,-7081000,-168000,-6062000,-6691000,-12753000,468000,468000,3857000,-9064000,-9064000,-111000,-9175000,4220000,929000,-9058000,0.33263,0.0693,0.1099,0.01388,0.01204,-2.38368,4.27483,0.15318,0.00294,0.09215,0.08897,0.83847,4.90356,-0.21966,0.01365,-0.03254,-11.45972,-20.18364
"46","2022_Q1",7.51612903225806,"Down",37732000,-25593000,12139000,-9105000,-6348000,-2757000,3034000,188000,735000,-389000,3222000,3222000,411000,3633000,3633000,-668000,2965000,2965000,42182000,36763000,5419000,34839000,34839000,65912000,17252000,17252000,160185000,142415000,20265000,20265000,172256000,332441000,33706000,16649000,17057000,35593000,4388000,4388000,16617000,52210000,3532000,231665000,-29970000,6302000,211529000,68702000,280231000,332441000,3633000,1993000,2717000,-911000,7432000,-10550000,-2714000,-13264000,78000,78000,-1354000,-7186000,-7186000,341000,-6845000,5027000,12229000,-6845000,0.32172,0.08041,0.07858,0.01058,0.00892,-2.3086,4.50046,0.18631,0.03679,0.06844,0.06916,0.87099,4.8013,-0.15801,0.00999,-0.02306,-5.95842,-9.87245
"47","2022_Q2",5.89032258064516,"Down",39653000,-26345000,13308000,-9609000,-6450000,-3159000,3699000,933000,1125000,-9000,4632000,4632000,-660000,3972000,3972000,-807000,3165000,3165000,34894000,29494000,5400000,39848000,39848000,68821000,16501000,16501000,160064000,147286000,21649000,21649000,178335000,338399000,26612000,14399000,12213000,46804000,4073000,4073000,4073000,50877000,3532000,232360000,-26805000,6629000,215716000,71806000,287522000,338399000,3972000,1983000,2000,-14863000,-8906000,-6294000,3824490.52027363,-6294000,-231776.934152258,-231776.934152062,7919000,-7281000,-7281000,12000,-7269000,5682000,0,-14815000,0.33561,0.09328,0.07982,0.01101,0.00935,-4.68088,3.41988,0.17695,0,0.07559,0.07419,0.94703,5.06756,-0.35382,0.01085,-0.05081,-6.14115,-9.43336
"48","2022_Q3",7.86203125,"Up",39487000,-24052000,15435000,-10146000,-6693000,-3453000,5289000,2283000,2177000,294000,7572000,7572000,-1027000,6545000,6545000,-999000,5546000,5546000,45514000,41043000,4471000,38751000,38751000,77280000,15835000,11935000,177380000,152882000,23243000,23243000,183885000,361265000,37898000,23317000,14581000,37898000,3665000,3665000,36638000,74536000,3532000,233407000,-21259000,637000,216317000,70412000,286729000,361265000,6545000,2012000,-921000,6807000,14443000,-14560000,2480000,-12080000,146000,146000,14121000,16484000,16484000,-1035000,15449000,7301000,32973000,575000,0.39089,0.13394,0.14045,0.01934,0.01535,0.103679999999999,4.68046,0.25995,0.09127,0.13204,0.13046,0.94014,5.06619,0.01369,0.01715,0.00178,-1.71771,-2.37115
