"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","foreign_exchange_gain_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",28.2628571428571,"Down",211975000,-114212000,97763000,-63056000,-43991000,-24673000,-19318000,-18324000,-741000,34707000,740000,168000,35447000,-1766000,33681000,-8134000,25547000,24733000,24733000,24733000,172553000,35988000,145642000,145642000,81565000,26447000,14288000,426207000,77951000,242852000,152288000,53486000,4435000,400750000,826957000,70615000,26870000,423000,43322000,22553000,22553000,93168000,12870000,12870000,12870000,106038000,136865000,-401123000,993928000,-8751000,720919000,720919000,826957000,24733000,7814000,5681000,-8054000,30174000,-5818000,-5818000,-5818000,-10706000,-16524000,4194000,-16629000,-2979000,-2979000,24000,-2955000,42521000,0,36783000,0.4612,0.16373,0.11668,0.03431,0.02991,1.4872,4.57461,0.14709,0,0.42631,0.42449,3.65373,12.42621,0.63401,8,0.03371,0.05013,-4.05807,-4.97171
"2","2010_Q3",28.7765625,"Up",218558000,-119149000,99409000,-67030000,-45637000,-27682000,-17955000,-20653000,-740000,32379000,603000,424000,32982000,-466000,32516000,-10331000,22185000,22677000,22677000,22677000,177696000,41282000,150092000,150092000,85010000,30664000,18644000,443462000,81141000,241312000,151008000,52597000,4350000,398493000,841955000,85039000,30200000,1687000,53152000,23404000,23404000,108443000,12859000,12859000,12859000,121302000,126404000,-412972000,1016605000,-9384000,720653000,720653000,841955000,22677000,8207000,2361000,3911000,37156000,-9235000,-9235000,-9235000,4263000,-6606000,855000,-25089000,5461000,5461000,-167000,5294000,40586000,0,45593000,0.45484,0.14815,0.10376,0.03147,0.02693,2.01054,4.08936,0.16832,0,0.39441,0.39274,3.80127,12.53397,0.79298,8,0.03092,0.06216,-4.37826,-5.488
"3","2010_Q4",36.89140625,"Up",229807000,-120560000,109247000,-68916000,-46215000,-28068000,-18147000,-21862000,-839000,40331000,327000,-148000,40658000,0,40658000,-13411000,27247000,26151000,26151000,26151000,170505000,47447000,165423000,165423000,95842000,23940000,11043000,455710000,84809000,241050000,152418000,51592000,4806000,415935000,871645000,106146000,33908000,5752000,66486000,22292000,22292000,128438000,12500000,12500000,12500000,140938000,128790000,-430515000,1042756000,-10324000,730707000,730707000,871645000,26151000,7677000,3180000,-2600000,34408000,-8699000,-8699000,-8699000,-672000,-10619000,2806000,-17811000,5978000,5978000,187000,6165000,48008000,0,50120000,0.47539,0.1755,0.1138,0.03579,0.03,1.91656,3.54809,0.19288,0,0.46119,0.45907,4.05282,12.88657,0.8839,7,0.03519,0.06744,-3.5516,-4.22764
"4","2011_Q1",38.2420967741935,"Up",234019000,-119663000,114356000,-72378000,-49751000,-31942000,-17809000,-21736000,-891000,41978000,-278000,-613000,41700000,1052000,42752000,-13117000,29635000,28217000,28217000,28217000,171742000,46175000,130143000,130143000,112970000,176722000,11505000,591577000,87093000,114716000,79703000,9755000,4004000,287287000,878864000,105641000,34578000,5900000,65163000,30793000,8966000,136434000,12398000,12398000,12398000,148832000,130437000,-462029000,1070973000,-9349000,730032000,730032000,878864000,28217000,7511000,-1e+06,5371000,40099000,-10466000,-10466000,-6969000,1717000,-5867000,1364000,-33343000,889000,889000,518000,1407000,49489000,2.22044604925031e-16,57511000,0.48866,0.17938,0.12058,0.03865,0.03211,2.03817,4.33599,0.20387,-5.16987882845642e-26,0.50068,0.49729,4.15244,12.95371,1.02048,8,0.03801,0.07746,-3.47031,-4.09124
"5","2011_Q2",40.512380952381,"Up",237301000,-117303000,119998000,-73750000,-51234000,-28528000,-22706000,-21681000,-835000,46248000,12000,-294000,46260000,-1886000,44374000,-14246000,30128000,61634000,61634000,61634000,244497000,79685000,141218000,141218000,120508000,41199000,10252000,547422000,90745000,125224000,79703000,8920000,16204000,346785000,894207000,116514000,32413000,33256000,50845000,11495000,11019000,128009000,11792000,11792000,11792000,139801000,133954000,-499483000,1132607000,-12672000,754406000,754406000,894207000,61634000,5932000,-60821000,-11914000,-5169000,-3922000,-3922000,-3922000,-84597000,75489000,3402000,-38165000,32155000,32155000,336000,32491000,52180000,0,50590000,0.50568,0.19489,0.25973,0.0817,0.06893,0.82081,4.27643,0.18531,0,1.11347,1.10507,4.28705,13.629,0.91395,5,0.08044,0.06603,-4.68565,-5.28665
"6","2011_Q3",35.9503125,"Down",245541000,-123843000,121698000,-74961000,-51638000,-30950000,-20688000,-22487000,-836000,46737000,-420000,-833000,46317000,-66000,46251000,-13082000,33169000,32964000,32964000,32964000,256465000,92956000,145991000,145991000,118109000,47280000,13675000,567845000,93462000,123714000,79703000,8084000,18001000,303524000,871369000,91086000,35728000,990000.000000007,54368000,12729000,11928000,103815000,11854000,11854000,11854000,115669000,127726000,-525002000,1165571000,-12595000,755700000,755700000,871369000,32964000,6219000,3503000,-30029000,12657000,-7310000,-7310000,-7310000,46118000,35808000,5928000,-34893000,13572000,13572000,-97000,13475000,52956000,-3.5527136788005e-15,28699000,0.49563,0.19034,0.13425,0.04362,0.03783,0.87062,5.46978,0.15306,-8.27180612553028e-25,0.60364,0.59917,4.49635,13.83838,0.52554,7,0.04295,0.03739,-4.84298,-5.48741
"7","2011_Q4",35.7301587301587,"Down",253338000,-129785000,123553000,-74347000,-50920000,-31942000,-18978000,-22584000,-843000,49206000,-898000,-173000,48308000,-326000,47982000,-13795000,34187000,45001000,45001000,45001000,190896000,43781000,162314000,162314000,120378000,66125000,20303000,539713000,94726000,109247000,79703000,7441000,3862000,312059000,851772000,84160000,30924000,0,53236000,10276000,10276000,94436000,11388000,11388000,11388000,105824000,130330000,-587510000,1210572000,-7444000,745948000,745948000,851772000,45001000,5834000,6442000,-30042000,27235000,-6797000,-6797000,-6597000,-6306000,-12905000,1132000,-62853000,-48523000,-48523000,-1138000,-49661000,55040000,0,31996000,0.4877,0.19423,0.17763,0.06033,0.05283,0.71101,5.71512,0.14187,0,0.84504,0.84083,4.75725,14.00762,0.60083,7,0.05942,0.04225,-3.46831,-3.87953
"8","2012_Q1",38.5420967741935,"Up",247308000,-125788000,121520000,-79330000,-55350000,-36377000,-18973000,-23174000,-806000,42190000,-1011000,-706000,41179000,-67000.0000000001,41112000,-8253000,32859000,35044000,35044000,35044000,218816000,36418000,155230000,155230000,133288000,77539000,22917000,584873000,97822000,108432000,79703000,12667000,4196000,314133000,899006000,97885000,33273000,0,64612000,11089000,11089000,108974000,13107000,13107000,13107000,122081000,132144000,-596622000,1245616000,-4213000,776925000,776925000,899006000,35044000,6015000,6133000,-3607000,43585000,-10121000,-10121000,-9089000,-35051000,-45172000,3939000,-9887999.99999999,-11475000,-11475000,2734000,-8741000,48205000,5.6843418860808e-14,42730000,0.49137,0.1706,0.1417,0.04511,0.03898,1.21932,5.36709,0.15713,-6.61744490042422e-24,0.67133,0.66809,4.73761,14.88334,0.81857,8,0.04436,0.05409,-4.53928,-5.18644
"9","2012_Q2",35.9512698412698,"Down",243875000,-123992000,119883000,-77620000,-56434000,-32114000,-24320000,-20416000,-770000,42263000,-114000,-342000,42149000,-254000,41895000,-11731000,30164000,30164000,30164000,30164000,217112000,41943000,157114000,157114000,126119000,49937000,15036000,550282000,101985000,107687000,79703000,11897000,4092000,354804000,905086000,80788000,33019000,-479769.95611296,47769000,12065000,12065000,92853000,13170000,13170000,13170000,106023000,135194000,-603705000,1275780000,-8206000,799063000,799063000,905086000,30164000,5959000,3426000,-2996000,36553000,-7654000,-7654000,-7654000,-29453000,-23317000,2064000,-7711000,5525000,5525000,0,5525000,48222000,0,49303000,0.49158,0.1733,0.12369,0.03775,0.03333,1.6345,5.92638,0.13268,0,0.5801,0.57674,4.69008,15.36719,0.94817,5,0.03714,0.0607,-4.50234,-5.13716
"10","2012_Q3",36.2485714285714,"Up",247077000,-126700000,120377000,-79666000,-56560000,-32158000,-24402000,-22336000,-770000,40711000,260000,-80000,40971000,-1252000,39719000,-9366000,30353000,30653000,30653000,30653000,252853000,105368000,156146000,156146000,116689000,56062000,25473000,581750000,100992000,112079000,79703000,11127000,8989000,347040000,928790000,82333000,29216000,905728.496004769,53117000,11992000,11992000,94325000,13486000,13486000,13486000,107811000,132603000,-612310000,1306433000,-5747000,820979000,820979000,928790000,30653000,6005000,3162000,8282000,48102000,-2945000,-2945000,-2945000,33801000,30856000,-564000,-15434000,63524000,63524000,-99000,63425000,46716000,9.09494701772928e-13,61419000,0.4872,0.16477,0.12406,0.03734,0.033,2.00369,6.16751,0.13132,-1.05879118406788e-22,0.59217,0.58936,4.77314,15.86004,1.18652,5,0.03673,0.0736,-5.41256,-6.21093
