"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",4.32328125,"Up",-8500000,-2789000,-5711000,-8500000,7000,7000,-8493000,-12205000,-12205000,-12205000,-12205000,-12205000,66471000,66471000,352000,352000,66823000,230000,230000,397000,397000,627000,67450000,4066000,1088000,2978000,40000,40000,4106000,21140000,21140000,21140000,25246000,154167000,-111963000,42204000,42204000,67450000,-12205000,37000,4736000,1625000,-5807000,-50000,-50000,-50000,-50000,48000,48000,-1334000,-7191000,-7191000,-7191000,-8463000,0,-0.28919,-0.18095,16.27448,0.59819,0,-0.25698,-0.25698,0.8886,-0.19268,7.85431,7.82012
"2","2011_Q1",5.78225806451613,"Up",-6361000,-3323000,-3038000.00000001,-6361000,736000,736000,-5625000,-11851000,-11851000,-11851000,-11851000,-11851000,60392000,60392000,424000,424000,60816000,253000,253000,451000,451000,704000,61520000,3569000,1031000,2538000,43000,43000,3612000,27355000,27355000,27355000,30967000,154367000,-123814000,30553000,30553000,61520000,-11851000,35000,6665000.00000001,-632000,-5783000,-58000,-58000,-58000,-58000,-1667000,1000,-238000.000000015,-6078999.99999999,-6078999.99999999,-6078999.99999999,-6326000,0,-0.38788,-0.19264,16.83721,1.01355,0,-0.2194,-0.2194,0.56564,-0.20465,9.54663,9.4941
"3","2011_Q2",6.48079365079365,"Up",-27993000,-3352000,-24641000,-27993000,-2000,-2000,-27995000,-39008000,-39008000,-39008000,-39008000,-39008000,98831360.1753314,98831360.1753314,453838.082357891,453838.082357891,99264867.5344049,343991.362000026,343991.362000026,733161.675765009,733161.675765009,1077153.03776504,100342020.57217,5071171.12165948,1282401.69295783,3788769.42870165,470094.156745802,38703.0713877138,5541265.27840528,38476223.3176123,36311292.2104846,38476223.3176123,44017488.5960176,208995155.234739,-152670623.25847,56324531.9761523,56324531.9761523,100342020.57217,-39008000,37000,29239000,1565000,-8167000,-227000,-227000,-227000,-227000,72117000,72117000,72039000,63645000,63645000,63645000,-27956000,0,-0.305635972543226,-0.161876512247422,17.1232862797468,0.878495934972736,-7.09142200213037e-25,-0.84793,-0.84793,0.929117683301662,-0.173107569406305,10.3668948432749,10.3167307498545
"4","2011_Q3",5.26703125,"Down",-13048000,-3923000,-9125000,-13048000,8999.99999999994,8999.99999999994,-13039000,-10724000,-10724000,-10724000,-10724000,-10724000,130282000,130282000,1016000,1016000,131298000,549000,549000,974000,974000,1523000,132821000,7868000,1784000,6084000,823000,23000,8691000,40002000,36069000,40002000,48693000,257674000,-173546000,84128000,84128000,132821000,-10724000,58000,-1503000,6347000,-5822000,-165000,-165000,-165000,-165000,12232000,12232000,12232000,6245000,6245000,6245000,-12990000,0,-0.12747,-0.08074,15.10735,0.5788,1.83670992315982e-40,-0.16798,-0.16798,1.3178,-0.08639,10.02941,9.98483
"5","2011_Q4",4.52825396825397,"Down",-14409000,-3742000,-10667000,-14409000,19000,19000,-14390000,-802000,-802000,-802000,-802000,-802000,118933000,118933000,1405000,1405000,120417000,886000,886000,973000,973000,1859000,122276000,10949000,2160000,8789000,821000,21000,11770000,26394000,22661000,26394000,38164000,258460000,-174348000,84112000,84112000,122276000,-802000,77000,-12802000,2431000,-11096000,-414000,-414000,-414000,-414000,161000,161000,161000,-11349000,-11349000,-11349000,-14332000,0,-0.00953,-0.00656,10.23084,0.45373,0,-0.01178,-0.01178,1.23504,-0.00726,8.29842,8.25408
"6","2012_Q1",5.07935483870968,"Up",-16617000,-3967000,-12650000,-16617000,13000,13000,-16604000,-13244000,-13244000,-13244000,-13244000,-13244000,104713000,104713000,1313000,1313000,106105000,1141000,1141000,862000,862000,2003000,108108000,12548000,1727000,10821000,815000,15000,13363000,23138000,19605000,23138000,36501000,259199000,-187592000,71607000,71607000,108108000,-13244000,96000,-2301000,1699000,-13750000,-350000,-350000,-350000,-350000,-198000,76000,-120000,-14220000,-14220000,-14220000,-16521000,-9.86076131526265e-32,-0.18495,-0.12251,7.94021,0.50974,1.46936793852786e-39,-0.19411,-0.19411,1.04948,-0.13979,6.33818,6.30156
"7","2012_Q2",5.1047619047619,"Up",-18833000,-4848000,-13985000,-18833000,-26000,-26000,-18859000,-24470000,-24470000,-24470000,-24470000,-24470000,128008000,128008000,10803000,10803000,138811000,1177000,1177000,885000,885000,2062000,140873000,13518000,1984000,11534000,812000,12000,14330000,28843000,25510000,28843000,43173000,309762000,-212062000,97700000,97700000,140873000,-24470000,118000,7023000,-8531000,-25860000,-154000,-154000,-154000,-154000,49309000,49309000,49309000,23295000,23295000,23295000,-18715000,0,-0.25046,-0.1737,9.68674,0.44189,0,-0.32359,-0.32359,1.29198,-0.19337,6.83986,6.79701
"8","2012_Q3",5.53539682539683,"Up",-23166000,-4902000,-18264000,-23166000,3000,3000,-23163000,-23613000,-23613000,-23613000,-23613000,-23613000,110391000,110391000,9051000,9051000,119442000,1982000,1982000,956000,956000,2938000,122380000,16972000,1470000,15502000,804000,4000.00000000012,17776000,28968000,25835000,28968000,46744000,311311000,-235675000,75636000,75636000,122380000,-23613000,147000,1728000,4973000,-16765000,-953000,-953000,-953000,-953000,101000,100999.999999993,100999.999999985,-17617000,-17617000,-17617000,-23019000,3.15544362088405e-30,-0.31219,-0.19295,6.71928,0.61801,0,-0.30075,-0.30075,0.96334,-0.22574,4.79565,4.76522
"9","2012_Q4",4.51290322580645,"Down",-21927000,-5712000,-16215000,-21927000,-42000,-42000,-21969000,-17824000,-17824000,-17824000,-17824000,-17824000,95333000,95333000,7235000,7235000,102581000,2108000,2108000,951000,951000,3059000,105640000,20930000,4248000,16682000,806000,6000,21736000,24876000,21943000,24876000,46612000,312527000,-253499000,59028000,59028000,105640000,-17824000,201000,-2705000,5621000,-14707000,-375000,-375000,-375000,-375000,120000,120000,24000,-15058000,-15058000,-15058000,-21726000,0,-0.30196,-0.16872,4.71941,0.78966,0,-0.22653,-0.22653,0.75021,-0.21243,4.38797,4.34774
"10","2013_Q1",4.42416666666667,"Down",-39043000,-4061000,-34982000,-39043000,52000,52000,-38991000,-30225000,-30225000,-30225000,-30225000,-30225000,73306000,73306000,6912000,6912000,80276000,1994000,1994000,1134000,1134000,3128000,83404000,18025000,1509000,16516000,13801000,13001000,31826000,3133000,4e+05,3133000,34959000,332169000,-283724000,48445000,48445000,83404000,-30225000,192000,11526000,-2993000,-21500000,-76999.9999999999,-77000.0000000001,-77000.0000000001,-76999.9999999999,-546000,0,-449999.999999998,-22027000,-22027000,-22027000,-38851000,0,-0.6239,-0.36239,2.52234,0.72162,1.88079096131566e-37,-0.37146,-0.37146,0.59538,-0.58601,1.88685,1.87757
"11","2013_Q2",1.85125,"Down",-23783000,-4671000,-19112000,-23783000,-4000,-4000,-23787000,-12799000,-12799000,-12799000,-12799000,-12799000,55655000,55655000,4834000,4834000,60561000,1909000,1909000,876000,876000,2785000,63346000,19504000,983000,18521000,858000,58000,20362000,5091000,2558000,5091000,25453000,334416000,-296523000,37893000,37893000,63346000,-12799000,199000,-9247000,3604000,-18243000,-114000,-114000,-114000,-114000,952000,952000,706000,-17651000,-17651000,-17651000,-23584000,0,-0.33777,-0.20205,2.97422,0.67171,0,-0.15438,-0.15438,0.45706,-0.29776,2.35986,2.34012
"12","2013_Q3",3.00421875,"Up",-18496000,-3721000,-14775000,-18496000,6999.99999999998,7000.00000000001,-18489000,-18692000,-18692000,-18692000,-18692000,-18692000,38932000,38932000,4067000,4067000,43030000,1713000,1713000,860000,860000,2573000,45603000,20134000,1165000,18969000,863000,63000.0000000019,20997000,5274000,2941000,5274000,26271000,334547000,-315215000,19332000,19332000,45603000,-18692000,197000,535000,1239000,-16721000,-1000,-1000,-1000,-1000,-247000,3000,-999.999999999069,-16723000,-16723000,-16723000,-18299000,4.03896783473158e-28,-0.96689,-0.40989,2.04934,1.35894,0,-0.22498,-0.22498,0.23268,-0.75965,2.12755,2.10489
