"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","other_income","total_claims_losses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","fixed_income_securities_htm","equity_securities","real_estate_investments","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","life_policy_benefits","other_insurance_reserves","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2012_Q4",19.515,"Up",2.954e+09,6.06e+08,1.147e+09,1.201e+09,9.9e+08,7.1e+07,1.4e+08,-1.421e+09,-1.047e+09,4.86e+08,-6.8e+07,-6.8e+07,4.18e+08,4.18e+08,-1.8e+07,4e+08,4.28e+08,4.28e+08,4.28e+08,9.8468e+10,2.65e+09,8.1885e+10,1.56e+08,6.802e+09,6.975e+09,4.373e+09,3.66e+08,5.813e+09,1.06438e+11,2.15458e+11,8.9938e+10,1.9232e+10,7.0706e+10,6.106e+09,5.494e+09,9.8362e+10,2.00221e+11,7.214e+09,3.873e+09,4.15e+09,1.5237e+10,1.5237e+10,2.15458e+11,4.28e+08,-3.76e+08,5.2e+07,-6.36e+08,-4.09e+08,-1.045e+09,-2.1e+07,-9.8e+07,5.26e+08,1.09e+08,-8.84e+08,-8.84e+08,-8.84e+08,5.815e+09,0.16452,0.14489,0.02809,0.00199,13.14045,0.02699,1.54052,1.51676,10.63249,54.84333,0.07559,0.00214,0.04907,2.96708
"12","2013_Q1",23.6288333333333,"Up",2.973e+09,6.37e+08,1.189e+09,1.147e+09,9.58e+08,4.6e+07,1.43e+08,-1.551e+09,-9.52e+08,4.7e+08,-7e+07,-7e+07,4e+08,4e+08,-7.9e+07,3.21e+08,3.21e+08,3.21e+08,3.21e+08,9.9065e+10,2.554e+09,8.2744e+10,1.57e+08,7.094e+09,6.516e+09,4.23e+09,3.8e+08,6.667e+09,1.08527e+11,2.18869e+11,9.1998e+10,1.978e+10,7.2218e+10,5.655e+09,5.439e+09,1.00476e+11,2.03896e+11,7.121e+09,4.044e+09,3.808e+09,1.4973e+10,1.4973e+10,2.18869e+11,3.21e+08,2.82e+08,6.03e+08,-1.052e+09,-7.38e+08,-1.79e+09,-2.4e+07,-9e+07,1.178e+09,1.044e+09,-1.43e+08,-1.43e+08,-1.43e+08,5.767e+09,0.15809,0.10797,0.02144,0.00147,13.61758,0.02635,1.17314,1.14199,10.86526,54.72102,0.08771,0.00162,0.07477,3.27021
"13","2013_Q2",27.004375,"Up",2.839e+09,6.54e+08,1.15e+09,1.035e+09,9.58e+08,-5.9e+07,1.36e+08,-1.575e+09,-8.95e+08,3.69e+08,-6.4e+07,-6.4e+07,3.05e+08,3.05e+08,-6.6e+07,2.39e+08,2.39e+08,2.39e+08,2.39e+08,9.9285e+10,2.528e+09,8.3419e+10,1.48e+08,7.122e+09,6.068e+09,3.107e+09,4.4e+08,6.936e+09,1.14573e+11,2.24341e+11,9.1909e+10,1.9149e+10,7.276e+10,5.533e+09,4.889e+09,1.06359e+11,2.09479e+11,7.043e+09,4.238e+09,3.581e+09,1.4862e+10,1.4862e+10,2.24341e+11,2.39e+08,-4.9e+08,-2.51e+08,-1.123e+09,-1.66e+08,-1.289e+09,-3.3e+07,-1.02e+08,5.52e+08,4.17e+08,-1.123e+09,-1.123e+09,-1.123e+09,5.678e+09,0.12998,0.08418,0.01608,0.00107,14.09494,0.02531,0.88431,0.85789,10.50448,54.99032,0.1221,0.00124,0.13808,6.96748
"14","2013_Q3",33.5346875,"Up",2.999e+09,6.74e+08,1.213e+09,1.112e+09,9.83e+08,-1.7e+07,1.46e+08,-1.619e+09,-8.97e+08,4.83e+08,-6.5e+07,-6.5e+07,4.18e+08,4.18e+08,-1.01e+08,3.17e+08,3.17e+08,3.17e+08,3.17e+08,9.6167e+10,2.391e+09,8.0933e+10,2.09e+08,7.093e+09,5.541e+09,2.574e+09,4.3e+08,8.214e+09,1.15936e+11,2.23321e+11,9.2044e+10,1.8214e+10,7.383e+10,5.591e+09,5.05e+09,1.06712e+11,2.10004e+11,6.937e+09,4.487e+09,1.893e+09,1.3317e+10,1.3317e+10,2.23321e+11,3.17e+08,-1.1e+07,3.06e+08,-1.767e+09,2.53e+08,-1.514e+09,-3.2e+07,-1.48e+08,8.05e+08,6.75e+08,-5.33e+08,-5.33e+08,-5.33e+08,5.657e+09,0.16105,0.1057,0.0238,0.00142,15.76962,0.02533,1.19018,1.15006,11.25981,49.99894,0.12014,0.0016,0.10095,6.38302
"15","2013_Q4",38.16140625,"Up",3.009e+09,6.72e+08,1.18e+09,1.157e+09,1.032e+09,-2.9e+07,1.54e+08,-1.571e+09,-9.29e+08,5.09e+08,-6.7e+07,-6.7e+07,4.42e+08,4.42e+08,-1.05e+08,3.37e+08,3.37e+08,3.37e+08,3.37e+08,9.5568e+10,2.354e+09,8.0834e+10,1.85e+08,7.183e+09,5.012e+09,2.65e+09,4.27e+08,8.5e+09,1.22779e+11,2.29924e+11,9.2244e+10,1.8138e+10,7.4106e+10,4.835e+09,5.365e+09,1.13521e+11,2.16535e+11,6.886e+09,4.753e+09,1.75e+09,1.3389e+10,1.3389e+10,2.29924e+11,3.37e+08,1.12e+08,4.49e+08,-2.57e+08,-7.54e+08,-1.011e+09,-3.2e+07,-9.9e+07,4.22e+08,6.38e+08,7.6e+07,7.6e+07,7.6e+07,5.935e+09,0.16916,0.112,0.02517,0.00147,16.1726,0.02581,1.27897,1.23154,11.41961,50.8133,0.12144,0.00164,0.09496,6.45383
"16","2014_Q1",40.1675409836066,"Up",3.122e+09,6.87e+08,1.211e+09,1.224e+09,1.096e+09,-3e+07,1.58e+08,-1.607e+09,-9.8e+08,5.35e+08,-6.9e+07,-6.9e+07,4.66e+08,4.66e+08,-1.15e+08,3.51e+08,3.51e+08,3.51e+08,3.51e+08,9.5291e+10,2.282e+09,8.0775e+10,2.01e+08,7.257e+09,4.776e+09,2.364e+09,4.2e+08,8.886e+09,1.29984e+11,2.36945e+11,9.1799e+10,1.7251e+10,7.4548e+10,4.458e+09,5.32e+09,1.21388e+11,2.23493e+11,6.876e+09,5.013e+09,1.563e+09,1.3452e+10,1.3452e+10,2.36945e+11,3.51e+08,-5.6e+07,2.95e+08,-5.87e+08,-3.09e+08,-8.96e+08,-3.1e+07,-6.6e+07,4.16e+08,3.15e+08,-2.86e+08,-2.86e+08,-2.86e+08,5.848e+09,0.17136,0.11243,0.02609,0.00148,16.61411,0.02468,1.33755,1.287,11.89695,51.26132,0.11813,0.00164,0.08832,6.51215
"17","2014_Q2",39.6179365079365,"Down",3.176e+09,7.39e+08,1.208e+09,1.229e+09,1.098e+09,-1.8e+07,1.49e+08,-1.711e+09,-9.71e+08,4.94e+08,-6.7e+07,-6.7e+07,4.27e+08,4.27e+08,-9.8e+07,3.29e+08,3.29e+08,3.29e+08,3.29e+08,9.8207e+10,2.316e+09,8.3585e+10,2.07e+08,7.131e+09,4.968e+09,1.849e+09,5.04e+08,8.454e+09,1.32935e+11,2.41949e+11,9.3504e+10,1.8997e+10,7.4507e+10,4.723e+09,5.38e+09,1.23834e+11,2.27463e+11,6.805e+09,5.228e+09,2.453e+09,1.4486e+10,1.4486e+10,2.41949e+11,3.29e+08,-6.6e+07,2.63e+08,-7.43e+08,3.66e+08,-3.77e+08,-4.2e+07,-1.54e+08,2.95e+08,-4.01e+08,-5.15e+08,-5.15e+08,-5.15e+08,5.402e+09,0.15554,0.10359,0.02271,0.00136,15.70226,0.02233,1.2522,1.20905,12.08806,55.13466,0.15985,0.00156,0.12766,7.19231
"18","2014_Q3",42.7659375,"Up",3.281e+09,7.55e+08,1.207e+09,1.319e+09,1.134e+09,3.4e+07,1.51e+08,-1.715e+09,-9.63e+08,6.03e+08,-6.7e+07,-6.7e+07,5.36e+08,5.36e+08,-1.38e+08,3.98e+08,3.98e+08,3.98e+08,3.98e+08,1.00958e+11,2.339e+09,8.6109e+10,2.56e+08,7.128e+09,5.126e+09,1.509e+09,4.65e+08,8.149e+09,1.38044e+11,2.49125e+11,9.4195e+10,1.946e+10,7.4735e+10,4.776e+09,5.17e+09,1.29273e+11,2.33674e+11,6.739e+09,5.513e+09,3.199e+09,1.5451e+10,1.5451e+10,2.49125e+11,3.98e+08,-2.9e+08,1.08e+08,-7.94e+08,6.6e+07,-7.28e+08,-4.2e+07,-1.46e+08,4.68e+08,2.8e+08,-3.4e+08,-3.4e+08,-3.4e+08,5.43e+09,0.18379,0.1213,0.02576,0.0016,15.12355,0.0218,1.51753,1.47992,12.51005,58.91278,0.16014,0.0018,0.10553,6.50249
"19","2014_Q4",43.90890625,"Up",3.412e+09,7.42e+08,1.212e+09,1.458e+09,1.216e+09,9e+07,1.52e+08,-1.749e+09,-9.95e+08,6.68e+08,-6.7e+07,-6.7e+07,6.01e+08,6.01e+08,-1.62e+08,4.39e+08,4.39e+08,4.39e+08,4.39e+08,1.01385e+11,2.134e+09,8.5946e+10,2.34e+08,7.486e+09,5.585e+09,1.821e+09,4.48e+08,8.372e+09,1.3642e+11,2.48446e+11,9.4446e+10,1.9553e+10,7.4893e+10,4.99e+09,5.186e+09,1.28105e+11,2.32994e+11,6.696e+09,5.834e+09,2.922e+09,1.5452e+10,1.5452e+10,2.48446e+11,4.39e+08,2.85e+08,7.24e+08,-4.85e+08,-1.32e+08,-6.17e+08,-4.2e+07,-1.27e+08,3.74e+08,2.05e+08,3.12e+08,3.12e+08,3.12e+08,5.453e+09,0.19578,0.12866,0.02841,0.00177,15.07857,0.02195,1.6862,1.64566,13.10551,59.35121,0.16132,0.00198,0.09567,5.43713
"20","2015_Q1",45.2196721311475,"Up",3.685e+09,7.52e+08,1.232e+09,1.701e+09,1.225e+09,-1.06e+08,5.82e+08,-2.036e+09,-1.15e+09,4.99e+08,-6.6e+07,-6.6e+07,4.33e+08,4.33e+08,-8.5e+07,3.48e+08,3.49e+08,3.49e+08,3.49e+08,1.02967e+11,2.065e+09,8.6838e+10,2.31e+08,7.594e+09,6.239e+09,3.919e+09,4.73e+08,8.207e+09,1.37811e+11,2.53377e+11,9.5569e+10,2.0057e+10,7.5512e+10,5.494e+09,5.27e+09,1.31041e+11,2.37637e+11,6.622e+09,6.022e+09,3.096e+09,1.574e+10,1.574e+10,2.53377e+11,3.49e+08,6.6e+08,1.009e+09,1.38e+08,-8.51e+08,-7.13e+08,-4.4e+07,-1.91e+08,2.037e+09,1.802e+09,2.098e+09,2.098e+09,2.098e+09,5.533e+09,0.13541,0.09471,0.02217,0.00138,15.09765,0.02184,1.35191,1.32174,14.27443,60.97137,0.17044,0.00159,0.12607,3.23447
