"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","other_income","total_claims_losses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","fixed_income_securities_htm","equity_securities","real_estate_investments","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","life_policy_benefits","other_insurance_reserves","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"21","2015_Q2",47.5736507936508,"Up",3.304e+09,7.9e+08,1.187e+09,1.327e+09,1.222e+09,-4.8e+07,1.53e+08,-1.861e+09,-1.013e+09,4.3e+08,-6.8e+07,-6.8e+07,3.62e+08,3.62e+08,-6.2e+07,3e+08,3e+08,3e+08,3e+08,1.06015e+11,2.077e+09,8.9411e+10,2.1e+08,7.673e+09,6.644e+09,3.487e+09,4.52e+08,8.156e+09,1.40375e+11,2.58485e+11,9.6131e+10,2.0468e+10,7.5663e+10,6.081e+09,5.627e+09,1.34168e+11,2.42262e+11,6.493e+09,6.077e+09,3.653e+09,1.6223e+10,1.6223e+10,2.58485e+11,3e+08,-4e+06,2.96e+08,-1.446e+09,4.11e+08,-1.035e+09,-5.2e+07,-3.38e+08,3.99e+08,3.07e+08,-4.32e+08,-4.32e+08,-4.32e+08,5.882e+09,0.13015,0.0908,0.01849,0.00116,14.93324,0.02276,1.17419,1.15136,12.93173,63.49619,0.20353,0.00139,0.17333,5.56977
"22","2015_Q3",43.71796875,"Down",3.381e+09,7.82e+08,1.187e+09,1.412e+09,1.238e+09,1e+07,1.64e+08,-1.849e+09,-1.014e+09,5.18e+08,-6.9e+07,-6.9e+07,4.49e+08,4.49e+08,-1.05e+08,3.44e+08,3.44e+08,3.44e+08,3.44e+08,1.02009e+11,1.949e+09,8.602e+10,2.27e+08,8.195e+09,5.618e+09,2.327e+09,4.15e+08,9.15e+09,1.41313e+11,2.55214e+11,9.6409e+10,2.0166e+10,7.6243e+10,5.559e+09,5.529e+09,1.33015e+11,2.40515e+11,6.469e+09,6.286e+09,1.944e+09,1.4699e+10,1.4699e+10,2.55214e+11,3.44e+08,-5.8e+07,2.86e+08,-5.06e+08,-5.93e+08,-1.099e+09,-5e+07,-1.18e+08,70999999.9999998,-3.47e+08,-1.16e+09,-1.16e+09,-1.16e+09,5.532e+09,0.15321,0.10175,0.0234,0.00135,16.36268,0.02168,1.36601,1.34308,13.42577,58.36893,0.19855,0.00158,0.14535,6.18726
"23","2015_Q4",42.84375,"Down",3.715e+09,8.26e+08,1.253e+09,1.636e+09,1.469e+09,2.7e+07,1.4e+08,-1.949e+09,-1.432e+09,3.34e+08,-6.7e+07,-6.7e+07,2.67e+08,2.67e+08,-4e+07,2.27e+08,2.27e+08,2.27e+08,2.27e+08,1.03199e+11,1.914e+09,8.6104e+10,2.42e+08,8.452e+09,6.487e+09,3.772e+09,3.83e+08,8.866e+09,1.33312e+11,2.49532e+11,9.6974e+10,2.0523e+10,7.6451e+10,6.205e+09,5.604e+09,1.26346e+11,2.35131e+11,6.38e+09,6.358e+09,1.663e+09,1.4401e+10,1.4401e+10,2.49532e+11,2.27e+08,6.78e+08,9.05e+08,-3.98e+08,3.85e+08,-1.3e+07,-5.1e+07,-2e+08,8.04e+08,5.53e+08,1.445e+09,1.445e+09,1.445e+09,5.606e+09,0.08991,0.0611,0.01576,0.00091,16.32741,0.02247,0.91099,0.89666,14.90897,57.79382,0.20467,0.00114,0.22467,5.49102
"24","2016_Q1",32.1431147540984,"Down",3.172e+09,8.48e+08,1.2e+09,1.124e+09,1.116e+09,-1.4e+08,1.48e+08,-1.893e+09,-8.59e+08,4.2e+08,-6.8e+07,-6.8e+07,3.52e+08,3.52e+08,-6.9e+07,2.83e+08,2.83e+08,2.83e+08,2.83e+08,1.02208e+11,1.854e+09,8.5562e+10,2.37e+08,8.695e+09,5.86e+09,3.146e+09,3.76e+08,9.51e+09,1.36668e+11,2.51908e+11,9.807e+10,2.0708e+10,7.7362e+10,5.48e+09,5.553e+09,1.29184e+11,2.38291e+11,6.298e+09,6.474e+09,8.45e+08,1.3617e+10,1.3617e+10,2.51908e+11,2.83e+08,4.73e+08,7.56e+08,-1.32e+09,-7.56e+08,-2.076e+09,-5.1e+07,-1.97e+08,9.42e+08,6.94e+08,-6.26e+08,-6.26e+08,-6.26e+08,5.557e+09,0.13241,0.08922,0.02078,0.00112,17.49952,0.02206,1.15034,1.13245,12.89361,55.35068,0.20731,0.00136,0.18021,5.74048
"25","2016_Q2",35.14578125,"Up",3.243e+09,8.16e+08,1.172e+09,1.255e+09,1.235e+09,-1.14e+08,1.34e+08,-1.964e+09,-9.76e+08,3.03e+08,-6.8e+07,-6.8e+07,2.35e+08,2.35e+08,-2.4e+07,2.11e+08,2.11e+08,2.11e+08,2.11e+08,1.06371e+11,1.864e+09,8.8663e+10,2.45e+08,8.933e+09,6.666e+09,3.177e+09,4.01e+08,8.984e+09,1.36785e+11,2.55718e+11,9.8913e+10,2.1438e+10,7.7475e+10,5.804e+09,5.65e+09,1.30693e+11,2.4106e+11,6.162e+09,6.565e+09,1.931e+09,1.4658e+10,1.4658e+10,2.55718e+11,2.11e+08,8.7e+07,2.98e+08,-5.2e+08,-2.93e+08,-8.13e+08,-6e+07,-2.1e+08,8.16e+08,5.46e+08,3.1e+07,3.1e+07,3.1e+07,5.65e+09,0.09343,0.06506,0.01439,0.00083,16.44563,0.02209,0.87307,0.8608,13.41877,60.65136,0.24827,0.00108,0.28436,8.16172
"26","2016_Q3",37.35109375,"Up",3.308e+09,7.28e+08,1.199e+09,1.381e+09,1.288e+09,-4.5e+07,1.38e+08,-1.848e+09,-9.77e+08,4.83e+08,-6.8e+07,-6.8e+07,4.15e+08,4.15e+08,-9e+07,3.25e+08,3.25e+08,3.25e+08,3.25e+08,1.10587e+11,1.812e+09,9.2061e+10,2.77e+08,9.278e+09,7.159e+09,4.113e+09,3.7e+08,8.28e+09,1.39678e+11,2.63028e+11,9.9605e+10,2.2147e+10,7.7458e+10,8.511e+09,5.46e+09,1.33282e+11,2.47108e+11,6.009e+09,6.716e+09,3.195e+09,1.592e+10,1.592e+10,2.63028e+11,3.25e+08,-8.7e+07,2.38e+08,-5.6e+08,-3.41e+08,-9.01e+08,-6.2e+07,-2.76e+08,1.937e+09,1.599e+09,9.36e+08,9.36e+08,9.36e+08,5.71e+09,0.14601,0.09825,0.02041,0.00124,15.52186,0.02171,1.37442,1.35481,13.98949,67.32549,0.2622,0.00152,0.19077,3.30642
"27","2016_Q4",48.7792063492063,"Up",3.525e+09,7.08e+08,1.259e+09,1.558e+09,1.376e+09,3.8e+07,1.44e+08,-1.564e+09,-1.283e+09,6.78e+08,-6.6e+07,-6.6e+07,6.12e+08,6.12e+08,-1.46e+08,4.66e+08,4.66e+08,4.66e+08,4.66e+08,1.11591e+11,1.808e+09,9.3232e+10,2.73e+08,9.453e+09,6.825e+09,3.444e+09,3.55e+08,8.02e+09,1.43195e+11,2.66605e+11,1.00083e+11,2.212e+10,7.7963e+10,7.833e+09,5.457e+09,1.36659e+11,2.50282e+11,5.909e+09,7.037e+09,3.377e+09,1.6323e+10,1.6323e+10,2.66605e+11,4.66e+08,-3.22e+08,1.44e+08,-7.86e+08,-1.76e+08,-9.62e+08,-5.8e+07,-1.98e+08,4.05e+08,1.49e+08,-6.69e+08,-6.69e+08,-6.69e+08,5.707e+09,0.19234,0.1322,0.02855,0.00175,15.33309,0.02141,2.01747,1.98611,15.2609,70.6677,0.2511,0.00202,0.12446,3.33776
"28","2017_Q1",57.5833870967742,"Up",3.254e+09,7.35e+08,1.244e+09,1.275e+09,1.345e+09,-2.18e+08,1.48e+08,-1.88e+09,-1.041e+09,3.33e+08,-1.29e+08,-1.29e+08,2.04e+08,1.96e+08,-6e+06,1.9e+08,1.9e+08,1.9e+08,1.9e+08,1.06721e+11,1.712e+09,8.9213e+10,2.75e+08,9.913e+09,5.608e+09,2.722e+09,4.3e+08,9.134e+09,1.4262e+11,2.61627e+11,1.00479e+11,2.1576e+10,7.8903e+10,7.048e+09,5.345e+09,1.34277e+11,2.47149e+11,5.869e+09,7.043e+09,1.566e+09,1.4478e+10,1.4478e+10,2.61627e+11,1.9e+08,4.02e+08,5.92e+08,-9.24e+08,-4.81e+08,-1.405e+09,-5.8e+07,-1.69e+08,5.23e+08,9.1e+07,-7.22e+08,-7.22e+08,-7.22e+08,5.345e+09,0.10234,0.05839,0.01312,0.00073,17.07066,0.02043,0.83478,0.83449,14.29671,63.61025,0.25483,0.00097,0.30526,7.87688
"29","2017_Q2",55.9250793650794,"Down",3.5e+09,8.07e+08,1.238e+09,1.455e+09,1.354e+09,-3.9e+07,1.4e+08,-1.937e+09,-1.015e+09,5.48e+08,-6.4e+07,-6.4e+07,4.84e+08,4.75e+08,-4e+07,4.35e+08,4.35e+08,4.35e+08,4.35e+08,1.08633e+11,1.703e+09,9.1102e+10,2.76e+08,1.0025e+10,5.527e+09,1.923e+09,4.65e+08,9.03e+09,1.47417e+11,2.67468e+11,1.0128e+11,2.2202e+10,7.9078e+10,7.103e+09,5.133e+09,1.38779e+11,2.52495e+11,5.839e+09,7.287e+09,1.847e+09,1.4973e+10,1.4973e+10,2.67468e+11,4.35e+08,-3.26e+08,1.09e+08,-1.357e+09,-1.1e+08,-1.467e+09,-6.5e+07,-1.71e+08,7.95e+08,5.59e+08,-7.99e+08,-7.99e+08,-7.99e+08,5.333e+09,0.15657,0.12429,0.02905,0.00163,16.86335,0.01994,1.92802,1.89045,15.51282,66.36386,0.2881,0.00192,0.14943,6.22263
"30","2017_Q3",59.9347619047619,"Up",3.577e+09,8.01e+08,1.261e+09,1.515e+09,1.393e+09,-1e+07,1.32e+08,-1.934e+09,-1.033e+09,6.1e+08,-6.3e+07,-6.3e+07,5.47e+08,5.33e+08,-1.22e+08,4.11e+08,4.11e+08,4.11e+08,4.11e+08,1.10639e+11,1.678e+09,9.3014e+10,2.75e+08,1.0046e+10,5.626e+09,1.978e+09,3.65e+08,8.555e+09,1.50114e+11,2.71651e+11,1.01509e+11,2.2293e+10,7.9216e+10,6.869e+09,4.901e+09,1.41926e+11,2.55655e+11,5.774e+09,7.511e+09,2.711e+09,1.5996e+10,1.5996e+10,2.71651e+11,4.11e+08,-3.18e+08,92999999.9999999,-4.74e+08,-5.1e+07,-5.25e+08,-6.7e+07,-1.96e+08,7.5e+08,4.87e+08,5.5e+07,5.5e+07,5.5e+07,5.351e+09,0.17053,0.1149,0.02569,0.00151,15.98243,0.0197,1.83857,1.80816,16.00133,71.55642,0.29972,0.00181,0.16302,5.52951
"31","2017_Q4",64.5128571428571,"Up",3.511e+09,7.74e+08,1.239e+09,1.498e+09,1.401e+09,-5.6e+07,1.53e+08,-1.908e+09,-1.02e+09,5.83e+08,-6.3e+07,-6.3e+07,5.2e+08,5.1e+08,-9.2e+07,4.18e+08,4.18e+08,4.18e+08,4.18e+08,1.11714e+11,1.665e+09,9.3767e+10,3.02e+08,1.0393e+10,5.587e+09,1.965e+09,3.7e+08,8.543e+09,1.54193e+11,2.76785e+11,1.0217e+11,2.2547e+10,7.9623e+10,6.84e+09,4.9e+09,1.46111e+11,2.60471e+11,5.717e+09,7.738e+09,2.859e+09,1.6314e+10,1.6314e+10,2.76785e+11,4.18e+08,-1.1e+07,4.07e+08,-4.3e+08,-4.52e+08,-8.82e+08,-6.6e+07,-1.95e+08,7.23e+08,4.62e+08,-1.3e+07,-1.3e+07,-1.3e+07,5.35e+09,0.16605,0.11905,0.02562,0.00151,15.9661,0.01933,1.89335,1.85998,15.90326,73.89515,0.29895,0.00179,0.15789,5.80617
"32","2018_Q1",67.147868852459,"Up",3.669e+09,8.74e+08,1.252e+09,1.543e+09,1.471e+09,-6.5e+07,1.37e+08,-1.971e+09,-1.108e+09,5.9e+08,-6.3e+07,-6.3e+07,5.27e+08,-3.88e+08,1.203e+09,8.15e+08,8.15e+08,8.15e+08,8.15e+08,1.13089e+11,1.62e+09,9.484e+10,2.46e+08,1.0773e+10,5.61e+09,1.628e+09,3.96e+08,8.403e+09,1.58247e+11,2.81763e+11,1.03096e+11,2.2887e+10,8.0209e+10,6.235e+09,4.894e+09,1.49766e+11,2.64441e+11,5.693e+09,8.399e+09,3.23e+09,1.7322e+10,1.7322e+10,2.81763e+11,8.15e+08,-6.36e+08,1.79e+08,-3.89e+08,-4.96e+08,-8.85e+08,-6.4e+07,-1.17e+08,5.5e+08,3.69e+08,-3.37e+08,-3.37e+08,-3.37e+08,5.344e+09,0.16081,0.22213,0.04705,0.00289,15.26619,0.01897,3.72863,3.6589,16.78571,79.24832,0.2928,0.00319,0.07853,6.29831
"33","2018_Q2",58.85421875,"Down",3.609e+09,7.77e+08,1.233e+09,1.599e+09,1.456e+09,1.2e+07,1.31e+08,-2.011e+09,-1.057e+09,5.41e+08,-9.1e+07,-9.1e+07,4.5e+08,4.35e+08,-6.8e+07,3.67e+08,3.67e+08,3.67e+08,3.67e+08,1.10047e+11,1.553e+09,9.2059e+10,1.12e+08,1.1058e+10,5.265e+09,2.257e+09,4.8e+08,9.289e+09,1.57164e+11,2.79237e+11,1.03633e+11,2.2923e+10,8.071e+10,6.026e+09,5.648e+09,1.47695e+11,2.63252e+11,5.7e+09,8.052e+09,2.233e+09,1.5985e+10,1.5985e+10,2.79237e+11,3.67e+08,-2.27e+08,1.4e+08,-2.25e+08,-3.38e+08,-5.63e+08,-7.2e+07,-9e+06,5.26e+08,1.052e+09,6.29e+08,6.29e+08,6.29e+08,5.898e+09,0.1499,0.10169,0.02296,0.00131,16.46869,0.02112,1.68064,1.65101,16.52707,73.20178,0.32972,0.00161,0.19619,6.73013
"34","2018_Q3",57.0574603174603,"Down",4.02e+09,1.166e+09,1.232e+09,1.622e+09,1.47e+09,-7e+06,1.59e+08,-2.308e+09,-1.177e+09,5.35e+08,-6.8e+07,-6.8e+07,4.67e+08,4.51e+08,-65999999.9999999,3.85e+08,3.85e+08,3.85e+08,3.85e+08,1.12007e+11,1.45e+09,9.306e+10,1.12e+08,1.2228e+10,5.157e+09,1.775e+09,5.74e+08,9.904e+09,1.74572e+11,2.98832e+11,1.22416e+11,3.3718e+10,8.8698e+10,6.436e+09,5.826e+09,1.48977e+11,2.83655e+11,5.674e+09,8.302e+09,1.201e+09,1.5177e+10,1.5177e+10,2.98832e+11,3.85e+08,1.07e+08,4.92e+08,-3.9e+08,-2.008e+09,-2.398e+09,-7.3e+07,-9.9e+07,1.646e+09,1.424e+09,-4.82e+08,-4.82e+08,-4.82e+08,5.826e+09,0.13308,0.09577,0.02537,0.00129,18.68979,0.0195,1.76609,1.73734,18.44077,69.62079,0.33487,0.00157,0.18961,7.57196
"35","2018_Q4",52.791746031746,"Down",4.264e+09,1.322e+09,1.271e+09,1.671e+09,1.549e+09,-5.6e+07,1.78e+08,-2.279e+09,-1.366e+09,6.19e+08,-6.9e+07,-6.9e+07,5.5e+08,5.32e+08,-4.2e+07,4.9e+08,4.9e+08,4.9e+08,4.9e+08,1.12686e+11,1.44e+09,9.3161e+10,1.12e+08,1.2573e+10,5.4e+09,1.46e+09,5.92e+08,1.0014e+10,1.79098e+11,3.0385e+11,1.23894e+11,3.3988e+10,8.9906e+10,5.966e+09,5.804e+09,1.53116e+11,2.8878e+11,5.619e+09,8.615e+09,8.36e+08,1.507e+10,1.507e+10,3.0385e+11,4.9e+08,-8.8e+07,4.02e+08,-8.09e+08,-4.92e+08,-1.301e+09,-7.2e+07,-1.74e+08,8.3e+08,5.84e+08,-3.15e+08,-3.15e+08,-3.15e+08,5.804e+09,0.14517,0.11492,0.03251,0.00161,19.16257,0.0191,2.26982,2.2334,19.75206,69.80853,0.33352,0.00189,0.14694,7.01777
"36","2019_Q1",51.7811475409836,"Down",4.531e+09,1.336e+09,1.349e+09,1.846e+09,1.511e+09,1.92e+08,1.43e+08,-2.805e+09,-1.163e+09,5.63e+08,-6.9e+07,-6.9e+07,4.94e+08,4.67e+08,-6.8e+07,3.99e+08,3.99e+08,3.99e+08,3.99e+08,1.15216e+11,1.95e+09,9.4024e+10,9.9e+07,1.3272e+10,5.871e+09,2.345e+09,5.7e+08,1.0264e+10,1.69752e+11,2.98147e+11,1.25881e+11,3.4648e+10,9.1233e+10,6.548e+09,5.839e+09,1.45529e+11,2.83797e+11,5.392e+09,8.551e+09,4.07e+08,1.435e+10,1.435e+10,2.98147e+11,3.99e+08,5.22e+08,8.2e+08,-1.554e+09,9e+07,-1.464e+09,-7.2e+07,-6.24e+08,2.225e+09,1.529e+09,8.85e+08,8.85e+08,8.85e+08,5.839e+09,0.12426,0.08806,0.0278,0.00134,19.77679,0.01958,1.88648,1.85649,21.42263,67.84698,0.34042,0.00162,0.18045,6.20604
"37","2019_Q2",56.1931746031746,"Up",3.965e+09,1.446e+09,1.251e+09,1.268e+09,1.475e+09,-3.62e+08,1.55e+08,-2.435e+09,-1.176e+09,3.54e+08,-7.1e+07,-7.1e+07,2.83e+08,2.68e+08,-1.6e+07,2.52e+08,2.52e+08,2.52e+08,2.52e+08,1.21745e+11,3.314e+09,9.805e+10,1.53e+08,1.3997e+10,6.231e+09,1.593e+09,6.07e+08,9.441e+09,1.80913e+11,3.14299e+11,1.27968e+11,3.4009e+10,9.3959e+10,7.301e+09,5.572e+09,1.56741e+11,2.97882e+11,5.285e+09,8.679e+09,2.453e+09,1.6417e+10,1.6417e+10,3.14299e+11,2.52e+08,-1.583e+09,-1.331e+09,-5.67e+08,-5.66e+08,-1.133e+09,-7.7e+07,-1.76e+08,1.965e+09,1.712e+09,-7.52e+08,-7.52e+08,-7.52e+08,5.872e+09,0.08928,0.06356,0.01535,8e-04,18.14473,0.01868,1.23354,1.22353,19.40861,80.36095,0.37691,0.00107,0.30556,12.08757
"38","2019_Q3",52.89796875,"Down",4.31e+09,1.399e+09,1.355e+09,1.556e+09,1.516e+09,-1.18e+08,1.58e+08,-2.533e+09,-1.27e+09,5.07e+08,-7e+07,-7e+07,4.37e+08,4.21e+08,-5.7e+07,3.64e+08,3.64e+08,3.64e+08,3.64e+08,1.2638e+11,4.522e+09,9.9733e+10,1.96e+08,1.509e+10,6.839e+09,3.314e+09,5.53e+08,8.588e+09,1.83424e+11,3.22259e+11,1.29837e+11,3.489e+10,9.4947e+10,7.738e+09,5.621e+09,1.60308e+11,3.03804e+11,5.241e+09,8.878e+09,4.336e+09,1.8455e+10,1.8455e+10,3.22259e+11,3.64e+08,-1.595e+09,-1.231e+09,1.76e+09,-6.86e+08,1.074e+09,-7.6e+07,-1.48e+08,2.102e+09,1.878e+09,1.721e+09,1.721e+09,1.721e+09,5.921e+09,0.11763,0.08445,0.01972,0.00113,16.46188,0.01837,1.80661,1.79407,21.39141,91.59595,0.3772,0.0014,0.20879,5.14201
"39","2019_Q4",52.40828125,"Down",4.638e+09,1.325e+09,1.236e+09,2.077e+09,1.934e+09,-1.1e+07,1.54e+08,-3.207e+09,-1.553e+09,-1.22e+08,-1.13e+08,-1.13e+08,-2.35e+08,-2.51e+08,8.9e+07,-1.62e+08,-1.62e+08,-1.62e+08,-1.62e+08,1.3252e+11,4.691e+09,1.03659e+11,1.58e+08,1.5947e+10,8.065e+09,2.939e+09,4.4e+08,7.492e+09,1.81887e+11,3.25278e+11,1.31391e+11,3.6108e+10,9.5283e+10,7.684e+09,6.07e+09,1.59834e+11,3.05279e+11,5.192e+09,8.559e+09,6.248e+09,1.9999e+10,1.9999e+10,3.25278e+11,-1.62e+08,-1.33e+08,-2.95e+08,-1.001e+09,-1.225e+09,-2.226e+09,-7.4e+07,-1.46e+08,1.979e+09,2.146e+09,-3.75e+08,-3.75e+08,-3.75e+08,6.37e+09,-0.0263,-0.03493,-0.0081,-5e-04,15.26471,0.01958,-0.81342,-0.80776,23.28777,100.4166,0.37156,-0.00028,-0.45679,-28.12295
"40","2020_Q1",42.5379032258065,"Down",4.345e+09,1.343e+09,1.381e+09,1.621e+09,1.572e+09,-1.19e+08,1.68e+08,-2.485e+09,-1.288e+09,5.72e+08,-7.2e+07,-7.2e+07,5e+08,4.81e+08,-49000000.0000001,4.32e+08,4.32e+08,4.32e+08,4.32e+08,1.33697e+11,4.673e+09,1.052e+11,1.03e+08,16563939400.4869,2.3721e+10,2.563e+09,4.65e+08,7.694e+09,1.90342e+11,3.34761e+11,1.34438e+11,3.642e+10,9.8018e+10,7.219e+09,6.067e+09,1.67048e+11,3.15072e+11,5.162e+09,8.854e+09,5.673e+09,1.9689e+10,1.9689e+10,3.34761e+11,4.32e+08,1.367e+09,1.71e+08,-2.14e+09,-1.074e+09,-3.214e+09,-7.6e+07,-1e+08,2.794e+09,2.667e+09,-3.76e+08,-3.76e+08,-3.76e+08,6.367e+09,0.13165,0.09942,0.02194,0.00129,16.00244,0.01902,2.18733,2.1707,21.99987,99.69055,0.38481,0.00155,0.17593,6.65035
"41","2020_Q2",31.91,"Down",4.425e+09,1.373e+09,1.375e+09,1.677e+09,1.539e+09,-2.4e+07,1.62e+08,-3.226e+09,-1.085e+09,1.14e+08,-6.8e+07,-6.8e+07,4.6e+07,3.4e+07,1.8e+07,5.2e+07,5.2e+07,5.2e+07,5.2e+07,1.35252e+11,4.019e+09,1.02606e+11,8.3e+07,1.6791e+10,1.1753e+10,6.202e+09,5.62e+08,9.212e+09,1.67421e+11,3.18649e+11,1.36608e+11,3.71e+10,9.9508e+10,1.0277e+10,6.748e+09,1.48441e+11,3.02074e+11,5.071e+09,8.5e+09,3.004e+09,1.6575e+10,1.6575e+10,3.18649e+11,5.2e+07,9.9e+07,4.55e+08,-1.878e+09,2.62e+09,7.42e+08,-7.9e+07,-2.34e+08,2.556e+09,2.442e+09,3.639e+09,3.639e+09,3.639e+09,6.748e+09,0.02576,0.01175,0.00314,0.00016,18.22468,0.02118,0.26656,0.26361,22.68337,84.96654,0.40497,0.00042,1.51923,4.78947
"42","2020_Q3",32.75421875,"Up",3.517e+09,1.342e+09,1.172e+09,1.003e+09,1.458e+09,-6.47e+08,1.92e+08,-2.458e+09,-1.122e+09,-6.3e+07,-8.4e+07,-8.4e+07,-1.47e+08,-1.61e+08,6.7e+07,-94000000.0000001,-9.4e+07,-9.4e+07,-9.4e+07,1.44917e+11,4.651e+09,1.13519e+11,8.7e+07,1.6578e+10,1.0082e+10,4.201e+09,4.9e+08,7.012e+09,1.83039e+11,3.39659e+11,1.39141e+11,3.8604e+10,1.00537e+11,9.143e+09,6.736e+09,1.63908e+11,3.18928e+11,5.081e+09,8.327e+09,7.323e+09,2.0731e+10,2.0731e+10,3.39659e+11,-9.4e+07,6e+08,5.16e+08,-2.676e+09,-1.43e+09,-4.106e+09,-7.7e+07,-1000000.00000003,1.686e+09,1.589e+09,-2.001e+09,-2.001e+09,-2.001e+09,6.736e+09,-0.01791,-0.02673,-0.00453,-0.00028,15.38411,0.01983,-0.48647,-0.48154,18.20124,107.28746,0.39849,-4.99999999999999e-05,-0.81915,-40.2381
"43","2020_Q4",39.46078125,"Up",5.361e+09,1.293e+09,1.458e+09,2.61e+09,1.815e+09,6.28e+08,1.67e+08,-3.215e+09,-1.6e+09,5.46e+08,-6.6e+07,-6.6e+07,4.8e+08,4.61e+08,-6.3e+07,3.98e+08,3.98e+08,3.98e+08,3.98e+08,1.49515e+11,4.633e+09,1.18252e+11,1.22e+08,1.6541e+10,9.967e+09,2.595e+09,4.98e+08,6.307e+09,1.88889e+11,3.47804e+11,1.42657e+11,4.0089e+10,1.02568e+11,8.679e+09,6.714e+09,1.68205e+11,3.26255e+11,5.093e+09,8.647e+09,7.809e+09,2.1549e+10,2.1549e+10,3.47804e+11,3.98e+08,-6.82e+08,-6.3e+08,-2.881e+09,-2e+08,-3.081e+09,-7.7e+07,-1e+06,2.17e+09,2.105e+09,-1.606e+09,-1.606e+09,-1.606e+09,6.714e+09,0.10185,0.07424,0.01847,0.00114,15.14015,0.0193,2.05957,2.03737,27.74211,111.51179,0.39846,0.0014,0.19347,7.54396
"44","2021_Q1",51.7237704918033,"Up",4.136e+09,1.364e+09,1.505e+09,1.267e+09,1.559e+09,-4.7e+08,1.78e+08,-2.701e+09,-1.325e+09,1.1e+08,-6.6e+07,-6.6e+07,43999999.9999999,89000000.0000001,5.4e+07,1.43e+08,1.43e+08,1.43e+08,1.43e+08,1.53956e+11,4.501e+09,1.23044e+11,1.29e+08,16819714764.2468,2.6282e+10,1.708e+09,4.86e+08,5.812e+09,2.03986e+11,3.65948e+11,1.46219e+11,4.0814e+10,1.05405e+11,8.56e+09,6.682e+09,1.81788e+11,3.43249e+11,5092526371.71876,8.686e+09,8.931e+09,2.2699e+10,2.2699e+10,3.65948e+11,1.43e+08,8.54e+08,1.93e+08,-2.546e+09,-4.9e+08,-3.036e+09,-7.8e+07,-4.6e+07,2.08e+09,1.956e+09,-8.87e+08,-8.87e+08,-8.87e+08,6.682e+09,0.0266,0.03457,0.0063,0.00039,15.12177,0.01826,0.74135,0.75248,21.44212,91.33118,0.40437,0.00062,0.54545,45.21818
"45","2021_Q2",62.1912698412698,"Up",4.534e+09,1.406e+09,1.51e+09,1.618e+09,1.592e+09,-1.81e+08,2.07e+08,-2.963e+09,-1.244e+09,3.27e+08,-6.5e+07,-6.5e+07,2.62e+08,2.62e+08,-3.7e+07,2.25e+08,2.25e+08,2.25e+08,2.25e+08,1.48559e+11,4.365e+09,1.17313e+11,1.23e+08,17239164941.0151,2.6758e+10,1.35e+09,6.53e+08,7.665e+09,2.08533e+11,3.6676e+11,1.46593e+11,3.9591e+10,1.07002e+11,9.817e+09,6.294e+09,1.84163e+11,3.47167e+11,5.057e+09,8.775e+09,5.761e+09,1.9593e+10,1.9593e+10,3.6676e+11,2.25e+08,6.7e+07,-6.42e+08,-1.35e+09,6.38e+08,-7.12e+08,-8e+07,-9.8e+07,1.174e+09,9.96e+08,-3.58e+08,-3.58e+08,-3.58e+08,6.594e+09,0.07212,0.04963,0.01148,0.00061,17.71893,0.01798,1.17322,1.1654,23.64166,102.16387,0.41714,0.00085,0.35556,16.0367
