"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",36.6671428571429,"Up",1.203e+09,-812100000,390900000,-212100000,-212100000,178800000,-1.8e+07,-17800000,-2e+05,160800000,160800000,-56300000,104500000,104500000,104500000,104500000,231100000,231100000,742700000,633500000,190500000,0,65700000,1797800000,532200000,2.061e+09,1522200000,319900000,78100000,140800000,2593200000,4.391e+09,640300000,305500000,302600000,25800000,316400000,316400000,982500000,1177100000,310600000,310600000,1487700000,2470200000,589500000,1362300000,-3.1e+07,1920800000,1920800000,4.391e+09,104500000,42100000,17500000,-29600000,134500000,-18600000,-19600000,-2.9e+07,-81100000,-55200000,-165300000,-50400000,-50400000,3e+05,-50100000,220900000,1202900000,2.29e+08,0.32494,0.14863,0.08687,0.0544,0.0238,2.19139,1.82982,1.28603,0.27395,0.79893,0.79528,9.19725,14.68502,1.75076,0.22171,0.03887,0.06668,0.27751,4.39928,5.43512
"2","2010_Q3",33.8340625,"Down",1217700000,-778600000,439100000,-215700000,-215700000,223400000,-18200000,-17900000,-3e+05,205200000,205200000,-65700000,139500000,139500000,139500000,139500000,310200000,310200000,679500000,672200000,212700000,3900000,66100000,1874600000,521500000,2133600000,1576800000,315400000,92700000,148700000,2655100000,4529700000,596900000,284400000,312500000,45700000,368100000,368100000,1010700000,1176900000,328600000,328600000,1505500000,2516200000,591600000,1436600000,-14700000,2013500000,2013500000,4529700000,139500000,38700000,4800000,3900000.00000003,186900000,-19900000,-56500000,-28800000,19700000,-44300000,-53400000,7.7e+07,7.7e+07,2100000,79100000,262100000,1222600000,311800000,0.3606,0.18346,0.11456,0.06928,0.0308,2.23513,1.85475,1.24966,0.26991,1.05842,1.05842,9.239,15.27693,2.36571,0.21851,0.04721,0.08747,0.20645,3.48111,4.08415
"3","2010_Q4",35.07671875,"Up",1329500000,-8.2e+08,509500000,-2.45e+08,-2.45e+08,264500000,-18200000,-17700000,-5e+05,246300000,246300000,-80100000,166200000,166200000,166200000,166200000,405700000,405700000,656600000,647200000,202400000,0,58100000,1911900000,584300000,2131500000,1576800000,306400000,93700000,154600000,2715800000,4627700000,660100000,341500000,302600000,8e+05,352200000,352200000,1013100000,1176700000,3.21e+08,3.21e+08,1497700000,2510800000,591600000,1537300000,-1.2e+07,2116900000,2116900000,4627700000,166200000,40200000,5900000,101600000,313900000,-91400000,-100300000,-28600000,-45200000,-44100000,-117900000,95700000,95700000,-2e+05,95500000,304700000,1177500000,3.95e+08,0.38323,0.19895,0.12501,0.07851,0.03591,2.37665,1.88718,1.18607,0.25445,1.31073,1.28937,10.48502,16.69479,3.11514,0.22555,0.05388,0.10925,0.17208,2.53298,2.91796
"4","2011_Q1",36.6729032258065,"Up",974800000,-642200000,332600000,-50400000,-50400000,282200000,-18100000,-17200000,-9e+05,264100000,264100000,-93300000,170800000,151400000,151400000,151400000,455200000,455200000,7.36e+08,615300000,198100000,15300000,37500000,2004600000,609700000,2129300000,1576200000,297800000,107700000,147600000,2.739e+09,4743600000,605800000,329400000,267500000,30700000,415300000,415300000,1051800000,1176600000,325100000,325100000,1501700000,2553500000,588600000,1621400000,-20400000,2189600000,2190100000,4743600000,151400000,44700000,6e+05,-29300000,167400000,-6e+07,-73700000,-28600000,29800000,-45500000,-44300000,49400000,49400000,1e+05,49500000,326900000,1207300000,330900000,0.3412,0.2895,0.15531,0.06913,0.03192,2.1856,1.90588,1.16593,0.25451,1.18374,1.18374,7.62158,17.11962,2.58718,0.22361,0.04835,0.08889,0.1889,2.3007,2.66513
"5","2011_Q2",37.8179365079365,"Up",1405400000,-881100000,524300000,-255200000,-255200000,269100000,-17600000,-17200000,-4e+05,251500000,251500000,-87600000,163900000,163900000,163900000,163900000,341400000,341400000,705600000,670800000,215500000,3700000,63300000,1933300000,672200000,2601200000,1936200000,412900000,64200000,187900000,3273400000,5206700000,762400000,390700000,298100000,275700000,380200000,380200000,1418300000,1176400000,317700000,317700000,1494100000,2912400000,589500000,1715100000,-10900000,2293700000,2294300000,5206700000,163900000,46800000,17300000,66900000,294900000,-37100000,-569400000,-32200000,244100000,-52900000,1.59e+08,-115500000,-115500000,1700000,-113800000,315900000,1452100000,433300000,0.37306,0.19148,0.11662,0.07144,0.03148,2.64369,1.36311,1.26941,0.27889,1.29259,1.28348,11.0836,18.08912,3.41719,0.25394,0.04825,0.10662,0.19646,3.51599,4.12746
"6","2011_Q3",30.80421875,"Down",1438500000,-940500000,4.98e+08,-255200000,-255200000,242800000,-20900000,-2e+07,-9e+05,221900000,221900000,-70800000,151100000,151100000,151100000,151100000,740800000,740800000,711600000,651900000,266100000,47800000,64900000,2370400000,706900000,2590100000,1935300000,396300000,60100000,198400000,3.297e+09,5667400000,640700000,362700000,2.78e+08,30700000,397900000,397900000,1069300000,1876300000,333300000,333300000,2209600000,3278900000,595100000,1795900000,-3100000,2387900000,2388500000,5667400000,151100000,49400000,18600000,-124700000,94399999.9999999,-63900000,-66800000,-31800000,444600000,-42300000,370500000,398100000,398100000,1300000,399400000,292200000,1.907e+09,174400000,0.34619,0.16879,0.10504,0.06326,0.02666,1.1542,2.21678,1.37279,0.33649,1.20016,1.19164,11.42573,18.96664,1.38523,0.25258,0.03951,0.03768,0.21046,3.9911,4.80313
"7","2011_Q4",28.5907936507936,"Down",1411500000,-894500000,5.17e+08,-273700000,-273700000,243300000,-27200000,-26900000,-3e+05,216100000,216100000,-69700000,146400000,139200000,139500000,139500000,885100000,885100000,796900000,693900000,257100000,29900000,70700000,2.633e+09,758800000,2637500000,1963400000,4.16e+08,43500000,214600000,3396300000,6029300000,678100000,382600000,295500000,186600000,445400000,445400000,1310100000,1886800000,336300000,336300000,2223100000,3533200000,602100000,1864800000,17600000,2484500000,2496100000,6029300000,139200000,52300000,18100000,-42100000,167500000,-85100000,-118400000,-31700000,166400000,-41600000,93100000,142200000,142200000,2100000,144300000,295600000,2073400000,238100000,0.36628,0.17237,0.09883,0.05589,0.02314,1.70681,2.00977,1.41549,0.34389,1.116,1.10714,11.292,19.876,1.9048,0.2536,0.0349,0.04853,0.22724,4.01996,4.88409
"8","2012_Q1",33.2474193548387,"Up",1.163e+09,-816400000,346600000,-106800000,-106800000,239800000,-23800000,-23500000,-3e+05,2.16e+08,2.16e+08,-78700000,137300000,132900000,133500000,133500000,366900000,366900000,836500000,720800000,292600000,57300000,64300000,2216800000,872800000,3083200000,2381400000,502400000,5700000,193700000,3.956e+09,6172800000,746600000,450800000,295800000,184900000,4.99e+08,4.99e+08,1430500000,1887200000,343100000,343100000,2230300000,3660800000,594300000,1.889e+09,18700000,2.502e+09,2.512e+09,6172800000,132900000,63500000,29200000,50700000,276300000,-125200000,-662900000,-31300000,-3700000,-94800000,-129800000,-516400000,-516400000,-1800000,-518200000,303300000,2072100000,307500000,0.29802,0.20619,0.11479,0.05314,0.02163,2.30337,1.54967,1.45732,0.33568,1.07057,1.07057,9.32638,20.06415,2.46592,0.251,0.03345,0.06241,0.23446,5.62216,7.11093
"9","2012_Q2",33.6592063492064,"Up",1336100000,-893900000,442200000,-223400000,-223400000,218800000,-26500000,-27200000,7e+05,192300000,192300000,-61700000,130600000,121100000,121600000,121600000,305400000,305400000,920700000,690500000,265600000,16200000,85500000,2182200000,9.06e+08,3042800000,2363300000,477700000,3e+07,171800000,3948800000,6.131e+09,751700000,409100000,322900000,565400000,408600000,408600000,1725700000,1886800000,349500000,326400000,2236300000,3.962e+09,511700000,1666400000,-18600000,2159500000,2.169e+09,6.131e+09,121100000,63300000,9100000,-114800000,78700000,-77400000,-81900000,-32600000,380100000,-403300000,-55800000,-5.9e+07,-5.9e+07,-2500000,-61500000,282100000,2452200000,151600000,0.33096,0.16376,0.09101,0.05606,0.01983,1.24671,1.26453,1.82665,0.39997,1.02357,1.01843,11.24663,18.17761,1.27609,0.27441,0.03102,0.0305,0.26809,7.61007,9.8117
"10","2012_Q3",36.7036507936508,"Up",1310200000,-8.56e+08,454200000,-222300000,-222300000,231900000,-2.6e+07,-28900000,2900000,205900000,205900000,-71100000,134800000,132300000,133100000,133100000,3.87e+08,3.87e+08,858100000,701300000,281400000,53500000,73500000,2227800000,894400000,3.05e+09,2358900000,472100000,36300000,182700000,3944400000,6172200000,627600000,348100000,279500000,550200000,483300000,482400000,1661100000,1883200000,375300000,354400000,2258500000,3919600000,518500000,1754200000,-28900000,2243800000,2252600000,6172200000,132300000,6.6e+07,4099999.99999999,-3100000,199300000,-33900000,-54600000.0000001,-31900000,-18900000,-13700000,-64500000,80200000,80200000,1400000,81599999.9999999,297900000,2433400000,3.32e+08,0.34666,0.177,0.10159,0.05909,0.02156,2.49437,1.34116,1.74003,0.39425,1.18416,1.17996,11.65658,19.96263,2.95374,0.28381,0.0326,0.0656,0.23967,6.86942,8.82449
