"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",28.01421875,"Up",59777000,-22399000,37378000,-31565000,-29717000,-1848000,5813000,-945000,-945000,4868000,1377000,6245000,-2541000,3704000,3704000,3704000,3704000,162752582.915032,47501693.0989338,28575725.0891955,28575725.0891955,8574357.1810306,13374756.1910671,5867696.18761898,199902665.185258,16950016.4996576,95978154.7433006,1054452.16139461,61174819.8718753,43783504.9786056,123936597.708544,323839262.893802,48129137.6727049,19711370.7440367,28417766.9286682,36316064.6241876,36316064.6241876,84445202.2968926,-1805121.99153429,-1805121.99153429,-1805121.99153429,82640080.3053583,344972852.15503,-161163022.736006,74680734.1103547,-17291380.940935,241199182.588444,241199182.588444,323839262.893802,3704000,1848000,2181000,-2395000,5338000,-3806000,-8110000,-6468000,2481000,139000,-6329000,-9101000,-9101000,3289000,-5812000,7661000,0,4001000,0.62529,0.09724,0.06196,-0.00119749534459758,0.00157989223501206,1.08018,2.13457445461763,0.386040262704583,2.44657411711498e-18,0.1649,0.1603,2.66125,11.0493535143345,0.17812,0.617389836213739,0.0902958502303893,-31.8497784906494,-48.8840344253068
"2","2011_Q1",31.8267741935484,"Up",67116000,-25079000,42037000,-34967000,-33174000,-1793000,7070000,-29000,-29000,7041000,472000,7513000,-3384000,4129000,4129000,4129000,4129000,206917000,86927000,73574000,73574000,37299000,24701000,12598000,317790000,19838000,103732000,8487000,67958000,27287000,132687000,450477000,40129000,3644000,36485000,131521000,131521000,171650000,6920000,6920000,6920000,178570000,358322000,-162595000,81652000,-5472000,271907000,271907000,450477000,4129000,1836000,5125000,-10121000,969000,-7178000,8212000,7804000,15198000,1550000,-59060000,-49879000,-49879000,-1294000,-51173000,8906000,0,-5009000,0.62633,0.10534,0.06152,0.01519,0.00917,-1.21312999999999,1.85138,0.65673,0,0.18369,0.17903,2.98585,12.09658,-0.22284,0.26017,-0.01796,-23.23344,-29.2669
"3","2011_Q2",32.021746031746,"Up",65742000,-25498000,40244000,-36046000,-34383000,-1663000,4198000,-109000,-109000,4089000,582000,4671000,-1760000,2911000,2911000,2911000,2911000,220762555.694989,93268435.6336887,70655758.3036015,70655758.3036015,40898547.6063231,23637414.6029776,13165934.604127,332316861.604914,30374161.1667808,101966281.752233,11693682.6128685,71134976.7093749,13868748.3404648,144807634.097152,477124495.702066,35915204.1090984,-27706.9146788968,35942911.0237773,150042645.125271,150042645.125271,185957849.234369,10494040.6638448,10494040.6638448,10494040.6638448,196451889.898214,364451799.281657,-168508575.754665,86235088.6298818,-1505706.35302167,280672605.803852,280672605.803852,477124495.702066,2911000,1663000,2725000,24862000,32161000,-10711000,-17446000,-6512000,2055000,31000,-6481000,8234000,8234000,2439000,10673000,5861000,0,21772000,0.61215,0.06386,0.04428,0.0205316651148659,0.0120075359216626,7.47922,1.77489434846079,0.700021579098472,-8.15524705704993e-19,0.12816,0.12519,2.89447,12.3713354952218,0.95857,0.0796350545954203,-0.0407094500767964,-19.8736021697835,-22.1376810248977
"4","2011_Q3",28.53734375,"Down",73450000,-28024000,45426000,-35810000,-34339000,-1471000,9616000,4000,4000,9620000,58000,9678000,-4208000,5470000,5470000,5470000,5470000,218299000,83185000,47714000,47714000,32494000,17804000,10765000,298507000,43090000,95602000,12099000,71961000,4886000,155677000,454184000,34009000,2743000,31266000,130356000,130356000,164365000,11492000,11492000,11492000,175857000,366661000,-175990000,90033000,-2377000,278327000,278327000,454184000,5470000,1471000,2764000,-3723000,5981999.99999999,-15389000,-2.1e+07,-457999.999999998,4370000,301000,-157000.000000007,-15175000,-15175000,760000,-14415000,11087000,2.58493941422821e-26,-3817000,0.61846,0.13092,0.07447,0.01965,0.01204,-0.697810000000002,1.81612,0.63184,0,0.24115,0.23576,3.23811,12.27029,-0.16828,0.0188700000000001,-0.01317,-19.68964,-22.70164
"5","2011_Q4",29.571746031746,"Up",69774000,-25071000,44703000,-34954000,-32855000,-2099000,9749000,378000,378000,10127000,8000,10135000,-4403000,5732000,5732000,5732000,5732000,212619000,73586000,43159000,43159000,27377000,16181000,9406000,283155000,51490000,90101000,11170000,71677000,2704000,158814000,441969000,32996000,5037000,27959000,117547000,117547000,150543000,13059000,13059000,13059000,163602000,368769000,-1.81e+08,95765000,-5167000,278367000,278367000,441969000,5732000,2099000,6501000,-5968000,8364000,-7094000,-10453000,-4418000,592000,1e+05,-4318000,-6407000,-6407000,-3192000,-9599000,11848000,0,3189000,0.64068,0.13972,0.08215,0.02059,0.01297,0.55635,1.88089,0.58772,0,0.2534,0.24832,3.08462,12.30623,0.14098,0.01967,0.01094,-17.94556,-21.80931
"6","2012_Q1",29.2641935483871,"Down",74369000,-24978000,49391000,-35863000,-33175000,-2688000,13528000,357000,357000,13885000,-1422000,12463000,-4585000,7878000,7878000,7878000,7878000,218038000,81047000,81378000,81378000,37945000,25935000,12010000,337361000,50448000,90204000,10317000,71543000,8344000,150217000,487578000,31376000,1223000,30153000,147887000,147887000,179263000,17580000,17580000,17580000,196843000,373901000,-1.81e+08,104662000,-6828000,290735000,290735000,487578000,7878000,2688000,11799000,-13428000,8937000,-6582000,-4137000,4537000,4537000,93000,4630000,9430000,9430000,-1969000,7461000,16216000,8.27180612553028e-25,791000,0.66413,0.1819,0.10593,0.0271,0.01616,0.100409999999999,1.88193,0.67705,7.70371977754894e-34,0.34785,0.34076,3.28369,12.83712,0.03493,0.02555,0.00256999999999998,-13.44586,-16.11753
"7","2012_Q2",29.2403174603175,"Down",70260000,-26938000,43322000,-37351000,-34744000,-2607000,5971000,409000,409000,6380000,-1284000,5096000,-1915000,3181000,3181000,3181000,3181000,243292000,100407000,52249000,52249000,40642000,30368000,10274000,336183000,50361000,90464000,9808000,71721000,8935000,150406000,486589000,28949000,689000,28260000,151708000,151708000,180657000,18441000,18441000,18441000,199098000,377387000,-188700000,104648000,-5844000,287491000,287491000,486589000,3181000,2607000,1466000,27632000,34886000,-2418000,-7650000,-5703000,1997000,44000,-8854000,18382000,18382000,978000,19360000,8578000,0,35707000,0.6166,0.08498,0.04527,0.01106,0.00654,11.22509,1.86089,0.69254,0,0.1399,0.13727,3.08998,12.64364,1.57037,0.02084,0.11672,-28.36232,-40.7456
"8","2012_Q3",26.8936507936508,"Down",79093000,-29828000,49265000,-37753000,-34912000,-2841000,11512000,130000,130000,11642000,33000,11675000,-3906000,7769000,7769000,7769000,7769000,236440000,87663000,47545000,47545000,34304000,24934000,9370000,318289000,48840000,92106000,9029000,71388000,11689000,150632000,468921000,29757000,982000,28775000,134550000,134550000,164307000,17444000,17444000,17444000,181751000,382807000,-198052000,109256000,-6841000,287170000,287170000,468921000,7769000,2841000,-1689000,-4408000.00000001,4513000,-827000,-7393000,-4715000,4637000,-451000,-8327000,-11207000,-11207000,-1537000,-12744000,14353000,-6.61744490042422e-24,13024000,0.62287,0.14555,0.09823,0.02705,0.01657,1.67641,1.93716,0.6329,1.23259516440783e-32,0.34404,0.33745,3.50248,12.71677,0.57674,0.03588,0.04276,-16.47321,-20.53857
"9","2012_Q4",25.3029032258065,"Down",68517000,-25736000,42781000,-36018000,-33177000,-2841000,6763000,357000,357000,7120000,718000,7838000,2630000,10468000,10468000,10468000,10468000,228657000,80900000,44149000,44149000,29169000,21279000,7890000,301975000,48312000,104630000,8517000,78211000,17902000,162731000,464706000,26203000,933000,25270000,124857000,124857000,151060000,17499000,17499000,17499000,168559000,386186000,-207187000,116504000,644000,296147000,296147000,464706000,10468000,2841000,-4079000,-5863000,3367000,-1143000,-489000,-7231000,1904000,-56000,-10412000,-7534000,-7534000,771000,-6763000,9604000,0,-32000,0.62439,0.09871,0.15278,0.03535,0.02253,-0.00306,1.99904,0.56917,0,0.46734,0.45796,3.05893,13.22144,-0.00143,0.04334,-1e-04,-23.80852,-33.81
"10","2013_Q1",25.0245,"Down",75161000,-28726000,46435000,-38500000,-35423000,-3077000,7935000,404000,404000,8339000,-794000,7545000,-2667000,4878000,4878000,4878000,4878000,233686000,98810000,74623000,74623000,28314000,18904000,9410000,336623000,46300000,96122000,7920000,78954000,9248000,151392000,488015000,30850000,772000,30078000,150495000,150495000,181345000,9463000,9463000,9463000,190808000,389677000,-210843000,117785000,588000.000000001,297207000,297207000,488015000,4878000,3077000,1846000,580000,10381000,-715000,11456000,-979000,2677000,-56000,-4142000,17695000,17695000,215000,17910000,11012000,-1.05879118406788e-22,13544000,0.61781,0.10557,0.0649,0.01641,0.01,2.77655,1.85626,0.642,0,0.21893,0.21525,3.37332,13.33903,0.60787,0.02604,0.04416,-21.22103,-29.45003
