"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","trading_securities","investment_securities_available_for_sale","investment_securities_held_to_maturity","other_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","securities_sold_under_repo","short_term_borrowings","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",6.0741935483871,"Up",1.09e+09,5.72e+08,6.71e+08,-9.9e+07,5.18e+08,8.3e+07,4.24e+08,-1.01e+08,9.89e+08,-7.2e+08,-5.5e+07,-6.65e+08,2.69e+08,2.69e+08,2.69e+08,-5.1e+07,2.18e+08,3e+06,3e+06,2.21e+08,2.19e+08,-5e+06,2.14e+08,9.73e+08,2.4172e+10,6.63e+08,1.1962e+10,4.153e+09,7.394e+09,5.0531e+10,-8.88e+08,5.1419e+10,9.42e+08,1.82e+08,9.79e+08,9.171e+09,8.695e+10,6.4188e+10,4.1133e+10,2.3055e+10,2.134e+09,1.746e+09,3.88e+08,6.119e+09,1.205e+09,7.6671e+10,2.91e+08,5.135e+09,1.017e+09,4.118e+09,-1.868e+09,6.762e+09,-6.9e+07,1.0251e+10,1.0279e+10,8.695e+10,2.13e+08,5.8e+07,1.09e+08,1.271e+09,-1.376e+09,2.75e+08,-4.1e+07,1.543e+09,1e+07,-9.61e+08,1.417e+09,-5.2e+07,-1.276e+09,-8e+07,-2.7e+07,-1.435e+09,2.57e+08,2.57e+08,2.57e+08,3.27e+08,8.253e+09,-1.039e+09,0.24679,0.19633,0.02082,0.00246,-4.85514,7.45899,0.09492,0.2286,0.22749,1.16435,10.63939,-1.10987,0.05555,0.00306,-0.01195,0.24299,22.263,27.0632
"12","2013_Q1",6.91483333333333,"Up",1.04e+09,6.01e+08,6.88e+08,-8.7e+07,4.39e+08,1.1e+08,3.27e+08,-4.3e+07,9.97e+08,-7.48e+08,-6.2e+07,-6.86e+08,2.49e+08,2.49e+08,2.49e+08,-5.3e+07,1.96e+08,7e+06,7e+06,2.03e+08,2.03e+08,-6e+06,1.97e+08,5.84e+08,2.566e+10,6.05e+08,1.2094e+10,3.931e+09,9.03e+09,5.1934e+10,-8.88e+08,5.2822e+10,9.65e+08,1.71e+08,9.79e+08,8.943e+09,8.9236e+10,6.5993e+10,4.2267e+10,2.3726e+10,1.896e+09,1.609e+09,2.87e+08,6.847e+09,1.387e+09,7.8927e+10,2.91e+08,5.143e+09,1.017e+09,4.126e+09,-1.952e+09,6.913e+09,-1.24e+08,1.0271e+10,1.0309e+10,8.9236e+10,1.89e+08,7.3e+07,5.7e+07,1.653e+09,-1.321e+09,6.51e+08,-6.3e+07,2.34e+08,1.2e+07,-3.325e+09,-3.232e+09,-5.2e+07,5.27e+08,-8.8e+07,1.805e+09,2.192e+09,-3.89e+08,-3.89e+08,-3.89e+08,3.22e+08,8.743e+09,-1.009e+09,0.23942,0.18942,0.01911,0.00221,-5.12183,7.65613,0.09798,0.21283,0.21176,1.12356,10.78185,-1.09007,0.05618,0.00279,-0.01131,0.26396,25.33851,32.76707
"13","2013_Q2",7.53921875,"Up",1.008e+09,5.83e+08,6.67e+08,-8.4e+07,4.25e+08,7.9e+07,3.38e+08,-5.8e+07,9.5e+08,-6.78e+08,-4.3e+07,-6.35e+08,2.72e+08,2.72e+08,2.72e+08,-7e+07,2.02e+08,3e+06,3e+06,2.05e+08,2.04e+08,-5e+06,1.99e+08,6.21e+08,2.6019e+10,7.01e+08,1.3496e+10,3.721e+09,8.101e+09,5.1681e+10,-8.93e+08,5.2574e+10,9.3e+08,1.59e+08,9.79e+08,8.809e+09,8.9198e+10,6.4654e+10,4.2568e+10,2.2086e+10,2.328e+09,1.95e+09,3.78e+08,7.785e+09,1.352e+09,7.8819e+10,2.91e+08,5.076e+09,1.017e+09,4.059e+09,-1.93e+09,7.065e+09,-1.62e+08,1.034e+10,1.0379e+10,8.9198e+10,2.08e+08,4.4e+07,5.5e+07,1.238e+09,-1.314e+09,2.31e+08,-4e+06,-1.152e+09,5e+06,9.95e+08,-1.56e+08,-5.2e+07,1.41e+09,-5.7e+07,-1.339e+09,-3.8e+07,3.7e+07,3.7e+07,3.7e+07,3.16e+08,1.0113e+10,-9.32e+08,0.26984,0.19742,0.01917,0.00223,-4.68342,7.59408,0.11338,0.21623,0.21489,1.09528,10.91908,-1.0127,0.0565,0.00281,-0.01045,0.26131,30.03797,34.89706
"14","2013_Q3",8.8078125,"Up",1.01e+09,5.81e+08,6.57e+08,-7.6e+07,4.29e+08,8.4e+07,3.38e+08,-3.3e+07,9.77e+08,-7.06e+08,-4.5e+07,-6.61e+08,2.71e+08,2.71e+08,2.71e+08,-7.2e+07,1.99e+08,5e+06,5e+06,2.04e+08,2.04e+08,-6e+06,1.98e+08,6.96e+08,2.7037e+10,5.92e+08,1.3253e+10,4.75e+09,8.442e+09,5.2225e+10,-8.76e+08,5.3101e+10,9e+08,1.49e+08,9.79e+08,8.653e+09,9.0639e+10,6.7721e+10,4.2238e+10,2.5483e+10,1.945e+09,1.647e+09,2.98e+08,6.666e+09,1.421e+09,8.0378e+10,2.91e+08,5.062e+09,1.017e+09,4.045e+09,-2.02e+09,7.214e+09,-3.18e+08,1.0229e+10,1.0261e+10,9.0639e+10,2.09e+08,4.9e+07,2.8e+07,1.565e+09,-1.157e+09,6.94e+08,-2.2e+07,-9.2e+08,9e+06,-1.089e+09,-1.449e+09,-5.5e+07,-1.386e+09,-1.06e+08,2.377e+09,8.3e+08,7.5e+07,7.5e+07,7.5e+07,3.2e+08,8.611e+09,-7.87e+08,0.26832,0.19604,0.0193,0.00218,-3.97475,7.83335,0.095,0.216699999999999,0.21555,1.1054,10.87666,-0.86133,0.0601900000000001,0.00279,-0.00868,0.27778,24.73438,29.20664
"15","2013_Q4",9.36921875,"Up",1.037e+09,5.78e+08,6.47e+08,-6.9e+07,4.59e+08,8.6e+07,3.56e+08,-3.1e+07,1.006e+09,-7.13e+08,-4.4e+07,-6.69e+08,2.93e+08,2.93e+08,2.93e+08,-5.9e+07,2.34e+08,3.7e+07,3.7e+07,2.71e+08,2.72e+08,-6e+06,2.66e+08,7.48e+08,2.6648e+10,8.06e+08,1.2606e+10,4.835e+09,8.401e+09,5.2729e+10,-8.68e+08,5.3597e+10,8.9e+08,1.37e+08,9.79e+08,8.577e+09,9.0708e+10,6.8535e+10,4.2152e+10,2.6383e+10,1.921e+09,1.455e+09,4.66e+08,6.154e+09,1.375e+09,8.0472e+10,2.91e+08,5.046e+09,1.017e+09,4.029e+09,-2.193e+09,7.431e+09,-3.69e+08,1.0206e+10,1.0236e+10,9.0708e+10,2.74e+08,7.5e+07,2.8e+07,9.75e+08,-1.409e+09,-5.7e+07,-2.6e+07,6.88e+08,5e+06,-5.99e+08,3.12e+08,-5.5e+07,-5.25e+08,-1.9e+08,5.67e+08,-2.03e+08,5.2e+07,5.2e+07,5.2e+07,3.68e+08,8.075e+09,-1.008e+09,0.28255,0.25651,0.02599,0.00293,-3.78947,7.86166,0.08902,12.91262,12.91262,50.33981,481.31068,-48.93204,2.6699,0.00354,-0.01111,0.20677,19.91033,25.00683
"16","2014_Q1",9.95983606557377,"Up",1.036e+09,5.83e+08,6.49e+08,-6.6e+07,4.53e+08,8.4e+07,3.49e+08,-1.6e+07,1.02e+09,-7.15e+08,-4.9e+07,-6.66e+08,3.05e+08,3.05e+08,3.05e+08,-7e+07,2.35e+08,-5e+06,-5e+06,2.3e+08,2.3e+08,-6e+06,2.24e+08,6.17e+08,2.8214e+10,7.38e+08,1.2346e+10,4.756e+09,1.0374e+10,5.3609e+10,-8.48e+08,5.4457e+10,8.85e+08,1.27e+08,9.79e+08,8.503e+09,9.2934e+10,6.9262e+10,4.2703e+10,2.6559e+10,1.877e+09,1.534e+09,3.43e+08,7.65e+09,1.557e+09,8.2614e+10,2.91e+08,5.039e+09,1.017e+09,4.022e+09,-2.281e+09,7.606e+09,-3.52e+08,1.0303e+10,1.032e+10,9.2934e+10,2.19e+08,5.3e+07,2.7e+07,1.701e+09,-1.321e+09,6.79e+08,-4e+07,3.36e+08,4e+06,-2.983e+09,-2.899e+09,-5.5e+07,1.511e+09,-9.5e+07,7.28e+08,2.089e+09,-1.31e+08,-1.31e+08,-1.31e+08,3.58e+08,9.527e+09,-9.33e+08,0.2944,0.21622,0.02171,0.00241,-4.16518,8.00523,0.10251,0.25159,0.24957,1.16360000000001,11.2451199999999,-1.04791,0.0617700000000005,0.003,-0.01004,0.24554,24.88827,29.21311
"17","2014_Q2",10.3190476190476,"Up",9.98e+08,5.63e+08,6.3e+08,-6.7e+07,4.35e+08,8.4e+07,3.27e+08,-4e+06,9.94e+08,-6.64e+08,-4.7e+07,-6.17e+08,3.3e+08,3.3e+08,3.3e+08,-9.2e+07,2.38e+08,4e+06,4e+06,2.42e+08,2.42e+08,-6e+06,2.36e+08,4.09e+08,2.5698e+10,8.4e+08,1.2359e+10,4.826e+09,7.673e+09,5.4611e+10,-8.34e+08,5.5445e+10,8.62e+08,1.17e+08,9.79e+08,8.126e+09,9.0802e+10,6.7266e+10,4.3417e+10,2.3849e+10,1.881e+09,1.417e+09,4.64e+08,7.712e+09,1.297e+09,8.0383e+10,2.91e+08,4.978e+09,1.017e+09,3.961e+09,-2.335e+09,7.793e+09,-3.24e+08,1.0403e+10,1.0419e+10,9.0802e+10,2.42e+08,5.2e+07,4e+06,5.39e+08,-6.81e+08,1.56e+08,-1e+07,9.6e+07,5e+06,1.639e+09,1.73e+09,-5.5e+07,7.2e+07,-1.15e+08,-1.996e+09,-2.094e+09,-2.08e+08,-2.08e+08,-2.08e+08,3.82e+08,9.593e+09,-2.17e+08,0.33066,0.23647,0.02265,0.0026,-0.91949,7.71504,0.10565,0.26675,0.26461,1.12803,11.42951,-0.24527,0.06217,0.0032,-0.00239,0.23305,24.04188,27.8303
"18","2014_Q3",10.2678125,"Down",1.028e+09,5.73e+08,6.39e+08,-6.6e+07,4.55e+08,9.9e+07,3.29e+08,-1.2e+07,1.016e+09,-6.87e+08,-4.7e+07,-6.4e+08,3.29e+08,3.29e+08,3.29e+08,-7.6e+07,2.53e+08,-2.8e+07,-2.8e+07,2.25e+08,2.19e+08,-5e+06,2.14e+08,6.04e+08,2.6409e+10,8.9e+08,1.2224e+10,5.233e+09,8.062e+09,5.4786e+10,-8.14e+08,5.56e+10,8.44e+08,1.08e+08,9.79e+08,8.068e+09,9.1798e+10,6.7799e+10,4.2335e+10,2.5464e+10,1.734e+09,1.213e+09,5.21e+08,8.213e+09,1.4e+09,8.1277e+10,2.91e+08,5.004e+09,1.017e+09,3.987e+09,-2.452e+09,7.95e+09,-2.89e+08,1.0504e+10,1.0521e+10,9.1798e+10,2.25e+08,5.7e+07,1.2e+07,8.74e+08,-1.061e+09,1.07e+08,-1.9e+07,-1.4e+08,5e+06,-4.94e+08,-6.48e+08,-6.2e+07,3.67e+08,-1.02e+08,5.33e+08,7.36e+08,1.95e+08,1.95e+08,1.95e+08,3.86e+08,9.947e+09,-6.18e+08,0.32004,0.20817,0.02034,0.00233,-2.88785,7.72522,0.10836,0.2445,0.24277,1.17453,11.66873,-0.70609,0.07084,0.00301,-0.00673,0.28972,24.20466,28.39818
"19","2014_Q4",10.029375,"Down",9.92e+08,5.75e+08,6.39e+08,-6.4e+07,4.17e+08,8.8e+07,3.2e+08,-1.9e+07,9.73e+08,-7.06e+08,-4.5e+07,-6.61e+08,2.67e+08,2.67e+08,2.67e+08,-6.4e+07,2.03e+08,-1.7e+07,-1.7e+07,1.86e+08,1.86e+08,-6e+06,1.8e+08,6.51e+08,2.524e+10,9.65e+08,1.2245e+10,4.997e+09,7.033e+09,5.5351e+10,-8.04e+08,5.6155e+10,8.32e+08,1.26e+08,1.051e+09,6.533e+09,8.9784e+10,6.8456e+10,4.2202e+10,2.6254e+10,1.653e+09,6.57e+08,9.96e+08,7.172e+09,1.613e+09,7.9281e+10,2.91e+08,5.001e+09,1.017e+09,3.984e+09,-2.563e+09,8.082e+09,-3.25e+08,1.0486e+10,1.0503e+10,8.9784e+10,1.86e+08,7.6e+07,1.9e+07,1.253e+09,-1.332e+09,2.02e+08,-2.3e+07,3.42e+08,3e+06,2.04e+08,4.13e+08,-6.1e+07,-1.049e+09,-1.15e+08,6.57e+08,-5.68e+08,4.7e+07,4.7e+07,4.7e+07,3.43e+08,8.825e+09,-9.48e+08,0.26915,0.18145,0.01714,0.002,-5.26667,7.54841,0.09829,0.20756,0.20595,1.1439,11.75606,-1.09316,0.07034,0.00268,-0.01056,0.33889,23.8309,30.61423
"20","2015_Q1",10.4883606557377,"Up",1.072e+09,5.82e+08,6.46e+08,-6.4e+07,4.9e+08,1.26e+08,3.46e+08,-2.2e+07,1.05e+09,-7.04e+08,-4.7e+07,-6.57e+08,3.46e+08,3.46e+08,3.46e+08,-9.4e+07,2.52e+08,2e+06,2e+06,2.54e+08,2.53e+08,-5e+06,2.48e+08,6.53e+08,2.8242e+10,7.5e+08,1.336e+10,5.015e+09,9.117e+09,5.6587e+10,-7.94e+08,5.7381e+10,8.41e+08,1.01e+08,1.057e+09,6.34e+09,9.3821e+10,7.1998e+10,4.2206e+10,2.9792e+10,9.98e+08,5.75e+08,4.23e+08,7.875e+09,1.621e+09,8.3279e+10,2.91e+08,5.003e+09,1.017e+09,3.986e+09,-2.681e+09,8.273e+09,-3.56e+08,1.053e+10,1.0542e+10,9.3821e+10,2.54e+08,6.1e+07,2.2e+07,2.479e+09,-1.961e+09,8.55e+08,-4.4e+07,-9.83e+08,4e+06,-3.287e+09,-4.311e+09,-6.2e+07,1.03e+08,-1.25e+08,3.542e+09,3.458e+09,2e+06,2e+06,2e+06,4.07e+08,8.873e+09,-1.504e+09,0.32276,0.23134,0.02352,0.00264,-6.06452,7.89973,0.09457,0.28882,0.28656,1.24844,11.92423,-1.75154,0.0722,0.0033,-0.01603,0.25,20.19656,23.75723
"21","2015_Q2",11.3893650793651,"Up",1.008e+09,5.71e+08,6.36e+08,-6.5e+07,4.37e+08,6.8e+07,3.4e+08,-3.5e+07,9.73e+08,-6.69e+08,-4.1e+07,-6.28e+08,3.04e+08,3.04e+08,3.04e+08,-7.4e+07,2.3e+08,5e+06,5e+06,2.35e+08,2.33e+08,-6e+06,2.27e+08,5.06e+08,2.7241e+10,7.89e+08,1.312e+10,5.005e+09,8.327e+09,5.7159e+10,-7.94e+08,5.7953e+10,8.06e+08,9.2e+07,1.057e+09,7.343e+09,9.4204e+10,7.1622e+10,4.32e+10,2.8422e+10,1.125e+09,5.17e+08,6.08e+08,8.711e+09,1.308e+09,8.3591e+10,2.9e+08,4.927e+09,1.017e+09,3.91e+09,-2.78e+09,8.445e+09,-2.79e+08,1.0603e+10,1.0613e+10,9.4204e+10,2.35e+08,5e+07,3.5e+07,1.161e+09,-2.583e+09,-1.102e+09,-3e+06,4.15e+08,6e+06,1.64e+08,5.82e+08,-6.1e+07,9.98e+08,-1.88e+08,-3.76e+08,3.73e+08,-1.47e+08,-1.47e+08,-1.47e+08,3.54e+08,9.836e+09,-2.158e+09,0.30159,0.2252,0.02139,0.00241,-9.50661,7.87628,0.10441,0.26751,0.26484,1.18787,12.15324,-2.54307,0.07188,0.00306,-0.02291,0.26872,26.35593,30.69079
"22","2015_Q3",11.03125,"Down",1.072e+09,5.84e+08,6.52e+08,-6.8e+07,4.88e+08,1.41e+08,3.36e+08,-4.1e+07,1.031e+09,-7.11e+08,-5e+07,-6.61e+08,3.2e+08,3.2e+08,3.2e+08,-8.4e+07,2.36e+08,3e+06,3e+06,2.39e+08,2.38e+08,-5e+06,2.33e+08,6.93e+08,2.7903e+10,6.74e+08,1.4244e+10,5.022e+09,7.963e+09,5.7468e+10,-7.96e+08,5.8264e+10,7.88e+08,8.3e+07,1.057e+09,6.612e+09,9.4604e+10,7.0669e+10,4.3531e+10,2.7138e+10,9.72e+08,4.44e+08,5.28e+08,1.0265e+10,1.537e+09,8.4003e+10,2.9e+08,4.915e+09,1.017e+09,3.898e+09,-2.884e+09,8.614e+09,-3.45e+08,1.059e+10,1.0601e+10,9.4604e+10,2.39e+08,6.6e+07,4.1e+07,2.446e+09,-1.631e+09,1.161e+09,-1.4e+07,-1.162e+09,4e+06,-2.45e+08,-1.417e+09,-6.9e+07,1.585e+09,-1.2e+08,-9.53e+08,4.43e+08,1.87e+08,1.87e+08,1.87e+08,3.86e+08,1.1237e+10,-1.175e+09,0.29851,0.21735,0.02198,0.00246,-5.04292,7.92406,0.11878,0.27758,0.27533,1.2771,12.27061,-1.3998,0.0822,0.00319,-0.01242,0.29614,27.31606,32.95
"23","2015_Q4",10.24640625,"Down",1.061e+09,5.91e+08,6.61e+08,-7e+07,4.7e+08,1.09e+08,3.5e+08,-4.5e+07,1.016e+09,-7.24e+08,-4.8e+07,-6.76e+08,2.92e+08,2.92e+08,2.92e+08,-7.2e+07,2.2e+08,-3e+06,-3e+06,2.17e+08,2.19e+08,-6e+06,2.13e+08,4.7e+08,2.7087e+10,8.11e+08,1.4376e+10,4.936e+09,6.964e+09,5.9295e+10,-7.9e+08,6.0085e+10,7.71e+08,7.4e+07,1.06e+09,6.663e+09,9.542e+10,7.1073e+10,4.466e+10,2.6413e+10,1.084e+09,4.07e+08,6.77e+08,1.0308e+10,1.562e+09,8.4703e+10,2.9e+08,4.931e+09,1.017e+09,3.914e+09,-3.008e+09,8.764e+09,-2.72e+08,1.0705e+10,1.0717e+10,9.542e+10,2.17e+08,6e+07,4.5e+07,1.599e+09,-1.731e+09,1.9e+08,-2.2e+07,8.9e+07,6e+06,-6.75e+08,-6.02e+08,-6.9e+07,-2.5e+07,-1.21e+08,4.04e+08,1.89e+08,-2.23e+08,-2.23e+08,-2.23e+08,3.52e+08,1.1392e+10,-1.329e+09,0.27521,0.20075,0.01987,0.00223,-6.23944,7.90361,0.11939,0.25619,0.25391,1.27611,12.52661,-1.59845,0.08299,0.00296,-0.01393,0.32394,31.02841,37.40411
"24","2016_Q1",8.78704918032787,"Down",1.087e+09,6.02e+08,6.73e+08,-7.1e+07,4.85e+08,1.27e+08,3.58e+08,-4.5e+07,1.042e+09,-7.36e+08,-5.2e+07,-6.84e+08,3.06e+08,3.06e+08,3.06e+08,-7.3e+07,2.33e+08,-4e+06,-4e+06,2.29e+08,2.26e+08,-6e+06,2.2e+08,6.07e+08,2.7425e+10,7.88e+08,1.4218e+10,4.897e+09,7.522e+09,5.908e+10,-7.96e+08,5.9876e+10,7.79e+08,6.5e+07,1.06e+09,6.115e+09,9.5131e+10,7.1046e+10,4.4949e+10,2.6097e+10,9.05e+08,3.72e+08,5.33e+08,1.0184e+10,1.605e+09,8.4372e+10,2.9e+08,4.939e+09,1.017e+09,3.922e+09,-3e+09,8.922e+09,-4.05e+08,1.0746e+10,1.0759e+10,9.5131e+10,2.29e+08,7.1e+07,4.5e+07,1.925e+09,-1.388e+09,8.82e+08,-3.5e+07,7.6e+07,6e+06,-6.33e+08,-5.86e+08,-6.8e+07,-6.7e+07,2999999.99999999,-2.7e+07,-1.59e+08,1.37e+08,1.37e+08,1.37e+08,3.77e+08,1.1089e+10,-9.73e+08,0.28151,0.20239,0.02045,0.00231,-4.42273,7.84199,0.11657,0.26571,0.26325,1.31285,12.62848,-1.17516,0.08213,0.00303,-0.01023,0.30909,27.80371,34.2549
"25","2016_Q2",9.44125,"Up",1.035e+09,6.04e+08,6.83e+08,-7.9e+07,4.31e+08,7.1e+07,3.6e+08,-8.9e+07,9.46e+08,-7.03e+08,-5e+07,-6.53e+08,2.43e+08,2.43e+08,2.43e+08,-5.6e+07,1.87e+08,1e+06,1e+06,1.88e+08,1.88e+08,-5e+06,1.83e+08,4.74e+08,3.0773e+10,7.65e+08,1.4304e+10,5.003e+09,1.0701e+10,5.9612e+10,-8.26e+08,6.0438e+10,7.5e+08,5.7e+07,1.06e+09,5.676e+09,9.8402e+10,7.3382e+10,4.7685e+10,2.5697e+10,9.89e+08,3.74e+08,6.15e+08,1.076e+10,1.41e+09,8.7331e+10,2.9e+08,4.835e+09,1.017e+09,3.818e+09,-2.888e+09,9.042e+09,-2.13e+08,1.1066e+10,1.1071e+10,9.8402e+10,1.88e+08,6.2e+07,8.9e+07,1.103e+09,-1.07e+09,3.72e+08,-8e+06,6e+07,3e+06,-3.392e+09,-3.337e+09,-6.8e+07,5.62e+08,1e+06,2.336e+09,2.831e+09,-1.34e+08,-1.34e+08,-1.34e+08,3.05e+08,1.1749e+10,-7.17e+08,0.23478,0.17681,0.01653,0.00186,-3.91803,7.88827,0.1194,0.22118,0.21915,1.25094,13.02423,-0.86659,0.08219,0.00255,-0.00729,0.37158,36.96721,46.39918
"26","2016_Q3",9.565625,"Up",1.07e+09,5.97e+08,6.84e+08,-8.7e+07,4.73e+08,9.8e+07,3.64e+08,-5.2e+07,1.018e+09,-7.51e+08,-4.8e+07,-7.03e+08,2.67e+08,2.67e+08,2.67e+08,-6.9e+07,1.98e+08,3e+06,3e+06,2.01e+08,2.02e+08,-6e+06,1.96e+08,4.96e+08,3.2327e+10,9.65e+08,1.4552e+10,4.832e+09,1.1978e+10,6.1244e+10,-8.54e+08,6.2098e+10,7.42e+08,5e+07,1.06e+09,5.231e+09,1.0115e+11,7.5325e+10,4.9198e+10,2.6127e+10,1.047e+09,3.6e+08,6.87e+08,1.1388e+10,1.326e+09,8.9832e+10,2.9e+08,4.852e+09,1.017e+09,3.835e+09,-2.881e+09,9.166e+09,-1.14e+08,1.1313e+10,1.1318e+10,1.0115e+11,2.01e+08,6.2e+07,5.2e+07,1.786e+09,-1.749e+09,3.52e+08,-2.2e+07,1.02e+08,4e+06,-2.929e+09,-2.845e+09,-7.8e+07,6.49e+08,1999999.99999999,1.943e+09,2.516e+09,2.3e+07,2.3e+07,2.3e+07,3.29e+08,1.2435e+10,-1.373e+09,0.24953,0.18318,0.01732,0.00194,-7.0051,7.93709,0.12294,0.23561,0.23375,1.28621,13.25041,-1.65044,0.09376,0.00271,-0.01357,0.39796,36.28875,44.71536
"27","2016_Q4",12.6534920634921,"Up",1.329e+09,7.8e+08,8.9e+08,-1.1e+08,5.49e+08,1.56e+08,3.88e+08,-5.9e+07,1.27e+09,-1.082e+09,-9.7e+07,-9.85e+08,1.88e+08,1.88e+08,1.88e+08,-1.6e+07,1.72e+08,1e+06,1e+06,1.73e+08,1.72e+08,-6e+06,1.66e+08,7.49e+08,3.9763e+10,9.26e+08,2.054e+10,8.995e+09,9.302e+09,8.4663e+10,-8.65e+08,8.5528e+10,1.023e+09,4.26e+08,2.48e+09,6.701e+09,1.35805e+11,1.04185e+11,7.2161e+10,3.2024e+10,1.411e+09,6.02e+08,8.09e+08,1.2622e+10,1.739e+09,1.20807e+11,1.165e+09,7.616e+09,1.257e+09,6.359e+09,-2.863e+09,9.26e+09,-1.82e+08,1.4996e+10,1.4998e+10,1.35805e+11,1.73e+08,1.69e+08,5.9e+07,2.21e+09,-2.475e+09,1.36e+08,-4.9e+07,-1.049e+09,6e+06,3.311e+09,1.738e+09,-7.8e+07,-1.859e+09,4.48e+08,-1.32e+08,-1.621e+09,2.53e+08,2.53e+08,2.53e+08,3.57e+08,1.4033e+10,-2.151e+09,0.14146,0.12491,0.01107,0.00122,-12.95783,8.05487,0.10333,0.16903,0.16689,1.35325,14.08337,-2.19025,0.07942,0.0018,-0.01584,0.46988,37.21008,70.65957
"28","2017_Q1",14.7545161290323,"Up",1.556e+09,9.38e+08,1.062e+09,-1.24e+08,6.18e+08,1.57e+08,4.77e+08,-6.6e+07,1.49e+09,-1.22e+09,-1.01e+08,-1.119e+09,2.7e+08,2.7e+08,2.7e+08,-3.8e+07,2.32e+08,-4e+06,-4e+06,2.28e+08,2.29e+08,-2e+07,2.09e+08,6.77e+08,3.9695e+10,8.67e+08,2.0212e+10,1.0232e+10,8.384e+09,8.518e+10,-8.58e+08,8.6038e+10,9.78e+08,3.84e+08,2.446e+09,7.093e+09,1.36453e+11,1.04087e+11,7.1262e+10,3.2825e+10,2.31e+09,1.502e+09,8.08e+08,1.2384e+10,1.796e+09,1.21213e+11,1.665e+09,7.642e+09,1.257e+09,6.385e+09,-2.904e+09,9.378e+09,-5.41e+08,1.524e+10,1.524e+10,1.36453e+11,2.28e+08,2.1e+07,6.6e+07,3.514e+09,-3e+09,8.29e+08,-6.6e+07,-1.312e+09,3e+06,-638000000.000001,-2.013e+09,-1.11e+08,8.73e+08,4.5e+08,-1e+08,1.112e+09,-7.2e+07,-7.2e+07,-7.2e+07,2.91e+08,1.4694e+10,-2.737e+09,0.17352,0.13432,0.01371,0.00153,-13.09569,7.95361,0.10769,0.19534,0.19246,1.45434,12.68805,-2.55817,0.10375,0.00235,-0.02006,0.5311,48.16838,51.91481
"29","2017_Q2",14.6571428571429,"Down",1.495e+09,9.18e+08,1.05e+09,-1.32e+08,5.77e+08,1.27e+08,4.5e+08,-6.3e+07,1.432e+09,-1.013e+09,-6.6e+07,-9.47e+08,4.19e+08,4.19e+08,4.19e+08,-9.4e+07,3.25e+08,0,0,3.25e+08,3.24e+08,-2.8e+07,2.96e+08,5.49e+08,3.7417e+10,9.21e+08,1.8431e+10,1.0186e+10,7.879e+09,8.5255e+10,-8.7e+08,8.6125e+10,9.35e+08,3.62e+08,2.427e+09,7.531e+09,1.34476e+11,1.03982e+11,7.1954e+10,3.2028e+10,1.385e+09,4.42e+08,9.43e+08,1.2324e+10,1.552e+09,1.19498e+11,1.025e+09,7.544e+09,1.257e+09,6.287e+09,-2.623e+09,9.584e+09,-5.54e+08,1.4976e+10,1.4978e+10,1.34476e+11,3.25e+08,1e+08,6.3e+07,2.348e+09,-3.241e+09,-4.05e+08,-2e+06,1.919e+09,1.1e+07,-5e+06,1.923e+09,-1.18e+08,-9.35e+08,-4.35e+08,-1.05e+08,-1.646e+09,-1.28e+08,-1.28e+08,-1.28e+08,5.19e+08,1.3709e+10,-2.63e+09,0.28027,0.19799,0.01976,0.0022,-8.88514,7.97823,0.10194,0.277,0.27242,1.39901,13.05529,-2.46114,0.11042,0.00308,-0.01956,0.39865,25.35645,31.40811
