"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",1.1828125,"Up",4959000,-3574000,1385000,-2366000,-2366000,-981000,26000,26000,-955000,-948000,370000,-578000,-578000,-578000,-578000,2388226.43466265,2388226.43466265,3921353.37786994,3921353.37786994,2129434.49828006,1906374.57053013,699259.431890696,10345388.8813428,309492.716773749,309492.716773749,2185722.53863139,12531111.4199742,3740035.9035499,3489684.96353072,250350.940019182,3707817.88215433,1515886.2324783,1353189.0520783,5061006.93423262,51371761.0784682,-43723792.5024745,-177864.090252121,7470104.48574154,7470104.48574154,12531111.4199742,-578000,81000,89000,-622000,-1030000,0,1050000,1049000,19000,19000,21000,40000,-9e+05,0,0.27929,-0.19782,-0.11656,-0.00580628284247259,-0.00480272448026556,3.93805652558179,0.740815179805025,-0.0205122028669625,-0.01812,-0.01812,0.15547,0.23230869117764,0.00134057771451743,1.30026708072949,1.15942610938544
"2","2011_Q1",1.38112903225806,"Up",2981000,-2425000,556000,-2563000,-2563000,-2007000,124000,124000,-1883000,-1877000,35000,-1842000,-1842000,-1842000,-1842000,5448000,5448000,2220000,2220000,2279000,785000,305000,10732000,435000,435000,731000,11463000,2591000,853000,1738000,2591000,2000,2000,2593000,54487000,-46067000,450000,8870000,8870000,11463000,-1842000,70000,516000,1339000,83000,-16000,2791000,2786000,2853000,2853000,33000,2886000,-1937000,-7.27595761418343e-12,0.18651,-0.67326,-0.61791,-0.20767,-0.16069,4.14203,0.29233,0,-0.05775,-0.05775,0.09346,0.27808,-0.20762,2.8126,2.7145
"3","2011_Q2",1.17444444444444,"Down",4087000,-3087000,1e+06,-2760000,-2760000,-1760000,72000,72000,-1688000,-1683000,13000,-1670000,-1670000,-1670000,-1670000,5812674.52177912,5812674.52177912,2042548.87404335,2042548.87404335,2657771.83390665,302458.476489957,182330.189369768,10815453.7062191,533252.427742084,533252.427742084,544175.820456203,11359629.5266753,2744321.36548337,600188.34548976,2144133.01999361,2760310.70594856,-331962.077492765,-255229.6840261,2505081.02192246,56171662.9738439,-47927235.8325085,610121.363417374,8854548.50475282,8854548.50475282,11359629.5266753,-1670000,46000,247000,-678000,-2055000,-149000,2306000,2322000,118000,118000,18000,136000,-1714000,0,0.24468,-0.43063,-0.40861,-0.252456239052509,-0.189162425173245,3.71439449147274,0.257739940064992,0.0087632342889875,-0.05236,-0.05236,0.12813,0.27822543627412,-0.254004359238172,3.1086118064235,3.03212963020485
"4","2011_Q3",0.90921875,"Down",4914000,-3497000,1417000,-3186000,-3186000,-1769000,6000,6000,-1763000,-1756000,-64000,-1820000,-1820000,-1820000,-1820000,4628000,4628000,2575000,2575000,3025000,217000,212000,10445000,595000,595000,1023000,11468000,3442000,1527000,1915000,3464000,2000,95999.9999999998,3560000,56955000,-49557000,510000,7908000,7908000,11468000,-1820000,40000,186000,825000,-769000,-204000,-5000,-4000,-977000,-977000,21000,-956000,-1729000,116000,0.28836,-0.35999,-0.37037,-0.23015,-0.1587,3.0153,0.45018,0.01012,-0.05706,-0.05706,0.15406,0.24792,-0.22676,2.6096,2.55059
"5","2011_Q4",0.560793650793651,"Down",4973000,-3802000,1171000,-2839000,-2839000,-1668000,1000,1000,-1667000,-1660000,-24000,-1684000,-1684000,-1684000,-1684000,2858000,2858000,2798000,2798000,2999000,262000,257000,8917000,602000,602000,1499000,10416000,3636000,2120000,1516000,3658000,438000,526000,4184000,57093000,-51241000,380000,6232000,6232000,10416000,-1684000,53000,-22000,529000,-1124000,-573000,-6000,-6000,-1703000,-1703000,-67000,-1770000,-1615000,110000,0.23547,-0.33541,-0.33863,-0.27022,-0.16167,2.43767,0.67137,0.01056,-0.0528,-0.0528,0.15591,0.19538,-0.24838,1.70155,1.64748
"6","2012_Q1",0.535,"Down",3427000,-2734000,693000,-2746000,-2746000,-2053000,25000,25000,-2028000,-2023000,43000,-1980000,-1980000,-1980000,-1980000,1709000,1709000,1966000,1966000,2386000,204000,204000,6265000,548000,548000,1392000,7657000,2665000,1278000,1387000,2688000,482000,564000,3252000,57206000,-53221000,420000,4405000,4405000,7657000,-1980000,91000,71000,687000,-1131000,-30000,-5000,-5000,-1166000,-1166000,17000,-1149000,-1962000,105000,0.20222,-0.59907,-0.57776,-0.44949,-0.25859,2.33073,0.73825,0.01371,-0.06208,-0.06208,0.10744,0.1381,-0.39663,0.81753,0.7813
"7","2012_Q2",0.373333333333333,"Down",3862000,-2814000,1048000,-2689000,-2689000,-1641000,-11000,-11000,-1652000,-1647000,-25000,-1672000,-1672000,-1672000,-1672000,3326000,3326000,2425000,2425000,2603000,215000,215000,8569000,536000,536000,1246000,9815000,3584000,2041000,1543000,3633000,527000,527000,4160000,60112000,-54893000,436000,5655000,5655000,9815000,-1672000,78000,98000,231000,-1265000,59000,2811000,2811000,1605000,1605000,10000,1615000,-1563000,0,0.27136,-0.42491,-0.43294,-0.29567,-0.17035,2.35866,0.73563,0,-0.04647,-0.04647,0.10734,0.15718,-0.27046,2.12796,2.02681
"8","2012_Q3",0.329365079365079,"Down",5268000,-3696000,1572000,-1998000,-1998000,-426000,-5000,-5000,-431000,-436000,-23000,-459000,-459000,-459000,-459000,2500000,2500000,3151000,3151000,2258000,203000,203000,8112000,526000,526000,1158000,9270000,3482000,1909000,1573000,3533000,514000,514000,4047000,60156000,-55352000,419000,5223000,5223000,9270000,-459000,73000,182000,-603000,-807000,2000,-7000,-7000.00000000047,-812000,-812000,-10000,-822000,-353000,0,0.29841,-0.08087,-0.08713,-0.08788,-0.04951,2.29607,0.77484,-1.73472347597681e-18,-0.01191,-0.01191,0.13667,0.13551,-0.08001,7.08215,5.86854
"9","2012_Q4",0.294193548387097,"Down",4165000,-3009000,1156000,-1464000,-1464000,-308000,9000,9000,-299000,-299000,-25000,-324000,-324000,-324000,-324000,1456000,1456000,2424000,2424000,2805000,130000,130000,6815000,652000,652000,1214000,8029000,2284000,1347000,937000,2336000,5e+05,5e+05,2836000,60412000,-55676000,457000,5193000,5193000,8029000,-324000,70000,137000,-939000,-1056000,0,-6000,-6000,-1062000,-1062000,16000,-1046000,-238000,0,0.27755,-0.07395,-0.07779,-0.06239,-0.04035,2.91738,0.54612,0,-0.00841,-0.00841,0.10806,0.13473,-0.05691,6.11765,4.72727
"10","2013_Q1",0.2865,"Down",3089000,-2383000,706000,-1128000,-1128000,-422000,-8000,-8000,-430000,-430000,-18000,-448000,-448000,-448000,-448000,1654000,1654000,1742000,1742000,2223000,264000,264000,5883000,640000,640000,1137000,7020000,1697000,885000,812000,1721000,457000,515000,2236000,60457000,-56124000,451000,4784000,4784000,7020000,-448000,65000,156000,474000,247000,0,-43000.0000000001,-43000,204000,204000,-6000,198000,-357000,82000,0.22855,-0.13661,-0.14503,-0.09365,-0.06382,3.41836,0.46739,0.01168,-0.01162,-0.01162,0.08009,0.12404,-0.08416,4.40336,3.72512
