"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",13.7030158730159,"Down",1.553e+09,-8.22e+08,7.31e+08,-3.28e+08,-2.35e+08,-1.45e+08,-2e+06,4.03e+08,5.1e+08,-2.3e+07,-2.6e+07,3e+06,6.4e+07,9.13e+08,9.13e+08,-9.7e+07,8.16e+08,8.16e+08,8.16e+08,8.16e+08,3.873e+09,3.075e+09,8.6e+08,8.6e+08,6.04e+08,7.15e+08,3.23e+08,6.052e+09,7.847e+09,3.532e+09,6.74e+08,2.733e+09,1.25e+08,1.5675e+10,2.1727e+10,1.255e+09,4.59e+08,7.96e+08,2.3e+07,1.278e+09,1.919e+09,2.177e+09,8.66e+08,1.311e+09,4.096e+09,5.374e+09,1.357e+10,-1.223e+09,4.374e+09,-4.19e+08,1.6302e+10,5.1e+07,1.6353e+10,2.1727e+10,8.16e+08,2.08e+08,-2.51e+08,-3.3e+08,-1.3e+08,-1.2e+08,-3.1e+07,-7.4e+07,9.5e+07,6.43e+08,-1.73e+08,-1.73e+08,2.5e+08,7.7e+07,-7.8e+07,-5.8e+07,2.5e+07,2.5e+07,-1.11e+08,6.09e+08,6.09e+08,-7.5e+07,5.34e+08,6.11e+08,1.942e+09,4.05e+08,0.4707,0.2595,0.52543,0.0499,0.03756,0.49632,4.73552,0.32862,0.08938,0.52476,34,0.99871,10.4836,0.26045,0.05016,160.720547977507,0.04367,0.01978,0.09559,-3.16039,-4.79156
"2","2010_Q3",12.825625,"Down",1.712e+09,-8.85e+08,8.27e+08,-3.97e+08,-2.46e+08,-1.44e+08,-2e+06,4.3e+08,5.14e+08,-2.4e+07,-2.6e+07,2e+06,6.4e+07,9.44e+08,9.44e+08,-3.1e+07,9.13e+08,9.13e+08,9.13e+08,9.13e+08,4.259e+09,3.214e+09,9.38e+08,9.38e+08,6.07e+08,6.56e+08,2.9e+08,6.46e+09,8.047e+09,3.6e+09,6.69e+08,2.811e+09,1.2e+08,1.6081e+10,2.2541e+10,1.433e+09,5.19e+08,9.14e+08,2.4e+07,1.457e+09,1.927e+09,2.115e+09,8.28e+08,1.287e+09,4.042e+09,5.499e+09,1.3614e+10,-1.224e+09,5.208e+09,-6.06e+08,1.6992e+10,5e+07,1.7042e+10,2.2541e+10,9.13e+08,2.08e+08,-5.37e+08,-5.23e+08,88000000.0000001,-72999999.9999999,-3.1e+07,7.5e+07,1.17e+08,6.72e+08,-1.36e+08,-1.36e+08,-2.48e+08,-3.84e+08,-7.8e+07,-2999999.99999988,1.9e+07,1.9e+07,-6.2e+07,2.26e+08,2.26e+08,-8.7e+07,1.39e+08,6.38e+08,1.951e+09,6.21e+08,0.48306,0.25117,0.53329,0.05357,0.0405,0.68018,4.43377,0.32267,0.08655,0.58563,41.5,1.09814,10.89929,0.39833,0.05003,80.2509589213373,0.04695,0.02942,0.08543,-3.61755,-5.36744
"3","2010_Q4",13.84421875,"Up",1.602e+09,-8.78e+08,7.24e+08,-4.05e+08,-2.5e+08,-1.48e+08,-2e+06,3.19e+08,4.8e+08,-2.6e+07,-2.9e+07,3e+06,2e+06,7.99e+08,7.99e+08,-1.4e+07,7.85e+08,7.85e+08,7.85e+08,7.85e+08,5.029e+09,3.302e+09,8.54e+08,8.54e+08,7.12e+08,7.68e+08,3.13e+08,7.363e+09,8.526e+09,3.587e+09,6.68e+08,2.792e+09,1.27e+08,1.7307e+10,2.467e+10,1.669e+09,7.2e+08,9.49e+08,2.5e+07,1.694e+09,2.39e+09,2.119e+09,8.29e+08,1.29e+09,4.509e+09,6.203e+09,1.3645e+10,-1.226e+09,5.916e+09,8.1e+07,1.8416e+10,5.1e+07,1.8467e+10,2.467e+10,7.85e+08,2.14e+08,-4.75e+08,-4.72e+08,-9.6e+07,1.31e+08,-8.5e+07,7e+06,-1.49e+08,4.28e+08,-2.24e+08,-2.25e+08,-6.78e+08,-9.02e+08,-7.9e+07,4.15e+08,1e+07,1e+07,3.46e+08,-1.28e+08,-1.28e+08,2.16e+08,8.8e+07,5.33e+08,2.415e+09,2.27e+08,0.45194,0.19913,0.49001,0.04251,0.03182,0.28917,4.34652,0.3359,0.09789,0.50321,0.16713,1.02692,11.80513,0.14551,0.05064,31.8441095955015,0.03756,0.00987,0.10064,-4.90432,-8.19436
"4","2011_Q1",15.9801612903226,"Up",1.765e+09,-9.98e+08,7.67e+08,-1.18e+08,-2.84e+08,-1.66e+08,-2e+06,6.49e+08,5.4e+08,-2.5e+07,-2.8e+07,3e+06,5.4e+07,1.189e+09,1.189e+09,-1.45e+08,1.044e+09,1.044e+09,1.044e+09,1.044e+09,6.35e+09,4.598e+09,9.73e+08,9.73e+08,7.38e+08,7.98e+08,3.67e+08,8.859e+09,8.943e+09,3.659e+09,7.16e+08,2.79e+09,1.53e+08,1.6974e+10,2.5833e+10,1.929e+09,7.98e+08,1.131e+09,5.7e+07,1.986e+09,2.262e+09,2.159e+09,9.13e+08,1.246e+09,4.421e+09,6.407e+09,1.3678e+10,-1.227e+09,6.881e+09,42999999.9999999,1.9375e+10,5.1e+07,1.9426e+10,2.5833e+10,1.044e+09,2.24e+08,8.06e+08,7.08e+08,17999999.9999999,-1e+08,-1.3e+07,1.84e+08,-52999999.9999999,2.092e+09,-4.73e+08,-4.73e+08,-2.4e+07,-5.6e+08,-7.8e+07,-1.13e+08,1.6e+07,1.6e+07,-1.75e+08,1.357e+09,1.357e+09,-6.1e+07,1.296e+09,8.73e+08,2.319e+09,5.63e+08,0.43456,0.36771,0.5915,0.05374,0.04041,0.53927,4.46073,0.32982,0.08977,0.67009,0.660340000000001,1.13286,12.43582,0.36136,0.05006,8,0.04694,0.02355,0.07471,-4.61741,-6.21109
"5","2011_Q2",14.6369841269841,"Down",1.923e+09,-1.049e+09,8.74e+08,-4.14e+08,-2.5e+08,-1.56e+08,-3e+06,4.6e+08,4.02e+08,-2.3e+07,-2.7e+07,4e+06,2.7e+07,8.62e+08,8.62e+08,-1.14e+08,7.48e+08,7.48e+08,7.48e+08,7.48e+08,6.303e+09,4.57e+09,1.107e+09,1.107e+09,8.41e+08,7.86e+08,3.53e+08,9.037e+09,9.235e+09,3.819e+09,8.85e+08,2.76e+09,1.74e+08,1.7623e+10,2.666e+10,1.868e+09,9.49e+08,9.19e+08,2.6e+07,1.894e+09,2.245e+09,2.166e+09,9.15e+08,1.251e+09,4.411e+09,6.305e+09,1.3771e+10,-1.24e+09,7.55e+09,2.23e+08,2.0304e+10,5.1e+07,2.0355e+10,2.666e+10,7.48e+08,2.29e+08,6e+07,2.2e+07,-4.64e+08,-1.21e+08,-7.9e+07,-8.3e+07,-1.81e+08,5.73e+08,-5.32e+08,-5.32e+08,2.3e+07,-6.57e+08,-7.9e+07,-4.2e+07,6.4e+07,6.4e+07,-5.7e+07,-1.41e+08,-1.41e+08,1.13e+08,-2.8e+07,6.89e+08,2.271e+09,-1.93e+08,0.4545,0.23921,0.38898,0.03675,0.02806,-0.25802,4.77138,0.30975,0.08518,0.47796,0.47074,1.22875,12.9738,-0.12332,0.05048,1.21863013483283,0.03336,-0.00778,0.10561,-5.85196,-8.76522
"6","2011_Q3",11.24984375,"Down",2.005e+09,-1.116e+09,8.89e+08,-4.65e+08,-2.84e+08,-1.72e+08,-4e+06,4.24e+08,4.54e+08,-1.7e+07,-2.2e+07,5e+06,4.3e+07,8.78e+08,8.78e+08,-1.23e+08,7.55e+08,7.55e+08,7.55e+08,7.55e+08,6.357e+09,4.609e+09,1.252e+09,1.252e+09,9.17e+08,8.03e+08,3.64e+08,9.329e+09,9.755e+09,3.712e+09,8.83e+08,2.679e+09,1.5e+08,1.8496e+10,2.7825e+10,2.057e+09,1.052e+09,1.005e+09,2.6e+07,2.083e+09,2.248e+09,2.188e+09,8.86e+08,1.302e+09,4.436e+09,6.519e+09,1.3806e+10,-1.242e+09,8.227e+09,4.64e+08,2.1255e+10,5.1e+07,2.1306e+10,2.7825e+10,7.55e+08,2.36e+08,-2.22e+08,-3.25e+08,-2.23e+08,-1.22e+08,-6.4e+07,40000000.0000001,-7.7e+07,5.46e+08,-4.94e+08,-4.94e+08,-1.1e+07,-5.05e+08,-7.9e+07,-2000000.00000003,8999999.99999999,8999999.99999999,-7.2e+07,-3.1e+07,-3.1e+07,7e+07,3.9e+07,6.6e+08,2.274e+09,66000000.0000001,0.44339,0.21147,0.37656,0.03544,0.02713,0.0874199999999999,4.47864,0.30597,0.08173,0.48181,0.47454,1.27951,13.56414,0.04212,0.05041,4,0.03237,0.00256000000000001,0.10464,-6.18636,-9.62972
"7","2011_Q4",10.4,"Down",2.075e+09,-1.097e+09,9.78e+08,-3.91e+08,-2.16e+08,-1.66e+08,-4e+06,5.87e+08,3.34e+08,-1.7e+07,-2.3e+07,6e+06,2.7e+07,9.21e+08,9.21e+08,-1.1e+08,8.11e+08,8.11e+08,8.11e+08,8.11e+08,6.421e+09,4.901e+09,1.189e+09,1.189e+09,9.39e+08,7.15e+08,3.59e+08,9.264e+09,1.0266e+10,3.753e+09,8.81e+08,2.715e+09,1.57e+08,1.8909e+10,2.8173e+10,1.982e+09,9.38e+08,1.044e+09,2.7e+07,2.009e+09,2.282e+09,2.191e+09,8.91e+08,1.3e+09,4.473e+09,6.482e+09,1.3832e+10,-1.243e+09,8.958e+09,9.3e+07,2.164e+10,5.1e+07,2.1691e+10,2.8173e+10,8.11e+08,2.45e+08,-1.69e+08,-2.12e+08,2.6e+07,6.1e+07,-2.7e+07,-6.4e+07,5.6e+07,9.13e+08,-6.4e+08,-6.4e+08,2.22e+08,-4.18e+08,-7.9e+07,2.4e+07,9e+06,9e+06,-4.6e+07,4.49e+08,4.49e+08,-1.57e+08,2.92e+08,8.32e+08,2.309e+09,3.28e+08,0.47133,0.28289,0.39084,0.03739,0.02879,0.40444,4.61125,0.29883,0.08196,0.51689,0.51103,1.3225,13.79222,0.20905,0.05035,8,0.03398,0.01252,0.09741,-4.94231,-7.00511
"8","2012_Q1",10.3493548387097,"Down",1.887e+09,-1.052e+09,8.35e+08,-5.94e+08,-2.78e+08,-1.74e+08,-4e+06,2.41e+08,3.29e+08,-1.3e+07,-1.7e+07,4e+06,2.1e+07,5.7e+08,5.7e+08,-6.7e+07,5.03e+08,5.03e+08,5.03e+08,5.03e+08,5.825e+09,4.661e+09,1.082e+09,1.082e+09,9.75e+08,7.95e+08,3.47e+08,8.677e+09,1.0671e+10,3.774e+09,9.26e+08,2.652e+09,1.96e+08,1.9171e+10,2.7848e+10,2.07e+09,9.77e+08,1.093e+09,2.7e+07,2.097e+09,2.364e+09,2.258e+09,8.97e+08,1.361e+09,4.622e+09,6.719e+09,1.3859e+10,-2.024e+09,9.332e+09,-8.9e+07,2.1078e+10,5.1e+07,2.1129e+10,2.7848e+10,5.03e+08,2.47e+08,1.8e+08,1.57e+08,2.27e+08,9.8e+07,-3.1e+07,8e+07,8e+07,1.157e+09,-7.64e+08,-7.66e+08,3.55e+08,-4.76e+08,-1.17e+08,8.4e+07,-7.72e+08,8e+06,-8.05e+08,-1.24e+08,-1.24e+08,-1.16e+08,-2.4e+08,4.88e+08,2.391e+09,1.8e+07,0.4425,0.12772,0.26656,0.02381,0.01806,0.03579,4.13782,0.318,0.08586,0.32515,0.32141,1.21978,13.62508,0.01164,0.07563,6,0.02405,0.000700000000000001,0.2326,-7.03689,-14.24896
"9","2012_Q2",10.1103174603175,"Down",1.92e+09,-1.096e+09,8.24e+08,-4.63e+08,-2.73e+08,-1.84e+08,-5e+06,3.61e+08,2.31e+08,-1.6e+07,-2e+07,4e+06,2.9e+07,5.92e+08,5.92e+08,-1.18e+08,4.74e+08,4.74e+08,4.74e+08,4.74e+08,6.836e+09,5.49e+09,1.108e+09,1.108e+09,9.55e+08,9.02e+08,4.79e+08,9.801e+09,1.0373e+10,3.761e+09,9.22e+08,2.58e+09,2.59e+08,1.8688e+10,2.8489e+10,1.754e+09,8.47e+08,9.07e+08,2.7e+07,1.781e+09,3.135e+09,2.206e+09,9e+08,1.306e+09,5.341e+09,7.122e+09,1.3899e+10,-2.121e+09,9.679e+09,-1.4e+08,2.1317e+10,5e+07,2.1367e+10,2.8489e+10,4.74e+08,2.4e+08,2.92e+08,2.21e+08,-2.44e+08,-4.9e+07,1.2e+07,-5.1e+07,-1.56e+08,7.62e+08,-4.12e+08,-4.12e+08,-1.92e+08,-6.04e+08,-1.14e+08,7.8e+08,-5.6e+07,1.6e+07,5.92e+08,7.5e+08,7.5e+08,7.9e+07,8.29e+08,6.01e+08,3.162e+09,6.3e+07,0.42917,0.18802,0.24688,0.02218,0.01664,0.13291,5.50309,0.33332,0.11099,0.31266,0.3098,1.26649,14.06135,0.04156,0.0752,5,0.02199,0.00236,0.24051,-6.11314,-10.17729
"10","2012_Q3",9.33111111111111,"Down",1.908e+09,-1.1e+09,8.08e+08,-4.8e+08,-2.86e+08,-1.85e+08,-4e+06,3.28e+08,2.46e+08,-2.1e+07,-2.4e+07,3e+06,8e+06,5.74e+08,5.74e+08,-1e+08,4.74e+08,4.74e+08,4.74e+08,4.74e+08,6.345e+09,5.008e+09,1.157e+09,1.157e+09,9.99e+08,8.77e+08,4.36e+08,9.378e+09,1.0751e+10,3.755e+09,9.16e+08,2.565e+09,2.74e+08,1.9376e+10,2.8754e+10,1.863e+09,9.29e+08,9.34e+08,2.9e+07,1.892e+09,3.229e+09,2.231e+09,9e+08,1.331e+09,5.46e+09,7.352e+09,1.3919e+10,-2.458e+09,1.0029e+10,-1.36e+08,2.1354e+10,4.8e+07,2.1402e+10,2.8754e+10,4.74e+08,2.42e+08,-2.45e+08,-2.49e+08,98999999.9999999,-1.9e+07,-4.7e+07,6000000.00000003,1.59e+08,5.7e+08,-4.41e+08,-4.41e+08,1.7e+07,-5.35e+08,-1.13e+08,91999999.9999999,-3.11e+08,3e+06,-3.32e+08,-2.97e+08,-2.97e+08,-1.85e+08,-4.82e+08,5.7e+08,3.258e+09,3.28e+08,0.42348,0.17191,0.24843,0.02215,0.01648,0.69198,4.95666,0.34352,0.11331,0.31474,0.31225,1.26693,14.17928,0.2178,0.07503,5,0.02183,0.0122,0.2384,-5.41579,-9.41159
