"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2013_Q2",29.82484375,"Up",3.52e+08,0,17485399736.775,-1.52e+08,-9e+06,-3.2e+07,-1.11e+08,2e+08,-9e+06,-1e+07,1e+06,1.91e+08,1.91e+08,-5.4e+07,1.37e+08,1.37e+08,-2e+06,1.35e+08,1.35e+08,32460133065.9977,46575046445.9205,-2576326468.2075,-2576326468.2075,139312439352.873,-6509364262.87976,145821803615.753,169196245950.664,-636176310.520748,-53708424603.9613,-19583319003.9655,-29468811250.2614,-4656294349.73447,-49878175259.7892,119318070690.874,3635440472.59404,4093050664.59452,6296860721.46269,133977851303.54,141365664797.236,143910152497.596,-25762027418.3527,-17802584698.353,-17548547286.5924,-1030802508.54,-43564612116.7057,100345540380.891,9575155480.05856,1637681836.28085,399346776.399867,17205971359.0265,1766558950.95709,18972530309.9836,119318070690.874,1.37e+08,3.2e+07,4e+06,-2.3e+07,1.5e+08,-2.4e+07,-4.4e+07,-4.8e+07,-1.16e+08,0,-2.22e+08,4e+06,-3.4e+07,-2.52e+08,-2.18e+08,-2.18e+08,-2.21e+08,2.32e+08,0,2.39e+08,7.99743197737993,0.56818,0.38352,-0.740146379421106,-0.147411135103096,1.77037,1.51966268276658,5.76574012927746,-0.331043891363896,0.36986,0.36986,0.96438,131.31443619229,0.65479,0,-0.410837777595531,-0.73888203929799,0,136.540152755869,215.45993016159
"2","2013_Q3",32.21265625,"Up",3.72e+08,0,10010239842.065,-1.47e+08,-9e+06,-3.3e+07,-1.05e+08,2.25e+08,-8e+06,-1e+07,2000000.00000001,2.17e+08,2.17e+08,-5.9e+07,1.58e+08,1.58e+08,-4e+06,1.54e+08,1.54e+08,14412566532.9989,20164523222.9602,-778163234.10375,-778163234.10375,82903719676.4367,-3065682131.43988,85969401807.8766,96538122975.3318,230911844.739626,-12485712301.9807,-3364659501.98274,-7326405625.13068,-1794647174.86724,-10236587629.8946,86301535345.4372,2316220236.29702,2249525332.29726,3230930360.73135,80242425651.7699,83740332398.6178,85789576248.7982,-8418013709.17634,-5813292349.17651,-6205773643.29618,-194901254.270001,-14231306058.3529,71558270190.4454,9668577740.02928,1944840918.14042,-142326611.800067,13775485679.5132,967779475.478546,14743265154.9918,86301535345.4372,1.58e+08,3.3e+07,3999999.99999997,3.7e+07,2.32e+08,-2.6e+07,-5e+06,2000000.00000001,-6.6e+07,0,-1.08e+08,6e+06,0,-1.02e+08,6.4e+07,6.4e+07,6.6e+07,2.58e+08,0,3.28e+08,4.63117718642795,0.60484,0.41398,-0.354348189710553,-0.0705905675515481,2.12987,1.22099134138329,4.92275506463873,-0.0911519456819483,0.42192,0.42192,1.01918,74.845313096145,0.89863,0,-0.196503888797765,-0.338171019648995,0,78.6383663779347,120.221740080795
"3","2013_Q4",36.65578125,"Up",3.38e+08,0,5107619921.0325,-1.36e+08,-1e+07,-3.5e+07,-9.1e+07,2.02e+08,-9e+06,-9e+06,0,1.93e+08,1.93e+08,-4.8e+07,1.45e+08,1.45e+08,-4e+06,1.41e+08,1.41e+08,4718188844.33295,6160507740.98674,183945588.632083,183945588.632083,53227573225.4789,-924560710.47996,54152133935.9589,58129707658.4439,702970614.913209,10023429232.6731,5566446832.67242,4674198124.95644,-217215724.955745,11479470790.0351,69609178448.4791,1406073412.09901,1083508444.09909,1644976786.91045,52137141883.9233,53295777466.2059,55188192082.9327,699662096.941221,791902550.274495,48742118.9012733,271699581.91,1491564647.21572,56679756730.1485,9740525913.34309,2227613639.38014,-155442203.933356,12396161893.1711,533259825.159515,12929421718.3306,69609178448.4791,1.45e+08,3.5e+07,-2e+06,2e+06,1.8e+08,-5.4e+07,0,-2.3e+07,-7.7e+07,0,-1.2e+07,0,-1e+07,-2.2e+07,8.1e+07,8.1e+07,8e+07,2.37e+08,0,2.33e+08,2.48131359321398,0.59763,0.41716,-0.125406063236851,-0.0249735225171827,1.65248,1.0604837804611,4.37174168821291,0.0344060181060172,0.3863,0.3863,0.92603,41.972317698715,0.63836,0,-0.0682846295992551,-0.103993673216332,0,40.6210254593116,59.118883360265
"4","2014_Q1",37.6791803278688,"Up",6.68e+08,-1.32e+08,2255539973.6775,-3.73e+08,-2.3e+07,-5.6e+07,-2.94e+08,1.63e+08,-2.6e+08,-2.7e+07,-2.33e+08,-97000000.0000001,-97000000.0000001,-2.3e+07,-1.2e+08,-1.7e+08,-6e+06,-1.76e+08,-1.76e+08,1.035e+09,9.61e+08,5.46e+08,5.46e+08,4.2688e+10,1.95e+08,4.2493e+10,4.4269e+10,8.89e+08,1.894e+10,9.189e+09,9.323e+09,4.28e+08,2.0153e+10,6.4422e+10,8.39e+08,4.47e+08,1.135e+09,4.2347e+10,4.2347e+10,4.4321e+10,3.923e+09,3.475e+09,2.594e+09,4.69e+08,7.398e+09,5.1719e+10,9.795e+09,2.482e+09,1.25e+08,1.2349e+10,3.54e+08,1.2703e+10,6.4422e+10,-1.2e+08,5.6e+07,2.57e+08,-4.1e+07,1.52e+08,-7.5e+07,-2.192e+09,-6e+06,-2.262e+09,-7.5e+07,1.711e+09,3e+06,-1.44e+08,1.495e+09,-6.15e+08,-5.96e+08,-5.76e+08,2.19e+08,5.058e+09,1.26e+08,1.28464119773799,0.24401,-0.26347,-0.01385,-0.00273,-0.71591,0.99883,4.0714,0.07851,-0.37849,-0.36289,1.43656,26.55699,0.27097,0.16129,-0.00476,0.00593,-0.42614,18.36986,24.68098
"5","2014_Q2",34.9065079365079,"Down",1.198e+09,-2.66e+08,9.32e+08,-5.23e+08,-3.2e+07,-8.8e+07,-4.03e+08,4.09e+08,-2.9e+07,-2.7e+07,-2e+06,3.8e+08,3.8e+08,-1.07e+08,2.73e+08,2.75e+08,-1.3e+07,2.62e+08,2.62e+08,1.021e+09,9.64e+08,5.44e+08,5.44e+08,4.3689e+10,5.74e+08,4.3115e+10,4.5254e+10,8.98e+08,1.9385e+10,9.482e+09,9.41e+09,4.93e+08,2.0667e+10,6.5921e+10,5.49e+08,1.92e+08,1.297e+09,4.3557e+10,4.3209e+10,4.5403e+10,3.584e+09,3.698e+09,2.809e+09,4.97e+08,7.282e+09,5.2685e+10,9.836e+09,2.704e+09,4.64e+08,1.2915e+10,3.21e+08,1.3236e+10,6.5921e+10,2.73e+08,8.8e+07,-2.8e+07,1.86e+08,5.19e+08,-5.1e+07,-1.42e+08,-6e+07,-2.49e+08,-7.6e+07,-1.61e+08,2e+06,-3.1e+07,-2.66e+08,4e+06,4e+06,3e+06,4.97e+08,4.881e+09,7.39e+08,0.77796,0.3414,0.2187,0.01979,0.00397,2.82061,0.99672,3.98043,0.07404,0.45565,0.45172,2.08348,22.46087,1.28522,0.13217,0.01549,0.03388,0.29008,7.7666,9.43765
"6","2014_Q3",34.4421875,"Down",8.81e+08,-2.66e+08,6.15e+08,-3.06e+08,-3.5e+07,-7.3e+07,-1.98e+08,3.09e+08,-7e+06,-2.4e+07,1.7e+07,3.02e+08,3.02e+08,-8.7e+07,2.15e+08,2.34e+08,-9e+06,2.25e+08,2.25e+08,2.083e+09,2.057e+09,4.32e+08,4.32e+08,4.7676e+10,4.86e+08,4.719e+10,5.0191e+10,8.45e+08,1.6889e+10,8.583e+09,7.957e+09,3.49e+08,1.8291e+10,6.8482e+10,4.47e+08,1.54e+08,1.683e+09,4.754e+10,4.7269e+10,4.967e+10,2.248e+09,3.024e+09,2.197e+09,4.6e+08,5.272e+09,5.4942e+10,9.873e+09,2.878e+09,5.82e+08,1.3243e+10,2.97e+08,1.354e+10,6.8482e+10,2.15e+08,7.3e+07,2e+06,2.7e+07,3.17e+08,-4.7e+07,1.976e+09,-5.1e+07,1.9e+09,-7.5e+07,-9.29e+08,3e+06,-1.8e+07,-1.019e+09,1.198e+09,1.088e+09,1.093e+09,3.82e+08,3.931e+09,4.49e+08,0.69807,0.35074,0.25539,0.01662,0.00329,1.99556,1.01049,4.05775,0.0574,0.3913,0.38793,1.53217,23.0313,0.78087,0.13043,0.01464,0.02191,0.33333,4.8377,5.98058
"7","2014_Q4",38.6378125,"Up",1.01e+09,-2.65e+08,7.45e+08,-4.15e+08,-3.7e+07,-8.3e+07,-2.95e+08,3.3e+08,-1.7e+07,-2.2e+07,5e+06,3.13e+08,3.13e+08,-9e+07,2.23e+08,2.13e+08,-7e+06,2.06e+08,2.06e+08,1.879e+09,6.38e+08,4.46e+08,4.46e+08,4.7053e+10,2.12e+08,4.6841e+10,4.9378e+10,8.39e+08,1.6573e+10,8.471e+09,7.754e+09,3.48e+08,1.7908e+10,6.7286e+10,4.67e+08,1.85e+08,1.889e+09,4.6981e+10,4.6842e+10,4.9337e+10,2.247e+09,2.915e+09,2.137e+09,4.58e+08,5.162e+09,5.4499e+10,9.91e+09,3e+09,2.44e+08,1.2614e+10,1.73e+08,1.2787e+10,6.7286e+10,2.23e+08,8.3e+07,-2.4e+07,-1.96e+08,8.6e+07,-6.3e+07,1.71e+08,6e+06,-1.162e+09,-7.4e+07,3.22e+08,-4.43e+08,-1.38e+08,-3.33e+08,-1.409e+09,-1.413e+09,-1.419e+09,4.13e+08,4.136e+09,2.44e+08,0.73762,0.32673,0.20396,0.01611,0.00306,1.18447,1.00083,4.26206,0.06147,0.3614,0.3614,1.77193,22.12982,0.42807,0.12982,0.01411,0.0123,0.35922,5.46489,6.83939
"8","2015_Q1",40.7668852459016,"Up",1.263e+09,-4.63e+08,8e+08,-4e+08,-3.9e+07,-8.9e+07,-2.72e+08,4e+08,1.2e+07,-2.3e+07,3.5e+07,4.12e+08,4.12e+08,-1.18e+08,2.94e+08,2.94e+08,-6e+06,2.88e+08,2.88e+08,1.852e+09,6.52e+08,5.08e+08,5.08e+08,4.7872e+10,8.5e+07,4.7787e+10,5.0232e+10,8.74e+08,1.6769e+10,8.535e+09,7.78e+09,4.54e+08,1.8022e+10,6.8254e+10,7.51e+08,3.42e+08,2.042e+09,4.7643e+10,4.7574e+10,5.0436e+10,2.235e+09,3.026e+09,2.028e+09,4.82e+08,5.261e+09,5.5697e+10,9.939e+09,3.21e+09,-4.6e+07,1.236e+10,1.97e+08,1.2557e+10,6.8254e+10,2.94e+08,8.9e+07,6.7e+07,9.1e+07,5.41e+08,-8.9e+07,-2.582e+09,-5.6e+07,-453000000.000001,-7.4e+07,2.16e+08,-2.07e+08,1e+07,-55000000.0000001,33000000.0000005,3.3e+07,1.4e+07,4.89e+08,4.277e+09,6.09e+08,0.63341,0.31671,0.22803,0.02294,0.00422,2.11458,0.99596,4.43553,0.06266,0.51429,0.50526,2.25536,22.07143,1.0875,0.13214,0.01823,0.03066,0.25694,4.9591,6.0625
"9","2015_Q2",42.0693650793651,"Up",1.18e+09,-3.3e+08,8.5e+08,-3.88e+08,-2.9e+07,-8.9e+07,-2.7e+08,4.62e+08,-2.1e+07,-2.3e+07,2e+06,4.41e+08,4.41e+08,-1.18e+08,3.23e+08,3.23e+08,-8e+06,3.15e+08,3.15e+08,1296119531.47096,773931079.814152,558927376.562239,558927376.562239,45753261906.0117,111073534.648692,45642188371.363,47608308814.0449,911598380.999964,17233406667.703,8782948667.72609,7954937110.8179,495520889.159055,18506905080.0862,66115213894.131,808443224.220433,397907789.217748,1597768933.59139,45629175095.0409,45443746431.9281,48035387252.8527,2380693038.82204,3005978022.15735,2002917311.39533,438701349.231258,5386671060.97939,53422058313.8321,10120454120.5101,3431673195.53282,-74601994.7075978,12543887288.7079,149268291.591053,12693155580.2989,66115213894.131,3.23e+08,8.9e+07,-2.7e+07,8e+07,4.65e+08,-6e+07,-6e+07,3.4e+07,-8.6e+07,-7.3e+07,3.5e+07,-1.96e+08,-3.4e+07,-2.68e+08,1.11e+08,1.11e+08,1e+08,5.51e+08,0,6.89e+08,0.72034,0.39153,0.26695,0.023919594720691,0.00459043338167731,2.1873,0.99108977222619,4.20863907794739,0.059439400238179,0.55263,0.54783,2.07018,22.5656237300652,1.20877,0.12807,0.0195471054753264,0.0353866752909884,0.23175,5.24354416030387,6.3726836912206
"10","2015_Q3",42.1040625,"Up",1.096e+09,-2.99e+08,7.97e+08,-3.67e+08,-2.9e+07,-9.3e+07,-2.45e+08,4.3e+08,-3.2e+07,-2.3e+07,-9e+06,3.98e+08,3.98e+08,-1.09e+08,2.89e+08,2.89e+08,-6e+06,2.83e+08,2.83e+08,7e+08,6.78e+08,5.41e+08,5.41e+08,4.3892e+10,1.8e+08,4.3712e+10,4.5133e+10,9.11e+08,1.6719e+10,8.532e+09,7.7e+09,4.87e+08,1.7971e+10,6.3104e+10,6.13e+08,2.89e+08,1.016e+09,4.3951e+10,4.3657e+10,4.558e+10,2.247e+09,2.794e+09,1.902e+09,3.93e+08,5.041e+09,5.0621e+10,1.0018e+10,3.641e+09,-6.8e+07,1.241e+10,7.3e+07,1.2483e+10,6.3104e+10,2.89e+08,9.3e+07,-4e+06,-7.3e+07,3.05e+08,-7.6e+07,0,-2.3e+07,9.85e+08,-8.5e+07,-9.53e+08,-2.03e+08,-1.26e+08,-1.367e+09,-7.7e+07,-7.7e+07,-7.4e+07,5.23e+08,3.263e+09,4.83e+08,0.72719,0.39234,0.25821,0.02267,0.00448,1.70671,0.99019,4.0552,0.05171,0.50991,0.50536,1.97477,22.36036,0.87027,0.15315,0.01985,0.02605,0.30035,4.90057,5.96047
