"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",25.214126984127,"Up",1.6175e+10,-1.0725e+10,5.45e+09,-4.47e+09,-4.042e+09,-4.28e+08,9.8e+08,-1.75e+08,-1.75e+08,8.05e+08,8.05e+08,-2.91e+08,5.14e+08,5.14e+08,5.14e+08,5.14e+08,2.442e+09,2.436e+09,1.342e+09,1.342e+09,1.1479e+10,1.383e+09,1.383e+09,1.6646e+10,2.5404e+10,1.569e+09,1.192e+09,3.77e+08,2.6973e+10,4.3619e+10,1.0731e+10,7.051e+09,3.28e+09,2.021e+09,1.225e+09,1.225e+09,1.3977e+10,7.676e+09,2.595e+09,2.356e+09,1.0271e+10,2.4248e+10,6.407e+09,-1.094e+09,1.3552e+10,5.06e+08,1.9371e+10,1.9371e+10,4.3619e+10,5.14e+08,4.53e+08,-4e+07,8e+08,1.727e+09,-1.02e+08,-8.3e+07,-3.81e+08,-4e+06,2e+06,4.26e+08,4.3e+07,1.687e+09,1.687e+09,8e+06,1.695e+09,1.433e+09,9.697e+09,2.422e+09,0.33694,0.06059,0.03178,0.02653,0.01178,4.71206,1.19096,1.25177,0.22231,0.30541,0.30432,9.61081,11.5098,1.4391,0.22638,0.02827,0.07649,0.74125,5.06281,7.40306
"2","2010_Q3",21.9203125,"Down",1.9071e+10,-1.2683e+10,6.388e+09,-4.555e+09,-4.121e+09,-4.34e+08,1.833e+09,-1.61e+08,-1.61e+08,1.672e+09,1.672e+09,-5.56e+08,1.116e+09,1.116e+09,1.116e+09,1.116e+09,2.395e+09,2.395e+09,1.218e+09,1.218e+09,1.0759e+10,1.385e+09,1.385e+09,1.5757e+10,2.519e+10,1.588e+09,1.187e+09,4.01e+08,2.6778e+10,4.2535e+10,9.567e+09,5.919e+09,3.379e+09,2.022e+09,1.15e+09,1.15e+09,1.2739e+10,7.727e+09,2.624e+09,2.428e+09,1.0351e+10,2.309e+10,6.497e+09,-1.794e+09,1.435e+10,3.92e+08,1.9445e+10,1.9445e+10,4.2535e+10,1.116e+09,4.58e+08,4e+07,-1.3e+07,1.601e+09,-1.31e+08,-1.31e+08,-3.81e+08,-7000000.00000024,31999999.9999999,-2.16e+08,-5.72e+08,8.98e+08,8.98e+08,-5e+06,8.93e+08,2.291e+09,9.749e+09,2.703e+09,0.33496,0.09611,0.05852,0.05739,0.02624,2.42204,1.23691,1.18745,0.2292,0.66231,0.65996,11.3181,11.54006,1.60415,0.22611,0.04705,0.08495,0.3414,3.20995,4.012
"3","2010_Q4",24.78234375,"Up",1.6361e+10,-1.08e+10,5.561e+09,-4.298e+09,-3.87e+09,-4.28e+08,1.263e+09,-1.64e+08,-1.64e+08,1.099e+09,1.099e+09,-4.1e+08,6.89e+08,6.89e+08,6.89e+08,6.89e+08,1.425e+09,1.425e+09,1.295e+09,1.295e+09,1.0993e+10,1.363e+09,1.363e+09,1.5076e+10,2.505e+10,1.615e+09,1.18e+09,4.35e+08,2.6665e+10,4.1741e+10,9.176e+09,5.714e+09,3.267e+09,1.023e+09,1.161e+09,1.161e+09,1.136e+10,8.752e+09,2.514e+09,2.33e+09,1.1266e+10,2.2626e+10,6.541e+09,-2.594e+09,1.4793e+10,3.75e+08,1.9115e+10,1.9115e+10,4.1741e+10,6.89e+08,4.53e+08,2.9e+07,1.65e+08,1.336e+09,-1.74e+08,-1.71e+08,-3.82e+08,-1.004e+09,-9.5e+07,-8.9e+07,-1.57e+09,-4.05e+08,-4.05e+08,1.7e+07,-3.88e+08,1.716e+09,9.775e+09,2.117e+09,0.33989,0.0772,0.04211,0.03604,0.01651,3.07257,1.32711,1.18368,0.23418,0.40963,0.40697,9.72711,11.36445,1.25862,0.22711,0.0341,0.06741,0.55443,4.86597,6.61124
"4","2011_Q1",28.2627419354839,"Up",1.639e+10,-1.0485e+10,5.905e+09,-4.142e+09,-3.816e+09,-3.26e+08,1.763e+09,-6.6e+07,-1.5e+07,1.697e+09,1.697e+09,-6.78e+08,1.019e+09,1.019e+09,1.019e+09,1.019e+09,1.421e+09,1.421e+09,9.64e+08,9.64e+08,1.0188e+10,1.327e+09,1.327e+09,1.39e+10,2.555e+10,1.427e+09,1.171e+09,2.56e+08,2.6977e+10,4.0877e+10,8.185e+09,4.863e+09,3.214e+09,1.02e+09,1.158e+09,1.158e+09,1.0363e+10,8.662e+09,2.459e+09,2.14e+09,1.1121e+10,2.1484e+10,6.39e+09,-5.85e+08,1.3226e+10,3.62e+08,1.9393e+10,1.9393e+10,4.0877e+10,1.019e+09,3.54e+08,2.89e+08,-1.741e+09,-7.9e+07,-6.05e+08,-6.27e+08,-4.25e+08,9.84e+08,-2.443e+09,-4.68e+08,-2.352e+09,-3.058e+09,-3.058e+09,-1.8e+07,-3.076e+09,2.117e+09,9.682e+09,4.49e+08,0.36028,0.10757,0.06217,0.05254,0.02493,0.44063,1.34131,1.10782,0.23686,0.66083,0.65362,10.62905,12.57652,0.29118,0.27562,0.04579,0.01424,0.41708,3.90222,4.68576
"5","2011_Q2",28.2568253968254,"Down",1.6823e+10,-1.0995e+10,5.828e+09,-4.406e+09,-4.009e+09,-3.97e+08,1.422e+09,-1.39e+08,-1.39e+08,1.283e+09,1.283e+09,-4.71e+08,8.12e+08,8.12e+08,8.12e+08,8.12e+08,1.806e+09,1.806e+09,1.456e+09,1.456e+09,1.1694e+10,1.205e+09,1.205e+09,1.6161e+10,2.4993e+10,1.643e+09,1.209e+09,4.34e+08,2.6636e+10,4.2797e+10,1.0167e+10,6.543e+09,3.226e+09,4.3e+07,1.248e+09,1.248e+09,1.1458e+10,1.072e+10,2.421e+09,2.184e+09,1.3141e+10,2.4599e+10,6.455e+09,-4.274e+09,1.5404e+10,6.13e+08,1.8198e+10,1.8198e+10,4.2797e+10,8.12e+08,4.24e+08,6.8e+07,7.94e+08,2.098e+09,-1.84e+08,-1.84e+08,-4.03e+08,9.87e+08,-1.267e+09,1.9e+07,-6.64e+08,1.25e+09,1.25e+09,1.1e+07,1.261e+09,1.846e+09,1.0763e+10,2.927e+09,0.34643,0.08453,0.04827,0.04462,0.01897,3.60468,1.41046,1.35174,0.25149,0.50782,0.50403,10.52095,11.38086,1.83052,0.25203,0.03872,0.09327,0.49631,4.85211,6.29887
"6","2011_Q3",26.46234375,"Down",2.0232e+10,-1.3356e+10,6.876e+09,-4.582e+09,-4.186e+09,-3.96e+08,2.294e+09,-1.46e+08,-1.46e+08,2.148e+09,2.148e+09,-7.85e+08,1.363e+09,1.363e+09,1.363e+09,1.363e+09,2.551e+09,2.551e+09,1.332e+09,1.332e+09,1.0756e+10,1.218e+09,1.218e+09,1.5857e+10,2.4798e+10,1.622e+09,1.177e+09,4.45e+08,2.642e+10,4.2277e+10,9.725e+09,5.89e+09,3.529e+09,44000000.0000001,1.178e+09,1.178e+09,1.0947e+10,1.0731e+10,2.366e+09,2.136e+09,1.3097e+10,2.4044e+10,6.751e+09,-5.493e+09,1.6372e+10,6.03e+08,1.8233e+10,1.8233e+10,4.2277e+10,1.363e+09,4.25e+08,4.4e+07,5.57e+08,2.389e+09,-2.58e+08,-2.58e+08,-3.95e+08,-7e+06,-9.01e+08,-7.3e+07,-1.376e+09,7.55e+08,7.55e+08,-1e+07,7.45e+08,2.719e+09,1.0775e+10,3.803e+09,0.33986,0.11338,0.06737,0.07475,0.03224,2.79017,1.44852,1.31871,0.25487,0.8676,0.8632,12.87842,11.60598,2.42075,0.25143,0.05603,0.12122,0.2898,3.02464,3.585
"7","2011_Q4",29.7090476190476,"Up",1.7326e+10,-1.1365e+10,5.961e+09,-4.346e+09,-3.956e+09,-3.9e+08,1.615e+09,-1.58e+08,-1.58e+08,1.457e+09,1.457e+09,-5.23e+08,9.34e+08,9.34e+08,9.34e+08,9.34e+08,2.234e+09,2.234e+09,1.384e+09,1.384e+09,1.0717e+10,1.143e+09,1.143e+09,1.5478e+10,2.4532e+10,1.489e+09,1.072e+09,4.17e+08,2.6021e+10,4.1499e+10,9.389e+09,5.669e+09,3.402e+09,4.4e+07,1.153e+09,1.153e+09,1.0586e+10,1.0739e+10,2.405e+09,2.205e+09,1.3144e+10,2.373e+10,6.784e+09,-6.294e+09,1.6917e+10,3.62e+08,1.7769e+10,1.7769e+10,4.1499e+10,9.34e+08,4.16e+08,8.1e+07,-2.27e+08,1.204e+09,-3.42e+08,-2.41e+08,-3.89e+08,-7e+06,-7.97e+08,-6.4e+07,-1.257e+09,-2.94e+08,-2.94e+08,-2.3e+07,-3.17e+08,2.031e+09,1.0783e+10,1.985e+09,0.34405,0.09321,0.05391,0.05256,0.02251,2.12527,1.46212,1.33547,0.25984,0.60414,0.60142,11.20699,11.49353,1.28396,0.25162,0.04274,0.06412,0.41649,4.20926,5.2935
"8","2012_Q1",36.8027419354839,"Up",1.6014e+10,-1.0417e+10,5.597e+09,-4.267e+09,-3.877e+09,-3.9e+08,1.33e+09,-1.5e+08,-1.5e+08,1.18e+09,1.18e+09,-4.06e+08,7.74e+08,7.74e+08,7.74e+08,7.74e+08,1.987e+09,1.987e+09,1.245e+09,1.245e+09,1.0325e+10,9.63e+08,9.63e+08,1.452e+10,2.4448e+10,1.55e+09,1.12e+09,4.3e+08,2.5998e+10,4.0518e+10,8.199e+09,4.856e+09,3.32e+09,3e+07,1.147e+09,1.147e+09,9.376e+09,1.0758e+10,2.486e+09,2.146e+09,1.3244e+10,2.262e+10,7.053e+09,-6.694e+09,1.7246e+10,2.93e+08,1.7898e+10,1.7898e+10,4.0518e+10,7.74e+08,4.17e+08,1.92e+08,-4.23e+08,9.6e+08,-3.81e+08,-4.46e+08,-4.45e+08,-7e+06,-1.99e+08,-1e+08,-7.51e+08,-2.37e+08,-2.37e+08,-1e+07,-2.47e+08,1.747e+09,1.0788e+10,1.349e+09,0.34951,0.08305,0.04833,0.04325,0.0191,1.74289,1.54863,1.26383,0.26625,0.50522,0.50358,10.453,11.68277,0.88055,0.29047,0.03911,0.04328,0.57494,5.03778,6.61729
"9","2012_Q2",40.511746031746,"Up",1.7808e+10,-1.1625e+10,6.183e+09,-4.469e+09,-4.086e+09,-3.83e+08,1.714e+09,-8.4e+07,-1.51e+08,1.63e+09,1.63e+09,-5.95e+08,1.035e+09,1.035e+09,1.035e+09,1.035e+09,3.191e+09,3.191e+09,1.519e+09,1.519e+09,1.1582e+10,1.06e+09,1.06e+09,1.7352e+10,2.4371e+10,1.577e+09,1.139e+09,4.38e+08,2.5948e+10,4.33e+10,1.0847e+10,7.135e+09,3.262e+09,3.3e+07,1.219e+09,1.219e+09,1.2099e+10,1.0792e+10,2.434e+09,2.112e+09,1.3226e+10,2.5325e+10,7.308e+09,-7.623e+09,1.7837e+10,4.53e+08,1.7975e+10,1.7975e+10,4.33e+10,1.035e+09,4.1e+08,4.3e+07,1.002e+09,2.49e+09,-2.21e+08,-2.21e+08,-4.44e+08,-7e+06,-7.19e+08,8.7e+07,-1.083e+09,1.186e+09,1.186e+09,1.8e+07,1.204e+09,2.124e+09,1.0825e+10,3.5e+09,0.3472,0.09625,0.05812,0.05758,0.0239,3.38164,1.43417,1.4089,0.25,0.68003,0.67603,11.70039,11.81012,2.29961,0.29172,0.04735,0.11206,0.42899,3.59416,4.45391
"10","2012_Q3",44.1115873015873,"Up",2.057e+10,-1.3544e+10,7.026e+09,-4.457e+09,-4.066e+09,-3.91e+08,2.569e+09,-1.51e+08,-1.51e+08,2.418e+09,2.418e+09,-8.86e+08,1.532e+09,1.532e+09,1.532e+09,1.532e+09,2.81e+09,2.81e+09,1.505e+09,1.505e+09,1.091e+10,1.006e+09,1.006e+09,1.6231e+10,2.4154e+10,1.598e+09,1.157e+09,4.41e+08,2.5752e+10,4.1983e+10,9.944e+09,6.137e+09,3.494e+09,3.4e+07,1.256e+09,1.256e+09,1.1234e+10,1.0771e+10,2.344e+09,2.046e+09,1.3115e+10,2.4349e+10,7.342e+09,-8.956e+09,1.8933e+10,3.15e+08,1.7634e+10,1.7634e+10,4.1983e+10,1.532e+09,4.23e+08,4.2e+07,-2.26e+08,1.771e+09,-3.15e+08,-3.6e+08,-4.36e+08,-8999999.99999999,-1.358e+09,3.5e+07,-1.768e+09,-3.57e+08,-3.57e+08,-2.4e+07,-3.81e+08,2.992e+09,1.0805e+10,3.337e+09,0.34157,0.12489,0.07448,0.08688,0.03649,2.1782,1.44481,1.3808,0.25737,1.02065,1.01323,13.7042,11.74817,2.22318,0.29047,0.06393,0.1084,0.2846,2.67213,3.11211
"11","2012_Q4",50.1966129032258,"Up",1.813e+10,-1.1863e+10,6.267e+09,-4.534e+09,-4.139e+09,-3.95e+08,1.733e+09,-1.5e+08,-1.5e+08,1.583e+09,1.583e+09,-6.36e+08,9.47e+08,9.47e+08,9.47e+08,9.47e+08,2.554e+09,2.554e+09,1.645e+09,1.645e+09,1.096e+10,7.96e+08,7.96e+08,1.5955e+10,2.4124e+10,1.582e+09,1.141e+09,4.41e+08,2.5706e+10,4.1661e+10,9.437e+09,6.01e+09,3.389e+09,3.4e+07,1.195e+09,1.195e+09,1.0666e+10,1.0779e+10,2.478e+09,2.107e+09,1.3257e+10,2.3923e+10,7.748e+09,-9.869e+09,1.9448e+10,4.11e+08,1.7738e+10,1.7738e+10,4.1661e+10,9.47e+08,4.24e+08,2.33e+08,-4.81e+08,1.123e+09,-3.3e+08,-4.06e+08,-4.32e+08,-7e+06,-5.56e+08,1.1e+07,-9.84e+08,-2.67e+08,-2.67e+08,1.1e+07,-2.56e+08,2.157e+09,1.0813e+10,1.982e+09,0.34567,0.09559,0.05223,0.05339,0.02273,2.09293,1.49587,1.34869,0.25955,0.63472,0.62798,12.15147,11.88874,1.32842,0.28954,0.04444,0.06388,0.45618,3.82893,4.76572
"12","2013_Q1",54.431,"Up",1.8246e+10,-1.188e+10,6.366e+09,-4.616e+09,-4.217e+09,-3.99e+08,1.75e+09,-1.6e+08,-1.6e+08,1.59e+09,1.59e+09,-5.69e+08,1.021e+09,1.021e+09,1.021e+09,1.021e+09,2.494e+09,2.494e+09,1.395e+09,1.395e+09,1.071e+10,7.73e+08,7.73e+08,1.5372e+10,2.4069e+10,1.643e+09,1.17e+09,4.73e+08,2.5712e+10,4.1084e+10,8.871e+09,5.376e+09,3.473e+09,1.321e+09,1.27e+09,1.27e+09,1.1462e+10,9.475e+09,2.37e+09,2.051e+09,1.1845e+10,2.3307e+10,8.036e+09,-1.0694e+10,2.0038e+10,3.97e+08,1.7777e+10,1.7777e+10,4.1084e+10,1.021e+09,4.27e+08,1.04e+08,3.9e+07,1.591e+09,-3.96e+08,-4.45e+08,-4.31e+08,-9e+06,-5.67e+08,-1.92e+08,-1.199e+09,-53000000.0000001,-53000000.0000001,-7000000.00000001,-60000000.0000001,2.177e+09,1.0796e+10,2.389e+09,0.3489,0.09591,0.05596,0.05743,0.02485,2.33986,1.34113,1.31108,0.26278,0.6894,0.68386,12.32005,12.00338,1.6131,0.29102,0.04692,0.07721,0.42214,3.8135,4.744
"13","2013_Q2",61.2278125,"Up",1.9124e+10,-1.2445e+10,6.679e+09,-4.585e+09,-4.183e+09,-4.02e+08,2.094e+09,-1.61e+08,-1.61e+08,1.933e+09,1.933e+09,-7.07e+08,1.226e+09,1.226e+09,1.226e+09,1.226e+09,4.337e+09,4.337e+09,1.658e+09,1.658e+09,1.1825e+10,8e+08,8e+08,1.862e+10,2.3906e+10,1.669e+09,1.187e+09,4.82e+08,2.5575e+10,4.4195e+10,1.1309e+10,7.384e+09,3.41e+09,1.332e+09,1.377e+09,1.377e+09,1.4018e+10,1.146e+10,2.324e+09,2.054e+09,1.3784e+10,2.7802e+10,7.878e+09,-1.2605e+10,2.0687e+10,4.33e+08,1.6393e+10,1.6393e+10,4.4195e+10,1.226e+09,4.35e+08,-2.4e+07,1.06e+09,2.697e+09,-2.63e+08,-2.76e+08,-5.77e+08,1.986e+09,-2.132e+09,1.34e+08,-5.89e+08,1.832e+09,1.832e+09,1.1e+07,1.843e+09,2.529e+09,1.2792e+10,4.033e+09,0.34925,0.1095,0.06411,0.07479,0.02774,3.28956,1.32829,1.69597,0.28944,0.83515,0.8295,13.02725,11.16689,2.74728,0.39305,0.05722,0.128,0.47064,3.34322,4.03773
"14","2013_Q3",63.21703125,"Up",2.2522e+10,-1.4801e+10,7.721e+09,-4.703e+09,-4.294e+09,-4.09e+08,3.018e+09,-1.72e+08,-1.72e+08,2.846e+09,2.846e+09,-1.051e+09,1.795e+09,1.795e+09,1.795e+09,1.795e+09,3.419e+09,3.419e+09,1.542e+09,1.542e+09,1.1086e+10,8.48e+08,8.48e+08,1.6895e+10,2.365e+10,1.647e+09,1.17e+09,4.77e+08,2.5297e+10,4.2192e+10,1.0308e+10,6.585e+09,3.664e+09,1.308e+09,1.379e+09,1.379e+09,1.2995e+10,1.145e+10,2.269e+09,1.979e+09,1.3719e+10,2.6714e+10,8.089e+09,-1.4808e+10,2.1916e+10,2.81e+08,1.5478e+10,1.5478e+10,4.2192e+10,1.795e+09,4.42e+08,6.2e+07,-2.78e+08,2.021e+09,-3.2e+08,-3.2e+08,-5.66e+08,-9e+06,-2.064e+09,2e+07,-2.619e+09,-9.18e+08,-9.18e+08,-3.72529029846191e-09,-9.18e+08,3.46e+09,1.2758e+10,3.913e+09,0.34282,0.134,0.0797,0.11597,0.04254,2.17994,1.30012,1.72593,0.30238,1.25,1.24394,15.68384,10.77855,2.72493,0.39415,0.0774,0.12827,0.31532,2.69913,3.09443
"15","2013_Q4",64.15140625,"Up",1.947e+10,-1.2672e+10,6.798e+09,-4.505e+09,-4.096e+09,-4.09e+08,2.293e+09,-1.88e+08,-1.88e+08,2.105e+09,2.105e+09,-7.54e+08,1.351e+09,1.351e+09,1.351e+09,1.351e+09,4.853e+09,4.853e+09,1.606e+09,1.606e+09,1.1348e+10,7.91e+08,7.91e+08,1.8598e+10,2.3557e+10,1.659e+09,1.172e+09,4.87e+08,2.5216e+10,4.3814e+10,9.92e+09,6.366e+09,3.524e+09,1.317e+09,1.292e+09,1.292e+09,1.2529e+10,1.4692e+10,2.379e+09,2.019e+09,1.7071e+10,2.96e+10,8.067e+09,-1.6818e+10,2.2711e+10,2.54e+08,1.4214e+10,1.4214e+10,4.3814e+10,1.351e+09,4.4e+08,1.02e+08,-6.3e+08,1.263e+09,-3.47e+08,-3.49e+08,-5.56e+08,3.22e+09,-2.086e+09,-5e+07,5.28e+08,1.442e+09,1.442e+09,-8e+06,1.434e+09,2.733e+09,1.6009e+10,2.51e+09,0.34915,0.11777,0.06939,0.09505,0.03083,1.85788,1.4844,2.08245,0.36539,0.95952,0.95342,13.82812,10.09517,1.78267,0.39489,0.05849,0.07699,0.41155,4.08196,4.86524
"16","2014_Q1",65.8072131147541,"Up",1.7696e+10,-1.1504e+10,6.192e+09,-4.431e+09,-4.024e+09,-4.07e+08,1.761e+09,-1.78e+08,-1.78e+08,1.583e+09,1.583e+09,-5.7e+08,1.013e+09,1.013e+09,1.013e+09,1.013e+09,1.929e+09,1.929e+09,1.398e+09,1.398e+09,1.1057e+10,8.95e+08,8.95e+08,1.5279e+10,2.3348e+10,1.891e+09,1.289e+09,6.02e+08,2.5239e+10,4.0518e+10,9.379e+09,5.797e+09,3.57e+09,3.3e+07,1.337e+09,1.337e+09,1.0749e+10,1.4691e+10,2.556e+09,2.042e+09,1.7247e+10,2.7996e+10,8.49e+09,-1.9194e+10,2.318e+10,4.6e+07,1.2522e+10,1.2522e+10,4.0518e+10,1.013e+09,4.4e+08,5.7e+07,1.37e+08,1.647e+09,-3.71e+08,-5.62e+08,-5.44e+08,-1.264e+09,-2.023e+09,-1.41e+08,-3.972e+09,-2.887e+09,-2.887e+09,-3.7e+07,-2.924e+09,2.201e+09,1.4724e+10,2.537e+09,0.34991,0.09951,0.05724,0.0809,0.025,2.50444,1.42143,2.23575,0.36339,0.71088,0.70642,12.41825,8.78737,1.78035,0.38175,0.05224,0.08513,0.53702,5.81327,7.26576
"17","2014_Q2",65.6668253968254,"Down",1.9687e+10,-1.2802e+10,6.885e+09,-4.608e+09,-4.194e+09,-4.14e+08,2.277e+09,-9.1e+07,-9.1e+07,2.186e+09,2.186e+09,-8.07e+08,1.379e+09,1.379e+09,1.379e+09,1.379e+09,2.511e+09,2.511e+09,1.831e+09,1.831e+09,1.2343e+10,8.3e+08,8.3e+08,1.7515e+10,2.3238e+10,1.876e+09,1.293e+09,5.83e+08,2.5114e+10,4.2629e+10,1.179e+10,7.739e+09,3.505e+09,3.4e+07,1.441e+09,1.441e+09,1.3265e+10,1.4707e+10,2.511e+09,2.013e+09,1.7218e+10,3.0483e+10,8.589e+09,-2.0444e+10,2.3913e+10,8.8e+07,1.2146e+10,1.2146e+10,4.2629e+10,1.379e+09,4.47e+08,1.31e+08,6.11e+08,2.568e+09,-2.8e+08,-2.8e+08,-6.46e+08,-1.2e+07,-1.181e+09,1.33e+08,-1.706e+09,5.82e+08,5.82e+08,0,5.82e+08,2.724e+09,1.4741e+10,3.862e+09,0.34972,0.11566,0.07005,0.11354,0.03235,2.80058,1.32039,2.50972,0.3458,0.96772,0.96165,13.81544,8.52351,2.71018,0.45333,0.06888,0.13137,0.46846,4.48972,5.3711
"18","2014_Q3",71.81453125,"Up",2.3811e+10,-1.565e+10,8.161e+09,-4.713e+09,-4.298e+09,-4.15e+08,3.448e+09,-1.91e+08,-1.91e+08,3.257e+09,3.257e+09,-1.207e+09,2.05e+09,2.05e+09,2.05e+09,2.05e+09,4.216e+09,4.216e+09,1.637e+09,1.637e+09,1.1665e+10,9.73e+08,9.73e+08,1.8491e+10,2.3126e+10,1.862e+09,1.295e+09,5.67e+08,2.4988e+10,4.3479e+10,1.1302e+10,7.165e+09,3.78e+09,3.4e+07,1.503e+09,1.503e+09,1.2839e+10,1.6702e+10,2.481e+09,1.953e+09,1.9183e+10,3.2022e+10,8.305e+09,-2.2263e+10,2.5324e+10,9.1e+07,1.1457e+10,1.1457e+10,4.3479e+10,2.05e+09,4.49e+08,4.2e+07,1.76e+08,2.717e+09,-3.35e+08,-2.23e+08,-6.39e+08,1.972e+09,-2.171e+09,4.8e+07,-7.9e+08,1.704e+09,1.704e+09,1000000.00000001,1.705e+09,3.897e+09,1.6736e+10,4.945e+09,0.34274,0.14481,0.08609,0.17893,0.04715,2.4122,1.44022,2.79497,0.38492,1.4386,1.42957,16.70947,8.04,3.47018,0.44842,0.08766,0.16121,0.31171,3.21273,3.63109
