"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",12.1531746031746,"Up",214797000,-121346000,93451000,-47264000,-47264000,46187000,1833000,1833000,48020000,48020000,-17910000,30110000,30110000,30110000,30110000,-107718894.864354,-147815877.534229,40096982.669875,66991646.2632616,30765405.8429258,29656099.9105677,29656099.9105677,19694257.1524014,151131403.510328,307887067.796026,-156755664.285698,66267074.0166484,-9280432.54712669,-9280432.54712669,208118044.97985,227812302.132251,31788412.0115712,30700078.457499,43697755.2020273,40592821.2166313,40592821.2166313,72381233.2282025,67740454.4219108,5777992.44954582,37285122.1115335,67740454.4219108,140121687.650113,126630954.376351,-38244245.4702008,87690614.482138,87690614.482138,227812302.132251,30110000,6490000,965000,-3953000,33612000,-20686000,-9152000,-29838000,-9337000,-7697000,-3923000,-3923000,-3923000,52677000,0,45948000,0.43507,0.21503,0.14018,0.210294575871984,0.12836848963026,1.526,1.25124332429801,0.658277069676124,0,0.65381,0.64073,4.66413,1.70053838712057,0.99772,0.20274,1.4872523036073,-0.080354247082898,0.3101,-0.0167118740205621,-0.748822110043921
"2","2010_Q3",9.2284375,"Down",188639000,-113251000,75388000,-42862000,-42862000,32526000,566000,566000,33092000,33092000,-12345000,20747000,20747000,20747000,20747000,123462000,93082000,30380000,9077000,108680000,20287000,20287000,261506000,168048000,334004000,-165956000,73798000,5825000,5825000,247671000,509177000,63721000,38614000,24614000,9310000,9310000,73031000,44715000,7110000,37605000,44715000,117746000,84184000,307914000,391431000,391431000,509177000,20747000,6872000,692000,-41334000,-13023000,-16792000,631000,-16955000,-9357000,-8357000,-38335000,-38335000,-38335000,39398000,0,-6383000,0.39964,0.17242,0.10998,0.053,0.04075,-0.30766,3.58075,0.30081,0,0.44941,0.44087,4.08619,8.47896,-0.13826,0.20269,0.06902,-0.01464,0.451,-3.13371,-3.79579
"3","2010_Q4",12.03640625,"Up",243346000,-137404000,105942000,-51593000,-51593000,54349000,470000,470000,54819000,54819000,-20448000,34371000,34371000,34371000,34371000,164482000,139180000,25302000,4609000,111235000,14202000,14202000,294528000,171335000,341512000,-170177000,71212000,6503000,6503000,249050000,543578000,77296000,35891000,36408000,9160000,9160000,86456000,44972000,7439000,37533000,44972000,131428000,79853000,332964000,412150000,412150000,543578000,34371000,7605000,753000,20777000,63506000,-9886000,7663000,-2700000,-9321000,-14708000,46098000,46098000,46098000,61954000,0,93293000,0.43536,0.22334,0.14124,0.08339,0.06323,2.71429,3.40668,0.31888,0,0.74611,0.73262,5.28244,8.94675,2.02516,0.20234,0.09558,0.20409,0.27119,-2.65491,-3.0264
"4","2011_Q1",13.746935483871,"Up",303056000,-158708000,144348000,-66643000,-66643000,77705000,1042000,1042000,78747000,78747000,-29293000,49454000,49454000,49454000,49454000,139362000,116470000,22892000,14363000,88593000,14718000,14718000,257036000,169234000,342413000,-173179000,66162000,2412000,2412000,237808000,494844000,79160000,33489000,45671000,17213000,17213000,96373000,52806000,7727000,37430000,52806000,149179000,90190000,256146000,345665000,345665000,494844000,49454000,8814000,13946000,23626000,95840000,-7567000,7454000,-163000,-126272000,-118387000,-22710000,-22710000,-22710000,86519000,0,131871000,0.47631,0.2564,0.16318,0.14307,0.09994,2.66654,2.6671,0.43157,0,1.06474,1.04924,6.52477,7.44214,2.83917,2.71863,0.441,0.33094,2.55332,-1.61077,-1.79348
"5","2011_Q2",15.8947619047619,"Up",240092000,-137148000,102944000,-51590000,-51590000,51354000,1612000,1612000,52966000,52966000,-19497000,33469000,33469000,33469000,33469000,160789000,139292000,21497000,4051000,89866000,22876000,22876000,277582000,169856000,347959000,-178103000,65179000,2416000,2416000,237451000,515033000,75473000,41076000,24601000,12914000,12914000,88387000,53772000,8734000,37617000,53772000,142159000,93374000,280150000,372874000,372874000,515033000,33469000,7500000,1332000,-3369000,38932000,-10590000,2412000,-8182000,-9465000,-7928000,22822000,22822000,22822000,58854000,0,64392000,0.42877,0.21389,0.1394,0.08976,0.06498,1.92393,3.14053,0.38125,0,0.71595,0.70813,5.13588,7.97626,1.37743,0.20247,0.10063,0.15093,0.2828,-2.732,-3.13099
"6","2011_Q3",15.099375,"Down",212378000,-125233000,87145000,-50370000,-50370000,36775000,506000,506000,37281000,37281000,-13723000,23558000,23558000,23558000,23558000,139531000,114903000,24628000,9388000,126842000,15074000,15074000,290835000,175164000,355525000,-180361000,58563000,2416000,2416000,236143000,526978000,73040000,46469000,26571000,11514000,11514000,84554000,53470000,8547000,37736000,53470000,138024000,95278000,294235000,388954000,388954000,526978000,23558000,7808000,1067000,-38780000,-6346999.99999999,-12578000,3629000,-8949000,-9473000,-9093000,-24389000,-24389000,-24389000,44583000,0,6948000,0.41033,0.17316,0.11092,0.06057,0.0447,0.29493,3.43964,0.35486,0,0.50312,0.49791,4.53567,8.30672,0.14839,0.20231,0.07466,0.0157,0.40211,-3.12969,-3.79418
"7","2011_Q4",16.1252380952381,"Up",273400000,-154735000,118665000,-58290000,-58290000,60375000,313000,313000,60688000,60688000,-22339000,38349000,38349000,38349000,38349000,78367000,47956000,30411000,8469000,140781000,15633000,15633000,243250000,174616000,359612000,-184996000,49135000,2363000,2363000,226114000,469364000,92231000,41219000,41350000,11232000,11232000,103463000,52586000,8330000,37352000,52586000,156049000,97427000,216445000,313315000,313315000,469364000,38349000,8129000,995000,5776000,53249000,-8292000,3648000,-4591000,-116139000,-115605000,-66947000,-66947000,-66947000,68504000,0,88327000,0.43403,0.22083,0.14027,0.1224,0.0817,2.30324,2.35108,0.49806,0,0.81888,0.81008,5.83801,6.69033,1.88608,2.47996,0.42221,0.2414,3.02848,-1.14398,-1.298
"8","2012_Q1",17.8259677419355,"Up",337076000,-177175000,159901000,-72085000,-72085000,87816000,1730000,1730000,89546000,89546000,-33466000,56080000,56080000,56080000,56080000,196509000,166511000,29998000,4584000,104209000,14825000,14825000,320127000,169034000,358866000,-189832000,39985000,2393000,2393000,211412000,531539000,89545000,27416000,53979000,20286000,20286000,109831000,58561000,8581000,36503000,58561000,168392000,100807000,263039000,363147000,363147000,531539000,56080000,9332000,9285000,48742000,123439000,-5158000,9337000,4149000,-9486000.00000003,-9033000,118555000,118555000,118555000,97148000,0,174198000,0.47438,0.26052,0.16637,0.15443,0.1055,3.10624,2.91472,0.4637,0,1.19235,1.18018,7.1668,7.72111,3.70374,0.201690000000001,0.15548,0.41308,0.16915,-2.02278,-2.23774
"9","2012_Q2",16.7398412698413,"Down",263762000,-149567000,114195000,-56173000,-56173000,58022000,1812000,1812000,59834000,59834000,-22025000,37809000,37809000,37809000,37809000,220114000,186693000,33421000,3953000,97040000,15762000,15762000,336869000,170869000,367237000,-196368000,39810000,2393000,2393000,213072000,549941000,76003000,33162000,25724000,15361000,15361000,91364000,60587000,9858000,37648000,60587000,151951000,107427000,291264000,397990000,397990000,549941000,37809000,7894000,1558000,-9498000,37763000,-8772000,-3251000,-12023000,-9584000,-5558000,20182000,20182000,20182000,65916000,0,69671000,0.43295,0.21998,0.14335,0.095,0.06875,1.84271,3.68711,0.3818,0,0.80072,0.79436,5.58593,8.4286,1.47549,0.20297,0.10335,0.15193,0.25348,-3.33931,-3.79363
"10","2012_Q3",16.6350793650794,"Down",215483000,-128980000,86503000,-50113000,-50113000,36390000,361000,361000,36751000,36751000,-13528000,23223000,23223000,23223000,23223000,197740000,166020000,31720000,7724000,124506000,17177000,17177000,347147000,173274000,374076000,-200802000,35663000,2323000,2323000,211260000,558407000,70678000,44648000,26030000,13877000,13877000,84555000,60211000,9823000,37707000,60211000,144766000,109426000,304903000,413641000,413641000,558407000,23223000,8355000,1450000,-39191000,-6162999.99999999,-10865000,5869000,-4926000,-9584000.00000001,-9584000,-20673000,-20673000,-20673000,44745000,0,8217000,0.40144,0.16888,0.10777,0.05614,0.04159,0.35383,4.10558,0.34998,0,0.49053,0.48724,4.55153,8.73711,0.17356,0.20244,0.06923,0.01734,0.41269,-4.41926,-5.43391
