"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"1","2010_Q4",30.07703125,"Up",145855000,-96218000,49637000,-35693000,-32168000,-3525000,13944000,-2000,-2000,13942000,13942000,-5167000,8775000,8775000,8775000,8775000,8775000,3525000,-599000,-704000,10997000,-2310000,-12000,-2322000,-23000,166000,166000,0,433000,576000,9251000,9251000,9251000,17469000,0,19622000,0.34032,0.0956,0.06016,2.23613,0.30633,0.30155,5.09164,0.68498
"2","2011_Q1",31.8761290322581,"Up",238281000,-146999000,91282000,-51175000,-47879000,-3296000,40107000,-69000,-69000,40038000,40038000,-14434000,25604000,25604000,25604000,25604000,25604000,3296000,-913000.000000001,24491000,52478000,-3380000,-649000,-4029000,-62000,-29269000,8446000,-37715000,2539000,-26792000,21657000,21657000,21657000,43403000,269000,78948000,0.38309,0.16832,0.10745,3.08342,0.90072,0.88189,8.3825,2.77732
"3","2011_Q2",37.0230158730159,"Up",203656000,-127863000,75793000,-41652000,-38373000,-3279000,34141000,-56000,-56000,34085000,34085000,-12748000,21337000,21337000,21337000,21337000,21337000,3279000,2862000,8051000,35529000,-3005000,-262000,-3267000,-73000,-21624000,954000,-22578000,-738000,-22435000,9827000,9827000,9827000,37420000,0,55214000,0.37216,0.16764,0.10477,2.58771,0.77742,0.76277,7.42024,2.01173
"4","2011_Q3",36.18515625,"Down",153127000,-102490000,50637000,-41270000,-37969000,-3301000,9367000,-60000,-60000,9307000,9307000,-3367000,5940000,5940000,5940000,5940000,5940000,3301000,-333000,-19351000,-10443000,-3171000,-12000,-3183000,-76000,-7206000,2167000,-9373000,750000,-6532000,-20158000,-20158000,-20158000,12668000,3308000,-6487000,0.33069,0.06117,0.03879,-1.09209,0.21785,0.21364,5.61584,-0.23791
"5","2011_Q4",41.0668253968254,"Up",185180000,-117361000,67819000,-42847000,-39513000,-3334000,24972000,-52000,-52000,24920000,24920000,-8961000,15959000,15959000,15959000,15959000,15959000,3334000,1150000,-4001000,16442000,-3448000,104000,-3344000,-80000,-25234000,193000,-25427000,31000,-25283000,-12185000,-12185000,-12185000,28306000,217000,29818000,0.36623,0.13485,0.08618,1.86841,0.59664,0.58531,6.92313,1.11477
"6","2012_Q1",48.3438709677419,"Up",190682000,-122523000,68159000,-43108000,-39817000,-3291000,25051000,-49000,-49000,25002000,25002000,-9178000,15824000,15824000,15824000,15824000,15824000,3291000,44999.9999999995,-5767000,13393000,-3270000,-311000,-3581000,-82000,-8255000,1851000,-10106000,662000,-7675000,2137000,2137000,2137000,28342000,2245000,28483000,0.35745,0.13138,0.08299,1.79999,0.59824,0.58649,7.20888,1.07682
"7","2012_Q2",55.5615873015873,"Up",232914000,-144486000,88428000,-46029000,-42803000,-3226000,42399000,-48000,-48000,42351000,42351000,-15988000,26363000,26363000,26363000,26363000,26363000,3226000,1023000,24551000,55163000,-2459000,-217000,-2676000,-42000,-11842000,1833000,-13675000,90000,-11794000,40693000,40693000,40693000,45625000,176000,83705000,0.37966,0.18204,0.11319,3.17509,1.00053,0.98011,8.83958,3.17678
"8","2012_Q3",57.65,"Up",165445000,-108919000,56526000,-44149000,-40969000,-3180000,12377000,-41000,-41000,12336000,12336000,-4441000,7895000,7895000,7895000,7895000,7895000,3180000,-259000,-21343000,-10527000,-4766000,5000,-4761000,-40000,-9082000,611000,-9693000,46000,-9076000,-24364000,-24364000,-24364000,15557000,163000,-6111000,0.34166,0.07481,0.04772,-0.774029999999999,0.30101,0.29567,6.30795,-0.233
"9","2012_Q4",53.2588709677419,"Down",202934000,-127495000,75439000,-45140000,-41933000,-3207000,30299000,-38000,-38000,30261000,30261000,-11296000,18965000,18965000,18965000,18965000,18965000,3207000,-557000,1978000,23593000,-7887000,-131000,-8018000,-41000,-11719000,103000,-11822000,6000,-11754000,3821000,3821000,3821000,33506000,212000,38893000,0.37174,0.1493,0.09345,2.05078,0.72593,0.71259,7.76781,1.48873
"10","2013_Q1",52.1801666666667,"Down",217407000,-138918000,78489000,-47583000,-44167000,-3416000,30906000,-41000,-41000,30865000,30865000,-11506000,19359000,19359000,19359000,19359000,19359000,3416000,1000,-3881000,18895000,-6676000,-187000,-6863000,-58000,-10297000,451000,-10748000,-54000,-10409000,1623000.00000001,1623000.00000001,1623000.00000001,34322000,2852000,35271000,0.36102,0.14216,0.08904,1.82194,0.66275,0.64941,7.4429,1.2075
