"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",15.5652380952381,"Up",1.6665e+10,-1.4071e+10,2.594e+09,-1.16e+09,-2.98e+08,-9.8e+07,-6.49e+08,-1.15e+08,1.434e+09,-3e+07,-3e+07,1.404e+09,-4.34e+08,9.7e+08,-5.13e+08,4.57e+08,4.57e+08,4.57e+08,4.57e+08,5913851126.33872,5913851127.1919,27744054974.2013,27744054974.2013,17266226304.7816,2454524123.32436,4357005842.15987,53378656528.6459,85175594567.1724,4454537068.59192,8688809533.30222,3416329636.74747,98318941169.0666,151697597697.713,34915374508.2044,30685356004.7645,181791439.354315,5071130861.9295,2176609770.00172,38972372133.6882,30006864318.2675,15130979706.9967,7777787015.22134,7353192691.77534,45137844025.2642,84110216158.9524,7775478302.61858,-2361056481.20983,64455906505.5673,-2285856461.96844,67584471865.0076,67587381538.7601,151697597697.713,4.57e+08,6.49e+08,-3.44e+08,-2.5e+07,-3.19e+08,8.7e+07,-1.93e+08,-2.35e+08,5.15e+08,8.49e+08,-6e+06,-1.348e+09,-1.348e+09,3e+06,-1e+07,-1.72e+08,2e+06,-1.72e+08,6.67e+08,6.67e+08,6.61e+08,2.083e+09,0,2.677e+09,0.15566,0.08605,0.02742,0.0503420556155334,0.00631484928303536,5.85777,0.0983124129774153,1.88429018684787,0.247618249058928,0.64457,0.64276,23.50494,95.8356882322661,3.77574,0.2426,0.0188741174674833,0.403598618810026,0.37637,8.95463934614797,-1.3011106587728
"2","2010_Q3",15.8475,"Up",-1.0173e+10,1.1719e+10,1.546e+09,-2.3e+08,7.8e+07,-1.25e+08,-1.97e+08,1.4e+07,1.316e+09,-7e+06,-7e+06,1.309e+09,-9.7e+07,1.212e+09,-6.78e+08,5.34e+08,7.09e+08,7.09e+08,7.09e+08,1554950375.44624,1554950375.73063,10903351658.0671,10903351658.0671,7729742101.59386,1220508041.10812,1793335280.71996,21408552176.2153,45722198189.0575,2561179022.86397,4596936511.10074,2194443212.24916,52880313723.0222,74288865899.2375,14670124836.0681,12281118668.2548,267930479.784772,2049376953.9765,925536590.000573,16407124044.5627,13868288106.0892,9202326568.99889,5151595671.74045,4050730897.25844,23070614675.0881,39477738719.6508,7591159434.20619,-2600018827.06994,30968635501.8558,-1149618820.65615,34810157288.3359,34811127179.5867,74288865899.2375,5.34e+08,1.97e+08,-8.6e+07,-2.54e+08,1.68e+08,4.61e+08,1.8e+08,1.94e+08,8.7e+07,1.278e+09,-5e+08,-5.12e+08,-5.12e+08,-4e+06,-1.132e+09,-1.78e+08,3e+06,-7.98e+08,-6.52e+08,-6.52e+08,-6.56e+08,1.513e+09,0,2.152e+09,-0.15197,-0.12936,-0.06969,0.0360006852051778,0.0128482830943451,3.03526,0.914597470992472,1.24665339561596,0.191902749686309,0.99859,0.99579,-14.32817,49.228356077422,3.03099,0.2507,0.0220113724891611,0.152026206270009,0.25106,6.03163978204932,4.6326631137424
"3","2010_Q4",17.21828125,"Up",2.955e+09,-1.164e+09,1.791e+09,-7.41e+08,-1.08e+08,-5.9e+07,-5.3e+08,-4.4e+07,1.05e+09,-1.6e+07,-1.6e+07,1.034e+09,0,1.034e+09,-5.67e+08,4.67e+08,6.96e+08,6.96e+08,6.96e+08,1.643e+09,1.643e+09,5.363e+09,5.363e+09,3.969e+09,6.25e+08,6.25e+08,1.16e+10,3.1987e+10,1.844e+09,2.692e+09,1.309e+09,3.6523e+10,4.8123e+10,8.544e+09,6.775e+09,3.62e+08,9.62e+08,5.48e+08,9.604e+09,7.844e+09,7.319e+09,3.94e+09,3.379e+09,1.5163e+10,2.4767e+10,7.526e+09,-2.681e+09,1.9379e+10,-8.68e+08,2.3356e+10,2.3356e+10,4.8123e+10,4.67e+08,5.3e+08,-1.55e+08,-1.32e+08,-2.3e+07,3.02e+08,-1.11e+08,6e+06,4.07e+08,8.61e+08,-8.43e+08,-8.43e+08,-8.43e+08,1.4e+07,-1.114e+09,-1.76e+08,3e+06,-1.76e+08,-4.29e+08,-4.29e+08,-4.19e+08,1.58e+09,7.942e+09,1.606e+09,0.60609,0.35533,0.23553,0.0298,0.01446,2.30747,1.20783,1.06041,0.16504,0.98028,0.97753,4.16197,32.89577,2.26197,0.24789,0.02258,0.04159,0.25287,3.98671,5.99905
"4","2011_Q1",23.2466129032258,"Up",3.426e+09,-1.442e+09,1.984e+09,-1.113e+09,-1.63e+08,-2.16e+08,-6.8e+08,-5.4e+07,8.71e+08,-2.2e+07,-2.2e+07,8.49e+08,-7999999.99999999,8.41e+08,-4.17e+08,4.24e+08,7.06e+08,7.06e+08,7.06e+08,3.951e+09,3.951e+09,5.972e+09,5.972e+09,3.453e+09,4.53e+08,3.61e+08,1.3829e+10,3.2222e+10,1.802e+09,2.161e+09,7.81e+08,3.6185e+10,5.0014e+10,9.865e+09,8e+09,4.18e+08,9.53e+08,6.29e+08,1.1113e+10,7.601e+09,7.529e+09,3.569e+09,3.96e+09,1.513e+10,2.6243e+10,7.526e+09,-2.665e+09,1.9907e+10,-9.97e+08,2.3771e+10,2.3771e+10,5.0014e+10,4.24e+08,6.8e+08,1.81e+08,-7.8e+07,2.59e+08,-1.9e+08,-2.85e+08,-3.6e+07,1.31e+08,2.882e+09,-8.19e+08,-8.33e+08,-8.33e+08,-2e+06,-3.65e+08,-1.78e+08,5999999.99999999,-2.09e+08,2.308e+09,2.308e+09,2.308e+09,1.551e+09,7.896e+09,9.59e+08,0.5791,0.25423,0.20607,0.0297,0.01412,1.35836,1.2444,1.10399,0.15788,0.99297,0.99018,4.81857,33.43319,1.3488,0.25035,0.02255,0.02447,0.25212,2.54352,4.52928
"5","2011_Q2",25.8284126984127,"Up",3.809e+09,-1.46e+09,2.349e+09,-1.06e+09,-1.37e+08,-2.3e+08,-6.35e+08,-5.8e+07,1.289e+09,-1.9e+07,-1.9e+07,1.27e+09,-2.79e+08,9.91e+08,-5.36e+08,4.55e+08,9.96e+08,9.96e+08,9.96e+08,5.716e+09,5.716e+09,6.498e+09,6.498e+09,3.088e+09,4.73e+08,4.73e+08,1.5775e+10,3.2189e+10,1.846e+09,2.055e+09,6.79e+08,3.609e+10,5.1865e+10,1.0444e+10,8.341e+09,3.59e+08,9.89e+08,6.56e+08,1.1782e+10,7.992e+09,7.386e+09,3.333e+09,4.053e+09,1.5378e+10,2.716e+10,7.533e+09,-2.582e+09,2.0725e+10,-9.71e+08,2.4705e+10,2.4705e+10,5.1865e+10,4.55e+08,6.35e+08,1.94e+08,-2.2e+08,4.14e+08,3.49e+08,-1.58e+08,2.9e+07,4.78e+08,2.592e+09,-7.32e+08,-8.19e+08,-8.19e+08,2.1e+07,-8.33e+08,-1.78e+08,5e+07,2e+06,1.761e+09,1.761e+09,1.765e+09,1.924e+09,8.341e+09,2.077e+09,0.6167,0.33841,0.26149,0.04032,0.0192,2.08534,1.33891,1.09937,0.16082,1.40084,1.39301,5.35724,34.74684,2.92124,0.25035,0.02904,0.05137,0.17871,1.36435,2.03646
"6","2011_Q3",22.40671875,"Down",3.865e+09,-1.738e+09,2.127e+09,-8.92e+08,-1.3e+08,-1.45e+08,-5.64e+08,-5.3e+07,1.235e+09,-1.3e+07,-1.3e+07,1.222e+09,-3.07e+08,9.15e+08,-6.17e+08,2.98e+08,9.96e+08,9.96e+08,9.96e+08,4.711e+09,4.711e+09,1.79e+09,1.79e+09,3.43e+08,4.7e+08,4.7e+08,7.314e+09,2.014e+10,1.475e+09,1.561e+09,1.024e+09,2.3176e+10,3.049e+10,3.609e+09,1.631e+09,1.39e+08,2.14e+08,2.14e+08,4.161e+09,4.684e+09,4.938e+09,2.658e+09,2.28e+09,9.622e+09,1.3783e+10,7.493e+09,-2.493e+09,1.2053e+10,-3.46e+08,1.6707e+10,1.6707e+10,3.049e+10,2.98e+08,5.64e+08,5.56e+08,1.69e+08,3.87e+08,2.69e+08,2.36e+08,1.7e+07,1.6e+07,1.818e+09,-6.99e+08,-8.83e+08,-8.83e+08,3e+07,-1.04e+09,-1.78e+08,-1.546e+09,-1.781e+09,-1.003e+09,-1.003e+09,-1.005e+09,1.799e+09,5.022e+09,1.986e+09,0.55032,0.31953,0.2577,0.05962,0.03267,1.99398,1.75775,0.82498,0.16471,1.39691,1.38912,5.42076,23.43198,2.78541,0.24965,0.04402,0.07447,0.17871,0.17287,0.25182
"7","2011_Q4",21.6984126984127,"Down",3.799e+09,-1.657e+09,2.142e+09,-8.09e+08,-1.04e+08,-1.29e+08,-5.17e+08,-5.9e+07,1.333e+09,-3e+07,-3e+07,1.303e+09,0,1.303e+09,-8.98e+08,4.05e+08,4.05e+08,4.05e+08,4.05e+08,4.633e+09,4.633e+09,1.696e+09,1.696e+09,3.42e+08,4.83e+08,4.83e+08,7.154e+09,2.0318e+10,1.431e+09,1.638e+09,1.101e+09,2.3387e+10,3.0541e+10,3.581e+09,1.548e+09,1.29e+08,2.06e+08,2.06e+08,4.125e+09,4.705e+09,4.955e+09,2.676e+09,2.279e+09,9.66e+09,1.3785e+10,7.445e+09,-2.721e+09,1.2352e+10,-3.28e+08,1.6748e+10,1.6756e+10,3.0541e+10,4.05e+08,5.17e+08,5.3e+07,-2.4e+07,7.7e+07,1.05e+08,1.24e+08,1e+06,-2e+07,1.08e+09,-7.41e+08,-7.35e+08,-7.35e+08,3e+06,-7.38e+08,-1.06e+08,3e+06,-4.03e+08,-6.1e+07,-6.1e+07,-7.8e+07,1.85e+09,5.043e+09,2.112e+09,0.56383,0.35088,0.10661,0.02417,0.01326,5.21481,1.7343,0.82269,0.16512,0.56962,0.56723,5.34318,23.55556,2.97046,0.14909,0.0191,0.07894,0.26173,0.22162,0.30758
"8","2012_Q1",26.9570967741935,"Up",3.809e+09,2.904e+09,6.713e+09,-5.43e+09,-4.19e+09,-1.37e+08,-5.47e+08,-5.56e+08,1.283e+09,-4.5e+07,-4.5e+07,1.238e+09,-3e+06,1.235e+09,-6.75e+08,5.6e+08,5.49e+08,5.49e+08,5.49e+08,4.93e+08,4.93e+08,1.917e+09,1.917e+09,3.61e+08,4.53e+08,4.53e+08,3.224e+09,2.5324e+10,1.383e+09,1.44e+09,9.04e+08,2.8147e+10,3.1371e+10,4.072e+09,1.864e+09,1.93e+08,1.81e+08,1.81e+08,4.394e+09,4.674e+09,5.144e+09,2.544e+09,2.6e+09,9.818e+09,1.4212e+10,7.45e+09,-2.716e+09,1.2788e+10,-3.7e+08,1.7152e+10,1.7159e+10,3.1371e+10,5.6e+08,5.47e+08,-4.2e+07,-1.18e+08,7.6e+07,-2.4e+07,-1.93e+08,-1.4e+07,1.83e+08,1.034e+09,-2.96e+08,-5.49e+08,-5.49e+08,1.9e+07,-5.056e+09,-1.05e+08,26000000.0000002,-1.13e+08,-4.135e+09,-4.135e+09,-4.14e+09,1.83e+09,4.815e+09,2.185e+09,1.7624,0.33683,0.14413,0.03199,0.0175,3.97996,0.73373,0.82825,0.15349,0.77872,0.77324,5.40284,24.32908,3.09929,0.14894,0.02412,0.08057,0.19126,2.36175,3.36867
"9","2012_Q2",22.128253968254,"Down",4.04e+09,-5.14e+08,3.526e+09,-1.87e+09,-1.001e+09,-1.35e+08,-5.74e+08,-1.6e+08,1.656e+09,-5e+07,-5e+07,1.606e+09,-2.62e+08,1.344e+09,-9.27e+08,4.17e+08,4.17e+08,4.17e+08,4.17e+08,5.13e+08,5.13e+08,2.198e+09,2.198e+09,2.96e+08,4.38e+08,2.68e+08,3.445e+09,2.5365e+10,1.353e+09,1.688e+09,1.163e+09,2.8406e+10,3.1851e+10,4.259e+09,2.029e+09,1.65e+08,2.17e+08,2.17e+08,4.673e+09,4.559e+09,5.113e+09,2.54e+09,2.573e+09,9.672e+09,1.4345e+10,7.428e+09,-2.652e+09,1.3084e+10,-3.61e+08,1.7499e+10,1.7506e+10,3.1851e+10,4.17e+08,5.74e+08,8.2e+07,-2.2e+07,1.04e+08,-1e+08,-2.96e+08,7e+06,1.89e+08,9.73e+08,-8.09e+08,-1.017e+09,-1.017e+09,3e+06,-8.06e+08,-1.21e+08,1.7e+07,-1.57e+08,1e+07,1e+07,2e+07,2.23e+09,4.756e+09,2.248e+09,0.87277,0.4099,0.10322,0.02382,0.01309,5.39089,0.73721,0.81943,0.14932,0.59065,0.58732,5.72238,24.78612,3.18414,0.17139,0.01965,0.08212,0.29017,1.90269,2.5622
"10","2012_Q3",22.9460317460317,"Up",3.784e+09,-4.73e+08,3.311e+09,-1.835e+09,-9.21e+08,-1.72e+08,-5.8e+08,-1.62e+08,1.476e+09,-5.7e+07,-5.7e+07,1.419e+09,-1e+06,1.418e+09,-1.025e+09,3.93e+08,3.93e+08,3.93e+08,3.93e+08,4.52e+08,4.52e+08,2.047e+09,2.047e+09,3.35e+08,4.2e+08,2.32e+08,3.254e+09,2.6001e+10,1.319e+09,1.676e+09,1.151e+09,2.8996e+10,3.225e+10,3.718e+09,2.158e+09,1.2e+08,2.36e+08,2.36e+08,4.691e+09,4.513e+09,5.261e+09,2.534e+09,2.727e+09,9.774e+09,1.4465e+10,7.437e+09,-2.646e+09,1.3358e+10,-3.64e+08,1.7785e+10,1.7785e+10,3.225e+10,3.93e+08,5.8e+08,2.77e+08,9.7e+07,1.8e+08,-4.81e+08,1.89e+08,-2.5e+07,-6.45e+08,7.69e+08,-1.154e+09,-1.164e+09,-1.164e+09,-4.1e+07,-1.195e+09,-1.19e+08,-5999999.99999999,3.67e+08,-5.9e+07,-59000000.0000005,-61000000.0000005,2.056e+09,5.25e+09,1.446e+09,0.875,0.39006,0.10386,0.0221,0.01219,3.67939,0.69367,0.81333,0.16279,0.55824,0.55508,5.375,25.26278,2.05398,0.16903,0.01809,0.0511,0.3028,2.33366,3.25068
