"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",51.9919047619048,"Up",167160000,-102457000,64703000,-33785000,-27395000,-4795000,-1595000,30918000,-310000,-336000,26000,30608000,30608000,-9030000,21578000,21578000,21578000,21578000,-1196777328.54313,-806738033.392963,114773855.123063,114773855.123063,112657646.260458,-9760385.16107209,5357660.86704347,-979106212.32068,127004986.819299,266043811.029316,350906024.924615,-72027028.6930482,488134727.366123,-39993342.6534184,-25208331.0950414,743954822.77323,-235151389.54745,75651381.7298538,-141259662.702689,-89381422.2482614,306292466.680804,-407053253.920002,122380961.647512,10915349.5156768,127101542.173381,-279951711.746621,44800322.1993637,-235151389.547257,21578000,7590000,3718000,-19169000,13717000,-4447000,-4447000,-3284000,1e+06,975000,8689000,17959000,17959000,3854000,21813000,38508000,0,23922000,0.38707,0.18496,0.12909,0.235972669801846,0.18811547244452,1.10863,2.6403459569648,-0.215881078734635,-0.504987997606803,0.98629,0.96641,7.64055,1.09343,0.15011,0.221190746797116,1.30841796930745,0.15219,14.3066362671188,11.1130263554796
"2","2011_Q3",42.45890625,"Down",176615000,-106621000,69994000,-34703000,-28441000,-4662000,-1600000,35291000,-510000,-521000,11000,34781000,34781000,-9512000,25269000,25269000,25269000,25269000,-419584664.271564,-255695016.696482,86406427.5615317,86406427.5615317,89237323.130229,7281307.41946395,9961330.43352174,-236659606.16034,124957993.409649,119611905.514658,253211012.462308,-23423514.3465241,274016863.683062,-8091671.32670918,10709334.4524793,497780911.386615,261121305.226275,65961190.8649269,-57046831.3513445,-34367711.1241307,157375733.340402,-101333126.960001,73786480.823756,12415674.7578384,76146771.0866907,-25186355.8733106,286307661.099682,261121305.226371,25269000,7916000,-784999.999999998,-48000,32352000,-5859000,-5809000,-3329000,-5000000.00000001,1994000,4340000,30883000,30883000,1508000,32391000,43207000,7.45058059692383e-09,46812000,0.39631,0.19982,0.14307,0.114146334900923,0.0901927362222602,1.85255,2.5563379784824,0.110534460632683,-0.152398998803402,1.1387,1.11859,7.95886,2.1095,0.15002,0.109270373398558,0.621908984653727,0.13174,3.34085313355942,0.238743177739821
"3","2011_Q4",40.6180952380952,"Down",173987000,-105516000,68471000,-38897000,-32015000,-5297000,-1585000,29574000,1483000,-414000,1897000,31057000,31057000,-6118000,24939000,24939000,24939000,24939000,5462778.57614517,43554994.4345061,82036475.8538439,82036475.8538439,78143774.376743,16779102.4731546,12761110.1445072,182422131.279887,121950664.469883,42492301.8382194,199259670.820769,1807495.21782529,159004621.227687,9232442.89109694,29215111.4841598,363702637.128872,546124768.408758,62898063.6216423,-5973610.45044815,-3156570.37471023,72028244.4468007,72402624.3466662,43687826.941252,12914224.9192795,44474590.3622302,116877214.708896,429247553.699894,546124768.40879,24939000,8304000,3435000,1206000,37884000,-1501000,-15628000,-4020000,2.3e+07,188000,-16858000,5398000,5398000,-5898000,-5e+05,37878000,0,43701000,0.39354,0.16998,0.14334,0.051512111633641,0.0396642454074201,1.75232,2.4914693261608,0.286628153544228,0.0436470003988661,1.13359,1.11899,7.9085,1.98641,0.18273,0.0512167911328526,0.231539661551242,0.16119,-1.99212228881353,-4.46169894075339
"4","2012_Q1",47.8456451612903,"Up",147193000,-93667000,53526000,-35405000,-28889000,-4685000,-1831000,18121000,534000,-420000,2192000,18655000,18655000,-3417000,15238000,15238000,15238000,15238000,178013000,164016000,92088000,92088000,75575000,20811000,14219000,366487000,118884000,14867000,178186000,10753000,115697000,16086000,35650000,311937000,678424000,64277000,19934000,10591000,33752000,149277000,28044000,12752000,28044000,177321000,501103000,678424000,15238000,8442000,946000,12171000,36797000,-5531000,-22759000,-3875000,-8e+06,347000,-10231000,3807000,3807000,-3215000,592000,26563000,8.5e+07,36620000,0.36365,0.12311,0.10352,0.03041,0.02246,2.4032,2.45508,0.35386,0.12529,0.70759,0.69851,6.83506,1.70049,0.17994,0.03112,0.05963,0.2543,-3.5016,-5.13288
"5","2012_Q2",53.3085714285714,"Up",160578000,-99716000,60862000,-35038000,-28409000,-5161000,-1468000,25824000,-524000,-423000,-101000,25300000,24775000,-7212000,17563000,17563000,17563000,17563000,197714000,178692000,106985000,106985000,77729000,21455000,14797000,403883000,116659000,16918000,179124000,10500000,116693000,16576000,35355000,312701000,716584000,67913000,28650000,13214000,26049000,164413000,22814000,12270000,22814000,187227000,529357000,716584000,17563000,7949000,1627000,-19275000,7864000,-3223000,-7839000,-3888000,11500000,475000,12304000,12329000,12329000,2347000,14676000,33773000,96500000,18487000,0.37902,0.16082,0.10937,0.03318,0.02451,1.05261,2.45651,0.35369,0.13467,0.8128,0.8009,7.43141,0.85556,0.17993,0.03307,0.0285,0.22137,-2.99689,-3.91938
"6","2012_Q3",49.3009523809524,"Down",175853000,-106291000,69562000,-37466000,-31189000,-4887000,-1390000,32096000,336000,-421000,757000,32432000,31399000,-8436000,22963000,22963000,22963000,22963000,174293000,168818000,115874000,115874000,80829000,20798000,14564000,391794000,116074000,27508000,189994000,9813000,131713000,14476000,33992000,333576000,725370000,71211000,28477000,11901000,30833000,156453000,22246000,11775000,22246000,178699000,546671000,725370000,22963000,7568000,1675000,-7493000,24713000,-3083000,-24203000,-3918000,-1.2e+07,1771000,-7666000,-7156000,-7156000,-2718000,-9874000,39664000,85242000,37524000,0.39557,0.18252,0.13058,0.04201,0.03166,1.63411,2.50423,0.32689,0.11752,1.05441,1.04027,8.0748,1.72302,0.17991,0.04109,0.05736,0.17062,-2.24513,-2.77452
"7","2012_Q4",50.8535483870968,"Up",172688000,-104052000,68636000,-37705000,-30601000,-5505000,-1599000,30931000,62000,-454000,2419000,30993000,29028000,-6250000,22778000,22778000,22778000,22778000,207398000,207398000,109179000,109179000,81073000,20918000,13982000,418568000,118030000,26819000,199930000,15779000,133356000,13893000,36902000,344779000,763347000,71986000,27389000,12991000,31606000,160520000,22299000,11608000,22299000,182819000,580528000,763347000,22778000,7969000,4502000,8225000,43474000,-5996000,-11087000,-4375000,3251000,225000,1814000,34201000,34201000,4379000,38580000,38900000,88534000,47379000,0.39746,0.17911,0.1319,0.03924,0.02984,2.08003,2.60758,0.31492,0.11598,1.039,1.0278,7.87702,2.16115,0.19956,0.03927,0.06853,0.19207,-3.05563,-3.84288
"8","2013_Q1",59.8185,"Up",158794000,-99387000,59407000,-41388000,-34078000,-5678000,-1632000,18019000,642000,-403000,2321000,18661000,14850000,-2822000,12028000,12028000,12028000,12028000,235404000,235404000,100559000,100559000,75580000,22032000,16532000,433575000,120911000,18993000,204249000,11144000,133592000,19980000,39533000,344153000,777728000,71420000,27226000,11559000,32635000,155420000,34750000,12412000,34750000,190170000,587558000,777728000,12028000,7947000,6752000,13392000,40119000,-6563000,-8563000,-4383000,-4532000,257000,-5702000,25854000,25854000,2152000,28006000,25966000,8.4e+07,35617000,0.37411,0.11347,0.07575,0.02047,0.01547,2.96117,2.7897,0.32366,0.10801,0.54725,0.54114,7.22481,1.6205,0.19942,0.02323,0.05043,0.3644,-5.83086,-8.40246
"9","2013_Q2",64.2353125,"Up",170918000,-106312000,64606000,-36489000,-29202000,-5715000,-1572000,28117000,533000,-376000,1228000,28650000,17972000,-6484000,11488000,11488000,11488000,11488000,255239000,246895000,107044000,107044000,71372000,21357000,15857000,455012000,120300000,11572000,200930000,10521000,131850000,20700000,37859000,332802000,787814000,64937000,29582000,11502000,23853000,158937000,31512000,13820000,31512000,190449000,597365000,787814000,11488000,7804000,11966000,-15213000,16045000,-5444000,-13922000,-4410000,1e+07,467000,11340000,13463000,13463000,-1972000,11491000,35921000,9.4e+07,21748000,0.37799,0.16451,0.06721,0.01923,0.01458,1.89311,2.86285,0.31882,0.11932,0.51994,0.51364,7.7356,0.9843,0.19959,0.02199,0.03009,0.38388,-4.48871,-5.73457
"10","2013_Q3",72.6115625,"Up",187766000,-114209000,73557000,-42175000,-34452000,-5793000,-1930000,31382000,4015000,-644000,935000,35397000,35397000,-8749000,26648000,26648000,26648000,26648000,266185000,257672000,131122000,131122000,83470000,24319000,18819000,505096000,141133000,11274000,302312000,43042000,185035000,13881000,60354000,454719000,959815000,73797000,36641000,6226000,30930000,211797000,30331000,15406000,125331000,337128000,622687000,959815000,26648000,8446000,1625000,-13759000,22960000,-8945000,-153945000,-4455000,1.39e+08,2219000,146882000,15897000,15897000,-5120000,10777000,39828000,2.33e+08,25873000,0.39175,0.16713,0.14192,0.0428,0.02776,0.97092,2.38481,0.54141,0.24276,1.19519,1.18441,8.42151,1.16043,0.19981,0.0351,0.0292,0.16718,-0.83321,-1.05745
