"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","assets_held_for_sale","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",11.171746031746,"Down",417527000,-368327000,49200000,-50025000,-50025000,-825000,15328000,-2511000,16144000,1695000,14503000,-3626000,10877000,-3282000,7595000,7595000,-920000,6675000,6675000,-27133371.6393758,-27133371.6393758,-681604907.014357,-681604907.014357,-1024565153.85986,-90304756.9185809,-60454096.4272278,-88188461.1397832,89066982.7029561,-1823608189.43217,281092171.827583,-135584165.74331,-99925376.3799312,9021385.59375915,534392351.85762,-1289215837.57455,822693301.074533,327330061.709541,59776706.9661622,15327755.1726757,633752647.345399,-1703445420.86457,-2983844629.42564,250070172.342004,73115912.1814991,-16947580.6412661,90063492.8227652,323186084.523503,-2660658544.90213,1491537128.37367,-120094421.046084,1371442707.32758,-1289215837.57455,7595000,15896000,4203000,68533000,96227000,-7730000,-17179000,-7906000,-22996000,-2064000,-32966000,46082000,46082000,46082000,15071000,0,79156000,0.11784,-0.00198,0.01599,-0.168479311673499,-0.0311205767469912,11.85858,10.5619567331241,-4.74592898191823,-1.8810844023045,0.08442,0.08441,5.28081,26.7857587250693,1.00115,0.09999,0.00468793283260397,3.99526661274318,1.18442,-14.5474295980165,180.64163112708
"2","2010_Q3",10.9771875,"Down",447981000,-380748000,67233000,-48098000,-48098000,19135000,12765000,-2048000,15138000,-325000,31900000,-42000.0000000075,31858000,-7240000,24618000,24618000,-1369000,23249000,23249000,15711814.1803121,15711814.1803121,-130935953.507178,-130935953.507178,-230743576.929928,-6768378.45929043,-8754548.21361391,-38324930.5698916,39321491.351478,-352736094.716085,415449585.913791,6488917.12834524,-161188.189965621,14077692.7968796,658137675.92881,305401581.212725,653120150.537267,349458530.854771,32804953.4830811,11493377.5863379,350464323.672699,-737764252.51874,-1127800814.71282,250152086.171002,113783956.09075,39623209.6793669,74160746.4113826,363936042.261752,-763864772.451066,1094858564.18683,-25592210.5230419,1069266353.66379,305401581.212725,24618000,16432000,-9847000,6671000,37874000,1254000,-23097000,-7907000,-38974000,-856000,-47737000,-32960000,-32960000,-32960000,35567000,0,50732000,0.15008,0.04271,0.0519,-0.0307146558367494,0.00813471162650442,2.18212,5.96102336656203,-1.61764949095912,-0.807937201152251,0.29393,0.29337,5.66369,17.0653193625346,0.64139,0.09997,0.036348966416302,1.77312330637159,0.3401,-10.8016447990082,66.6684005635399
"3","2010_Q4",12.4721875,"Up",451113000,-393399000,57714000,-57519000,-57519000,195000,12537000,-1889000,14560000,-134000,12732000,-35481000,-22749000,6650000,-16099000,-16099000,-1641000,-17740000,-17740000,43529938.060104,43529938.060104,173275015.497607,173275015.497607,197677141.023357,38774873.8469032,19672150.595462,-9727210.18996387,12143830.4504927,453256968.427972,484706861.971264,85377305.7094484,55495603.9366781,15693897.5989599,719184558.642937,1172441527.07091,500836716.845756,316867176.95159,16731017.8276937,9152459.19544596,183237774.557566,-168922626.25937,-79539271.5709393,250208028.723667,133929652.03025,65814069.8931223,68115582.1371275,384137680.753917,304598409.182978,845374854.728944,22468263.158986,867843117.88793,1172441527.07091,-16099000,16103000,27999000,-42123000,-14120000,-5453000,-36121000,-7928000,45040000,-1619000,35493000,-14748000,-14748000,-14748000,16298000,0,-37928000,0.12794,0.00043,-0.03932,0.0316517813877502,0.0227115705421681,2.13799,3.29468445552068,0.192376836346962,-0.15982906705075,-0.22415,-0.22451,5.6999,11.4815031208449,-0.47923,0.10017,0.0433796554721007,0.534564435457196,-0.4469,-4.16679493300274,14.6568901878466
"4","2011_Q1",14.7708064516129,"Up",626413000,-520630000,105783000,-62673000,-62673000,43110000,15564000,-3086000,18759000,-109000,58674000,-503000,58171000,-22778000,35393000,35393000,-2336000,33057000,33057000,59016000,59016000,301455000,301455000,364331000,57483000,31439000,2637000,1443000,782285000,506163000,118898000,79543000,15391000,738062000,1520347000,379802000,258730000,9092000,7932000,104048000,99796457.9135434,379802000,250238000,140273000,71893000,68380000,390511000,770313000,711413000,38621000,750034000,1520347000,35393000,16222000,-2949000.00000001,-58228000,-9561999.99999999,-6440000,-5553000,-7919000,27192000,165000,19438000,4323000,4323000,4323000,59332000,250238000,17442000,0.16887,0.06882,0.05277,0.04407,0.02174,0.52763,2.05972,1.02704,0.16459,0.41738,0.41726,7.90906,8.98226,0.22022,0.09998,0.03593,0.01529,0.23956,3.22292,4.43568
"5","2011_Q2",15.9093650793651,"Up",616805000,-537891000,78914000,-56778000,-56778000,22136000,13538000,-4708000,18289000,-43000,35674000,-1064000,34610000,-10357000,24253000,24253000,-1899000,22354000,22354000,64865000,64865000,324031000,324031000,372852000,60514000,33159000,3800000,1128000,822262000,497117000,124868000,84479000,14690000,735299000,1557561000,303975000,204221000,7425000,7459000,84870000,165110000,469085000,250242000,139534000,68128000,71406000,389776000,858861000,661300000,37400000,698700000,1557561000,24253000,15823000,-3720000,-105551000,-69195000,-4192000,-16367000,-7926000,165412000,-3120000,91411000,5849000,5849000,5849000,37959000,415352000,-61427000,0.12794,0.03589,0.03624,0.03199,0.01435,-2.74792,1.75291,1.22923,0.26667,0.28785,0.28777,7.94258,8.51554,-0.79099,0.10206,0.02415,-0.049,0.35457,9.2333,15.83335
"6","2011_Q3",13.884375,"Down",580687000,-510868000,69819000,-56971000,-56971000,12848000,11291000,-4838000,16223000,-94000,24139000,76000.0000000009,24215000,-7332000,16883000,16883000,-2414000,14469000,14469000,60870000,60870000,315140000,315140000,341054000,60646000,32274000,-491974.592194121,5915000,777710000,487839000,124564000,85113000,14583000,734602000,1512312000,295863000,196854000,9026558.31042843,7414000,91595000,123735000,419598000,250246000,139641000,66562000,73079000,389887000,809485000,666470000,36357000,702827000,1512312000,16883000,15647000,-850000.000000002,27776000,59456000,-109999.999999999,-110000.000000004,-7408000,-40339000,-3457000,-63341000,-3995000,-3995000,-3995000,28495000,373981000,63493000,0.12024,0.02213,0.02492,0.02059,0.00957,4.38821,1.85346,1.15176,0.24729,0.19531,0.19531,7.83844,8.99638,0.85706,0.1,0.01798,0.0522,0.51199,10.98828,24.37041
"7","2011_Q4",12.8650793650794,"Down",569439000,-481185000,88254000,-59769000,-59769000,28485000,12206000,-4533000,16958000,-219000,40691000,-464000,40227000,-11893000,28334000,28334000,-2008000,26326000,26326000,49726000,49726000,345209000,345209000,372571000,69037000,35397000,-1636945.78773362,9713000,836543000,495628000,135803000,93943000,16591000,756500000,1593043000,369425000,265803000,10230977.344959,7424000,96198000,80778000,450203000,250250000,147314000,77463000,69851000,397564000,847767000,695250000,50026000,745276000,1593043000,28334000,15789000,5406000,15549000,65078000,-4919000,-24434000,-7413000,-41880000,-2495000,-51788000,-11144000,-11144000,-11144000,44274000,331028000,66797000,0.15498,0.05002,0.04623,0.03532,0.01653,2.5373,1.85815,1.13752,0.2078,0.3549,0.34963,7.67666,9.37273,0.9005,0.09994,0.02757,0.05459,0.28158,6.35366,9.87544
"8","2012_Q1",14.2648387096774,"Up",675693000,-556523000,119170000,-61680000,-61680000,57490000,21139000,-4677000,24863000,953000,78629000,4849000,83478000,-28914000,54564000,54564000,-2647000,51917000,51917000,56167000,56167000,388550000,388550000,370830000,76088000,36754000,9681000,1356000,891635000,405334000,138131000,93633000,24540000,775614000,1667249000,392046000,253404000,7132000,7175000,124335000,132956000,525002000,250254000,151290000,83981000,67309000,401544000,926546000,689910000,50793000,740703000,1667249000,54564000,13799000,-22218000,-29589000,16556000,7810000,1633999.99999999,-7421000,54590000,-1246000,-11749000,6441000,6441000,6441000,71289000,383210000,78424000,0.17637,0.08508,0.07684,0.07009,0.03114,1.51056,1.69835,1.2509,0.22985,0.70834,0.69617,9.21894,9.41291,1.06999,0.10125,0.04653,0.0615,0.14294,4.58757,5.68869
"9","2012_Q2",13.8292063492063,"Down",602387000,-530925000,71462000,-45361000,-45361000,26101000,20410000,-4688000,24697000,401000,46511000,-4918000,41593000,-13252000,28341000,28341000,-2688000,25653000,25653000,36875000,36875000,353247000,353247000,377772000,90748000,36774000,29213000,2066000,858642000,391349000,160663000,97041000,23427000,786779000,1645421000,303172000,219481000,394000,8471000,74826000,209205000,512377000,250258000,151291000,86021000,65270000,401549000,913926000,681955000,49540000,731495000,1645421000,28341000,12854000,5424000,-61459000,-14840000,-1431000,-43216000,-7169000,84458000,-3120000,38764000,-19292000,-19292000,-19292000,38955000,459463000,-10683000,0.11863,0.04333,0.04259,0.03507,0.01559,-0.41644,1.6758,1.24939,0.27924,0.35869,0.35424,8.42287,9.53543,-0.14937,0.10024,0.02445,-0.00796,0.27946,10.84811,16.19049
"10","2012_Q3",17.7311111111111,"Up",565652000,-509046000,56606000,-52901000,-52901000,3705000,17435000,-4756000,21912000,279000,21140000,-855999.999999999,20284000,-6084000,14200000,14200000,-2216000,11984000,11984000,53806000,53806000,328638000,328638000,335120000,91120000,32743000,22962000,13125000,808684000,398989000,168764000,102379000,23150000,800940000,1609624000,263285000,177194000,502000,8391000,77198000,226086000,489371000,250263000,159648000,88126000,71522000,409911000,899282000,663562000,46780000,710342000,1609624000,14200000,13119000,4067000,32969000,64355000,2747000,-36035000,-8414000,17196000,-3456000,-11389000,16931000,16931000,16931000,16824000,476349000,58624000,0.10007,0.00655,0.02119,0.01687,0.00745,4.89186,1.6525,1.26598,0.29594,0.17277,0.1726,8.15507,9.56665,0.84519,0.12131,0.01515,0.04354,0.7021,25.11549,114.04669
