"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","current_ratio","liabilities_to_equity_ratio","debt_ratio","equity_per_share"
"1","2015_Q1",3.92426229508197,"Down",-1479000,-745000,-734000,-2091000,32000,-2059000,-1319000,-1319000,-1319000,-1319000,-1520000,1453000,1453000,369000,369000,2056000,978000,47000,47000,1025000,3081000,1592000,708000,884000,1616000,5619000,33520000,-36058000,-2538000,-2538000,3081000,-3562000,88000,4733000,-3672000,-2413000,-344000,-304000,0,0,0,-2717000,-2717000,-2717000,0,1.27228,-2.21395,0,-3.13801
"2","2015_Q2",7.23079365079365,"Up",-1547000,-664000,-883000,-1777000,11000,-1766000,-1916000,-1916000,-1916000,-1916000,-1916000,1855,1855,80.9999999998836,80.9999999998836,2448.99999999953,935,40.0000000000146,40,975.000000000466,3423.99999999907,1610,844,766.000000000233,1666.00000000047,5519,35601.0000000149,-37695.9999999851,-2095.00000000093,-2095.00000000093,3423.99999999907,-1638000,79000,-24999.9999999991,58999.9999999995,-1525000,-36000,-29000,1956000,1956000,1956000,402000,402000,402000,0,1.46999,-2.63437,0,-0.0356400000000066
"3","2015_Q3",6.556875,"Down",-1277000,-836000,-441000,-1512000,-34000,-1546000,-1174000,-1174000,-1174000,-1174000,-1174000,981000,981000,420000,420000,1611000,854000,40000,40000,894000,2505000,1468000,856000,612000,1546000,5925000,36434000,-39854000,-3420000,-3420000,2505000,-2004000,84000,643000,-22000,-1299000,-18000,-28000,453000,453000,453000,-874000,-874000,-874000,0,1.04204,-1.73246,0,-40.32679
"4","2015_Q4",7.68046875,"Up",-2416000,-1749000,-667000,-2547000,34000,-2513000,-3266000,-3266000,-3266000,-3266000,-3266000,1908000,1908000,498000,498000,2721000,796000,33000,33000,829000,3550000,1473000,879000,594000,1527000,5153000,40079000,-41682000,-1603000,-1603000,3550000,-1828000,85000,444000,-83000,-1382000,-24000,-16000,2325000,2325000,2325000,927000,927000,927000,0,1.78193,-3.2146,0,-15.2601
"5","2016_Q1",29.423606557377,"Up",-1603000,-1029000,-574000,-1862000,4000,-1858000,-1898000,-1898000,-1898000,-1898000,-2052000,2671000,2671000,1015000,1015000,4287000,749000,41000,41000,790000,5077000,1659000,978000,681000,1690000,4300000,44131000,-43354000,777000,777000,5077000,-1672000,87000,82000,-568000,-2071000,-32000,-40000,2874000,2874000,2874000,763000,763000,763000,0,2.53669,5.53411,0,5.93499
"6","2016_Q2",102.1278125,"Up",-1821000,-1424000,-397000,-1923000,-13000,-1936000,-2823000,-2823000,-2823000,-2823000,-2823000,8267000,8267000,976000,976000,10248000,682000,33000,33000,715000,10963000,1481000,556000,925000,1489000,3352000,52609000,-44998000,7611000,7611000,10963000,-2368000,102000,756000,-595000,-2105000,-35000,-27000,7728000,7728000,7728000,5596000,5596000,5596000,6.61744490042422e-24,6.88247,0.44042,-4.93038065763132e-32,41.67586
"7","2016_Q3",78.49734375,"Down",-2466000,-1945000,-521000,-2623000,-6000,-2629000,-4047000,-4047000,-4047000,-4047000,-4047000,6376000,6376000,673000,673000,8060000,1035000,37000,37000,1072000,9132000,1974000,1005000,969000,1974000,3927000,52922000,-47717000,5205000,5205000,9132000,-4047000,89000,1762000,503000,-1693000,-211000,-218000,20000,20000,20000,-1891000,-1891000,-1891000,0,4.08308,0.75447,0,18.46886
"8","2016_Q4",65.3139682539683,"Down",-2797000,-2138000,-659000,-2721000,-678000,-3399000,-876000,-875999.999999999,-875999.999999999,-875999.999999999,-876000,3339000,3339000,839000,839000,5555000,1105000,36000,36000,1141000,6696000,2041000,1027000,1014000,2041000,2336000,54083000,-49723000,4360000,4360000,6696000,-611000,82000,-1892000,-301000,-2722000,-160000,-315000,-9.31322574615479e-10,9.31322574615479e-10,0,-3037000,-3037000,-3037000,-1.05879118406788e-22,2.72171,0.53578,7.88860905221012e-31,15.11065
"9","2017_Q1",74.2301612903226,"Up",-3187000,-2610000,-577000,-3565000,651000,-2914000,-3141000,-3141000,-3141000,-3141000,-3851000,1093000,1093000,729000,729000,2936000,901000,35000,35000,936000,3872000,2925000,1812000,1113000,2925000,10413000,48419000,-54960000,-6541000,-6541000,3872000,-3861000,114000,421000,1467000,-1859000,-402000,-387000,0,0,0,-2246000,-2246000,-2246000,0,1.00376,-1.59196,0,-22.74283
"10","2017_Q2",52.0107936507937,"Down",-4311000,-3842000,-469000,-4205000,-12999.9999999998,-4218000,-5413000,-5413000,-5413000,-5413000,-5413000,2817000,2817000,937000,937000,5085000,856000,44000,44000,9e+05,5985000,2724000,1484000,1240000,2724000,2752000,54951000,-51718000,3233000,3233000,5985000,-5413000,43000,2780000,-493000,-3083000,-290534.006622262,-9000,4816000,4816000,4816000,1724000,1724000,1724000,1.6940658945086e-21,1.86674,0.85122,-1.26217744835362e-29,8.9858
"11","2017_Q3",44.4006349206349,"Down",-4478000,-3294000,-1184000,-4118000,1000,-4117000,-4092000,-4092000,-4092000,-4092000,-4092000,3898000,3898000,875000,875000,5862000,831000,42000,42000,873000,6735000,2779000,985000,1794000,2779000,2782000,59763000,-55810000,3953000,3953000,6735000,-4092000,58000,831000,460000,-2743000,-31000.0000000001,-29000,3853000,3853000,3853000,1081000,1081000,1081000,0,2.10939,0.70377,0,8.27028
"12","2017_Q4",33.8614285714286,"Down",-3255000,-2458000,-797000,-2979000,5000,-2974000,-2973000,-2973000,-2973000,-2973000,-2973000,6262000,6262000,1009000,1009000,8614000,811000,32000,32000,843000,9457000,3340000,1983000,1357000,3340000,3342000,64898000,-58783000,6115000,6115000,9457000,-2973000,54000,620000,-98000,-2397000,-33000,-39000,4800000,4800000,4800000,2364000,2364000,2364000,1.35525271560688e-20,2.57904,0.54652,0,12.18243
"13","2018_Q1",30.5213114754098,"Down",-3686000,-2839000,-847000,-3117000,163000,-2954000,-2953000,-2953000,-2953000,-2953000,-3208000,3718000,3718000,862000,862000,6046000,869000,42000,42000,911000,6957000,3015000,1852000,1163000,3015000,3016000,74899000,-70958000,3941000,3941000,6957000,-3265000,40000,775000,54000,-2396000,-131000,-142000,-6000,-6000,-6000,-2544000,-2544000,-2544000,0,2.00531,0.76529,0,6.72603
"14","2018_Q2",32.6575,"Up",-3467000,-2725000,-742000,-2915000,-5000,-2920000,-2919000,-2919000,-2919000,-2919000,-2919000,7041000,7041000,754000,754000,8907000,828000,45000,45000,873000,9780000,2409000,1112000,1297000,2409000,2409000,81248000,-73877000,7371000,7371000,9780000,-2919000,53000,229000,-129000,-2766000,-12000,55000,6034000,6034000,6034000,3323000,3323000,3323000,0,3.69738,0.32682,-1.61558713389263e-27,9.86547
