"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","dividend_payout_ratio"
"1","2010_Q2",3.94238095238095,"Up",17112000,10106000,19366000,-9260000,7006000,998000,478000,-17206000,-94000,-8551000,-8551000,-8645000,-8645000,-8645000,3629000,-5016000,-5016000,-5016000,-5016000,-79941297.9081823,-6046628.3583981,-15140010830.2196,8921398807.56322,-6304599948.92298,182088512.945045,56148941.1819741,-1193150241.04135,-985263586.942854,-489090.950389558,-951819575.169763,2029214967.66938,1076735268.1807,-6213128267.68513,-6213128267.68513,-6213128267.68513,-134813194.984558,0,8919848856.80573,-0.5052,-0.29313,-1140.08784396076,-0.00044,-0.00044,0.0015,18.4185857129293,-0.00843349117804312,1.13454186258245
"2","2010_Q3",3.93515625,"Down",16265000,9577000,17655000,-8078000,6688000,888000,478000,-2315000,13950000,-9571000,-9571000,4379000,4379000,4379000,-1821000,2558000,2558000,2558000,2558000,-39324778.7449094,-2969177.01503886,-7765744498.13177,4304621684.53793,-3503416769.35378,94643107.767027,29187964.7091845,-607224144.624811,-497891352.165713,-331054.570233735,-490305545.101858,1063140780.60163,572401560.90842,-3428906560.61108,-3428906560.61108,-3428906560.61108,-65708116.9907347,0,4310142514.08344,0.26923,0.15727,-669.230076376458,0.00022,0.00022,0.00143,10.9596874277576,-0.00505609470682587,0.612281117549468
"3","2010_Q4",4.71171875,"Up",12470000,9593000,16505000,-6912000,2877000,886000,502000,-2322000,10148000,-9548000,-9548000,6e+05,6e+05,6e+05,-229000,371000,371000,371000,371000,-13928889.3724547,-1049588.50751943,-3065960249.06588,1428468842.26897,-1652469884.67689,40007053.8835135,14444482.3545922,-241099572.312406,-191370676.082856,-218527.285116868,-207662772.550929,455167390.300814,247234780.45421,-1596605780.30554,-1596605780.30554,-1596605780.30554,-22611558.4953673,0,1438231257.04172,0.04812,0.02975,-368.739373188229,3e-05,3e-05,0.00109,5.41690371387878,-0.00252304735341294,0.279145558774734
"4","2011_Q1",5.6708064516129,"Up",15990000,10302000,16637000,-6335000,5688000,1958000,-573000,0,15990000,-10469000,-10469000,5521000,5521000,5521000,-2319000,3202000,3202000,3202000,3202000,-421629.790818227,-26862.8358398102,-470322083.021961,-93390719.2436781,-564161294.892298,10858351.2945045,8672494.11819742,-45860524.1041352,-25997558.6942854,-147509.095038956,-62896257.5169763,126742796.766938,63681926.8180699,-526476926.768513,-526476926.768513,-526476926.768513,192480.501544219,1.16415321826935e-10,-81698914.3194271,0.34528,0.20025,-203.978334396076,0.00028,0.00028,0.0014,1.75636457129293,-0.000834349117804312,0.0963651862582447
"5","2011_Q2",5.65825396825397,"Down",20147000,9812000,15903000,-6091000,10335000,1069000,187000,-877000,19270000,-11210000,-11210000,8060000,8060000,8060000,-3531000,4529000,4529000,4529000,4529000,4529000,360000,591506000,-647288000,-50893000,-125000,8626000,27409000,37932000,-114000,-15011000,-685000,-15810000,-28771000,-28771000,-28771000,8420000,0,-635462000,0.40006,0.2248,-140.30956,4e-04,4e-04,0.00177,-0.0558,1e-05,0.02517
"6","2011_Q3",5.9546875,"Up",19805000,9708000,15200000,-5492000,10097000,1258000,197000,-1048000,18757000,-11342000,-11342000,7415000,7415000,7415000,-3160000,4255000,4255000,4255000,4255000,4255000,372000,689860000,-619554000,74933000,-265000,11059000,27625000,40122000,-114000,-23012000,-5668000,-28794000,86261000,86261000,86261000,7787000,0,-608872000,0.3744,0.21484,-143.09565,0.00037,0.00037,0.00174,-0.0534599999999999,1e-05,0.02679
"7","2011_Q4",6.57761904761905,"Up",17836000,9172000,14026000,-4854000,8664000,1243000,1291000,-2693000,15143000,-11012000,-11012000,4131000,4131000,4131000,-1796000,2335000,2335000,2335000,2335000,2335000,295000,438281000,-425501000,15410000,2088000,12528000,10526000,26027000,-115000,-40011000,20355000,-19771000,21666000,21666000,21666000,4426000,0,-417191000,0.23161,0.13092,-178.66852,0.00021,2e-04,0.00157,-0.03663,1e-05,0.04925
"8","2012_Q1",7.19774193548387,"Up",16318000,9057000,13560000,-4503000,7261000,1100000,169000,-847000,15471000,-11808000,-11808000,3663000,3663000,3663000,-1562000,2101000,2101000,2101000,2101000,2101000,390000,407105000,-451460000,-41864000,-388000,9787000,25028000,35351000,-113000,-25013000,-1168000,-26294000,-32807000,-32807000,-32807000,4053000,206598000,-446233000,0.22448,0.12875,-212.39077,0.00018,0.000180000000000002,0.00143000000000001,-0.0391799999999994,9.99999999999978e-06,0.05378
"9","2012_Q2",8.00746031746032,"Up",17346000,8798000,13011000,-4213000,8548000,1066000,174000,-972000,16374000,-12303000,-12303000,4071000,4071000,4071000,-1753000,2318000,2318000,2318000,2318000,2318000,452000,484407000,-568452000,-81275000,-329000,4793000,18433000,23795000,-345000,-20012000,16109000,-4914000,-62394000,-62394000,-62394000,4523000,186586000,-562505000,0.23469,0.13363,-242.66825,2e-04,2e-04,0.00152,-0.04939,3e-05,0.14884
"10","2012_Q3",9.25873015873016,"Up",16819000,9506000,13452000,-3946000,7313000,1111000,228000,-1132000,15687000,-12474000,-12474000,3213000,3213000,3213000,-1359000,1854000,1854000,1854000,1854000,1854000,340000,684718000,-626443000,60469000,-1223000,4350000,9485000,13697000,-341000,-10013000,-8020000,-20815000,53351000,53351000,53351000,3553000,176573000,-622754000,0.19103,0.11023,-335.89752,0.16381,0.16313,1.48604,-55.02333,0.03013,0.18393
"11","2012_Q4",11.1717741935484,"Up",20285000,8976000,12454000,-3478000,11309000,1171000,215000,-1622000,18663000,-14597000,-14597000,4066000,4066000,4066000,-1734000,2332000,2332000,2332000,2332000,2332000,330000,623257000,-582757000,43162000,-432000,6626000,14749000,21631000,-448000,-30013000,20947000,-11293000,53500000,53500000,53500000,4396000,146560000,-577059000,0.20044,0.11496,-247.4524,0.20604,0.20519,1.79228,-50.98595,0.03958,0.19211
"12","2013_Q1",12.9226666666667,"Up",25430000,9450000,12518000,-3068000,15980000,1105000,183000,-2051000,23379000,-15991000,-15991000,7388000,7388000,7388000,-3082000,4306000,4306000,4306000,4306000,4306000,235000,694704000,-733925000,-34680000,-611000,4126000,24203000,28388000,-438000,-20014000,-13392000,-35579000,-41871000,-41871000,-41871000,7623000,126546000,-723831000,0.29052,0.16933,-168.09824,0.3937,0.38955,2.32509,-66.18072,0.04005,0.10172
"13","2013_Q2",11.67546875,"Down",31095000,8936000,11847000,-2911000,22159000,1282000,209000,-533000,30562000,-17326000,-17326000,13236000,13236000,13236000,-4506000,8730000,8730000,8730000,8730000,8730000,480000,789164000,-859739000,-61365000,-202000,4659000,16930000,22149000,-542000,-13000,-4596000,-7431000,-46647000,-46647000,-46647000,13716000,126533000,-841719000,0.42566,0.28075,-96.41684,0.80841,0.79588,2.87943,-77.94416,0.05019,0.06208
"14","2013_Q3",12.97734375,"Up",28807000,8772000,11617000,-2845000,20035000,1314000,248000,-23000,28784000,-16769000,-16769000,12015000,12015000,12015000,-5075000,6940000,6940000,6940000,6940000,6940000,368000,1015185000,-1008210000,14283000,-197000,4706000,5052000,10466000,-533000,-14000,-21609000,-23604000,1145000,1145000,1145000,12383000,126519000,-990949000,0.41709,0.24091,-142.78804,0.65134,0.63594,2.70361,-93.00319,0.05002,0.0768
"15","2013_Q4",11.5134375,"Down",23454000,8066000,10612000,-2546000,15388000,1116000,219000,517000,23971000,-15729000,-15729000,8242000,8242000,8242000,-3372000,4870000,4870000,4870000,4870000,4870000,413000,907370000,-789031000,123622000,-495000,2545000,17917000,20629000,-741000,-20014000,-106000,-23563000,120688000,120688000,120688000,8655000,106505000,-777499000,0.35141,0.20764,-159.65072,0.46161,0.45193,2.22313,-73.69659,0.07024,0.15216
"16","2014_Q1",11.3998360655738,"Down",25201000,7583000,10085000,-2502000,17618000,1122000,281000,1538000,26739000,-17519000,-17519000,9220000,9220000,9220000,-3963000,5257000,5257000,5257000,5257000,5257000,485000,808602000,-835819000,-21475000,-217000,1498000,7899000,10146000,-725000,-14000,-12090000,-15154000,-26483000,-26483000,-26483000,9705000,106491000,-822368000,0.36586,0.2086,-156.43295,0.50545,0.4921,2.42304,-79.06944,0.06971,0.13791
"17","2014_Q2",10.8938095238095,"Down",16144000,7961000,10116000,-2155000,8183000,1160000,217000,942000,17086000,-14530000,-14530000,2556000,2556000,2556000,-1043000,1513000,1513000,1513000,1513000,1513000,496000,705337000,-687817000,19529000,-292000,1626000,-210000,1944000,-1030000,-50015000,-3915000,-58320000,-36847000,-36847000,-36847000,3052000,56476000,-684014000,0.15833,0.09372,-452.09121,0.14682,0.14375,1.56662,-66.3769,0.09995,0.68077
"18","2014_Q3",11.1821875,"Up",14799000,7655000,9513000,-1858000,7144000,1267000,227000,898000,15697000,-12871000,-12871000,2826000,2826000,2826000,-1223000,1603000,1603000,1603000,1603000,1603000,367000,495692000,-451942000,45720000,-218000,904000,-5637000,-4152000,-1005000,-5014000,-5339000,-16768000,24800000,24800000,24800000,3193000,51462000,-447744000,0.19096,0.10832,-279.31628,0.15904,0.15607,1.4683,-44.42345,0.09971,0.62695
"19","2014_Q4",11.37609375,"Up",14241000,7450000,9158000,-1708000,6791000,1216000,239000,849000,15090000,-12553000,-12553000,2537000,2537000,2537000,-1138000,1399000,1399000,1399000,1399000,1399000,354000,384126000,-355327000,30552000,-82000,1125000,-10291000,-8582000,-981000,-15000,-6250000,-10293000,11677000,11677000,11677000,2891000,51447000,-351380000,0.17815,0.09824,-251.16512,0.14277,0.14038,1.45331,-35.85876,0.10011,0.70122
"20","2015_Q1",12.1145901639344,"Up",17214000,7657000,9272000,-1615000,9557000,1273000,259000,691000,17905000,-14214000,-14214000,3691000,3691000,3691000,-1600000,2091000,2091000,2091000,2091000,2091000,441000,424366000,-474182000,-47284000,-123000,-299000,-1556000,-1353000,-948000,-10016000,-9636000,-25895000,-74532000,-74532000,-74532000,4132000,41431000,-468573000,0.21442,0.12147,-224.09039,0.21959,0.21599,1.80776,-49.20801,0.09956,0.45337
"21","2015_Q2",13.2526984126984,"Up",17047000,7937000,9509000,-1572000,9110000,1250000,227000,818000,17865000,-13739000,-13739000,4126000,4126000,4126000,-1736000,2390000,2390000,2390000,2390000,2390000,611000,490254000,-512268000,-19013000,-168000,252000,-16774000,-15910000,-1023000,-15000,4562000,1124000,-33799000,-33799000,-33799000,4737000,41416000,-505963000,0.24204,0.1402,-211.7,0.25829,0.25243,1.84232,-54.68097,0.11056,0.42803
"22","2015_Q3",12.860625,"Down",17607000,8110000,9656000,-1546000,9497000,1231000,275000,354000,17961000,-13912000,-13912000,4049000,4049000,4049000,-1721000,2328000,2328000,2328000,2328000,2328000,430000,520578000,-567099000,-43763000,-99000,381000,-9770000,-8971000,-1005000,-15999.9999999925,3080000,-326000,-53060000,-53060000,-53060000,4479000,41400000,-560998000,0.22997,0.13222,-240.97852,0.25524,0.252,1.93038,-61.50619,0.11019,0.4317
"23","2015_Q4",13.97453125,"Up",19647000,8378000,9937000,-1559000,11269000,1209000,248000,111000,19758000,-15168000,-15168000,4590000,4590000,4590000,-1990000,2600000,2600000,2600000,2600000,2600000,438000,598035000,-677500000,-76427000,-67000,-85000,-22103000,-21924000,-986000,89984000,12388000,96948000,-1403000,-1403000,-1403000,5028000,131384000,-670549000,0.23362,0.13234,-257.90346,0.2907,0.2854,2.19667,-74.97194,0.11024,0.37923
"24","2016_Q1",14.0709836065574,"Up",19361000,8850000,10594000,-1744000,10511000,1213000,242000,104000,19465000,-15150000,-15150000,4315000,4315000,4315000,-1830000,2485000,2485000,2485000,2485000,2485000,378000,801641000,-723076000,81428000,-42000,3827000,4945000,6852000,-1041000,-40017000,6186000,-37552000,50728000,50728000,50728000,4693000,91367000,-716595000,0.22287,0.12835,-288.36821,0.28663,0.27986,2.23315,-82.65408,0.12007,0.41891
"25","2016_Q2",14.2525,"Up",18515000,8066000,9857000,-1791000,10449000,1083000,213000,38000,18553000,-14360000,-14360000,4193000,4193000,4193000,-1750000,2443000,2443000,2443000,2443000,2443000,307000,604444000,-536962000,70232000,-71000,463000,7289000,8331000,-1032000,-16000,780000,-3820000,74743000,74743000,74743000,4500000,91351000,-530783000,0.22647,0.13195,-217.26688,0.2852,0.27939,2.16145,-61.96393,0.12048,0.42243
"26","2016_Q3",15.4765625,"Up",15187000,7589000,9363000,-1774000,7598000,1248000,271000,362000,15549000,-13859000,-13859000,1690000,1690000,1690000,-708000,982000,982000,982000,982000,982000,554000,459571000,-476445000,-15338000,-129000,2129000,-12269000,-19738000,-1009000,-17000,-7117000,-9711000,-44787000,-44787000,-44787000,2244000,91334000,-473622000,0.11128,0.06466,-482.30346,0.11696,0.11419,1.80884,-56.41043,0.12018,1.02749
"27","2016_Q4",16.0125396825397,"Up",16336000,7912000,9646000,-1734000,8424000,1328000,227000,694000,17030000,-14485000,-14485000,2545000,2545000,2545000,-1051000,1494000,1494000,1494000,1494000,1494000,471000,385296000,-392757000,-5496000,-498000,4788000,7995000,335000,-1e+06,-17000,9316000,5283000,122000,122000,122000,3016000,91317000,-389188000,0.15579,0.09145,-260.50067,0.17959,0.17543,1.9637,-46.78303,0.12021,0.66934
"28","2017_Q1",15.4477419354839,"Down",19352000,8762000,10438000,-1676000,10590000,1176000,89000,621000,19973000,-15555000,-15555000,4418000,4418000,4418000,-1863000,2555000,2555000,2555000,2555000,2555000,577000,552471000,-556990000,-1387000.00000001,-819000,-37662000,-35138000,-52850000,-973000,-18000,-681000,-6038000,-60275000,-60275000,-60275000,4995000,91299000,-550951000,0.2283,0.13203,-215.6364,0.31507,0.3076,2.38641,-67.941,0.11999,0.38082
"29","2017_Q2",15.7071428571429,"Up",18340000,9088000,10804000,-1716000,9252000,1181000,178000,150000,18490000,-15632000,-15632000,2858000,2858000,2858000,-1264000,1594000,1594000,1594000,1594000,1594000,697000,573720000,-646062000,-70051000,-78000,4355000,-15097000,-10820000,-1033000,54982000,17118000,69108000,-11763000,-11763000,-11763000,3555000,146281000,-641321000,0.15583,0.08691,-402.33438,0.20055,0.19549,2.3075,-80.68961,0.12997,0.64806
"30","2017_Q3",15.9069841269841,"Up",16917000,9085000,10803000,-1718000,7832000,1223000,194000,350000,17267000,-14668000,-14668000,2599000,2599000,2599000,-1095000,1504000,1504000,1504000,1504000,1504000,637000,644151000,-540426000,105866000,-107000,3798000,-13911000,-10220000,-1032000,-35018000,-14829000,-52278000,43368000,43368000,43368000,3236000,111263000,-536202000,0.15363,0.0889,-356.51729,0.18909,0.18463,2.12685,-67.41287,0.12975,0.68617
"31","2017_Q4",16.032380952381,"Up",15438000,8647000,10280000,-1633000,6791000,1262000,208000,165000,15603000,-13768000,-13768000,1835000,1835000,1835000,-690000,1145000,1145000,1145000,1145000,1145000,614000,373858000,-319753000,55864000,-806000,4176000,-13044000,-20644000,-1028000,-19000,9633000,7267000,42487000,42487000,42487000,2449000,111244000,-317420000,0.11886,0.07417,-277.22271,0.14444,0.14174,1.94752,-40.04289,0.12968,0.89782
