"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2013_Q1",6.97266666666667,"Up",27816000,-7960000,19856000,-17450000,-15276000,-2174000,2406000,15000,15000,2421000,3421000,-1905000,1516000,1661000,1661000,1661000,52269000,50305000,1964000,3880000,3880000,914000,914000,57574000,6673000,88364000,10194000,25150000,53020000,95037000,152611000,12499000,5644000,4943000,1236000,1236000,13735000,1843000,1843000,1843000,15578000,246248000,-109179000,-36000,137033000,137033000,152611000,1661000,1064000,2707000,365000,5797000,-433000,-190000,-623000,-13000,538000,672000,574000,5748000,5748000,5748000,3470000,0,5307000,0.71383,0.0865,0.05971,0.01212,0.01088,3.19506,4.19177,0.11368,0,0.02308,0.0221,0.38649,1.904,0.07374,0.01196,0.03821,-15.06311,-21.72444
"13","2013_Q2",7.541875,"Up",29251000,-8133000,21118000,-18180000,-15844000,-2336000,2938000,15000,15000,2953000,2953000,-961000,1992000,2139000,2139000,2139000,57814000,55915000,1899000,3595000,3595000,1107000,1107000,63083000,6636000,87562000,9854000,25150000,52558000,94198000,157281000,12694000,5500000,5090000,1609000,1609000,14303000,1788000,1788000,1788000,16091000,248331000,-107040000,-101000,141190000,141190000,157281000,2139000,1015000,1780000,299000,5233000,-466000,-328000,-794000,-5000,1176000,1296000,1171000,5610000,5610000,5610000,3953000,0,4747000,0.72196,0.10044,0.07313,0.01515,0.0136,2.21926,4.41047,0.11397,3.15544362088405e-30,0.0295,0.02824,0.40341,1.94718,0.06547,0.01496,0.0332,-14.62535,-19.67801
"14","2013_Q3",9.34296875,"Up",30815000,-8992000,21823000,-19510000,-16870000,-2640000,2313000,999.999999999971,999.999999999971,2314000,2314000,-826000,1488000,2231000,2231000,2231000,61254000,59345000,1909000,4686000,4686000,4296000,4296000,70639000,6335000,84924000,9523000,23939000,51462000,91259000,161898000,12648000,5908000,4994000,2197000,2197000,14845000,1733000,1733000,1733000,16578000,250220000,-104809000,-91000,145320000,145320000,161898000,2231000,980000,1233000,-666000,3778000,-979000,-145000,-1124000,-5000,781000.000000004,917999.999999993,775999.999999996,3430000,3430000,3430000,3293000,0,2474000,0.70819,0.07506,0.0724,0.01535,0.01378,1.10892,4.75844,0.11408,0,0.03057,0.02927,0.4223,1.9915,0.0339,0.01517,0.01682,-18.60128,-26.48249
"15","2013_Q4",10.2115625,"Up",32745000,-9625000,23120000,-24923000,-21598000,-3325000,-1803000,586000,586000,-1217000,-1217000,1306000,89000,89000,89000,89000,174015000,172114000,1901000,5169000,5169000,2214000,2214000,182226000,7485000,106840000,15606000,38235000,52999000,114325000,296551000,16262000,6497000,7656000,3208000,3208000,19470000,1684000,1684000,1684000,21154000,379890000,-104720000,227000,275397000,275397000,296551000,89000,1059000,1165000,249000,2562000,-636000,-117000,-16227000,-16000,126440000,126503000,126424000,112759000,112759000,112769000,-744000,0,-2437000,0.70606,-0.05506,0.00272,0.000320000000000003,0.000300000000000002,-27.38202,9.35932,0.07681,5.04870979341448e-29,0.00112,0.00107,0.41064,3.4536,-0.03056,0.000320000000000001,-0.0088,233.89113,96.51414
"16","2014_Q1",10.5216393442623,"Up",35786000,-10865000,24921000,-25294000,-21962000,-3332000,-372999.999999999,140000,140000,-233000,-233000,-1738000,-1971000,-1945000,-1945000,-1945000,106340000,59159000,47181000,5503000,5503000,2214000,2214000,114868000,7711000,104603000,15095000,38461000,51047000,184335000,299203000,16264000,6789000,7152000,1857000,1857000,18121000,2904000,1619000,2904000,21025000,384413000,-106665000,430000,278178000,278178000,299203000,-1945000,1303000,4494000,-508000,3344000,-772000,-165000,-118322000,-59000,2030999.99999999,2200000,2114000,-112864000,-112864000,-112955000,930000,1.0842021724855e-19,1388000,0.69639,-0.01042,-0.05435,-0.00699,-0.0065,-0.71362000000001,6.33894,0.07558,0,-0.0221,-0.02127,0.40658,3.16047,0.01577,-0.00692,0.00494,-114.34409,285.09383
"17","2014_Q2",8.75809523809524,"Down",37913000,-10966000,26947000,-26444000,-23038000,-3406000,503000,177000,177000,680000,680000,-672000,8000,8000,8000,8000,182010000,55073000,126937000,5947000,5947000,2307000,2307000,191017000,8339000,103798000,14670000,38802000,50326000,112137000,303154000,18045000,8217000,7375000,1741000,1741000,19786000,2627000,1555000,2627000,22413000,386429000,-106657000,969000,280741000,280741000,303154000,8000,1407000,2649000,586000,4650000,-1026000,3300000,-8868000,-46000,122000,170000,76000,-4142000,-4142000,-4086000,1910000,0,2142000,0.71076,0.01327,0.00021,2.99999999999988e-05,2.99999999999988e-05,267.75,9.65415,0.07984,8.07793566946316e-28,9e-05,9e-05,0.42795,3.16892,0.02418,2.99999999999996e-05,0.00756,-95.29319,-361.84891
"18","2014_Q3",7.67875,"Down",39598000,-11267000,28331000,-26829000,-23333000,-3496000,1502000,2e+05,2e+05,1702000,2702000,-1411000,1291000,1291000,1291000,1291000,185567000,56048000,129519000,7266000,7266000,3247000,3247000,196834000,9555000,100944000,13826000,38114000,49004000,110499000,307333000,18827000,8898000,7359000,1522000,1522000,20349000,2532000,1494000,2532000,22881000,389844000,-105366000,-26000,284452000,284452000,307333000,1291000,1472000,3636000,-2419000,3980000,-1527000,18119000,-4583000,-35000,1497000,1529000,1462000,859000.000000015,859000.000000015,975000,2974000,0,439000,0.71547,0.03793,0.0326,0.00454,0.0042,0.340050000000019,9.67291,0.08044,0,0.01449,0.01409,0.44456,3.19347,0.00493,0.0045,0.00153,-62.39644,-123.5466
"19","2014_Q4",7.6584375,"Down",41372000,-11503000,29869000,-29044000,-25176000,-3868000,825000,246000,246000,1071000,1071000,-627000,444000,444000,444000,444000,187889000,52598000,135291000,7233000,7233000,2932000,2932000,198586000,10179000,99253000,13032000,37497000,48724000,109432000,308018000,18561000,7272000,8410000,1491000,1491000,20052000,2185000,1425000,2185000,22237000,391856000,-104922000,-1153000,285781000,285781000,308018000,444000,1576000,3307000,-182000,5145000,-1970000,9525000,-8369000,-34000,-676000,967000,-710000,-3934000,-3934000,-3450000,2401000,0,876000,0.72196,0.01994,0.01073,0.00155,0.00144,1.97297,9.90355,0.07781,6.46234853557053e-27,0.00496,0.00483,0.46177,3.18973,0.00978,0.00154,0.00304,-78.25448,-227.74424
"20","2015_Q1",8.05147540983607,"Up",43530000,-11828000,31702000,-31650000,-27302000,-4348000,51999.9999999999,210000,210000,262000,262000,-78999.9999999999,183000,183000,183000,183000,177094000,53110000,123984000,6642000,6642000,2702000,2702000,187142000,10248000,98234000,12260000,36887000,49087000,108482000,295624000,20062000,7775000,9487000,1768000,1768000,21830000,1583000,1352000,1583000,23413000,379059000,-104739000,-2109000,272211000,272211000,295624000,183000,1658000,2890000,2734000,7465000,-1303000,31878000,9559000,-34000,-15859000,1789000,-15742000,1282000,1282000,512000,1710000,1.38777878078145e-17,3220000,0.72828,0.00119,0.0042,0.00067,0.00062,17.59563,8.5727,0.08601,0,0.00206,0.002,0.48896,3.05769,0.03617,0.00067,0.01176,-103.56374,-3405.65385
"21","2015_Q2",8.82984126984127,"Up",47892000,-12841000,35051000,-34972000,-29892000,-5080000,79000,234000,234000,313000,313000,-785000,-472000,-472000,-472000,-472000,156966000,29298000,127668000,8041000,8041000,4534000,4534000,170159000,11714000,125159000,28510000,48039000,48610000,136873000,307032000,24174000,9736000,11001000,1514000,1514000,25688000,4905000,4709000,4905000,30593000,382329000,-105211000,-679000,276439000,276439000,307032000,-472000,1995000,3734000,-597000,4660000,-1073000,7349000,-28947000,-54000,311000,336000,257000,-24030000,-24030000,-23812000,2074000,0,1189000,0.73188,0.00165,-0.00986,-0.00171,-0.00154,-2.51907,6.62407,0.11067,0,-0.00535,-0.00535,0.54279,3.13306,0.01348,-0.00168,0.00423,-75.68274,-1986.91139
