"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"22","2015_Q3",8.28015625,"Down",50942000,-13782000,37160000,-38833000,-32387000,-6446000,-1673000,204000,204000,-1469000,-1469000,-423000,-1892000,-1892000,-1892000,-1892000,149147000,28795000,120352000,10135000,10135000,4833000,4833000,164994000,11310000,122312000,25083000,48695000,48534000,133622000,298616000,25093000,9852000,11422000,1589000,1589000,26682000,4223000,4046000,4223000,30905000,376931000,-107103000,-2117000,267711000,267711000,298616000,-1892000,2299000,3927000,-1879000,2455000,-1045000,16049000,5806000,-296000,-8368000,1740000,-8664000,-403000,-403000,-503000,626000,0,-1875000,0.72946,-0.03284,-0.03714,-0.00707,-0.00634,0.99101,6.18372,0.11544,0,-0.02136,-0.02136,0.57525,3.02304,-0.02117,-0.00696,-0.0069,-238.25399,89.14943
"23","2015_Q4",10.65984375,"Up",53169000,-14801000,38368000,-40877000,-34473000,-6404000,-2509000,272000,272000,-2237000,-2237000,557000,-1680000,-1680000,-1680000,-1680000,154585000,23866000,130719000,9927000,9927000,5647000,5647000,170945000,11969000,120674000,23050000,48144000,49480000,132643000,303588000,28615000,9917000,13945000,1807000,1807000,30422000,3859000,3722000,3859000,34281000,381423000,-108783000,-3333000,269307000,269307000,303588000,-1680000,2325000,5126000,2498000,8269000,-1177000,13778000,-12503000,-171000,-723000,772000,-894000,-5128000,-5128000,-4929000,-184000,0,580000,0.72162,-0.04719,-0.0316,-0.00624,-0.00553,-0.34524,5.61912,0.12729,-1.65436122510606e-24,-0.01903,-0.01903,0.60222,3.05029,0.00657,-0.00615,0.00212,840.13587,61.6121999999999
"24","2016_Q1",10.9618032786885,"Up",57333000,-15822000,41511000,-44482000,-38372000,-6110000,-2971000,397000,397000,-2574000,-2574000,1498000,-1076000,-1076000,-1076000,-1076000,162850000,33576000,129274000,11070000,11070000,6078000,6078000,180518000,12375000,120559000,21464000,47420000,51675000,132934000,313452000,32809000,10954000,16655000,1925000,1925000,34734000,3412000,3258000,3412000,38146000,389349000,-109859000,-4184000,275306000,275306000,313452000,-1076000,2388000,2470000,4401000,8183000,-1599000,25090000,-651000,-125000,1954000,1979000,2053000,9585000,9585000,9710000,-583000,-3.5527136788005e-15,721000,0.72403,-0.05182,-0.01877,-0.00391,-0.00343,-0.67007,5.19716,0.13856,0,-0.01211,-0.01211,0.64543,3.09928,0.00812,-0.00386,0.00259,279.33105,54.81319
"25","2016_Q2",12.24453125,"Up",60041000,-15740000,44301000,-45202000,-38492000,-6710000,-901000,410000,410000,-491000,-491000,-37000,-528000,-528000,-528000,-528000,167073000,27466000,139607000,11538000,11538000,5813000,5813000,184887000,13015000,117745000,19531000,45931000,52283000,130760000,315647000,33306000,12649000,15267000,2120000,2120000,35426000,3241000,3107000,3241000,38667000,394189000,-110387000,-6822000,276980000,276980000,315647000,-528000,2577000,5007000,-520000,6536000,-1604000,16318000,-12587000,-382000,410000,1039000,28000,-6023000,-6023000,-6110000,1676000,0,-411000,0.73785,-0.01501,-0.00879,-0.00191,-0.00167,0.77841,5.21896,0.1396,-2.64697796016969e-23,-0.0059,-0.0059,0.67134,3.09703,-0.0046,-0.00188,-0.00147,-99.68556,185.43063
"26","2016_Q3",14.22265625,"Up",63183000,-16619000,46564000,-46943000,-40438000,-6505000,-379000,391000,391000,12000,12000,14999.9999999999,26999.9999999999,27000,27000,27000,169744000,32094000,137650000,11661000,11661000,7366000,7366000,189235000,15315000,117482000,18212000,45290000,53980000,132797000,322032000,34994000,14026000,15544000,2281000,2281000,37275000,3433000,3321000,3433000,40708000,400045000,-110360000,-8361000,281324000,281324000,322032000,27000,2566000,4399000,-104000,6888000,-3626000,10464000,-3515000,-151000,1348000,1561000,1197000,4570000,4570000,4628000,2187000,5.6843418860808e-14,-1558000,0.73697,-0.00599999999999999,0.00043,1e-04,8e-05,-57.7037,5.07673,0.1447,0,3e-04,0.000289999999999999,0.70213,3.12627,-0.01731,9e-05,-0.00547,-77.615,447.87335
"27","2016_Q4",14.4957142857143,"Up",63676000,-14765000,48911000,-50614000,-43519000,-7095000,-1703000,408000,408000,-1295000,-1295000,-30000,-1325000,-1325000,-1325000,-1325000,172651000,33457000,139194000,13069000,13069000,6191000,6191000,192483000,15224000,116141000,16726000,44327000,55088000,131365000,323848000,36402000,12537000,18782000,2089000,2089000,38491000,3082000,3001000,3082000,41573000,404282000,-111685000,-10322000,282275000,282275000,323848000,-1325000,2503000,6135000,1483000,8796000,-1279000,16904000,-4547000,-227000,-1892000,94000,-2119000,2130000,2130000,1363000,8e+05,0,1034000,0.76812,-0.02674,-0.02081,-0.00469,-0.00409,-0.78038,5.00073,0.14728,4.2351647362715e-22,-0.0146,-0.0146,0.70148,3.10965,0.01139,-0.00464,0.00362,-215.81375,101.3805
"28","2017_Q1",15.1524193548387,"Up",66488000,-14990000,51498000,-55184000,-48042000,-7142000,-3686000,583000,583000,-3103000,-3103000,178000,-2925000,-2925000,-2925000,-2925000,174989000,41030000,133959000,14264000,14264000,8101000,8101000,197354000,24061000,112440000,17038000,46136000,49266000,136501000,333855000,41200000,18631000,17215000,2144000,2144000,43344000,1910000,1850000,1910000,45254000,412853000,-114610000,-9642000,288601000,288601000,333855000,-2925000,2791000,5039000,1353000,6258000,-2342000,44593000,-1545000,-214000,2218000,2393000,2490000,7203000,7203000,7573000,-895000,9.09494701772928e-13,-2062000,0.77455,-0.05544,-0.04399,-0.01014,-0.00876,0.704959999999994,4.5532,0.1568,0,-0.03208,-0.03335,0.72931,3.1657,-0.02262,-0.01007,-0.0071,195.51844,47.47396
"29","2017_Q2",14.1809523809524,"Down",69098000,-16546000,52552000,-58009000,-50066000,-7943000,-5457000,2052000,2052000,-3405000,-3405000,1236000,-2169000,-2169000,-2169000,-2169000,177805000,53175000,124630000,14478000,14478000,9818000,9818000,202101000,26973000,131072000,15950000,46926000,68196000,158045000,360146000,44309000,20512000,17067000,2116000,2116000,46425000,1904000,1904000,1904000,48329000,418776000,-99135000,-7824000,311817000,311817000,360146000,-2169000,3727000,3466000,1159000,6183000,-2293000,24721000,6353000,-351000,-334000,720000,-685000,11851000,11851000,12145000,-1730000,0,-4100000,0.76054,-0.07897,-0.03139,-0.00696000000000001,-0.00602,1.89027,4.35328,0.15499,0,-0.02367,-0.02367,0.75399,3.40252,-0.04474,-0.00691000000000001,-0.01307,102.77746,32.58292
"30","2017_Q3",13.6179365079365,"Down",72483000,-17855000,54628000,-59090000,-50779000,-8311000,-4462000,463000,463000,-3999000,-3999000,3453000,-546000,-546000.000000004,-546000.000000004,-546000.000000004,167050000,34570000,132480000,15179000,15179000,11986000,11986000,194215000,29600000,134028000,14957000,47519000,71552000,163628000,357843000,46818000,20123000,21409000,2521000,2521000,49339000,1564000,1564000,1564000,50903000,413055000,-99681000,-6434000,306940000,306940000,357843000,-546000.000000004,3631000,3287000,-1381000,4991000,-1728000,17319000,-12641000,-415000,-10720000,2068000,-11135000,-18785000,-18785000,-18605000,-831000,7.27595761418343e-12,-7393000,0.75367,-0.06156,-0.00753000000000001,-0.00178,-0.00153,13.54029,3.93634,0.16584,0,-0.00595000000000004,-0.00594999999999999,0.79053,3.34762,-0.08063,-0.00177,-0.02396,201.02286,37.43837
"31","2017_Q4",13.8138095238095,"Up",75575000,-16993000,58582000,-67360000,-58833000,-8527000,-8778000,569000,569000,-8209000,-17678000,-70842000,-88520000,-88520000,-88520000,-88520000,160977000,31769000,129208000,17937000,17937000,10240000,10240000,189154000,32551000,53220000,12677000,39576000,967000,85771000,274925000,50770000,21755000,23568000,2586000,2586000,53356000,1160000,1160000,1160000,54516000,415060000,-188202000,-6449000,220409000,220409000,274925000,-88520000,3956000,88734000,4034000,8204000,-2503000,7814000,-2921000,-239000,-7780000,515000,-8019000,-2736000,-2736000,-2801000,-4822000,0,67551000,0.77515,-0.11615,-1.17129,-0.40162,-0.32198,-0.76312,3.54513,0.24734,-5.42101086242752e-20,-0.96187,-0.96187,0.82121,2.395,0.73402,-0.39951,0.30488,33.38387,18.33869
"32","2018_Q1",17.6893442622951,"Up",79344000,-19777000,59567000,-73297000,-63281000,-10016000,-13730000,609000,609000,-13121000,-13121000,-141000,-13262000,-13262000,-13262000,-13262000,152262000,31703000,120559000,16296000,16296000,10040000,10040000,178598000,35732000,62879000,11958000,40054000,10867000,98611000,277209000,53704000,23899000,23438000,2559000,2559000,56263000,2172000,2172000,2172000,58435000,425883000,-201464000,-5645000,218774000,218774000,277209000,-13262000,4403000,8038000,3484000,2663000,-2654000,39435000,1937000,-224000,3623000,3926000,3399000,7999000,7999000,8034000,-9327000,0,-8356000,0.75074,-0.17304,-0.16715,-0.06062,-0.04784,0.630069999999999,3.17434,0.2671,0,-0.14305,-0.14305,0.85586,2.35984,-0.09013,-0.06002,-0.03782,16.32486,11.08973
"33","2018_Q2",19.940625,"Up",83225000,-21360000,61865000,-77848000,-64738000,-13110000,-15983000,719000,719000,-15264000,-15264000,-91000,-15355000,-15355000,-15355000,-15355000,144460000,34557000,109903000,17725000,17725000,23837000,23837000,186022000,38100000,91429000,13610000,39651000,38168000,129529000,315551000,57884000,26900000,23054000,2838000,2838000,60722000,2987000,2987000,2987000,63709000,435964000,-176918000,-7204000,251842000,251842000,315551000,-15355000,5178000,10111000,855000,789000,-1223000,13288000,1820000,-277000,778000,1007000,501000,3110000,3110000,2854000,-10805000,0,-11082000,0.74335,-0.19205,-0.1845,-0.06097,-0.04866,0.72172,3.0635,0.25297,8.67361737988404e-19,-0.16499,-0.16499,0.89428,2.70612,-0.11908,-0.06026,-0.04349,13.36974,9.03835
"34","2018_Q3",21.797619047619,"Up",85682000,-21263000,64419000,-86406000,-72473000,-13933000,-21987000,635000,635000,-21352000,-21352000,-130000,-21482000,-21482000,-21482000,-21482000,128909000,24677000,104232000,18870000,18870000,27545000,27545000,175324000,42395000,91913000,12162000,39495000,40256000,134308000,309632000,62908000,27649000,22821000,3354000,3354000,66262000,4007000,4007000,4007000,70269000,445198000,-198400000,-7435000,239363000,239363000,309632000,-21482000,5659000,11330000,-846000,-5339000,-1655000,10781000,-2087000,-248000,-2241000,5713000,-2489000,-9915000,-9915000,-9880000,-16328000,0,-18699000,0.75184,-0.25661,-0.25072,-0.08975,-0.06938,0.87045,2.64592,0.29357,0,-0.22894,-0.22894,0.91312,2.55092,-0.19928,-0.08827,-0.07683,7.89497,5.86296
"35","2018_Q4",18.3831746031746,"Down",89912000,-22361000,67551000,-91789000,-74913000,-16876000,-24238000,579000,579000,-23659000,-23659000,-112000,-23771000,-23771000,-23771000,-23771000,114832000,28325000,86507000,19068000,19068000,27609000,27609000,161509000,47744000,94773000,13273000,39442000,42058000,142517000,304026000,67712000,28318000,24920000,3523000,3523000,71235000,5063000,5063000,5062999.99999999,76298000,457983000,-222170000,-8085000,227728000,227728000,304026000,-23771000,6630000,13734000,1284000,-2123000,-2900000,-3054000,4931000,-246000,1204000,652000,958000,3766000,3766000,3648000,-17608000,0,-19112000,0.7513,-0.26957,-0.26438,-0.10438,-0.07819,0.804,2.26727,0.33504,-1.38777878078145e-17,-0.24922,-0.24922,0.94266,2.38756,-0.20038,-0.10211,-0.0821,6.52158,4.73768
"36","2019_Q1",19.5408196721311,"Up",93767000,-64988000,28779000,-56204000,-38060000,-18144000,-27425000,-470000,-470000,-27895000,-27895000,-236000,-28131000,-28131000,-28131000,-28131000,346482000,276583000,69899000,20181000,20181000,30728000,30728000,397391000,52835000,96132000,11680000,39694000,44758000,148967000,546358000,71369000,32280000,25227000,3336000,3336000,74705000,6228000,6228000,222263000,296968000,507045000,-250302000,-7353000,249390000,249390000,546358000,-28131000,-2544000,40735000,-18255000,-8195000,-3318000,-46637000,6208000,279354000,12461000,4830000,250268000,248281000,248281000,248258000,-29969000,216035000,-51306000,0.30692,-0.29248,-0.30001,-0.1128,-0.05149,1.82382,5.31947,1.19078,0.39541,-0.29348,-0.29348,0.97824,2.6018,-0.53526,-0.05964,-0.10878,4.35273,4.7565
"37","2019_Q2",23.2719047619048,"Up",96675000,-37691000,58984000,-91537000,-73206000,-18331000,-32553000,-1564000,-1564000,-34117000,-34117000,-148000,-34265000,-34265000,-34265000,-34265000,296511000,269025000,27486000,23361000,23361000,37256000,37256000,357128000,57717000,121981000,10125000,39403000,72453000,201365000,558493000,77683000,32723000,33358000,11151000,4088000,88834000,20304000,20304000,239512000,328346000,522598000,-284567000,-7884000,230147000,230147000,558493000,-34265000,7654000,23044000,-16942000,-20509000,-1984000,-3138000,11171000,-130000,1497000,1520000,1367000,-7971000,-7971000,-7558000,-24899000,219208000,-43677000,0.61013,-0.33673,-0.35443,-0.14888,-0.06135,1.27468,4.02017,1.42668,0.3925,-0.35534,-0.35534,1.00255,2.3867,-0.45294,-0.07296,-0.093,3.10466,2.37468
"38","2019_Q3",24.225,"Up",109517000,-49697000,59820000,-97764000,-78330000,-19434000,-37944000,-2732000,-2732000,-40676000,-40676000,-256000,-40932000,-40932000,-40932000,-40932000,191543000,162219000,29324000,30743000,30743000,44834000,44834000,267120000,64776000,314266000,28410000,131879000,153977000,399490000,666610000,99485000,42134000,45176000,9562000,4270000,109047000,96254000,96254000,318686000,427733000,575516000,-325499000,-11140000,238877000,238877000,666610000,-40932000,9014000,30237000,-22325000,-24006000,-5154000,-30758000,-71095000,-96999.9999999702,-789000.000000002,4614000,-886000,-95987000,-95987000,-95889000,-28930000,222432000,-56153000,0.54622,-0.34647,-0.37375,-0.17135,-0.0614,1.37186,2.44959,1.7906,0.33368,-0.41647,-0.41647,1.1143,2.4305,-0.57134,-0.07341,-0.10071,-1.06772,-0.81407
"39","2019_Q4",19.29984375,"Down",118567000,-56219000,62348000,-105516000,-85646000,-19870000,-43168000,-3623000,-3623000,-46791000,-46791000,-280000,-47071000,-47071000,-47071000,-47071000,215077000,184794000,30283000,37384000,37384000,49920000,49920000,302381000,89776000,320216000,26455000,1.31e+08,162761000,430118000,732499000,110100000,50334000,48096000,11536000,7216000,121636000,103908000,103908000,391372000,513008000,598626000,-372570000,-6565000,219491000,219491000,732499000,-47071000,-3718000,47426000,-14958000,-18321000,-15715000,27307000,-24912000,74820000,6327000,901000,65361000,22128000,22128000,22575000,-46886000,287464000,-77279000,0.52585,-0.36408,-0.397,-0.21446,-0.06426,1.64175,2.48595,2.33726,0.39244,-0.45908,-0.45908,1.15637,2.14067,-0.75369,-0.07706,-0.12651,-1.54389,-1.67687
"40","2020_Q1",18.2275806451613,"Down",121478000,-57621000,63857000,-110011000,-89856000,-20155000,-46154000,-3798000,-3798000,-49952000,-49952000,-148000,-50100000,-50100000,-50100000,-50100000,170852000,137394000,33458000,37811000,37811000,68499000,68499000,277162000,94382000,313014000,24001000,128300000,160713000,423479000,700641000,100194000,40261000,59933000,23231000,7105000,123425000,94948000,94948000,386485000,509910000,625577000,-422670000,-12176000,190731000,190731000,700641000,-50100000,5252000,44754000,-30975000,-31069000,-12981000,-24984000,-21458000,-990000,7295000,7295000,6253000,-46274000,-46274000,-47400000,-40902000,291537000,-84710000,0.52567,-0.37994,-0.41242,-0.26267,-0.07151,1.69082,2.24559,2.67345,0.4161,-0.48759,-0.48759,1.18227,1.85626,-0.82443,-0.0868,-0.14676,-2.95059,-2.61483
"41","2020_Q2",15.8890476190476,"Down",121807000,-52133000,69674000,-107434000,-85940000,-21494000,-37760000,-3925000,-3925000,-41685000,-41685000,-228000,-41913000,-41913000,-41913000,-41913000,157270000,116690000,40580000,40572000,40572000,69959000,69959000,267801000,96112000,314215000,21773000,128980000,163462000,420292000,688093000,103199000,39342000,54637000,18341000,8352000,121540000,92025000,92025000,387687000,509227000,657118000,-467383000,-10869000,178866000,178866000,688093000,-41913000,5051000,45354000,-17742000,-9250000,-2453000,-8866000,-11900000,-22656587.280502,2000,2000,-134000,-21284000,-21284000,-20704000,-32709000,295662000,-52676000,0.572,-0.31,-0.34409,-0.23433,-0.06091,1.25679,2.2034,2.84697,0.42968,-0.40454,-0.40454,1.17566,1.72639,-0.50842,-0.07398,-0.09298,-4.23101,-3.66504
"42","2020_Q3",16.08046875,"Up",129133000,-56496000,72637000,-105735000,-84168000,-21567000,-33098000,-5178000,-5178000,-38276000,-38276000,-137000,-38413000,-38413000,-38413000,-38413000,153229000,121848000,31381000,42971000,42971000,72339000,72339000,268539000,96185000,316339000,19959000,130152000,166228000,418705000,687244000,97463000,35278000,50611000,18950000,9452000,116413000,96519000,96519000,396372000,512785000,688222000,-505796000,-7967000,174459000,174459000,687244000,-38413000,4694000,47767000,-17866000,-3818000,-1718000,-7292000,434000,-70000,4708000,4708000,4705000,1321000,1321000,1699000,-28404000,299853000,-47851000,0.5625,-0.25631,-0.29747,-0.22018,-0.05589,1.2457,2.30678,2.93929,0.43631,-0.36715,-0.36715,1.23425,1.66747,-0.45736,-0.06729,-0.08383,-5.16209,-4.43
"43","2020_Q4",21.44109375,"Up",136685000,-60408000,76277000,-111532000,-87830000,-23702000,-35255000,-4669000,-4669000,-39924000,-39924000,-301000,-40225000,-40225000,-40225000,-40225000,148615000,106877000,41738000,50404000,50404000,75245000,75245000,274264000,94480000,320189000,18426000,132067000,169696000,418547000,692811000,97048000,32337000,50412000,30706000,18015000,127754000,93543000,93543000,397654000,525408000,716927000,-546021000,-3503000,167403000,167403000,692811000,-40225000,4374000,50390000,-16336000,-1797000,-804000,-6700000,-15676000,-4000,1348000,1348000,1344000,-16129000,-16129000,-14971000,-30881000,304111000,-47720000,0.55805,-0.25793,-0.29429,-0.24029,-0.05806,1.18633,2.14681,3.13858,0.43895,-0.37716,-0.37716,1.28161,1.56963,-0.44744,-0.07119,-0.08445,-5.03533,-4.41061
"44","2021_Q1",34.5845901639344,"Up",144719000,-61113000,83606000,-123642000,-98371000,-25271000,-40036000,-4821000,-4821000,-44857000,-44857000,-177000,-45034000,-45034000,-45034000,-45034000,152868000,112531000,40337000,51150000,51150000,72515000,72515000,276533000,93076000,308800000,17130000,131520000,160150000,401876000,678409000,75570000,31236000,44334000,45808000,20737000,121378000,88092000,85093000,396527000,517905000,755752000,-591055000,-4193000,160504000,160504000,678409000,-45034000,4064000,56978000,-15209000,799000,-1455000,-5958000,-9179000,-4000,7281000,7281000,7277000,-1103000,-1103000,-1263000,-35972000,308435000,-52459000,0.57771,-0.27665,-0.31118,-0.28058,-0.06638,1.16488,2.27828,3.22674,0.45464,-0.4173,-0.4173,1.34102,1.48729,-0.48611,-0.08085,-0.09418,-4.32467,-3.88568
"45","2021_Q2",28.3574603174603,"Down",148327000,-59756000,88571000,-127398000,-102006000,-25392000,-38827000,-4823000,-4823000,-43650000,-43650000,-256000,-43906000,-43906000,-43906000,-43906000,140519000,109288000,31231000,49755000,49755000,75956000,75956000,266230000,90776000,305940000,15845000,131599000,158496000,409428000,675658000,75104000,33233000,41871000,46098000,21985000,121202000,84832000,84832000,397660000,518862000,795700000,-634961000,-3943000,156796000,156796000,675658000,-43906000,4207000,61023000,-17292000,4032000,-878000,-6546000,-11146000,-4000,3538000,3538000,3435000,-3679000,-3679000,-3243000,-34620000,312828000,-52534000,0.59713,-0.26177,-0.29601,-0.28002,-0.06498,1.19651,2.19658,3.30915,0.463,-0.41538,-0.41538,1.40328,1.48341,-0.49701,-0.07919,-0.09475,-4.97715,-4.43787
"46","2021_Q3",25.048125,"Down",151557000,-59467000,92090000,-129247000,-100749000,-28498000,-37157000,-4934000,-4934000,-42091000,-42091000,-233000,-42324000,-42324000,-42324000,-42324000,147596000,102989000,44607000,51178000,51178000,74101000,74101000,272875000,86860000,302862000,14580000,130869000,157413000,399967000,672842000,73242000,29618000,43624000,47698000,22362000,120940000,82060000,82060000,399351000,520291000,835943000,-677285000,-6107000,152551000,152551000,672842000,-42324000,4115000,60117000,-16809000,5099000,-1480000,-5067000,-17608000,-3999.99999999255,6790000,6790000,6757000,-5752000.00000001,-5752000.00000001,-6298999.99999999,-33042000,317291000,-51098000,0.60763,-0.24517,-0.27926,-0.27744,-0.0629,1.20731,2.25628,3.4106,0.47157,-0.37647,-0.37647,1.34811,1.35695,-0.45452,-0.07669,-0.09259,-5.13574,-4.56697
"47","2021_Q4",20.96640625,"Down",156874000,-59834000,97040000,-134658000,-106747000,-27911000,-37618000,-5866000,-5866000,-43484000,-43484000,-87000,-43571000,-43571000,-43571000,-43571000,244903000,200352000,44551000,48442000,48442000,75052000,75052000,368397000,81610000,298901000,13501000,131186000,154214000,387444000,755841000,70610000,24727000,45883000,50881000,23550000,121491000,76189000,76189000,517177000,638668000,843304000,-720856000,-5275000,117173000,117173000,755841000,-43571000,3796000,58585000,-9787000,9023000,-557000,-3969000,-1368000,134628000,-44667000,309000,89767000,97422000,97422000,97363000,-33822000,440988000,-44079000,0.61859,-0.2398,-0.27775,-0.37185,-0.05765,1.01166,3.0323,5.45064,0.58344,-0.38757,-0.38757,1.3954,1.04226,-0.39209,-0.06869,-0.06949,-5.79756,-5.21253
"48","2022_Q1",13.8554838709677,"Down",181372000,-68501000,112871000,-153410000,-122824000,-30586000,-40539000,-6006000,-6006000,-46545000,-46545000,963000,-45582000,-45582000,-45582000,-45582000,136050000,91205000,44845000,57400000,57400000,82172000,82172000,275622000,79016000,552959000,128213000,266867000,157879000,634646000,910268000,109207000,49721000,59486000,82320000,34262000,191527000,88923000,77493000,536375000,727902000,956717000,-766438000,-7913000,182366000,182366000,910268000,-45582000,7573000,56756000,-2221000,16526000,-1222000,-4788000,-129856000,-16000,5469999.99999999,-39506000,5466000,-107864000,-107864000,-108279000,-32966000,447452000,-37372000,0.62232,-0.22351,-0.25132,-0.24995,-0.05008,0.81989,1.43908,3.99143,0.49156,-0.40212,-0.40212,1.60005,1.60882,-0.32969,-0.06342,-0.052,-9.44616,-7.68154
"49","2022_Q2",8.37241935483871,"Down",187620000,-66673000,120947000,-147701000,-112746000,-34955000,-26754000,1116000,1116000,-25638000,-25638000,-405000,-26043000,-26043000,-26043000,-26043000,141631000,92686000,48945000,55441000,55441000,75645000,75645000,272717000,73876000,542554000,122737000,265029000,154788000,616430000,889147000,95064000,42584000,52480000,80352000,34064000,175416000,85765000,74742000,580209000,755625000,895722000,-745809000,-16391000,133522000,133522000,889147000,-26043000,8265000,48047000,-24428000,5841000,-971000,-2309000,-5841000,-138587629.182996,65000,65000,65000,65000,65000,-6620000,-18489000,494444000,-43483000,0.64464,-0.1426,-0.13881,-0.19505,-0.02929,1.66966,1.55469,5.65918,0.55609,-0.21753,-0.21753,1.56714,1.11528,-0.3632,-0.03649,-0.06092,-19.08232,-13.1873
"50","2022_Q3",4.78359375,"Down",187389000,-62038000,125351000,-150341000,-114322000,-36019000,-24990000,13950000,13950000,-11040000,-11040000,-599000,-11639000,-11639000,-11639000,-11639000,130923000,100512000,30411000,58345000,58345000,74398000,74398000,263666000,68717000,523558000,117490000,262393000,143675000,592275000,855941000,93898000,43844000,50054000,75087000,30860000,168985000,85443000,74978000,602174000,771159000,867174000,-757448000,-24944000,84782000,84782000,855941000,-11639000,8082000,29260000,-11862000,13841000,-874000,-2019000,15686000,42308000,-58566000,1648000,-16258000,13269000,13269000,7747000,-16908000,516731000,-29045000,0.66893,-0.13336,-0.06211,-0.13728,-0.0136,2.49549,1.56029,9.09579,0.6037,-0.10032,-0.10032,1.61524,0.7308,-0.25036,-0.01694,-0.04228,-22.81807,-15.4385
