"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2013_Q4",31.17984375,"Up",223698000,-61593000,162105000,-62139000,-59965000,-1789000,-385000,99966000,2431000,281000,2155000,-5000,102397000,102397000,-1255000,101142000,101142000,-96915000,4227000,4227000,915562385.852156,843910686.548509,72453800.5095779,72453800.5095779,18001684.5633819,11959266.340605,-13797466.702949,9727903.26668558,1017977137.26572,113209337.704588,994089070.841184,-6439684.01241706,5187168.25046127,916307044.414421,79034455.2051363,1522372690.21959,2540349827.48531,273012629.576981,60422174.1171778,212590455.459803,-304895634.071888,296087529.524924,22823900.6292624,273263628.893867,264204525.030016,-43629563.9763538,613661571.910144,18811657.9778121,594849895.676281,570032007.93379,834236532.963807,-58676772.2280111,1707333618.54947,1706113294.5215,2540349827.48531,101142000,7174000,2927000,-10019000,101224000,-8864000,-8864000,-8864000,1992000,-131707000,-9944000,-2301242536.34465,-141651000,-38435000,-38435000,-38435000,107140000,0,89512000,0.72466,0.44688,0.0189,-26.6408637481948,-15.4248726648817,21.17625,5.60324774633533,-0.579698464843347,-0.829861223184142,0.74171,0.74171,39.25215,19.0180564677034,15.70662,23.11055,-21.248332539166,0.723623812713556,31.1585,-14.7640068490265,-16.7105622904927
"2","2014_Q1",33.1488524590164,"Up",240601000,-63412000,177189000,-73124000,-71168000,-1571000,-385000,104065000,3219000,366000,3636000,-783000,107284000,107284000,-3788000,103496000,103496000,-104293000,-797000,-797000.000000238,255619000,198296000,60600000,60600000,12741000,37081000,27028000,1650000,366041000,115587000,117288000,4292000,61410000,15077000,36509000,232875000,598916000,102030000,21788000,80242000,12149000,30969000,18880000,12089000,145148000,22468000,45897000,24081000,21816000,68365000,213513000,29223000,387157000,385403000,598916000,103496000,8268000,-387000,4147000,115524000,-14528000,-14528000,-14528000,-17531000,-14140000,-8386000,5054000,-16947000,81046000,81046000,81046000,112333000,34617000,105740000,0.73644,0.43252,-0.0033099999999994,-0.00207,-0.00133,-132.67252,2.52185,0.554,0.0578,-0.140590000000008,-0.140589999999994,42.44152,68.2937,18.65232,2.49427,0.02864,0.22695,-17.74153,-1.96738,-2.12369
"3","2014_Q2",28.3403174603175,"Down",240576000,-67526000,173050000,-64096000,-62643000,-852000,-601000,108954000,4338000,220000,4114000,4000,113292000,113292000,-764000,112528000,112528000,-113004000,-476000,-476000,132851000,75351000,61968000,61968000,13029000,43055000,34576000,788000,250903000,119538000,140626000,9262000,84626000,13328000,33410000,270937000,521840000,64759000,16899000,47860000,67438000,24979000,17492000,7487000,157176000,31801000,48881000,27653000,21228000,80682000,237858000,28559000,285946000,283982000,521840000,112528000,8957000,-1306000,-53387000,66792000,-12299000,-12299000,-12299000,-41216000,-208324000,62325000,-2822000.00000012,-148521000,-122945000,-122945000,-122945000,117911000,99239000,52989000,0.71932,0.45289,-0.00198,-0.00168000000000055,-0.000909999999999025,-111.32143,1.59632,0.83758,0.19017,-0.08459,-0.08459,42.75387,50.81678,9.41692,37.02221,0.481019999999998,0.12263,-437.65546,-0.28506,-0.3085
"4","2014_Q3",28.33625,"Down",208909000,-72737000,136172000,-74923000,-73126000,-1042000,-755000,61249000,4512000,21000,4491000,0,65761000,65761000,-14284000,51477000,51477000,-45073000,6404000,-3713408000,233861000,158059000,68688000,68688000,16116000,39413000,27232000,2212000,358078000,124096000,438636000,10672000,90285000,293916000,43763000,737556000,1095634000,86612000,24062000,62550000,20432000,104996000,18150000,86846000,212040000,19757000,230210000,29605000,200605000,249967000,462007000,324000,635434000,633627000,1095634000,51477000,9955000,2180000,68114000,131726000,-13720000,-13720000,-13720000,-207860000,-72645000,-59051000,-531133000,158842000,82708000,82708000,82708000,71204000,40189000,139882000,0.65182,0.29319,-17.77524,-5.86056,-3.38928,-0.0376700000000056,1.68873,0.72915,0.03668,-114.69986,-114.69986,6.45279,19.62731,4.32068,2.24385999999999,-4.02728,0.15473,-0.0195599999999558,-2.71996,-3.16204
"5","2014_Q4",30.838125,"Up",225598000,-81124000,144474000,-74949000,-73327000,-820000,-802000,69525000,4018000,4e+05,3566000,52000,73543000,111393000,-9413000,101980000,101980000,-88455000,13525000,509239000,267660000,152040000,72311000,72311000,19280000,35754000,22974000,1446000,395005000,128523000,436624000,9870000,90285000,292303000,44166000,804866000,1199871000,97725000,23813000,73912000,18968000,111023000,19581000,91442000,227716000,18790000,231237000,30318000,200919000,250027000,477743000,324000,723405000,722128000,1199871000,101980000,10198000,-35197000,13192000,90173000,-13823000,-13823000,-13823000,-76356000,-17419000,-2395000,-22000,-19836000,-6019000,-6019000,-6019000,79723000,37758000,88505000,0.6404,0.30818,2.25729,0.705189999999999,0.42441,0.1738,1.73464,0.66158,0.03147,15.8247,15.8247,7.0105,22.47996,2.75031,0.5413,0.53138,0.0893,0.03421,-2.88376,-3.30675
"6","2015_Q1",32.9908196721311,"Up",235466000,-86238000,149228000,-86904000,-85325000,-675000,-904000,62324000,7034000,378000,4805000,1851000,69358000,69880000,-3248000,66632000,66632000,-57753000,8879000,491389000,291606000,131786000,67577000,67577000,20823000,42050000,31175000,1228000,422056000,134551000,441250000,10855000,94451000,286936000,49008000,824600000,1246656000,100256000,28007000,72249000,17696000,105930000,15694000,90236000,223882000,16051000,232360000,32872000,199488000,248411000,472293000,324000,775168000,774363000,1246656000,66632000,10713000,16279000,-14193000,79431000,-15898000,-15898000,-15898000,-71671000,-21299000,-6687000,-28000,-28014000,-20254000,-20254000,-20254000,73037000,33747000,46194000,0.63376,0.26468,2.08688,0.63457,0.39417,0.0940099999999973,1.88517,0.60991,0.02707,15.18977,15.18977,7.2787,23.96192,1.42794,0.65839,0.49275,0.0444,0.043339999999999,-3.53053,-4.13739
"7","2015_Q2",35.5007936507937,"Up",229308000,-90021000,139287000,-73142000,-71166000,-1073000,-903000,66145000,4553000,191000,4866000,-504000,70698000,70698000,-5811000,64887000,64887000,-55614000,9273000,-373384000,268638000,94522000,81027000,81027000,22480000,54468000,44596000,1416000,426613000,139277000,587476000,45966000,214625000,277960000,48925000,856332000,1282945000,80625000,25993000,54632000,17872000,112678000,23932000,88746000,211175000,17227000,231561000,33098000,198463000,248788000,459963000,324000,822989000,822982000,1282945000,64887000,11211000,7651000,-37876000,45873000,-14360000,-14360000,-14360000,-60588000,-22408000,-122000,-19000,-22549000,-37264000,-37264000,-37264000,77356000,35099000,30931000,0.60742,0.28845,-1.62831,-0.4537,-0.29104,-0.08284,2.02019,0.5589,0.02736,-11.53274,-11.53274,7.08265,25.41972,0.95537,0.69212,-0.3221,0.02839,-0.06001,-3.01902,-3.53071
"8","2015_Q3",34.0478125,"Down",249445000,-94532000,154913000,-89248000,-85391000,-716000,-3141000,65665000,4413000,122000,4749000,-458000,70078000,70078000,-4270000,65808000,65808000,-56537000,9271000,-32979000.0000001,347389000,129616000,86787000,86787000,27677000,47784000,34358000,1559000,509637000,145430000,655152000,43761000,214506000,346534000,50351000,922733000,1432370000,97427000,29019000,68408000,18621000,124009000,30442000,93567000,240057000,15960000,286101000,34857000,251244000,302061000,542118000,371000,889473000,890252000,1432370000,65808000,14403000,-281000,27912000,107842000,-18051000,-18051000,-18051000,-50229000,-22691000,-262000,-12000,-22519000,35094000,35094000,35094000,80068000,34581000,94199000,0.62103,0.26324,-0.13221,-0.03704,-0.02302,-2.85633,2.12298,0.60895,0.02414,-0.927570000000001,-0.927569999999998,7.01595,25.01752,2.64946,0.63821,-0.0085,0.07779,-0.688039999999998,-3.90678,-4.76369
"9","2015_Q4",32.89671875,"Down",261723000,-102815000,158908000,-89997000,-86847000,-596000,-2554000,68911000,6144000,204000,5197000,743000,75055000,74055000,-2026000,72029000,72029000,-59820000,12209000,-374853000,348388000,155636000,101165000,101165000,29858000,45806000,32039000,712000,525217000,152972000,655400000,41209000,213849000,348564000,51778000,963316000,1488533000,116679000,30514000,86165000,4393000,125407000,32274000,93133000,246479000,15970000,290148000,36031000,254117000,306118000,552597000,374000,935936000,935936000,1488533000,72029000,14091000,1499000,14241000,101860000,-18653000,-18653000,-18653000,-38340000,-23701000,-14370000,-59000,-37500000,26020000,26020000,26020000,83002000,20363000,80616000,0.60716,0.2633,-1.43225,-0.40051,-0.25183,-0.21506,2.13088,0.59042,0.01368,-10.05831,-10.05831,7.02273,25.11366,2.16314,0.63596,-0.28172,0.06468,-0.06323,-3.95201,-4.76013
"10","2016_Q1",30.7647540983607,"Down",266553000,-109542000,157011000,-91690000,-88600000,-552000,-2538000,65321000,5218000,349000,6473000,-1604000,70539000,56296000,-24235000,32061000,32061000,-24071000,7990000,-84075999.9999999,387189000,146522000,99120000,99120000,33058000,25797000,22353000,3444000,545164000,147625000,662657000,38669000,215645000,353723000,54620000,985027000,1530191000,129961000,37634000,92327000,2256000,137414000,39824000,97590000,269631000,15679000,283151000,37483000,245668000,298830000,568461000,377000,961730000,961730000,1530191000,32061000,14617000,35392000,26413000,108483000,-19670000,-19670000,-19670000,-82716000,-23412000,-357000.000000007,-11544000,-34881000,-9114000,-9114000,-9114000,79938000,17935000,110916000,0.58904,0.24506,-0.31542,-0.08742,-0.05494,-1.31923,2.02189,0.59108,0.01172,-2.24047,-2.24047,7.10316,25.62836,2.95571,0.62389,-0.04804,0.08783,-0.27846,-4.61925,-5.65291
