"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",60.177868852459,"Up",501647000,-288587000,213060000,-145167000,-130992000,-14175000,67893000,-4612000,-4735000,123000,63281000,381000,63662000,-22263000,41399000,41399000,0,41399000,41399000,167689000,167689000,325289000,325289000,160818000,66636000,35007000,720432000,493053000,883806000,860645000,23161000,1376859000,2097291000,283331000,99340000,7154000,176837000,283331000,621075000,119239000,71905000,47334000,740314000,1023645000,264853000,1193791000,-66669000,1071632000,2014000,1073646000,2097291000,41399000,22101000,-7991000,25321000,80830000,-28481000,17000,-28498000,-11970000,-40451000,-13723000,12570000,-1548000,-10577000,-5627000,-8328000,32051000,32051000,-8874000,23177000,89994000,621075000,109097000,0.42472,0.13534,0.08253,0.03856,0.01974,2.63526,2.54272,0.95343,0.29613,0.6968,0.68947,8.44339,18.037,1.83625,0.23098,0.03039,0.06014,0.33148,5.03796,6.67795
"2","2015_Q2",61.7065079365079,"Up",439902000,-255812000,184090000,-140600000,-126835000,-13765000,43490000,-5638000,-6120000,482000,37852000,726000,38578000,-14267000,24311000,24311000,-20000,24291000,24291000,175705721.282893,175705721.282893,328360222.384375,328360222.384375,223605871.207261,111838217.504862,36822358.4249843,839510032.379391,807867853.379489,2378648972.71632,2364435670.2075,14271653.4963615,3186516826.09581,4026026858.4752,241179898.539975,64969458.5856228,-16565780.7143507,192776220.668703,241179899.083051,1330499682.47858,292302664.003613,223066741.822244,69235922.1813686,1622802346.48219,1863982245.56524,782822142.026137,1596873793.76798,-94595894.3641883,2157771685.45867,4272927.45128855,2162044612.90995,4026026858.4752,24311000,22353000,-14971000,9460000,41153000,-23490000,28000,-23518000,-44310000,-67800000,-13758000,-283250000,345308000,-9573000,1932000,50232000,23585000,23585000,4919000,28504000,65843000,0,66080000,0.41848,0.09886,0.05522,-0.000776980860078991,-0.00135196081549167,2.72035,3.14379020916845,0.883457634689429,0.322001420116621,0.40642,0.40293,7.36016,35.3027523181366,1.10561,0.23019,0.00185891531753288,-0.0219235260009115,0.56638,22.2105261999594,48.6348258100383
"3","2015_Q3",60.690625,"Down",489897000,-280576000,209321000,-186714000,-172459000,-14255000,22607000,-7258000,-7485000,227000,15349000,56000,15405000,-7154000,8251000,8251000,436000,8687000,8687000,201334921.282893,201334921.282893,378566022.384375,378566022.384375,229827471.207261,110737517.504862,45210358.4249843,920465932.379391,980970253.379489,3109977172.71632,3094503970.2075,15531553.4963615,4090947426.09581,5011413358.4752,284591598.539975,80302858.5856228,-14846880.7143506,219135620.668703,284591599.083051,1617707582.47858,359414364.003613,278720841.822244,80693522.1813686,1977121946.48219,2261713545.56524,1347015742.02614,1516081193.76798,-91531094.3641883,2740344885.45867,9354927.45128855,2749699812.90995,5011413358.4752,8251000,23745000,33880000,-27557000,38319000,-16400000,10000,-16410000,-176530000,-192930000,-14982000,143500000,-171000,-3401000,318000,128665000,-25946000,-25946000,-8060000,-34006000,46352000,0,9549000,0.42728,0.04615,0.01773,-0.00602098086007899,-0.00370196081549167,1.09923,3.06850720916845,0.829827634689428,0.321146420116621,0.14503,0.1439,8.17899,40.4263113181366,0.15942,0.25013,-0.00208408468246711,-0.0272935260009115,1.72465,22.9747151999594,49.7060338100383
"4","2015_Q4",66.681875,"Up",618688000,-380507000,238181000,-191653000,-177319000,-14334000,46528000,-17300000,-17707000,407000,29228000,194000,29422000,-8268000,21154000,21154000,-1109000,20045000,20045000,231360000,231360000,440858000,440858000,208306000,85184000,54822000,965708000,1053132000,3331443000,3309177000,22266000,4384575000,5350283000,359970000,116336000,2.98023223876953e-08,243634000,359970000,1639461000,361029000,276336000,84693000,2000490000,2360460000,1846700000,1203086000,-74422000,2975379000,14444000,2989823000,5350283000,21154000,44827000,-11597000,-29237000,25147000,-41827000,362000,-42189000,-383842000,-425669000,-14988000,488420000,2226000,-1095000,-1435000,474223000,73701000,73701000,-4528000,69173000,91355000,1639461000,28559000,0.38498,0.0752,0.0324,0.00669999999999998,0.00375,1.42474,2.68275,0.7895,0.30643,0.25958,0.25794,8.01191,38.5305,0.36983,0.19409,0.00702,0.00571999999999999,0.74772,15.41351,30.26352
"5","2016_Q1",62.5949180327869,"Down",690277000,-426388000,263889000,-164407000,-150097000,-14310000,99482000,-10847000,-11396000,549000,88635000,-156000,88479000,-30610000,57869000,57869000,-129000,57740000,57740000,248841000,248841000,471523000,471523000,192792000,59369000,59369000,972525000,1064319000,3309572000,3279942000,29630000,4373891000,5346416000,400606000,139572000,13683000,247351000,400606000,1567796000,339122000,254824000,84298000,1906918000,2307524000,2151719000,939459000,-68159000,3023034000,15858000,3038892000,5346416000,57869000,52815000,12572000,26800000,150056000,-43846000,444000,-44290000,661000,-43185000,-21475000,-71786000,133000,-3e+05,297000,-92831000,14040000,14040000,3441000,17481000,152297000,1567796000,165861000,0.38229,0.14412,0.08365,0.019,0.0108,2.87255,2.42763,0.75933,0.29324,0.67213,0.66853,8.03526,35.18985,1.93073,0.24998,0.01602,0.03354,0.37193,8.66041,13.25823
"6","2016_Q2",65.039375,"Up",638378000,-398388000,239990000,-166314000,-151886000,-14428000,73676000,-10578000,-11071000,493000,63098000,-154000,62944000,-14234000,48710000,48710000,-309000,48401000,48401000,242423000,242423000,439845000,439845000,209645000,53972000,53972000,945885000,1055706000,3291580000,3258546000,33034000,4347286000,5293171000,359460000,123253000,14882000,221325000,359460000,1551838000,333388000,250932000,82456000,1885226000,2244686000,2161050000,961924000,-85718000,3037271000,11214000,3048485000,5293171000,48710000,53784000,-12411000,-9766999.99999999,80316000,-30831000,4526000,-35357000,-249999.99999997,-35645000,-21538000,-16079000,609000,-5171000,-6e+06,-43008000,1663000,1663000,-8081000,-6418000,127460000,1551838000,101096000,0.37594,0.11541,0.07582,0.01588,0.00914,2.08872,2.63141,0.73633,0.29318,0.56255,0.55943,7.41972,35.30133,1.17502,0.25033,0.01418,0.02049,0.44499,10.27314,17.77261
"7","2016_Q3",65.85078125,"Up",646415000,-398507000,247908000,-178297000,-163680000,-14617000,69611000,-10639000,-10924000,285000,58972000,-48000,58924000,-18721000,40203000,40203000,214000,40417000,40417000,254351000,254351000,441294000,441294000,209935000,50616000,50616000,956196000,1039783000,3214646000,3181463000,33183000,4254429000,5210625000,370346000,116350000,16278000,237718000,370346000,1504192000,326524000,247713000,78811000,1830716000,2201062000,2112834000,979711000,-94028000,2998532000,11031000,3009563000,5210625000,40203000,50077000,38148000,-20243000,108185000,-38272000,237000,-38509000,66964000,26900000,-24047000,-41567000,-52988000,-54724000,0,-118602000,16483000,16483000,-4555000,11928000,119688000,1504192000,79894000,0.38351,0.10769,0.06252,0.01343,0.00776,1.97674,2.5819,0.73136,0.28868,0.47078,0.46815,7.5295,34.92699,0.93061,0.2801,0.01332,0.01651,0.59497,10.44249,17.95465
"8","2016_Q4",63.4955555555556,"Down",646774000,-389165000,257609000,-173351000,-158760000,-14591000,84258000,-10441000,-10980000,539000,73817000,-58374000,15443000,-19790000,-4347000.00000001,-4347000.00000001,-649000,-4996000,-4996000,264857000,264857000,443661000,443661000,209714000,52109000,52109000,970341000,939590000,2977015000,2941933000,35082000,3916605000,4886946000,350053000,122469000,0,227584000,350053000,1507039000,259744000,186536000,73208000,1766783000,2116836000,2082921000,950300000,-274558000,2758678000,11432000,2770110000,4886946000,-4347000.00000001,31384000,110294000,-36427000,100904000,-38337000,22000,-38359000,4219000,-34118000,-23826000,11767000,-34566000,-35293000,-352000,-46977000,19809000,19809000,-9303000,10506000,115642000,1507039000,60668000,0.3983,0.13027,-0.00772,-0.0018,-0.00102,-12.14331,2.77198,0.76417,0.30838,-0.05873,-0.05842,7.60249,32.42663,0.71312,0.28006,0.00415,0.01337,-4.76902,10.74162,14.7426
"9","2017_Q1",65.0395161290323,"Up",681189000,-400483000,280706000,-223474000,-207713000,-15761000,57232000,-9902000,-11545000,1643000,47330000,5000,47335000,-21270000,26065000,26065000,78000,26143000,26143000,282918000,282918000,483451000,483451000,197837000,53596000,53596000,1017802000,915908000,2990745000,2956190000,34555000,3906653000,4924455000,381583000,133479000,14640000,233464000,381583000,1478361000,254478000,171805000,82673000,1732839000,2114422000,2085134000,954155000,-240702000,2798602000,11431000,2810033000,4924455000,26065000,52897000,46485000,9234000,134681000,-60615000,61000,-60676000,-777000,-61392000,-23782000,-323234000,288121000,-2321000,383000,-58512000,14777000,14777000,3284000,18061000,110129000,1478361000,80018000,0.41208,0.08402,0.03838,0.0093,0.00531,3.06078,2.66731,0.75245,0.30021,0.30782,0.30399,8.02069,32.95208,0.94218,0.28002,0.01099,0.01761,0.90969,10.85493,20.88767
"10","2017_Q2",71.6930158730159,"Up",607964000,-352198000,255766000,-170340000,-156336000,-14004000,85426000,-11121000,-12466000,1345000,74305000,-50999.9999999925,74254000,-16039000,58215000,58215000,-138000,58077000,58077000,294840000,294840000,455627000,455627000,217434000,62082000,62082000,1029983000,942023000,3084141000,3048431000,35710000,4026164000,5056147000,353623000,125553000,22347000,205723000,353623000,1496467000,266602000,175518000,91084000,1763069000,2116692000,2086647000,988581000,-147577000,2927666000,11789000,2939455000,5056147000,58215000,43651000,2165000,-23378000,80653000,-36483000,8999.99999999988,-36492000,-18399000,-54882000,-23858000,6130999.99999988,-2607000,-8451000,-1920000,-22254000,3517000,3517000,8405000,11922000,129077000,1496467000,85255000,0.42069,0.14051,0.09553,0.01976,0.01149,1.46796,2.91266,0.7201,0.29597,0.68254,0.67752,7.14495,34.40652,1.00194,0.28039,0.01742,0.01813,0.4108,9.30938,14.06629
