"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",35.4404761904762,"Up",580270000,-415799000,164471000,-81249000,-66530000,-14719000,83222000,-4926000,-5936000,1010000,78296000,71338000,-16700000,10276000,64914000,64914000,-1606000,63308000,63308000,465023676.045306,465023676.045306,349203305.073711,349203305.073711,212636709.389474,101486771.97855,101486769.207802,1128350462.48704,827633655.298791,2126749376.32523,-1299115721.02644,104390790.076661,390689473.663175,172028829.1249,100064488.345151,1322713919.03863,2451064381.52567,255578040.174189,115889085.258946,-13243630.9417972,9752643.62097047,143179942.23607,270976.897087069,255849017.297803,1290903062.15454,319195514.844201,179397319.800736,119379752.824889,60017566.9758472,35076232.137859,104721962.905605,1610098576.99874,1865947594.29655,-5075194.7172785,911927.251424797,-5987121.9687033,1288578845.9505,-746606237.307601,536897413.925623,48219373.3034981,585116787.229121,2451064381.52567,64914000,24701000,-73753000,4347000,9914000,-88014000,2222000,18084000,-16141000,-16141000,-92000,-11688000,-27921000,-11401000,-7791000,-7656000,978000,406000,-26442000,-36279000,-36279000,-5195000,-41474000,107923000,0,110704000,0.28344,0.14342,0.1091,0.00985369227625789,-0.00863100082826144,1.74866,4.0957157056486,1.96331964775955,0.486368579335435,0.69275,0.68669,6.34966,5.75586541078901,1.21139,0.12476,-0.00435395687057636,0.0762967034255561,0.18009,9.23735373836961,12.1729697977407
"2","2010_Q3",35.58671875,"Up",592483000,-404316000,188167000,-81532000,-66865000,-14667000,106635000,-6713000,-5984000,-729000,99922000,99922000,-24331000,10495000,86086000,86086000,-4335000,81751000,81751000,324123000,324123000,357963000,357963000,324695000,74305000,74305000,1081086000,977344000,2365696000,-1388352000,160042000,512598000,261203000,114011000,1649984000,2731070000,308545000,162783000,9528000,12439000,123795000,8603000,317148000,784959000,379501000,173952000,120447000,53505000,95332000,110217000,1164460000,1481608000,4418000,912000,3506000,1407480000,-214408000,1197490000,51972000,1249462000,2731070000,86086000,23710000,6132000,4245000,9327000,-7440000,131999.999999985,116060000,-17789000,-17789000,-9.31322574615479e-10,-178000,-17967000,-12728000,-12423000,-5518000,793000,-2469000,-33138000,64955000,64955000,-8149000,56806000,130345000,793562000,137019000,0.31759,0.17998,0.13798,0.06543,0.02993,1.67605,3.40877,1.1858,0.29057,0.89533,0.88753,6.48884,13.11484,1.50062,0.1394,0.039,0.05656,0.15569,3.60151,4.4023
"3","2010_Q4",43.8365625,"Up",585036000,-388213000,196823000,-76260000,-61924000,-14336000,120563000,-4836000,-6139000,1303000,115727000,115727000,-27886000,9179000,97020000,97020000,-3331000,93689000,93689000,424673000,424673000,339185000,339185000,373406000,74798000,74798000,1212062000,1009864000,2429616000,-1419752000,174528000,540206000,278390000,122853000,1724598000,2936660000,337562000,169647000,22119000,12485000,133311000,10182000,347744000,755552000,395323000,174819000,121531000,53288000,109451000,111053000,1150875000,1498619000,12132000,914000,11218000,1488369000,-117766000,1382735000,55306000,1438041000,2936660000,97020000,23075000,74350000,2873000,5150000,66327000,-52857000,141588000,-16076000,-16076000,1644000,-275000,-14707000,-12754000,-30422000,2908000,2908000,2340000,-37928000,88953000,88953000,11597000,100550000,143638000,765734000,102591000,0.33643,0.20608,0.16014,0.06515,0.0319,1.09502,3.4855,1.04213,0.26075,1.02603,1.01745,6.407,15.14297,1.12352,0.13967,0.04095,0.03947,0.13613,2.37445,2.8289
"4","2011_Q1",47.7933870967742,"Up",604975000,-412526000,192449000,-93968000,-79296000,-14672000,98481000,-6270000,-7474000,1204000,92211000,92211000,-18839000,8025000,81397000,81397000,-4367000,77030000,77030000,529650000,529650000,340888000,340888000,389210000,88450000,88450000,1348198000,1006313000,2440178000,-1433865000,180690000,532880000,272238000,125878000,1719883000,3068081000,355194000,175183000,23780000,12547000,143684000,8983000,364177000,851927000,376231000,157850000,102836000,55014000,109570000,108811000,1228158000,1592335000,19751000,916000,18835000,1560519000,-164196000,1416074000,59672000,1475746000,3068081000,81397000,24092000,-22463000,4229000,17745000,-44437000,-27449000,55577000,-25472000,-25472000,-4930000,-1194000,-31596000,-12760000,99163000,2456000,2456000,711000,89570000,113551000,113551000,-8574000,104977000,122573000,860910000,88491000,0.31811,0.16279,0.12733,0.0522,0.02511,1.14879,3.70204,1.079,0.2806,0.84125,0.83411,6.60698,15.46506,0.96642,0.13935,0.0331,0.03262,0.16565,2.70255,3.36369
"5","2011_Q2",55.5065079365079,"Up",696530000,-463514000,233016000,-90654000,-73039000,-17615000,142362000,-9254000,-9592000,338000,133108000,133108000,-32172000,12831000,113767000,113767000,-7187000,106580000,106580000,441013000,441013000,401637000,401637000,402967000,100757000,100757000,1346374000,1040005000,2506233000,-1466228000,207379000,546123000,287264000,123364000,1793507000,3139881000,372514000,210573000,15474000,14814000,131653000,9097000,381611000,758597000,337005000,107804000,53088000,54716000,123585000,105616000,1095602000,1477213000,29773000,917000,28856000,1651976000,-85640000,1596109000,66559000,1662668000,3139881000,113767000,23004000,-38099000,6789000,21209000,-66097000,-52116000,46556000,-31894000,-31894000,-633000,-8794000,-41321000,-12856000,-93928000,205000,205000,3316000,-103263000,-98028000,-98028000,9391000,-88637000,165366000,767694000,113528000,0.33454,0.20439,0.15302,0.0641,0.03394,1.06519,3.52813,0.88846,0.2445,1.16312,1.152,7.6013,17.4185,1.23894,0.1403,0.04316,0.04102,0.12062,1.9755,2.29472
"6","2011_Q3",46.8990625,"Down",742108000,-490159000,251949000,-102854000,-82907000,-19947000,149095000,-10034000,-9274000,-760000,139061000,139061000,-30154000,14787000,123694000,123694000,-9535000,114159000,114159000,490715000,490715000,419841000,419841000,443253000,101887000,101887000,1455696000,1063440000,2540701000,-1477261000,216983000,556228000,295371000,123254000,1836651000,3292347000,381528000,205357000,19109000,14846000,142216000,12885000,394413000,758867000,336948000,111048000,56605000,54443000,120842000,105058000,1095815000,1490228000,37672000,917000,36755000,1750998000,-62642000,1726028000,76091000,1802119000,3292347000,123694000,24306000,-1706000,7103000,-2821000,-5988000,-46680000,99614000,-35733000,-35733000,-5275000,-267000,-41275000,-15104000,3279999.99999994,877000.000000007,877000,605999.999999998,-10341000,47998000,47998000,1704000,49702000,173401000,771752000,121142000,0.3395,0.20091,0.15383,0.06335,0.03467,1.06117,3.69079,0.82693,0.23441,1.24474,1.23023,8.09163,18.81988,1.32088,0.16469,0.04441,0.04162,0.13231,1.62073,1.88495
"7","2011_Q4",42.4720634920635,"Down",722977000,-464965000,258012000,-97703000,-77169000,-20534000,160309000,-8754000,-9710000,956000,151555000,151555000,-38097000,9500000,122958000,122958000,-6860000,116098000,116098000,481258000,481258000,394159000,394159000,474787000,99150000,99150000,1449354000,1090897000,2570256000,-1479359000,201051000,527753000,281404000,112178000,1819701000,3269055000,389599000,192924000,20816000,14353000,161506000,12795000,402394000,878384000,317654000,107901000,53341000,54560000,113048000,96705000,1196038000,1598432000,4133000,888000,3245000,1714220000,-130782000,1587571000,83052000,1670623000,3269055000,122958000,24616000,3335000,5473000,-3735000,1597000,-11612000,139297000,-59484000,-59484000,-5137000,-178000,-64799000,-15138000,118431000,-178111000,21000,-3051000,-77869000,-3371000,-3371000,-6086000,-9457000,184925000,891179000,151926000,0.35687,0.22173,0.16058,0.06949,0.03551,1.3086,3.60183,0.95679,0.27261,1.29091,1.27639,8.03888,17.65243,1.68929,0.16832,0.04558,0.05276,0.13039,2.21669,2.55707
"8","2012_Q1",53.4145161290323,"Up",707390000,-495420000,211970000,-145942000,-126955000,-18987000,66028000,-9175000,-8998000,-177000,56853000,56853000,-3711000,6636000,59778000,59778000,-4501000,55277000,55277000,469416000,469416000,355372000,355372000,431495000,99337000,99337000,1355620000,1129480000,2619428000,-1489948000,198427000,520297000,273145000,116871000,1848204000,3203824000,386762000,184472000,11796000,15237000,175257000,14416000,401178000,749257000,374562000,185552000,127964000,57588000,77903000,111107000,1123819000,1524997000,16082000,888000,15194000,1514866000,60329000,1591277000,87550000,1678827000,3203824000,59778000,24827000,44306000,7704000,-25851000,62453000,72981000,201892000,-63463000,-63463000,-2119000,41000,-65541000,-14661000,-33316000,1127000,1127000,-90796000,-137646000,-1295000,-1295000,-10547000,-11842000,90855000,763673000,104084000,0.29965,0.09334,0.07814,0.03293,0.01725,1.88295,3.3791,0.90837,0.23836,0.62244,0.61543,7.96548,17.91837,1.17202,0.16509,0.02483,0.03695,0.26523,3.23875,4.45655
"9","2012_Q2",52.7265079365079,"Down",711704000,-460724000,250980000,-93053000,-74004000,-19049000,157927000,-8852000,-8734000,-118000,149075000,149075000,-39028000,8586000,118633000,118633000,-4371000,114262000,114262000,519359000,519359000,386788000,386788000,460810000,102599000,102599000,1469556000,1167222000,2681153000,-1513931000,209406000,517315000,278915000,110329000,1893943000,3363499000,418900000,224267000,8875000,17483000,168275000,14462000,433362000,742199000,380564000,184188000,126895000,57293000,81555000,114821000,1122763000,1556125000,22582000,892000,21690000,1888336000,-187981000,1722937000,84437000,1807374000,3363499000,118633000,24235000,13404000,6926000,10800000,-4322000,-32728000,123544000,-54784000,-54784000,-134000,-1113000,-56031000,-15578000,-7149000,2569000,2569000,-1972000,-22130000,45383000,45383000,4560000,49943000,182162000,756661000,133678000,0.35265,0.2219,0.16055,0.06322,0.03397,1.16993,3.39106,0.86099,0.22496,1.28389,1.27033,7.99694,19.3595,1.50205,0.17504,0.04409,0.0454,0.13634,1.3027,1.50261
"10","2012_Q3",48.7265079365079,"Down",684894000,-435606000,249288000,-82646000,-61735000,-20911000,166642000,-9174000,-8486000,-688000,157468000,62765000,-21882000,12712000,53595000,53595000,-3506000,50089000,50089000,461751000,461751000,379260000,379260000,499680000,110984000,110984000,1451675000,1176970000,2725084000,-1548114000,196095000,477967000,265649000,115156000,1851032000,3302707000,400731000,194905000,3615000,17554000,184657000,12572000,413303000,742252000,353508000,170086000,116902000,53184000,70501000,112921000,1095760000,1509063000,29152000,895000,28257000,1908177000,-231639000,1705690000,87954000,1793644000,3302707000,53595000,25214000,52346000,3804000,-5929000.00000001,54471000,-69790000,61365000,-71839000,-71839000,-2250000,-10122000,-84211000,-17821000,-1620000,-2834000,10861000,-2325000,-24600000,-47446000,-47446000,-10162000,-57608000,191856000,754824000,72109000,0.36398,0.24331,0.07313,0.02793,0.01517,1.43962,3.51237,0.84134,0.22855,0.56019,0.55623,7.65981,19.07632,0.80646,0.19931,0.0234,0.02485,0.35579,1.52757,1.7587
