"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",26.7168253968254,"Up",409049000,-242239000,166810000,-105295000,-105295000,61515000,7210000,-2444000,-2444000,9654000,68725000,68725000,-25900000,42825000,42825000,42825000,42825000,365865000,365865000,118888000,118888000,143125000,36791000,10439000,664669000,85783000,445756000,306690000,136570000,2496000,531539000,1196208000,40689000,40689000,54230000,54230000,98422000,330145000,150953000,109018000,41935000,481098000,579520000,253584000,367004000,-3900000,616688000,616688000,1196208000,42825000,7882000,-6474000,-20805000,23428000,-7937000,-8223000,-8223000,-7937000,8462000,8462000,7746000,15333000,30824000,30824000,30824000,69397000,333648000,66555000,0.4078,0.15039,0.10469,0.06944,0.0358,1.55412,6.75326,0.93973,0.27892,0.75591,0.73396,7.22019,10.88527,1.17477,7,0.03889,0.06043,-0.46424,-0.52373
"2","2010_Q3",21.2121875,"Down",327009000,-196758000,130251000,-104468000,-104468000,25783000,4978000,-2662000,-2662000,7640000,30761000,30761000,-11665000,19096000,19096000,19096000,19096000,245013000,245013000,99526000,99526000,260660000,37309000,11583000,642508000,90374000,444191000,305870000,136570000,1751000,534565000,1177073000,121047000,121047000,31848000,31848000,156398000,229269000,152267000,108162000,44105000,381536000,537934000,256642000,386100000,-3603000,639139000,639139000,1177073000,19096000,8200000,2243000,-37639000,-8100000,-12497000,-12497000,-12497000,-12497000,409000,409000,211999.999999999,-100255000,-120852000,-120852000,-120852000,33983000,232772000,-4488000.00000003,0.39831,0.07884,0.0584,0.02988,0.01622,-0.23502,4.10816,0.84165,0.19775,0.32583,0.32045,5.57967,10.90546,-0.0765800000000003,5,0.01865,-0.00438000000000001,-0.36021,-0.47477
"3","2010_Q4",24.7878125,"Up",517928000,-325125000,192803000,-123321000,-123321000,69482000,8828000,-1568000,-1568000,10396000,78310000,78310000,-28653000,49657000,49657000,49657000,49657000,182329000,182329000,171501000,171501000,263782000,38070000,12369000,655682000,92558000,443845000,305733000,136570000,1542000,536403000,1192085000,94440000,94440000,62502000,62502000,159392000,229709000,155481000,109855000,45626000,385190000,544582000,215124000,435757000,-3378000,647503000,647503000,1192085000,49657000,6648000,1884000,-68316000,-10127000,-8763000,-8763000,-8763000,-8763000,-43481000,609000,3e+05,-43794000,-62684000,-62684000,-62684000,76130000,232159000,27704000,0.37226,0.13415,0.09588,0.07669,0.04166,0.55791,4.11364,0.84105,0.19475,0.85138,0.84113,8.88001,11.10161,0.47499,2,0.04797,0.02676,0.65454,0.71716
"4","2011_Q1",24.4662903225806,"Down",495270000,-310417000,184853000,-135953000,-135953000,48900000,6690000,-3196000,-3771000,9886000,55590000,55590000,-20696000,34894000,34894000,34894000,34894000,247382000,247382000,121453000,121453000,298509000,48919000,17372000,716263000,94968000,445951000,305733000,136570000,3648000,540919000,1257182000,116481000,116481000,66891000,66891000,183372000,2.36e+08,157874000,113817000,44057000,393874000,577246000,211175000,470651000,-1890000,679936000,679936000,1257182000,34894000,8997000,2899000,33830000,80620000,-10299000,-10299000,-10299000,-10299000,-5694000,216000,-3415000,-5268000,65053000,65053000,65053000,57897000,2.36e+08,102124000,0.37324,0.09873,0.07045,0.05132,0.02776,2.92669,3.90607,0.84897,0.18772,0.61213,0.60323,8.68837,11.92791,1.79153,7,0.0325,0.0951,-0.19659,-0.23276
"5","2011_Q2",25.728253968254,"Up",4.69e+08,-310915000,158085000,-113780000,-113780000,44305000,7479000,-1850000,-1850000,9329000,51784000,51784000,-19661000,32123000,32123000,32123000,32123000,248871000,248871000,160057000,160057000,217458000,46317000,19650000,672703000,92553000,445780000,305733000,136570000,3477000,538333000,1211036000,53077000,53077000,49640000,49640000,102717000,2.36e+08,159326000,112453000,46873000,395326000,498043000,212109000,502774000,-1890000,712993000,712993000,1211036000,32123000,8130000,2021000,-32980000,9294000,-6813000,-6813000,-6813000,-6813000,7000,7000,-999000,-992000,1489000,1489000,1489000,52435000,2.36e+08,32303000,0.33707,0.09447,0.06849,0.04505,0.02653,1.0056,6.54909,0.69852,0.19487,0.56308,0.55494,8.22097,12.49786,0.56623,5,0.02898,0.02915,-0.24547,-0.29051
"6","2011_Q3",26.68296875,"Up",394488000,-259445000,135043000,-121290000,-121290000,13753000,6744000,-1756000,-1756000,8269000,20497000,20497000,-7838000,12659000,12659000,12659000,12659000,86725000,86725000,124667000,124667000,458114000,40376000,16689000,709882000,101796000,501140000,306667000,191050000,3423000,602936000,1312818000,119428000,119428000,37226000,37226000,156654000,2.36e+08,187282000,112261000,75021000,423282000,579936000,219438000,515433000,-1989000,732882000,732882000,1312818000,12659000,8237000,516000,-117008000,-95596000,-9273000,-9273000,-9273000,-70472000,1685000,1685000,2237000,3922000,-162146000,-162146000,-162146000,21990000,2.36e+08,-96453000,0.34232,0.03486,0.03209,0.01727,0.00964,-7.61932,4.53153,0.79131,0.17977,0.22084,0.21819,6.88211,12.78562,-1.68269,5,0.01095,-0.08343,6.78831,10.854
"7","2011_Q4",32.0393650793651,"Up",639617000,-447504000,192113000,-145842000,-145842000,46271000,8883000,-1699000,-1699000,10494000,55154000,55154000,-20705000,34449000,34449000,34449000,34449000,81634000,81634000,214558000,214558000,385960000,40796000,16412000,722948000,111830000,496338000,306502000,186536000,3300000,608168000,1331116000,83491000,83491000,42426000,42426000,125917000,2.36e+08,197582000,115982000,81600000,433582000,559499000,228646000,549882000,-6911000,771617000,771617000,1331116000,34449000,7155000,6072000,-47162000,514000,-13061000,-13071000,-13071000,-13061000,3736000,3736000,3419000,7155000,-5392000,-5392000,-5091000,53426000,2.36e+08,13908000,0.30036,0.07234,0.05386,0.04465,0.02588,0.40373,5.74146,0.7251,0.17729,0.59673,0.5907,11.07954,13.36606,0.24092,6,0.02858,0.01154,2.88934,3.33613
"8","2012_Q1",38.0795161290323,"Up",606629000,-399592000,207037000,-161174000,-161174000,45863000,7590000,-1858000,-2244000,9767000,53453000,53453000,-18668000,34785000,34785000,34785000,34785000,233494000,233494000,157754000,157754000,347215000,43684000,18519000,782147000,122346000,498216000,306434000,188679000,3103000,620562000,1402709000,102804000,102804000,49949000,49949000,152753000,2.36e+08,208247000,114421000,93826000,444247000,5.97e+08,232324000,584667000,-11282000,805709000,805709000,1402709000,34785000,9213000,4138000,118726000,166862000,-16338000,-16338000,-16338000,-16346000,1358000,1358000,62000,1420000,151936000,151936000,151860000,55076000,2.36e+08,176132000,0.34129,0.0756,0.05734,0.04317,0.0248,5.06345,5.12034,0.74096,0.16825,0.6002,0.59325,10.46717,13.90222,3.0391,6,0.02783,0.14091,0.0455000000000001,0.0546400000000009
"9","2012_Q2",44.3995238095238,"Up",551662000,-356923000,194739000,-149705000,-149705000,45034000,6503000,-1957000,-1957000,8460000,51537000,51537000,-19262000,32275000,32275000,32275000,32275000,300535000,300535000,178668000,178668000,265691000,40539000,16425000,785433000,127736000,498895000,306353000,189696000,2846000,626631000,1412064000,67610000,67610000,51484000,51484000,119094000,2.36e+08,214328000,113773000,100555000,450328000,569422000,235787000,616942000,-10087000,842642000,842642000,1412064000,32275000,8589000,2593000,38985000,82442000,-16375000,-16381000,-16381000,-16375000,1682000,1682000,-712000,970000,67037000,67037000,67041000,53623000,2.36e+08,95495000,0.353,0.08163,0.05851,0.0383,0.02286,2.95879,6.59507,0.67576,0.16713,0.55592,0.54851,9.50203,14.51398,1.64484,7,0.02496,0.07386,-1.20349,-1.43303
"10","2012_Q3",46.2169841269841,"Up",472162000,-288919000,183243000,-156290000,-156290000,26953000,5943000,-1666000,-1666000,7609000,32896000,32896000,-12091000,20805000,20805000,20805000,20805000,237629000,237629000,131888000,131888000,377857000,51323000,27485000,798697000,139592000,497576000,306249000,188621000,2706000,637168000,1435865000,120922000,120922000,44639000,44639000,165561000,1.86e+08,216967000,113355000,103612000,402967000,568528000,241017000,637747000,-11427000,867337000,867337000,1435865000,20805000,9204000,4574000,-27086000,7497000,-21330000,-21330000,-21330000,-21330000,799000,799000,138000,-49063000,-62896000,-62896000,-62906000,36157000,1.86e+08,-167999.999999985,0.38809,0.05708,0.04406,0.02399,0.01449,-0.00807000000000047,4.82419,0.65549,0.12954,0.35747,0.35229,8.11265,14.90252,-0.00289000000000006,7,0.01638,-0.000130000000000005,-1.42791,-1.91552
