"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q2",10.84234375,"Up",914583,-502739,-502739,393349,-286644,-269773,-16871,106705,106705,47516,47516,47516,47516,49751319,29074835,49751319,40262312,183079,40079233,40262312,90013631,674365,674365,830013,29589165,602686,343957,30191851,31021864,6530,7659071,51326166,58991767,58991767,90013631,47516,160036,-51835383,49066263,-2561568,-83416891.1021812,-20046767,-1228715,-12230,50809696,28201361,28201361,28201361,553385,29689165,0.43009,0.05195,0.00081,0.00053,59.94041,0.52587,0.32983,0.00905,0.00905,0.17421,11.23675,0.00638,-36.25352,-51.00344
"2","2013_Q3",10.92921875,"Up",949756,-578095,-578095,342689,-265495,-261229,-4265.99999999999,77194,77194,30356,30356,30356.0000000001,30356.0000000001,43085610,42405551,43085610,45119725,192099,44927626,45119725,88205335,634247,634247,708363,29589165,1236483,492807,30825648,31534011,6530,5338532,51326262,56671324,56671324,88205335,30356.0000000001,177323,7205757,-6544059,869376.999999999,15317129,15368915,-1600000,1600000,-2907576,13330716,13330716,13330716,520012,29689165,0.36082,0.03196,0.000540000000000001,0.00034,60.8242,0.55644,0.33659,0.00465,0.00465,0.14544,8.67826,0.02718,-25.7618,-39.09214
"3","2013_Q4",11.24171875,"Up",996096,-562946,-562946,408586,-318420,-258450,-59970,90166,90166,4760,4760,4760,4760,40058209,39377937,40058209,45643172,182232,45460940,45643172,85701381,669066,669066,733249,29589165,1053778,310102,30642943,31376192,6530,2992398,51326261,54325189,54325189,85701381,4760,171751,2764128,-3052287,-111648,-365070,-565070,-566594.290456322,8773939.07071361,-2350896,-3027614,-3027614,-3027614,580337,29689165,0.41019,0.00478,9e-05,6e-05,54.63111,0.57756,0.34643,0.00073,0.00073,0.15254,8.31899,0.02769,-17.86728,-25.37787
"4","2014_Q1",9.82049180327869,"Down",1177703,-763717,-763717,366554,-345573,-272955,-72618,20981,20981,-1307316,-1307316,-1307316,-1307316,16951725,16271282,16951766,76721698,311064,76410634,76721698,93673464,1097270,1097270,1257989,43154165,749318,749318,43903483,45161472,6530,-2820800,51326262,48511992,48511992,93673464,-1307316,213345,26068640,-23631183,1343486,-33485683,-33485683,21379.1149972093,8853844,9035542,-23106655,-23106655,-23106655,579899,43254165,0.31124,-1.11006,-0.02695,-0.01396,13.47529,0.93093,0.46175,-0.20019,-0.20019,0.18035,7.42879,0.03457,45.35693,71.75598
"5","2014_Q2",8.73412698412698,"Down",1495636,-991455,-991455,438596,-411055,-368392,-42663,27541,27541,20918,20918,20918,20918,14227082,13546471,14227863,77395775,284570,77111205,77395775,91623638,1035079,1035079,1344950,41431998,901504,901504,42333502,43678452,6530,-3387606,51326262,47945186,47945186,91623638,20918,288031,2895674,-2810864,393759,-454039.000000004,-504039,-1722167,-304640,-2614531,-2724811,-2724811,-2724811,726627,41531998,0.29325,0.01399,0.00044,0.00023,10.57873,0.91101,0.45329,0.0032,0.0032,0.22903,7.342,0.00673,37.57762,62.25528
"6","2014_Q3",9.06234375,"Up",1565935,-949644,-949644,534811,-829282,-401470,-427812,-294471,-294471,-301094,-301094,-301094,-301094,4510372,3829591,4511901,89259198,641600,88617598,89259198,93771099,676627,676627,991031,44331998,1391701,1391701,45723699,46714730,6530,-4276423,51326262,47056369,47056369,93771099,-301094,330486,9676127,-9362043,343476,-11880748,-12030748,-7e+06,9558115,1970392,-9716880,-9716880,-9716880,865297,47331998,0.34153,-0.19228,-0.0064,-0.00321,4.55273,0.99274,0.50476,-0.04611,-0.04611,0.2398,7.20589,0.00299,49.48778,80.06871
"7","2014_Q4",7.88015625,"Down",1777675,-1224093,-1224093,415723,-308491,-500123,191632,107232,107232,100375,100375,100375,100375,3712148,3031196,3714433,116906992,761178,116145814,116906992,120621425,928729,928729,1376867,57345598,2109267,2109267,59454865,60831732,7680,-4763774,64545787,59789693,59789693,120621425,100375,447252,1931085,-1183304,1295408,-27266572,-27658572,-11100000,23130493,25564769,-798395,-798395,-798395,862975,60845598,0.23386,0.05646,0.00168,0.00083,2.69774,1.01743,0.50443,0.0152,0.0152,0.26913,9.05182,0.00561,66.20522,137.43153
"8","2015_Q1",8.06918032786885,"Up",2345676,-1464891,-1464891,731195,-670126,-727069,56943,61069,61069,54670.0000000001,54670.0000000001,54670,54670,3300466,2619342,3433207,148269417,1317575,146951842,148269417,151702624,1925251,1925251,2396352,86417361,2919583,2919583,89336944,91733296,7754,-5404735,65366309,59969328,59969328,151702624,54670,669875,2087145,-1300711,1510979,-31382881,-31140881,-3603237,32614913,29218048,-411854,-411854,-411854,1401070,90417361,0.31172,0.02331,0.00091,0.000360000000000001,1.43268,1.52967,0.59602,0.00705,0.00705,0.30252,7.73427,0.00489,62.17883,119.14318
"9","2015_Q2",8.54507936507937,"Up",2625724,-1294765,-1294765,1125193,-1100619,-949369,-151250,24574,24574,24574,24574,24574,24574,2180340,2180340,2180340,169923281,1679594,168243687,169923281,172103621,2391221,2391221,2508707,106666803,3753349,3753349,110420152,112928859,7754,-6194301,65361309,59174762,59174762,172103621,24574,791632,814322,-1365222,265306,-20034728,-20034728,-2503238,22647798,19330420,-439002,-439002,-439002,1916825,118466803,0.42853,0.00936,0.00042,0.00014,0.86911,1.9084,0.68835,0.00317,0.00317,0.33864,7.63179,0.00462,60.66619,103.34801
"10","2015_Q3",7.30828125,"Down",2783853,-1554761,-1554761,1072687,-1102976,-945769,-157207,-30289,-30289,-30289,-30289,-30289,-30289,3158707,3158707,3158707,186056967,2069351,183987616,186056967,189215674,2882542,2882542,3513160,110461166,3341176,3341176,113802342,117315502,9061,-7257300,79148411,71900172,71900172,189215674,-30289,711803,685276,-26086,1340704,-17129977,-17129977,-11803237,29603587,16767640,978367,978367,978367,1784490,113261166,0.38532,-0.01088,-0.00042,-0.00016,0.89911,1.63164,0.59858,-0.00359,-0.00359,0.32985,8.51912,0.00532,61.69968,102.64174
