"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_investment_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"25","2017_Q1",24.5064516129032,"Down",18154000,-2839000,15315000,-10319000,-5016000,-5303000,4996000,-119000,26000,4877000,-777000,4100000,-1523000,2577000,2577000,2577000,2577000,46941000,24987000,6869000,6869000,3579000,1169000,472000,58558000,19601000,54735000,22525000,26555000,5027000,628000,74336000,132894000,3792000,1622000,2170000,6343000,209422.121480418,6343000,10135000,15926000,243821.596961194,15926000,15926000,26061000,7414000,98146000,1273000,106833000,106833000,132894000,2577000,1170000,1949000,903000,6599000,-3249000,-12457000,-16375000,210000,210000,-17000,193000,-9583000,-9583000,-9669000,6166000,0,5343000,0.84362,0.2752,0.14195,0.02412,0.01939,2.07334,5.7778,0.24394,0,0.19729,0.19499,1.38983,8.17892,0.40905,0.02099,0.04352,-7.61288,-9.39572
"26","2017_Q2",24.1492063492063,"Down",17761000,-2628000,15133000,-10832000,-4862000,-5970000,4301000,759000,85000,5060000,-1033000,4027000,-1727000,2300000,2300000,2300000,2300000,45127000,17653000,6504000,6504000,3472000,1541000,1183000,56644000,20186000,51795000,21094000,25694000,4286000,721000,71981000,128625000,3514000,1611000,1903000,2420000,131000,2289000,5934000,15508000,258000,15250000,15508000,21442000,7672000,100446000,-935000,107183000,107183000,128625000,2300000,1282000,1300000,-2931000,1951000,-1545000,-5470000,-7015000,13000,13000,-2167000,-2154000,-7218000,-7218000,-7334000,5583000,0,2834000,0.85204,0.24216,0.1295,0.02146,0.01788,1.23217,9.54567,0.20005,-1.0097419586829e-28,0.17424,0.17105,1.34553,8.11992,0.2147,0.01875,0.0231,-8.08293,-10.49221
"27","2017_Q3",27.191746031746,"Up",17503000,-2562000,14941000,-13284000,-5076000,-8208000,1657000,-116000,85000,1541000,20000,1561000,-1055000,506000,506000,506000,506000,46321000,11259000,7021000,7021000,3347000,1679000,1540000,58368000,20629000,52296000,21118000,25945000,4502000,731000,72925000,131293000,3583000,1825000,1758000,3155000,122000,3033000,6738000,15143000,262000,14881000,15143000,21881000,8731000,100952000,-271000,109412000,109412000,131293000,506000,1328000,224000,254000,2312000,-1321000,-7510000,-8831000,175000,175000,-57000,118000,-6401000,-6401000,-6394000,2985000,0,2973000,0.85363,0.09467,0.02891,0.00462,0.00385,5.87549,8.66251,0.19999,0,0.03828,0.03768,1.32398,8.27625,0.22489,0.00406,0.02387,-15.51792,-27.95474
"28","2017_Q4",30.5234920634921,"Up",17790000,-2914000,14876000,-13159000,-5232000,-7927000,1717000,-490000,104000,1227000,26000,1253000,-533000,720000,720000,720000,720000,43710000,11350000,6994000,6994000,3505000,3460000,2467000,57669000,22250000,51971000,21230000,26791000,3073000,877000,74221000,131890000,3282000,1916000,1366000,4262000,155000,4107000,7544000,14997000,245000,14752000,14997000,22541000,5661000,101672000,2016000,109349000,109349000,131890000,720000,1396000,2501000,-1224000,3393000,-2015000,2616000,601000,-4018000,28000,2.3283064365387e-10,-4018000,-24000,-24000,91000,3113000,0,407000,0.8362,0.09651,0.04047,0.00658,0.00546,0.565279999999999,7.64435,0.20614,0,0.05473,0.05379,1.35234,8.31235,0.03094,0.00579,0.00327,-14.04112,-25.45719
"29","2018_Q1",30.9729508196721,"Up",20058000,-3318000,16740000,-15020000,-5308000,-9712000,1720000,-267000,116000,1453000,-1261000,192000,208000,4e+05,4e+05,4e+05,4e+05,48336000,16534000,7211000,7211000,3516000,1820000,1221000,60883000,22942000,52768000,20562000,27282000,4027000,897000,75710000,136593000,4169000,2396000,1773000,5634000,62000,5572000,9803000,15233000,181000,15052000,15233000,25036000,6068000,102072000,3417000,111557000,111557000,136593000,4e+05,1549000,1392000,3056000,6397000,-1551000,564000,-944000,-428000,228000,-28000,-456000,4997000,4997000,5184000,3269000,0,4566000,0.83458,0.08575,0.01994,0.00359,0.00293,11.415,6.21065,0.22442,0,0.03068,0.03008,1.53854,8.55695,0.35023,0.00315,0.03601,-14.78617,-28.10233
"30","2018_Q2",46.1875,"Up",17013000,-2891000,14122000,-13019000,-5188000,-7831000,1103000,-65000,121000,1038000,-1559000,-521000,-1035000,-1556000,-1556000,-1556000,-1556000,46352000,21596000,6695000,6695000,3871000,3078000,2488000,59996000,23624000,50933000,20076000,27505000,2313000,1039000,74557000,134553000,4099000,2309000,1790000,15435000,6484459.27776671,15435000,19534000,4472000,6304066.62196556,4472000,4472000,24006000,5997000,100516000,4034000,110547000,110547000,134553000,-1556000,1520000,3759000,-3109000,614000,-1298000,7036000,5738000,155000,155000,-1130000,-975000,5377000,5377000,5412000,2623000,3.46944695195361e-18,-748999.999999998,0.83007,0.06483,-0.09146,-0.01408,-0.01156,0.48136,3.07136,0.21716,-1.29246970711411e-26,-0.11911,-0.11911,1.30228,8.46196,-0.0573299999999998,-0.01353,-0.00651000000000002,-17.67137,-42.02357
"31","2018_Q3",68.8706349206349,"Up",19058000,-2913000,16145000,-17214000,-6440000,-10774000,-1069000,-211000,142000,-1280000,1594000,314000,1220000,1534000,1534000,1534000,1534000,66042000,27712000,7216000,7216000,4046000,4037000,2342000,81341000,25844000,52181000,19725000,27933000,3326000,1197000,81978000,163319000,6034000,2012000,4022000,28191000,12097000,16094000,34225000,15738000,12710000,3028000,15738000,49963000,6093000,102050000,5213000,113356000,113356000,163319000,1534000,1586000,-1709000,25406000,26817000,-2718000,-17553000,-20094000,222000,222000,-927000,-705000,6018000,6018000,6116000,517000,0,21985000,0.84715,-0.05609,0.08049,0.01353,0.00939,14.33181,2.37665,0.44076,0,0.11708,0.11392,1.45459,8.65181,1.67799,0.01188,0.1703,-127.74081,61.77923
"32","2018_Q4",59.9696825396825,"Down",22227000,-4104000,18123000,-15756000,-5978000,-9778000,2367000,955000,303000,3322000,-8618000,-5296000,2614000,-2682000,-2682000,-2682000,-2682000,62033000,27273000,8312000,8312000,3975000,4526000,3051000,78846000,27976000,53165000,18430000,27132000,5981000,1622000,81141000,159987000,5936000,1674000,4262000,25649000,10319000,15330000,31585000,19657000,12825000,6832000,19657000,51242000,6395000,99368000,2982000,108745000,108745000,159987000,-2682000,1605000,5976000,-3108000,1791000,-2895000,7520000,4625000,1010000,1010000,-3224000,-6714000,-298000,-298000,-439000,3972000,-5.55111512312578e-17,-4645000,0.81536,0.10649,-0.12066,-0.02466,-0.01676,1.73192000000001,2.49631,0.47121,2.06795153138257e-25,-0.20314,-0.20314,1.68348,8.23639,-0.351810000000001,-0.02089,-0.03618,-15.61757,-26.2074400000001
"33","2019_Q1",50.9570491803279,"Down",23038000,-4089000,18949000,-19095000,-6505000,-12590000,-146000,411000,285000,265000,-2294000,-2029000,276000,-1753000,-1753000,-1753000,-1753000,64670000,23318000,8877000,8877000,4016000,3964000,2462000,81527000,30143000,52465000,17683000,27032000,6304000,1446000,82608000,164135000,8811000,2546000,6265000,26322000,9646000,16676000,35133000,20392000,11247000,9145000,20392000,55525000,8277000,97615000,2718000,108610000,108610000,164135000,-1753000,1720000,2872000,1991000,4830000,-2181000,-6588000,-8769000,702000,702000,-201000,1000,-3938000,-3938000,-3955000,1574000,0,1108000,0.82251,-0.00634,-0.07609,-0.01614,-0.01068,-0.63206,2.32052,0.51123,0,-0.13221,-0.13593,1.73754,8.19142,0.08357,-0.01359,0.00859,-41.0864,442.94521
"34","2019_Q2",42.2115873015873,"Down",22241000,-3523000,18718000,-17435000,-5949000,-11486000,1283000,415000,316000,1698000,-564000,1134000,176000,1310000,1310000,1310000,1310000,45855000,14402000,9761000,9761000,4168000,10892000,2941000,70676000,29898000,50088000,16874000,26834000,4778000,1602000,79986000,150662000,7807000,2754000,5053000,12609000,7391000,5218000,20416000,16625000,10913000,5712000,16625000,37041000,7014000,104423000,2184000,113621000,113621000,150662000,1310000,1756000,-467000,-8004000,-5405000,-2066000,9902000,7843000,36000,36000,-11725000,-11689000,-9251000,-9251000,-9266000,3039000,4.44089209850063e-16,-7207000,0.8416,0.05769,0.0589,0.01153,0.00869,-5.50153,3.46179,0.326,-3.30872245021211e-24,0.098,0.09474,1.66387,8.50011,-0.53916,0.01006,-0.05533,-15.08885,-35.74045
