"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",12.7333333333333,"Down",232970000,-98855000,-2156000,-96699000,134115000,-515000,-620000,284000,-179000,133600000,-62563000,71037000,-26842000,44195000,44195000,-2188000,42007000,42007000,255571650.718664,102806455.30391,152765195.414754,51400582.2308245,51400582.2308245,84511019.9417444,43975630.319042,49323600.7401059,391483252.891233,41256428.7388639,613707822.118901,606143620.171099,-50924531.7983202,654964250.857764,1046447503.749,317564430.270689,209032587.040005,108531843.230684,-66546053.0099213,-66546053.0099213,251018377.260768,384634415.410816,7002800.32668535,57777597.369121,-50774797.0424356,391637215.737502,642655592.998269,223322106.590114,-758194109.06058,990641093.014883,7837186.86125443,463606277.405671,-59814366.6549424,403791910.750728,1046447503.749,44195000,5470000,5989000,-22235000,33419000,2169000,-3305000,-154454000,72462000,-71000,-558000,3070000,-78993000,-48879000,-48879000,-48879000,139585000,0,146361000,0.57567,0.18031,0.201338730231573,0.0834014340477839,3.48421,1.51464136872227,1.53903813096694,0.3742537428196,0.42039,0.41983,2.3315,4.6792801911749,1.46474,1.54573,0.134147558752105,0.197612942638349,3.67686,0.602347613376683,0.621309594486956
"2","2010_Q3",11.720625,"Down",231484000,-75532000,-2600000,-72932000,155952000,-3960000,-4619000,725000,-66000,151992000,-74423000,77569000,-29294000,48275000,48275000,-625000,47650000,47650000,283120000,205942000,77178000,7196000,7196000,57276000,16898000,38003000,347592000,38811000,680229000,588874000,84656000,719040000,1066632000,131250000,50079000,81171000,47380000,47380000,178630000,391366000,47539000,34947000,12592000,438905000,617535000,228528000,-793030000,1007606000,-9669000,433435000,15662000,449097000,1066632000,48275000,5478000,22230000,-9670000,66313000,-2437000,-88235000,-24770000,221675000,-5562000,-5562000,-5052000,186291000,164369000,164369000,164369000,161430000,391366000,178617000,0.67371,0.20585,0.1061,0.04467,3.74852,1.94588,1.37506,0.36692,0.47687,0.47623,2.31662,4.33769,1.78755,0.24789,0.08155,0.20114,0.51983,0.67054,0.6941
"3","2010_Q4",13.56296875,"Up",242172000,-94890000,-2724000,-92166000,147282000,-3973000,-4957000,1049000,-65000,143309000,-68769000,74540000,-26477000,48063000,48063000,-5007000,43056000,43056000,315910000,222684000,93226000,9711000,9711000,31661000,13617000,16013000,357282000,38315000,723545000,609753000,107549000,761860000,1119142000,143079000,47566000,95513000,51173000,51173000,194252000,378514000,73013000,38226000,34787000,451527000,645779000,232874000,-795735000,1025967000,-9846000,453260000,20103000,473363000,1119142000,48063000,5126000,6329000,11741000,71259000,-1560000,-13558000,-24727000,-12874000,-2973000,-3169000,-385000,-40959000,16742000,16742000,16742000,152408000,378514000,189066000,0.60817,0.17779,0.09096,0.03847,4.39116,1.83927,1.36424,0.33822,0.43088,0.43059,2.42354,4.536,1.89208,0.24746,0.07329,0.20442,0.5743,0.41077,0.42506
"4","2011_Q1",14.8893548387097,"Up",245317000,-91154000,-2630000,-88524000,154163000,-3765000,-4853000,1272000,-184000,150398000,-72424000,77974000,-29344000,48630000,48630000,-2229000,46401000,46401000,333641000,198756000,134885000,21228000,21228000,18301000,15861000,2440000,373170000,38516000,741818000,635313000,85493000,780334000,1153504000,189820000,86191000,103629000,24532000,24532000,214352000,361250000,84187000,51380000,32807000,445437000,659789000,237532000,-778609000,1036571000,-3695000,491799000,1916000,493715000,1153504000,48630000,5001000,-5525000,-3150000,44956000,-2744000,-39332000,-24700000,-3513000,6734000,-4173000,-8073000,-29552000,-23928000,-23928000,-23928000,159164000,361250000,182614000,0.62842,0.18915,0.09398,0.04023,3.93556,1.74092,1.33638,0.31318,0.46436,0.46404,2.45501,4.92168,1.82751,0.24719,0.07571,0.19445,0.53232,0.17346,0.17909
"5","2011_Q2",14.2379365079365,"Down",238882000,-113910000,-3162000,-110748000,124972000,-3624000,-4636000,1036000,-24000,121348000,-65696000,55652000,-20598000,35054000,35054000,-1823000,33231000,33231000,317455000,176825000,140630000,8782000,8782000,26902000,9488000,12757000,353139000,38420000,735382000,635640000,81611000,773802000,1126941000,128635000,61076000,67559000,37819000,37819000,166454000,353044000,83638000,59751000,23887000,436682000,603136000,243073000,-756113000,1033513000,-1528000,518945000,4860000,523805000,1126941000,35054000,4603000,1819000,5024000,46500000,-1857000,-46374000,-24950000,-12680000,10240000,-3677000,5333000,-22057000,-21931000,-21931000,-21931000,129575000,353044000,153340000,0.52315,0.13911,0.06344,0.02949,4.61437,2.12154,1.15145,0.31328,0.33037,0.33011,2.3749,5.15922,1.52447,0.24805,0.06057,0.15965,0.7508,0.27466,0.28478
"6","2011_Q3",10.89140625,"Down",225778000,-94269000,-2841000,-91428000,131509000,-3516000,-4579000,1148000,-85000,127993000,-59395000,68598000,-25714000,42884000,42884000,-472000,42412000,42412000,294147000,155248000,138899000,8591000,8591000,42049000,25340000,12333000,344787000,39800000,735586000,635944000,83139000,775386000,1120173000,121211000,40471000,80740000,33994000,33994000,155205000,341441000,93530000,69071000,24459000,434971000,590176000,244039000,-763029000,1051234000,-3865000,528379000,1618000,529997000,1120173000,42884000,3486000,8487000,-27195000,27662000,-3530000,-4772999.99999999,-25092000,-8570000,-6190000,-7426000,-4614000,-44466000,-21577000,-21577000,-21577000,134995000,341441000,129984000,0.58247,0.18785,0.08002,0.03786,3.06479,2.22149,1.11355,0.30481,0.4203,0.42026,2.23742,5.23614,1.28812,0.24866,0.06995,0.1347,0.59163,0.35034,0.35963
"7","2011_Q4",9.64825396825397,"Down",214048000,-91333000,-3886000,-87447000,122715000,-3033000,-3972000,1022000,-83000,119682000,-57996000,61686000,-23165000,38521000,38521000,-2e+05,38321000,38321000,322189000,132796000,189393000,8573000,8573000,32553000,16460000,11764000,363315000,39139000,742727000,636182000,91305000,781866000,1145181000,131470000,39882000,91588000,54757000,54757000,186227000,329375000,98956000,66910000,32046000,428331000,614558000,248576000,-771817000,1064552000,-12460000,528851000,1772000,530623000,1145181000,38521000,3212000,7368000,21709000,70810000,-1433000,-48961000,-25019000,-10625000,-8764000,-8764000,107000,-44301000,-22452000,-22452000,-22452000,125927000,329375000,169368000,0.57331,0.17903,0.07222,0.03346,4.41972,1.95093,1.15818,0.28762,0.38063,0.38061,2.12604,5.25284,1.68226,0.2485,0.06605,0.17662,0.65288,0.05706,0.05856
"8","2012_Q1",11.3091935483871,"Up",216406000,-94562000,-3524000,-91038000,121844000,-2343000,-3860000,1621000,-104000,119501000,-59066000,60435000,-21811000,38624000,38624000,-1682000,36942000,36942000,322317000,49273000,273044000,21526000,21526000,22668000,17420000,5248000,366511000,38228000,746117000,642329000,89791000,784345000,1150856000,144162000,41691000,102471000,34324000,34324000,178486000,318750000,110437000,73246000,37191000,429187000,607673000,253139000,-772481000,1069913000,-8612000,541959000,1224000,543183000,1150856000,38624000,3099000,-88167000,14962000,-31482000,-1427000,-7346000.00000001,-24899000,-10625000,-7036000,-8678000,-2135000,-44695000,-83523000,-83523000,-83523000,124943000,318750000,160289000,0.56303,0.17071,0.06801,0.0321,4.33894,2.05344,1.11873,0.27697,0.36846,0.36847,2.15843,5.40548,1.59872,0.24834,0.0636,0.16484,0.674,-0.02855,-0.02928
"9","2012_Q2",12.3219047619048,"Up",230281000,-98220000,-2928000,-95292000,132061000,-2452000,-3711000,1296000,-37000,129609000,-59664000,69945000,-25538000,44407000,44407000,-2082000,42325000,42325000,310584000,51525000,259059000,40551000,40551000,17288000,11455000,5833000,368423000,38183000,746098000,642679000,90443000,784281000,1152704000,119692000,53071000,66621000,44255000,44255000,163947000,308125000,110377000,86812000,23565000,418502000,582449000,258655000,-765905000,1079698000,-4180000,568268000,1987000,570255000,1152704000,44407000,2767000,12220000,-29138000,30256000,-1656000,9659000,-24900000,-10625000,-1133000,-1133000,-1005000,-37663000,2252000,2252000,2252000,134828000,308125000,129572000,0.57348,0.1838,0.07422,0.03672,3.06136,2.24721,1.02138,0.26731,0.42278,0.42278,2.30023,5.67632,1.29427,0.24872,0.06799,0.13105,0.5883,-0.01824,-0.01862
"10","2012_Q3",12.5003174603175,"Up",232132000,-99962000,-3316000,-96646000,132170000,-2299000,-3690000,1520000,-129000,129871000,-62398000,67473000,-24400000,43073000,43073000,-2663000,40410000,40410000,327129000,85247000,241882000,24552000,24552000,25467000,17329000,8138000,377148000,38140000,747323000,643056000,92113000,785463000,1162611000,124855000,42882000,81973000,37847000,37847000,162702000,297500000,113990000,88697000,25293000,411490000,574192000,263633000,-767085000,1095094000,-6216000,585426000,2993000,588419000,1162611000,43073000,2543000,4360000.00000001,3058000,53034000,-2028000,19999000,-25004000,-10625000,-1416000,-1425000,-2266000,-39311000,33722000,33722000,33722000,134713000,297500000,160143000,0.56937,0.17408,0.06868,0.03476,3.96295,2.31803,0.97582,0.25589,0.40271,0.40271,2.31332,5.83407,1.59591,0.24918,0.06542,0.16016,0.61876,-0.21994,-0.22417
