"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q3",13.95609375,"Up",103653000,-52907000,50746000,-70793000,-53420000,-31820000,-21600000,-17373000,-20047000,851000,851000,-19196000,-19196000,7145000,-12051000,-12051000,-12051000,-12051000,113284000,113284000,100758000,100758000,3524000,25508000,25508000,243074000,25142000,719267000,275789000,416487000,26991000,744409000,987483000,58821000,26846000,31975000,1.14e+08,1.14e+08,172821000,113559000,16470000,97089000,113559000,286380000,850207000,-146324000,-2780000,701103000,701103000,987483000,-12051000,9796000,-4281000,1164000,-5372000,-4456000,-4456000,-232000,-599000,-10427000,-10427000,-10427000,-10251000,0,-20688000,0.48958,-0.1934,-0.11626,-0.01719,-0.0122,1.7167,1.40651,0.40847,0,-0.15062,-0.15062,1.29552,8.7628,-0.25857,-0.01479,-0.02539,11.05102,5.65092
"2","2016_Q4",11.8138095238095,"Down",107108000,-53637000,53471000,-68314000,-51351000,-29725000,-21626000,-16963000,-14843000,1107000,1107000,-13736000,-13736000,6018000,-7718000,-7718000,-7718000,-7718000,110835000,110835000,110395000,110395000,2720000,24539000,24539000,248489000,27605000,709682000,268855000,416487000,24340000,737287000,985776000,68196000,23222000,44974000,118699000,118699000,186895000,103679000,14996000,88683000,103679000,290574000,853231000,-154042000,-3987000,695202000,695202000,985776000,-7718000,9826000,-3391000,4189000,2906000,-5355000,-5355000,0,0,-2449000,-2449000,-2449000,-5017000,0,-12201000,0.49923,-0.13858,-0.07206,-0.0111,-0.00783,1.58085,1.32956,0.41797,0,-0.09646,-0.09646,1.3387,8.68905,-0.1525,-0.00966,-0.01527,22.09189,7.46716
"3","2017_Q1",10.7183870967742,"Down",118948000,-56206000,62742000,-74805000,-55708000,-33143000,-22565000,-19097000,-12063000,153000,153000,-11910000,-11910000,5093000,-6817000,-6817000,-6817000,-6817000,116595000,116595000,113546000,113546000,1947000,47750000,47750000,279838000,31153000,684112000,261921000,416487000,5704000,715265000,995103000,79626000,19922000,59704000,119909000,119909000,199535000,104144000,14752000,89392000,104144000,303679000,855714000,-160859000,-3431000,691424000,691424000,995103000,-6817000,10177000,-2039000,10515000,11836000,-6076000,-6076000,0,0,5760000,5760000,5760000,-1886000,0,-2540000,0.52747,-0.10141,-0.05731,-0.00986,-0.00685,0.3726,1.40245,0.43921,0,-0.08501,-0.08501,1.48329,8.62211,-0.03167,-0.00857,-0.00319,61.82131,9.66551
"4","2017_Q2",9.5331746031746,"Down",113678000,-53613000,60065000,-79061000,-59582000,-36178000,-23404000,-19479000,-18996000,-649000,-649000,-19645000,-19645000,6368000,-13277000,-13277000,-13277000,-13277000,91566000,91566000,123164000,123164000,1470000,51477000,51477000,267677000,31199000,677605000,254987000,416487000,6131000,708804000,976481000,70831000,25551000,45280000,128090000,128090000,198921000,97275000,14893000,82382000,97275000,296196000,858118000,-175095000,-2738000,680285000,680285000,976481000,-13277000,10261000,-1202000,-15437000,-19655000,-3350000,-4574000,-7.27595761418343e-12,-8e+05,-25029000,-25029000,-25029000,-8735000,0,-33890000,0.52838,-0.1671,-0.11679,-0.01952,-0.0136,2.55253,1.34564,0.4354,0,-0.16585,-0.16585,1.41998,8.49761,-0.42333,-0.01708,-0.04359,10.48266,4.82028
"5","2017_Q3",10.9353968253968,"Up",116240000,-55907000,60333000,-76264000,-56571000,-35433000,-21138000,-19693000,-15931000,-420000,-420000,-16351000,-16351000,6080000,-10271000,-10271000,-10271000,-10271000,97780000,97780000,122664000,122664000,1170000,51004000,51004000,272618000,32779000,670631000,248053000,416487000,6091000,703410000,976028000,80134000,23847000,56287000,133811000,133811000,213945000,89637000,14644000,74993000,89637000,303582000,861635000,-187213000,-1976000,672446000,672446000,976028000,-10271000,10405000,-48000,11154000,11240000,-5026000,-5026000,0,0,6214000,6214000,6214000,-5526000,0,-5478000,0.51904,-0.13705,-0.08836,-0.01527,-0.01052,0.53335,1.27424,0.45146,0,-0.12782,-0.12782,1.44662,8.36865,-0.06817,-0.01348,-0.00719,17.69453,6.13772
"6","2017_Q4",10.2139682539683,"Down",117101000,-55311000,61790000,-76481000,-56980000,-34084000,-22896000,-19501000,-14691000,116000,116000,-14575000,-14575000,5189000,-9386000,-9386000,-9386000,-9386000,99690000,99690000,136646000,136646000,963000,27835000,27835000,265134000,33974000,662303000,241118000,416487000,4698000,696277000,961411000,86533000,23931000,62602000,124633000,124633000,211166000,86717000,15284000,71433000,86717000,297883000,864569000,-198814000,-2227000,663528000,663528000,961411000,-9386000,10654000,-1402000,5344000,5210000,-3300000,-3300000,0,0,1910000,1910000,1910000,-4037000,0,-7182000,0.52766,-0.12546,-0.08015,-0.01415,-0.00976,0.765180000000001,1.25557,0.44894,0,-0.11681,-0.11681,1.4573,8.25746,-0.08938,-0.01251,-0.00957,24.69408,6.78579
"7","2018_Q1",9.46803278688525,"Down",120885000,-61887000,58998000,-92425000,-70934000,-45646000,-25288000,-21491000,-33427000,-1782000,-1782000,-35209000,-35209000,40066000,4857000,4857000,4857000,4857000,101539000,101539000,157764000,157764000,1030000,40551000,40551000,300884000,33457000,722740000,234184000,416487000,72069000,756197000,1057081000,104891000,23266000,81625000,137697000,137697000,242588000,83403000,14948000,68455000,83403000,325991000,868222000,-137162000,30000,731090000,731090000,1057081000,4857000,10851000,-34058000,22342000,3992000,-2143000,-919000,-1224000,-1224000,1849000,1849000,1849000,-22576000,0,-42443000,0.48805,-0.27652,0.04018,0.00664,0.00459,-8.73852,1.24031,0.4459,0,0.06044,0.06044,1.50437,9.09814,-0.52819,0.00596,-0.05211,4.49765,3.03763
"8","2018_Q2",10.7940625,"Up",126161000,-60530000,65631000,-83221000,-60867000,-35670000,-25197000,-22354000,-17590000,504999.999999999,505000,-17085000,-17085000,3266000,-13819000,-13819000,-13819000,-13819000,77302000,77302000,146823000,146823000,670000,42125000,42125000,266920000,32549000,719716000,227250000,416487000,75979000,752265000,1019185000,72600000,19458000,53142000,146700000,146700000,219300000,81467000,14926000,66541000,81467000,300767000,870939000,-150981000,-1540000,718418000,718418000,1019185000,-13819000,10287000,2579000,-17451000,-18404000,-2216000,-4229000,-5e+05,-1604000,-24237000,-24237000,-24237000,-7303000,0,-30236000,0.52022,-0.13943,-0.10953,-0.01924,-0.01356,2.188,1.21715,0.41865,0,-0.17162,-0.17162,1.56679,8.92201,-0.3755,-0.01728,-0.0378,10.58497,4.39466
"9","2018_Q3",13.1009523809524,"Up",128778000,-62548000,66230000,-80393000,-57940000,-35521000,-22419000,-22453000,-14163000,1003000,1003000,-13160000,-13160000,3391000,-9769000,-9769000,-9769000,-9769000,103316000,103316000,133344000,133344000,623000,40814000,40814000,278097000,32611000,716441000,220316000,416487000,79638000,749052000,1027149000,86738000,21417000,65321000,151828000,151828000,238566000,76313000,13435000,62878000,76313000,314879000,875725000,-160750000,-2705000,712270000,712270000,1027149000,-9769000,10225000,702000,28132000,29290000,-3150000,-3276000,0,0,26014000,26014000,26014000,-3938000,0,17653000,0.5143,-0.10998,-0.07586,-0.01372,-0.00951,-1.80704,1.1657,0.44208,0,-0.12085,-0.12085,1.59302,8.81097,0.21837,-0.01239,0.02239,26.23565,7.29478
"10","2018_Q4",15.6828571428571,"Up",133060000,-62133000,70927000,-77506000,-56392000,-34773000,-21619000,-21114000,-6579000,1074000,1074000,-5505000,-5505000,1770000,-3735000,-3735000,-3735000,-3735000,115779000,115779000,134355000,134355000,632000,41084000,41084000,291850000,31112000,709051000,213382000,416487000,79182000,740163000,1032013000,94611000,23387000,71224000,148937000,148937000,243548000,76528000,15295000,61233000,76528000,320076000,880543000,-164485000,-3054000,711937000,711937000,1032013000,-3735000,10360000,3214000,5314000.00000001,15153000,-1608000,-1622000,0,-1068000,12463000,12463000,12463000,3781000,0,5717000,0.53305,-0.04944,-0.02807,-0.00525,-0.00362,-1.53066,1.19833,0.44958,0,-0.04617,-0.04617,1.64491,8.80108,0.07067,-0.00474,0.00725,-30.6212600000001,17.59827
