"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",1.95047619047619,"Up",276825000,-134028000,142797000,-119044000,-11736000,-105035000,23753000,-74477000,-74477000,-50724000,-51150000,3624000,-38377000,-16760000,-10758000,-27518000,-40440000,-195541570.930653,-195541570.930653,116744706.294143,116744706.294143,-83230875.1349622,5155353916.33575,6579516902.98203,-1424162986.64628,2287122463.93423,2081123453.28804,7442476380.26998,7359245505.13502,414379022.938083,356933080.630696,-72527454.6409161,6334605699.81495,6377659124.32761,6305131669.6867,3051241334.21472,538041695.991471,516072139.456852,1054113835.44832,7359245505.13502,-16760000,105035000,-52378000,36546000,72443000,-1148000,-9017000,-10165000,-15715000,-25373000,-65659000,-3381000,-3381000,-3381000,128788000,0,160562000,0.51584,0.08581,-0.14609,-0.0262342094775197,-0.00383561434831444,-3.97038,0.442900951027445,5.43907872268136,0.838509893991153,-0.04864,-0.04864,0.33293,0.593326155678377,0.1931,0.000508057307821421,0.130218347706399,32.9510288166189,1677.52245524186
"2","2010_Q3",1.96703125,"Up",271004000,-124608000,146396000,-111819000,-15183000,-101057000,34577000,-73022000,-73022000,-38445000,-38297000,3527000,-40066000,-10170000,2345000,-7825000,-17953000,78318000,78318000,224986000,224986000,362776000,6810113000,9640865000,-2830752000,534912000,370420000,7345025000,7707801000,306710000,279063000,1076304000,5035995000,5090878000,6167182000,3080400000,1140649000,399970000,1540619000,7707801000,-10170000,101057000,46130000,-65073000,38520000,29288000,31393000,66522000,-79649000,-2168000,-104603000,439000.000000015,439000.000000015,439000.000000015,135634000,5094938000,96322000,0.5402,0.12759,-0.06625,-0.01165,-0.00233,-5.36523,0.33706,4.00305,0.66101,-0.02124,-0.02124,0.32066,0.56812,0.11397,0.00099,0.0144,36.98645,145.08546
"3","2010_Q4",2.26390625,"Up",264436000,-115127000,149309000,-115391000,-12096000,-98974000,33918000,-70369000,-70369000,-36451000,-36457000,3891000,-48218000,-28482000,13560000,-14922000,-28498000,145062000,145062000,227407000,227407000,433027000,6685389000,9585856000,-2900467000,498656000,364110000,7184045000,7617072000,313308000,289429000,1074065000,4940829000,4995857000,6069922000,3077942000,1194575000,352575000,1547150000,7617072000,-28482000,98974000,-32831000,8121000,79206000,-165712000,13002000,-14832000,-40564000,-28552000,2370000,66744000,66744000,66744000,132892000,4994060000,-28590000,0.56463,0.12827,-0.10777,-0.01842,-0.00374,1.00323,0.40317,3.92329,0.65564,-0.03365,-0.03365,0.3122,0.51473,-0.03375,-0.00059,-0.00433,36.48826,142.96238
"4","2011_Q1",2.33370967741935,"Up",146275000,-56227000,90048000,-79648000,-14359000,-58195000,10400000,-48901000,-48901000,-38501000,-39231000,5797000,-44747000,-34212000,12749000,-21463000,-38427000,111325000,111325000,199190000,199190000,360370000,6153671000,8812991000,-2659320000,864525000,746507000,7018196000,7378566000,324444000,297121000,753952000,5181538000,5234414000,5988366000,3071472000,1046042000,344158000,1390200000,7378566000,-34212000,131767000,-24183000,-6041000,67331000,-50756000,20754000,44850000,2184000.00000001,-135771000,-145918000,-33737000,-33737000,-33737000,142167000,5181538000,79573000,0.61561,0.0711,-0.2627,-0.02764,-0.00521,-2.07076,0.47797,4.30756,0.70224,-0.04527,-0.04527,0.17233,0.45762,0.09375,-0.00182,0.01201,35.66378,487.52048
"5","2011_Q2",2.44333333333333,"Up",264039000,-118323000,145716000,-109045000,-11181000,-93967000,36671000,-70318000,-70318000,-33647000,-33647000,2412000,-32883000,-27277000,8017000,-19260000,-31773000,81360000,81360000,207290000,207290000,358743000,6417197000,9407222000,-2990025000,485892000,368853000,6903089000,7261832000,248116000,226298000,882260000,4963846000,5019169000,5901429000,3085763000,1014440000,345963000,1360403000,7261832000,-27277000,93967000,9028000,-48038000,27680000,-33877000,10843000,-1020000,-47777000,-11133000,-56625000,-29965000,-29965000,-29965000,130638000,5009127000,46311000,0.55187,0.13888,-0.12033,-0.02336,-0.00438,-1.45756,0.40662,4.338,0.68979,-0.03723,-0.03723,0.30938,0.41811,0.05426,-0.00079,0.00721,37.72078,134.37776
"6","2011_Q3",2.45046875,"Up",254781000,-106053000,148728000,-102252000,-12448000,-84914000,46476000,-90204000,-90204000,-43728000,-43728000,1608000,-43918000,-26971000,3520000,-23451000,-33177000,85324000,85324000,201605000,201605000,338431000,6262701000,9100597000,-2837896000,563840000,427572000,6826541000,7164972000,254384000,228396000,901153000,4894114000,4939096000,5840249000,3097199000,979300000,345423000,1324723000,7164972000,-26971000,84914000,-945000,10530000,67528000,-56686000,10403000,-32518000,-14288000,-23798000,-31046000,3964000,3964000,3964000,131390000,4935088000,83626000,0.58375,0.18242,-0.13022,-0.02504,-0.00463,-2.5206,0.37555,4.40866,0.68878,-0.03828,-0.03828,0.29393,0.37113,0.09648,-0.00102,0.01326,36.91121,104.34986
"7","2011_Q4",2.15904761904762,"Down",235042000,-99964000,135078000,-96470000,-12741000,-80188000,38608000,-60434000,-60434000,-21826000,-21826000,893000,-25919000,4657000,-6099000,-1442000,-14801000,75831000,75831000,209481000,209481000,326160000,6179415000,9056309000,-2876894000,537127000,411596000,6716542000,7042702000,303605000,278606000,453962000,5259725000,5304241000,5758203000,3107288000,951312000,333187000,1284499000,7042702000,4657000,80188000,-36119000,54318000,103044000,-91720000,-38289000,-29585000,-50003000,-36001000,-82948000,-9489000,-9489000,-9489000,118796000,5259725000,80501000,0.5747,0.16426,-0.06297,-0.01152,-0.0021,-5.43889,0.71847,4.48284,0.74683,-0.01691,-0.01691,0.26849,0.33732,0.09196,0.00185,0.01222,43.63694,134.26994
"8","2012_Q1",2.37677419354839,"Up",160493000,-62283000,98210000,-84674000,-14536000,-64164000,13536000,-41704000,-41704000,-28168000,-27659000,1028000,-35920000,-8573000,-4361000,-12934000,-23410000,91066000,91066000,183970000,183970000,316832000,5590329000,8152903000,-2562574000,964701000,964701000,6555030000,6871862000,315058000,282451000,871030000,4772774000,4772774000,5643804000,3099542000,908329000,319729000,1228058000,6871862000,-8573000,136263000,-32625000,-34498000,60567000,-98188000,62689000,103617000,-44529000,-58452000,-148953000,15231000,15231000,15231000,149799000,4772774000,16085000,0.61193,0.08434,-0.14586,-0.01906,-0.00341,-0.687100000000004,0.36374,4.59571,0.69454,-0.02672,-0.02672,0.18319,0.28675,0.01836,0.00058,0.00268,31.25327,345.87086
"9","2012_Q2",2.59444444444444,"Up",252320000,-102180000,150140000,-103997000,-11624000,-86632000,46143000,-62404000,-62404000,-16261000,-22335000,225000,-22873000,10647000,-8698000,1949000,-10609000,83234000,83234000,173963000,173963000,300154000,6004802000,8911846000,-2907044000,518674000,480452000,6523476000,6823630000,308231000,285409000,458162000,5201195000,5201195000,5659357000,3072737000,862019000,302254000,1164273000,6823630000,10647000,86632000,-18947000,-29860000,48472000,-98951000,13289000,-6966000,6837000,-33620000,-49338000,-7832000,-7832000,-7832000,132775000,5201195000,3739000,0.59504,0.18287,-0.04205,-0.00911,-0.00155,-0.35244,0.65513,4.86085,0.76223,-0.0121,-0.0121,0.28778,0.22226,0.00426,0.00371,0.00059,38.54612,110.91522
"10","2012_Q3",2.62428571428571,"Up",252944000,-102866000,150078000,-99751000,-13557000,-87163000,50327000,-57872000,-57872000,-7545000,-9820000,235000,-11827000,34131000,-11331000,22800000,523000,312964000,312964000,168864000,168864000,517420000,5944794000,8833622000,-2888828000,484892000,450492000,6429686000,6947106000,265325000,238271000,407040000,5090443000,5090443000,5497483000,3685206000,1147640000,301983000,1449623000,6947106000,34131000,87163000,21152000,17117000,103560000,50795000,5529000,-22372000,-65130000,-426207000,148542000,229730000,229730000,229730000,137490000,5090443000,205167000,0.59333,0.19896,0.00207000000000002,0.00036,8e-05,392.28872,1.27118,3.79235,0.73274,0.000559999999999998,0.000559999999999998,0.27294,0.8432,0.22139,-0.00516,0.03137,34.74783,94.92875
