"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2016_Q2",9.8003125,"Up",156881000,-122328000,34553000,-31488000,-7757000,-363000,-7394000,-16873000,-6858000,3065000,-5258000,-5331000,-5351000,20000,73000,-2193000,-96000,-2289000,1049000,-1240000,-1240000,-1240000,-1243000,-2483000,1594000,1594000,177360553.909137,177360553.909137,85000,17864002.8184801,1679000,1574381318.01241,342838955.135598,-23275000.957958,368860022.118609,-2746066.02505362,199766000,201445000,2350000,166000,2184000,953153067.348662,2350000,1489359311.40915,7185000,496568196.683732,7185000,7185000,9535000,-1257063147.79415,-2686000,7685000,191910000,191910000,201445000,-1240000,16873000,-531000,977000,16079000,1806000,2597000,2597000,-791000,-791000,1806000,-1209000,-14087000,-15998000,1887000,1887000,1887000,19938000,0,21672000,0.22025,0.01954,-0.01583,-0.01294,-0.01233,-8.72815,0.71447,0.04968,0,-0.11835,-0.11835,7.4773,9.14686,1.03294,0.05762,-0.0064,0.10885,-0.48691,-0.07995,-0.52007
"2","2016_Q3",9.79453125,"Down",170357000,-133033000,37324000,-29464000,-5579000,-483000,-5096000,-16644000,-7241000,7860000,-5301000,-5430000,-5446000,16000,129000,2559000,-574000,1985000,-974000,1011000,1011000,1011000,-1243000,-232000,1169000,1169000,98444276.9545685,98444276.9545685,44000,11424501.4092401,1213000,876010159.006203,262312977.567799,35126999.521021,221667511.059305,5518466.98747319,199671000,200884000,3812000,111000,3701000,473858033.674331,3812000.00000001,831313655.704574,7185000,267999098.341866,7185000,7185000,10997000,-596031573.897076,-4709000,9708000,189887000,189887000,200884000,1011000,16644000,1286000,1194000,20135000,404000,1382000,1382000,-978000,-978000,404000,-1210000,-20680000,-22557000,-2018000,-2018000,-2018000,24504000,0,27076000,0.21909,0.04614,-0.00136,-0.00122,-0.00115,-116.7069,0.31821,0.0579100000000002,5.55111512312578e-17,-0.01106,-0.01106,8.1196,9.05044,1.2905,0.05767,0.00496,0.13739,-5.21552,-0.0477100000000002,-0.14873
"3","2016_Q4",9.87047619047619,"Up",174148000,-137010000,37138000,-30356000,-5655000,-434000,-5221000,-16998000,-7703000,6782000,-6656000,-6720000,-6724000,4000,64000,126000,-701000,-575000,-682000,-1257000,-1257000,-1257000,-1243000,-2500000,818000,818000,60963758.9848562,60963758.9848562,34000,7660833.80308002,852000,483602053.002068,203647325.855933,63363999.8403403,130819170.353102,9464155.66249106,199676000,200528000,6215000,58000,6157000,189801344.55811,6215000,449353551.901525,7185000,142824032.780622,7185000,7185000,13400000,-198676524.632359,-7468000,12467000,187128000,187128000,200528000,-1257000,16998000,1736000,-4583000,12894000,-929000,445000,445000,-1374000,-1374000,-929000,-1209000,-10640000,-11951000,14000,14000,14000,23780000,0,18950000,0.21326,0.03894,-0.01436,-0.01336,-0.01247,-7.58,0.13709,0.07161,0,-0.11916,-0.11916,8.30029,8.91894,0.9032,0.05762,-0.00664,0.09752,-0.4836,-0.0344,-0.12061
"4","2017_Q1",10.0764516129032,"Up",150416000,-122437000,27979000,-33139000,-8002000,-463000,-7539000,-16985000,-8152000,-5160000,-5534000,-5599000,-5603000,4000,65000,-10694000,-543000,-11237000,444000,-10793000,-10793000,-10793000,-1041000,-11834000,3695000,3695000,54177000,54177000,20371000,6148000,79710000,318747000,171778000,71653000,89035000,11090000,490525000,570235000,39733000,5954000,33779000,52665000,92398000,281673000,93101000,92815000,286000.000000001,374774000,467172000,1000,-14694000,117754000,103063000,103063000,570235000,-10793000,16985000,1335000,9780000,17307000,517000,1482000,1482000,-965000,-965000,517000,-1210000,-17270000,-18898000,-1074000,-1074000,-1074000,11825000,334338000,21678000,0.18601,-0.0343,-0.07868,-0.11482,-0.02075,-1.83183999999999,0.86268,4.53288,0.58632,-0.56404,-0.56404,7.16917,4.91217,1.03322,0.05767,-0.02003,0.04086,-0.102250000000001,27.96135,-64.0781
"5","2017_Q2",9.95047619047619,"Down",160434000,-130154000,30280000,-30884000,-7761000,-383000,-7378000,-16315000,-6808000,-604000,-5784000,-5892000,-5896000,4000,108000,-6388000,-4128000,-10516000,2770000,-7746000,-7746000,-7746000,-806000,-8552000,38549000,38549000,67342000,67342000,18796000,6461000,126374000,303035000,171641000,70211000,89035000,12395000,474676000,601050000,41027000,7191000,33836000,14131000,56637000,266466000,89974000,89744000,230000,356440000,413077000,6.5e+07,-23246000,146215000,187973000,187973000,601050000,-7746000,16315000,919000,-7781000,1707000,-39000,1455000,1455000,-1494000,-1494000,-39000,-2015000,-43979000,33186000,34854000,34854000,34854000,15711000,280597000,5121000,0.18874,-0.00376,-0.05331,-0.0455,-0.01423,-0.59881,2.2313,2.19753,0.46684,-0.31755,-0.31755,5.95718,4.56619,0.19015,0.07482,-0.0117,0.00917,-0.23562,15.40628,-400.74172
"6","2017_Q3",12.4584126984127,"Up",197323000,-157379000,39944000,-34415000,-8576000,-554000,-8022000,-17638000,-8201000,5529000,-6387000,-6494000,-6544000,50000,107000,-858000,-1064000,-1922000,-2184000,-4106000,-4106000,-4106000,-1694000,-5800000,41584000,41584000,88224000,88224000,23847000,7497000,157602000,345989000,191404000,68768000,108413000,14223000,537393000,694995000,54029000,9898000,44131000,21520000,76474000,325124000,106742000,106515000,227000,431866000,508340000,6.5e+07,-29046000,150697000,186655000,186655000,694995000,-4106000,17638000,2693000,-4102000,12123000,-3815000,1497000,1497000,-5312000,-5312000,-44386000,-1000.00000000023,35321000,35283000,3020000,3020000,3034999.99999999,23167000,346644000,17434000,0.20243,0.02802,-0.02939,-0.03107,-0.00835,-3.00586,2.06086,2.72342,0.49877,-0.15261,-0.15261,5.19187,3.20093,0.45872,3.00000000000022e-05,-0.00906,0.02724,-0.000170000000000059,13.16787,55.17453
"7","2017_Q4",13.385873015873,"Up",231322000,-186420000,44902000,-38765000,-9107000,-488000,-8619000,-19805000,-9853000,6137000,-8516000,-8548000,-8624000,76000,32000,-2379000,-433000,-2812000,2862000,50000,50000,50000,-1225000,-1175000,112510000,112510000,106081000,106081000,29263000,8831000,252219000,369199000,236003000,77541000,139889000,18573000,605202000,857421000,59428000,12493000,46935000,26514000,87421000,395841000,116242000,114900000,1342000,512083000,599504000,6.5e+07,-30221000,223134000,257917000,257917000,857421000,50000,19805000,-2914000,-4e+06,12941000,-6459000,2300000,2300000,-8759000,-8759000,-57021000,-1680000,53269000,115051000,70971000,70971000,70926000,25942000,422355000,12621000,0.19411,0.02653,-0.00508,-0.00456,-0.00137,-10.74128,2.88511,2.32441,0.49259,-0.0298,-0.0298,5.86587,4.892,0.32004,0.0426,0.00063,0.01585,-1.42979,11.94376,50.48802
"8","2018_Q1",11.94,"Down",257221000,-213447000,43774000,-45136000,-9756000,-575000,-9181000,-23142000,-12238000,-1362000,-7713000,-8166000,-8436000,270000,453000,-9075000,-975000,-10050000,48852000,38802000,38802000,38802000,-1275000,37527000,90679000,90679000,127368000,127368000,44011000,15771000,266711000,429639000,429318000,93120000,302702000,33496000,858957000,1125668000,65012000,12488000,52524000,43056000,108068000,574301000,92066000,90434000,1632000,666367000,774435000,6.5e+07,7338000,278890000,351233000,351233000,1125668000,38802000,23142000,-48298000,5383000,19029000,-3687000,548000,548000,-4235000,-4235000,-192354000,-2504000,159189000,151580000,-21745000,-21745000,-21815000,21780000,617357000,-25376000,0.17018,-0.0053,0.14589,0.10684,0.03334,-0.676209999999998,2.46799,2.2049,0.54844,0.81585,0.69492,5.59205,6.22278,-0.55168,0.05444,0.03774,-0.02392,0.06673,24.18173,-386.69457
"9","2018_Q2",9.30828125,"Down",327600000,-2.68e+08,59600000,-51600000,-12800000,-6e+05,-12200000,-25200000,-13600000,8e+06,-8900000,-9900000,-10300000,4e+05,1e+06,-9e+05,-3e+05,-1200000,4e+05,-8e+05,-8e+05,-8e+05,-1200000,-2e+06,182698000,182698000,143402000,143402000,47738000,16346000,378711000,406997000,424686000,91110000,302539000,31037000,831683000,1210394000,70876000,14316000,56560000,43625000,114501000,570403000,91109000,89702000,1407000,661512000,776013000,6.5e+07,5302000,364073000,434381000,434381000,1210394000,-8e+05,25200000,-4e+05,-9800000,14200000,-1700000,5900000,5900000,-7600000,-7600000,-1700000,-1200000,-3900000,79500000,9.2e+07,9.2e+07,9.2e+07,33200000,614028000,21300000,0.18193,0.02442,-0.00611,-0.0046,-0.00165,-10.65,3.30749,1.78648,0.5073,-0.03682,-0.03682,6.0314,6.80063,0.39215,0.02209,-7e-04,0.01869,-0.6,12.99187,53.91625
"10","2018_Q3",8.94349206349206,"Down",376900000,-3.04e+08,72900000,-60600000,-13800000,-8e+05,-1.3e+07,-31700000,-15100000,12300000,-9600000,-10500000,-11100000,6e+05,9e+05,2700000,-3700000,-1e+06,14500000,13500000,13500000,13500000,-1300000,12200000,78734000,78734000,195606000,195606000,52994000,18561000,332374000,501120000,490608000,186857000,264025000,39726000,991728000,1324102000,103942000,29057000,74885000,48022000,151964000,567378000,142498000,121513000,20985000,709876000,861840000,6.5e+07,-30652000,427908000,462262000,462262000,1324102000,13500000,31700000,-12400000,-1.8e+07,14800000,-17700000,5800000,5800000,-23500000,-23500000,-96800000,-1300000,-2e+07,-21900000,-103900000,-103900000,-1.04e+08,4.4e+07,615400000,-6199999.99999999,0.19342,0.03263,0.03237,0.02639,0.00921,-0.5082,2.18719,1.8644,0.46477,0.22461,0.22461,6.93906,7.31394,-0.11415,0.02393,0.01106,-0.00508,0.10656,12.19695,43.63138
