"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q4",9.43825396825397,"Up",5011000,-2143000,2868000,-3563000,-2041000,-893000,-1148000,-1522000,-695000,5000,5000,-690000,-690000,-417000,-1107000,-1107000,-1107000,-1107000,8205000,8205000,-19401008.3120158,4406000,4406000,4883000,4883000,17494000,5178000,32501327.9598828,86000,-183613.806702016,5264000,22758000,3757000,3286000,5010000,503000,503000,5513000,73212000,-55967000,258562.11791637,17245000,17245000,22758000,-1107000,303000,2910000,-1308000,798000,-2816000,-122933358.882588,-2816000,0,0,-5837000,-7855000,-7855000,-7855000,-392000,0,-4099000,0.57234,-0.13869,-0.22091,-0.06419,-0.04864,3.7028,3.49182,0.31969,0,-0.08888,-0.08888,0.40233,1.38458,-0.3291,-0.06237,-0.23096,20.93112,11.80576
"2","2017_Q1",11.8227419354839,"Up",5854000,-1864000,3990000,-2732000,-1913000,-798000,-1115000,-819000,1258000,58000,58000,1316000,1316000,-503000,813000,813000,813000,813000,20868000,7897000,12971000,4364000,4364000,906000,906000,26138000,6234000,25597000,71000,17000,31902000,58040000,3316000,2756000,3316000,245000,245000,3561000,109736000,-55154000,-103000,54479000,54479000,58040000,813000,420000,530000,-509000,1254000,-399000,-39017000,-39416000,-185000,-185000,37854000,-307999.999999998,-307999.999999998,-308000,1678000,0,1273000,0.68159,0.2149,0.13888,0.01492,0.01401,1.56581,7.88239,0.06536,0,0.04652,0.04652,0.33499,3.11754,0.0728500000000001,0.01486,0.02326,-12.43623,-16.58824
"3","2017_Q2",8.06349206349206,"Down",5306000,-1859000,3447000,-3228000,-2377000,-891000,-1486000,-851000,219000,119000,119000,338000,338000,-106000,232000,232000,232000,232000,27367000,6734000,20633000,4601000,4601000,1202000,1202000,33170000,5894000,19643000,113000,69000,25650000,58820000,3281000,2306000,3281000,243000,243000,3524000,110303000,-54922000,-85000,55296000,55296000,58820000,232000,412000,660000,204000,1508000,-90000,-1780000,-1870000,-93729.6125682484,-93729.6496906649,-801000,-1163000,-1163000,-1163000,631000,0,851000,0.64964,0.04127,0.04372,0.0042,0.00394,3.6681,10.10972,0.06373,0,0.01313,0.01276,0.30018,3.12831,0.04814,0.00418,0.01532,-43.37084,-124.96347
"4","2017_Q3",5.75,"Down",4640000,-1879000,2761000,-2911000,-1991000,-851000,-1140000,-920000,-150000,120000,120000,-30000,-29999.9999999999,110000,-24999.9999999999,-24999.9999999999,-25000,-25000,28873000,11473000,17400000,4186000,4186000,1668000,1668000,34727000,6737000,17243000,98000,61000,24078000,58805000,2722000,1820000,2722000,245000,245000,2967000,110748000,-54947000,37000,55838000,55838000,58805000,-24999.9999999999,405000,635000,-451000,564000,-1427000,5579000,4152000,23000,23000,22999.9999999963,4739000,4739000,4739000,255000,8.67361737988404e-19,-1733000,0.59504,-0.03233,-0.00538999999999999,-0.000450000000000002,-0.000429999999999999,69.32,12.7579,0.05314,-8.07793566946316e-28,-0.00141,-0.00138,0.26197,3.15255,-0.09784,-0.000449999999999999,-0.0309,-113.22745,192.48667
"5","2017_Q4",3.82920634920635,"Down",4503000,-2268000,2235000,-3716000,-2588000,-1383000,-1205000,-1128000,-1481000,145000,145000,-1336000,-1336000,415000,-1093000,-1093000,-1093000,-1093000,26048000,9478000,16570000,3594000,3594000,2396000,2396000,32038000,6490000,20044000,98000,71000,26632000,58670000,3151000,2370000,3151000,248000,248000,3399000,111301000,-56040000,10000,55271000,55271000,58670000,-1093000,438000,822000,333000,5e+05,-237000,130000,-2568000,4000,4000,4000,-2064000,-2064000,-1995000,-1043000,0,-1362000,0.49634,-0.32889,-0.24273,-0.01978,-0.01863,1.24611,10.16757,0.0615,0,-0.06157,-0.06496,0.25368,3.11368,-0.07673,-0.01969,-0.02453,24.97411,17.58812
"6","2018_Q1",4.40803278688525,"Up",4281000,-2545000,1736000,-3806000,-2482000,-1080000,-1402000,-1324000,-2070000,97000,97000,-1973000,-1973000,596000,-1624000,-1624000,-1624000,-1624000,26484000,6490000,19994000,4005000,4005000,2438000,2438000,32927000,7272000,16820000,165000,39000,24257000,57184000,3e+06,2089000,3e+06,6000,6000,3006000,111886000,-57664000,-44000,54178000,54178000,57184000,-1624000,473000,710000,-8e+05,-1241000,-1141000,-622000,-1763000,4000,4000,4000,-3e+06,-3e+06,-2988000,-1597000,0,-4134000,0.40551,-0.48353,-0.37935,-0.02998,-0.0284,2.54557000000001,10.97567,0.05548,0,-0.09115,-0.09115,0.24028,3.0408,-0.23203,-0.02997,-0.0763,16.58359,12.7942
"7","2018_Q2",3.95578125,"Down",4653000,-2772000,1881000,-4075000,-2617000,-1130000,-1487000,-1458000,-2194000,95000,95000,-2099000,-2099000,434000,-1910000,-1910000,-1910000,-1910000,28485000,5274000,23211000,4969000,4969000,2621000,2621000,36075000,6853000,11977000,535000,30000,19365000,55440000,2409000,1347000,2409000,6000,6000,2415000,112433000,-59321000,-87000,53025000,53025000,55440000,-1910000,516000,565000,-462000,-1291000,-1116000,1167000,51000,2000,2000,2000,-1238000,-1238000,-1216000,-1678000,0,-3690000,0.40426,-0.47152,-0.41049,-0.03602,-0.03445,1.93194,14.97509,0.04554,0,-0.10692,-0.10692,0.26047,2.96826,-0.20656,-0.03602,-0.06958,16.97557,12.98314
"8","2018_Q3",4.27253968253968,"Up",5400000,-2544000,2856000,-3857000,-2645000,-1279000,-1366000,-1212000,-1001000,98000,98000,-903000,-903000,1e+05,-1049000,-1049000,-1049000,-1049000,30603000,3654000,26949000,5055000,5055000,2537000,2537000,38195000,7325000,9416000,612000,20000,17353000,55548000,2978000,1794000,2978000,8999.99999999999,9000,2987000,113013000,-60370000,-82000,52561000,52561000,55548000,-1049000,562000,992000,-562000,-57000,-36000,-981000,-1527000,7000,7000,6999.99999999997,-1577000,-1577000,-1620000,-439000,1.11022302462516e-16,-1137000,0.52889,-0.18537,-0.19426,-0.01996,-0.01888,1.08389,12.82572,0.05683,-1.03397576569128e-25,-0.05854,-0.05854,0.30137,2.93342,-0.06346,-0.01995,-0.02163,69.71071,30.57243
"9","2018_Q4",3.5131746031746,"Down",5625000,-2612000,3013000,-3859000,-2421000,-1115000,-1306000,-1438000,-846000,143000,143000,-703000,-703000,318000,-595000,-595000,-595000,-595000,32603000,8489000,24114000,6077000,6077000,2370000,2370000,41050000,6853000,5996000,947000,18000,13796000,54846000,2255000,1024000,2255000,11000,11000,2266000,113602000,-60965000,-57000,52580000,52580000,54846000,-595000,547000,538000,-595000,-105000,-1047000,6009000,4962000,1000,1000,1000,4858000,4858000,4835000,-299000,0,-2259000,0.53564,-0.1504,-0.10578,-0.01132,-0.01085,3.79664,18.20399,0.0431,0,-0.03304,-0.03304,0.31231,2.91933,-0.12542,-0.01131,-0.04295,109.04013,38.53783
"10","2019_Q1",4.57524590163934,"Up",5673000,-2769000,2904000,-3933000,-2507000,-1128000,-1379000,-1426000,-1029000,98000,98000,-931000,-931000,-888000,-2053000,-2053000,-2053000,-2053000,31034000,6736000,24298000,5948000,5948000,2561000,2561000,39543000,6446000,7898000,17000.0000000002,17000,14361000,53904000,2572000,1313000,2738000,13999.9999999999,14000.0000000001,2752000,114205000,-63018000,-35000,51152000,51152000,53904000,-2053000,538000,1918000,375000,778000,-123000,-2413000,-2536000,4999.99999999997,4999.99999999997,5000.00000000003,-1753000,-1753000,-1753000,-491000,-1.77635683940025e-15,649000,0.5119,-0.18139,-0.36189,-0.04014,-0.03809,-0.31612,14.44229,0.0538,0,-0.11331,-0.11331,0.3131,2.82311,0.03582,-0.04012,0.01268,63.2057,30.15938
