"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2013_Q2",30.13890625,"Down",1.09e+09,-4.02e+08,6.88e+08,-4.62e+08,-3.57e+08,-9e+07,-1.5e+07,2.26e+08,-2.7e+07,-2.2e+07,-5e+06,1.99e+08,-7e+06,1.92e+08,-5.2e+07,1.4e+08,1.4e+08,0,1.4e+08,1.4e+08,4.68e+08,4.68e+08,8.61e+08,8.61e+08,1.12e+09,4.93e+08,4.1e+08,2.942e+09,1.237e+09,1.963e+09,8.55e+08,9.85e+08,6.3e+07,6e+07,3.2e+09,6.142e+09,4.89e+08,2.75e+08,1.81e+08,7.92e+08,7.92e+08,1.287e+09,3.64e+09,4.91e+08,3.37e+08,1.54e+08,4.131e+09,5.418e+09,8.17e+08,1.3e+07,-1.21e+08,7.09e+08,7.24e+08,6.142e+09,1.4e+08,5.1e+07,2.2e+07,6.8e+07,2.81e+08,-2.2e+07,613127.929368441,-2.2e+07,0,-2.738e+09,-1.08e+08,1.51e+08,1.51e+08,0,1.51e+08,2.77e+08,3.646e+09,3.75e+08,0.63119,0.20734,0.12844,0.19337,0.02279,2.67857,2.28594,7.48343,0.59362,0.28,0.27994,2.18,1.418,0.75,0,0.0288,0.07714,0,11.47292,14.06195
"2","2013_Q3",28.57390625,"Down",1.114e+09,-4.16e+08,6.98e+08,-5.09e+08,-3.99e+08,-9.5e+07,-1.5e+07,1.89e+08,-2.2e+07,-3.2e+07,1e+07,1.67e+08,2e+07,1.87e+08,-5.9e+07,1.28e+08,1.28e+08,0,1.28e+08,1.28e+08,3.69e+08,3.69e+08,1.137e+09,1.137e+09,1.257e+09,3.19e+08,2.27e+08,3.082e+09,1.252e+09,1.927e+09,8.34e+08,9.82e+08,5.4e+07,5.7e+07,3.179e+09,6.261e+09,8.6e+08,5.87e+08,2.4e+08,4.49e+08,4.49e+08,1.321e+09,3.64e+09,4.77e+08,3.08e+08,1.69e+08,4.117e+09,5.438e+09,8.74e+08,1.09e+08,-1.83e+08,8e+08,8.23e+08,6.261e+09,1.28e+08,5.1e+07,-8000000.00000001,-1.83e+08,-11999999.9999999,-5.2e+07,0,-5.2e+07,-3.3e+07,-5000000.00000048,-3.2e+07,-96000000.0000001,-96000000.0000001,-3e+06,-9.9e+07,2.4e+08,3.652e+09,6.4e+07,0.62657,0.16966,0.1149,0.15553,0.02044,0.5,2.33308,6.60753,0.58329,0.256,0.25589,2.228,1.6,0.128,0.066,0.03251,0.01292,0.25781,13.67917,17.37037
"3","2013_Q4",29.8084375,"Up",1.103e+09,-3.85e+08,7.18e+08,-5.07e+08,-3.99e+08,-9.3e+07,-1.5e+07,2.11e+08,-2.3e+07,-2.9e+07,6e+06,1.88e+08,-3e+06,1.85e+08,-5.4e+07,1.31e+08,1.31e+08,0,1.31e+08,1.31e+08,3.89e+08,3.89e+08,1.11e+09,1.11e+09,1.29e+09,2.94e+08,2.28e+08,3.083e+09,1.252e+09,1.924e+09,8.15e+08,9.8e+08,7e+07,5.9e+07,3.176e+09,6.259e+09,8.2e+08,4.82e+08,3.05e+08,4.78e+08,4.78e+08,1.308e+09,3.642e+09,4.43e+08,2.69e+08,1.74e+08,4.085e+09,5.393e+09,8.81e+08,2.07e+08,-2.45e+08,8.43e+08,8.66e+08,6.259e+09,1.31e+08,4.9e+07,-1.9e+07,-4.7e+07,1.14e+08,-5.4e+07,0,-5.4e+07,-3.2e+07,0,-3.2e+07,2.8e+07,2.8e+07,-8e+06,2e+07,2.6e+08,3.652e+09,2.13e+08,0.65095,0.1913,0.11877,0.15127,0.02093,1.62595,2.35703,6.22748,0.58348,0.262,0.26181,2.206,1.686,0.426,0.064,0.03286,0.04293,0.24427,12.55,15.46445
"4","2014_Q1",28.6116393442623,"Down",1.254e+09,-4.66e+08,7.88e+08,-5.94e+08,-4.58e+08,-1.21e+08,-1.5e+07,1.94e+08,-3.2e+07,-3e+07,-2e+06,1.62e+08,-3.6e+07,1.26e+08,-2.2e+07,1.04e+08,1.04e+08,1e+06,1.05e+08,1.05e+08,6.1e+08,6.1e+08,1.138e+09,1.138e+09,1.293e+09,3.16e+08,2.19e+08,3.357e+09,1.295e+09,1.906e+09,8.03e+08,9.82e+08,6.3e+07,5.8e+07,3.201e+09,6.558e+09,1.381e+09,5.06e+08,8.39e+08,19000000.0000001,19000000.0000001,1.415e+09,3.642e+09,5.39e+08,3.22e+08,2.17e+08,4.181e+09,5.596e+09,8.83e+08,2.76e+08,-2.19e+08,9.4e+08,9.62e+08,6.558e+09,1.04e+08,5.8e+07,9.9e+07,3.7e+07,2.98e+08,-4.7e+07,0,-5.1e+07,-3.3e+07,0,-2.8e+07,2.19e+08,2.19e+08,2e+06,2.21e+08,2.52e+08,3.657e+09,2.64e+08,0.62839,0.1547,0.08373,0.10915,0.01601,2.51429,2.37244,5.81705,0.55764,0.21,0.20975,2.50796,1.87997,0.52799,0.066,0.02675,0.05118,0.31429,12.09127,15.70619
"5","2014_Q2",28.8646031746032,"Up",1.097e+09,-3.79e+08,7.18e+08,-4.58e+08,-3.56e+08,-8.7e+07,-1.5e+07,2.6e+08,-3e+07,-2.9e+07,-1e+06,2.3e+08,-3e+06,2.27e+08,-7.2e+07,1.55e+08,1.55e+08,0,1.55e+08,1.55e+08,5.06e+08,5.06e+08,1.1e+09,1.1e+09,1.316e+09,3e+08,2.05e+08,3.222e+09,1.292e+09,1.889e+09,7.87e+08,9.82e+08,5.7e+07,6.3e+07,3.181e+09,6.403e+09,6.6e+08,3.63e+08,2.61e+08,4.51e+08,4.51e+08,1.127e+09,3.642e+09,5.35e+08,3.19e+08,2.16e+08,4.177e+09,5.304e+09,9.11e+08,3.95e+08,-2.29e+08,1.077e+09,1.099e+09,6.403e+09,1.55e+08,5e+07,1e+07,-2.38e+08,-2.3e+07,-4.5e+07,2.3283064365387e-10,-4.5e+07,-3.6e+07,0,-3.5e+07,-1.03e+08,-1.03e+08,-1e+06,-1.04e+08,3.1e+08,3.658e+09,9.9e+07,0.65451,0.23701,0.14129,0.14104,0.02421,0.63871,2.85892,4.82621,0.57129,0.30986,0.30957,2.19299,2.15301,0.19791,0.07197,0.03609,0.01871,0.23226,10.16774,12.12308
"6","2014_Q3",32.2871875,"Up",1.158e+09,-4.13e+08,7.45e+08,-5.03e+08,-3.96e+08,-9.2e+07,-1.5e+07,2.42e+08,-3.7e+07,-2.9e+07,-8e+06,2.05e+08,-5e+06,2e+08,-6.1e+07,1.39e+08,1.39e+08,-3e+06,1.36e+08,1.36e+08,5.78e+08,5.78e+08,1.098e+09,1.098e+09,1.336e+09,3.15e+08,2.07e+08,3.327e+09,1.309e+09,1.886e+09,7.74e+08,9.84e+08,5.7e+07,7.1e+07,3.195e+09,6.522e+09,6.06e+08,3.37e+08,2.69e+08,4.43e+08,4.43e+08,1.061e+09,3.642e+09,5.36e+08,3.14e+08,2.22e+08,4.178e+09,5.239e+09,9.28e+08,5.31e+08,-1.99e+08,1.26e+09,1.283e+09,6.522e+09,1.39e+08,5.1e+07,-1.2e+07,-1.9e+07,1.59e+08,-5e+07,0,-5e+07,-3.7e+07,1e+06,-3.9e+07,7e+07,7e+07,2e+06,71999999.9999999,2.93e+08,3.654e+09,2.85e+08,0.64335,0.20898,0.11744,0.106,0.02085,2.09559,3.13572,4.0834,0.56026,0.27147,0.27109,2.31149,2.5151,0.56889,0.07386,0.03161,0.05207,0.27206,10.49829,12.71074
"7","2014_Q4",38.35171875,"Up",1.21e+09,-4.34e+08,7.76e+08,-5.03e+08,-3.94e+08,-9.3e+07,-1.6e+07,2.73e+08,-3.3e+07,-2.9e+07,-4e+06,2.4e+08,-2e+06,2.38e+08,-7.1e+07,1.67e+08,1.67e+08,-1e+06,1.66e+08,1.66e+08,5.98e+08,5.98e+08,1.057e+09,1.057e+09,1.388e+09,3.1e+08,2.04e+08,3.353e+09,1.313e+09,1.861e+09,7.57e+08,9.82e+08,5.5e+07,6.7e+07,3.174e+09,6.527e+09,5.46e+08,2.59e+08,2.87e+08,4.42e+08,4.42e+08,9.98e+08,3.642e+09,4.98e+08,2.65e+08,2.33e+08,4.14e+09,5.138e+09,9.43e+08,6.61e+08,-2.4e+08,1.364e+09,1.389e+09,6.527e+09,1.67e+08,5e+07,-3.4e+07,-8e+07,1.03e+08,-4.1e+07,0,-4.2e+07,-3.6e+07,1e+06,-3.8e+07,2.3e+07,2.3e+07,-3e+06,2e+07,3.23e+08,3.652e+09,2.73e+08,0.64132,0.22562,0.13719,0.11951,0.02543,1.64458,3.35972,3.69906,0.55952,0.33104,0.33038,2.41299,2.7201,0.54442,0.07179,0.03647,0.04929,0.21687,9.45511,11.18681
"8","2015_Q1",42.7080327868852,"Up",1.32e+09,-4.91e+08,8.29e+08,-6.35e+08,-4.97e+08,-1.24e+08,-1.4e+07,1.94e+08,-2.4e+07,-3e+07,6e+06,1.7e+08,-1.5e+07,1.55e+08,-2.9e+07,1.26e+08,1.26e+08,-4.65661287307739e-10,1.26e+08,1.26e+08,8.82e+08,8.82e+08,9.8e+08,9.8e+08,1.289e+09,3.14e+08,2.05e+08,3.465e+09,1.318e+09,1.805e+09,7.27e+08,9.76e+08,5.4e+07,4.8e+07,3.123e+09,6.588e+09,1.071e+09,2.9e+08,7.39e+08,8e+06,8e+06,1.086e+09,3.624e+09,5.41e+08,2.77e+08,2.64e+08,4.165e+09,5.251e+09,9.63e+08,7.09e+08,-3.61e+08,1.311e+09,1.337e+09,6.588e+09,1.26e+08,5.3e+07,1.2e+08,88000000.0000001,3.87e+08,-5e+07,0,-5e+07,-3.7e+07,-2e+06,-4.2e+07,2.95e+08,2.95e+08,-1.1e+07,2.84e+08,2.47e+08,3.631e+09,3.14e+08,0.62803,0.14697,0.09545,0.09424,0.01913,2.49206,3.19061,3.92745,0.55115,0.25122,0.25036,2.63178,2.61384,0.62605,0.07377,0.02959,0.057,0.29365,11.12955,14.1701
"9","2015_Q2",45.3101587301587,"Up",1.102e+09,-3.94e+08,7.08e+08,-4.49e+08,-3.54e+08,-8e+07,-1.5e+07,2.59e+08,-2.8e+07,-2.8e+07,0,2.31e+08,-1e+06,2.3e+08,-6.5e+07,1.65e+08,1.65e+08,0,1.65e+08,1.65e+08,5.59e+08,5.59e+08,9.05e+08,9.05e+08,1.346e+09,3e+08,2.13e+08,3.11e+09,1.301e+09,2.019e+09,7.35e+08,1.169e+09,5.7e+07,5.8e+07,3.32e+09,6.43e+09,9.38e+08,2.56e+08,6.4e+08,3e+07,3e+07,1.37e+09,3.243e+09,5.12e+08,2.56e+08,2.56e+08,3.755e+09,5.125e+09,9.74e+08,8.32e+08,-4.79e+08,1.278e+09,1.305e+09,6.43e+09,1.65e+08,4.8e+07,3e+07,-1.83e+08,6e+07,-4.4e+07,-2.3e+08,-2.74e+08,-4.2e+07,1e+06,-9.4e+07,-3.08e+08,-3.08e+08,-1.5e+07,-3.23e+08,3.07e+08,3.645e+09,1.45e+08,0.64247,0.23503,0.14973,0.12644,0.02566,0.87879,2.27007,3.9272,0.56687,0.32928,0.3279,2.19916,2.55039,0.28936,0.08382,0.0379,0.02655,0.25455,10.05212,11.91506
"10","2015_Q3",44.06,"Down",1.175e+09,-4.27e+08,7.48e+08,-4.78e+08,-3.79e+08,-8.4e+07,-1.5e+07,2.7e+08,-3.1e+07,-2.9e+07,-2e+06,2.39e+08,-2.66e+08,-2.7e+07,-8999999.99999999,-3.6e+07,-3.6e+07,-1e+06,-3.7e+07,-3.7e+07,5.44e+08,5.44e+08,9.93e+08,9.93e+08,1.417e+09,3.62e+08,2.35e+08,3.316e+09,1.295e+09,1.987e+09,6.97e+08,1.167e+09,6.5e+07,5.8e+07,3.282e+09,6.598e+09,1.129e+09,2.78e+08,8.51e+08,3.9e+07,3.9e+07,1.572e+09,3.243e+09,5.81e+08,2.34e+08,3.47e+08,3.824e+09,5.396e+09,9.85e+08,7.95e+08,-5.04e+08,1.176e+09,1.202e+09,6.598e+09,-3.6e+07,5e+07,2.28e+08,-1.2e+08,1.22e+08,-4.5e+07,1e+06,-4.4e+07,-4.3e+07,1e+06,-9.1e+07,-13000000.0000001,-13000000.0000001,-2e+06,-1.5e+07,3.2e+08,3.647e+09,1.64e+08,0.6366,0.22979,-0.03149,-0.03078,-0.00561,-4.43243,2.10941,4.48918,0.55274,-0.0739699999999999,-0.07397,2.34919,2.35119,0.32789,0.08597,0.0011,0.0302,-1.16216,9.69688,11.49259
