"","YQ","p","d","revenue","cost_of_revenue","gross_profit","other_operating_income","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","intangible_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",46.6412698412698,"Down",5.598e+09,-4.415e+09,1.183e+09,6.4e+07,-2.79e+08,-7.2e+07,-2.07e+08,9.68e+08,-4.5e+07,-4.5e+07,9.23e+08,8.88e+08,-2.14e+08,6.74e+08,6.74e+08,-2e+06,6.72e+08,6.72e+08,4.203e+09,2.71e+08,3.932e+09,5.972e+09,5.972e+09,1.851e+09,1.039e+09,8.85e+08,1.3065e+10,1.911e+10,8.4e+08,5.397e+09,2.36e+09,1.0212e+10,1.9818e+10,3.2883e+10,5.82e+09,2.5e+08,5.57e+09,9.34e+08,6.754e+09,4.052e+09,2.538e+09,1.623e+09,9.15e+08,6.59e+09,1.3344e+10,4.841e+09,-5.221e+09,2.244e+10,-2.632e+09,1.9428e+10,1.11e+08,1.9539e+10,3.2883e+10,6.74e+08,6.2e+08,-3.1e+07,-2.74e+08,9.89e+08,-4.49e+08,-1.17e+08,3.67e+08,-1.99e+08,-2.54e+08,-2.91e+08,-2.22e+08,-7.67e+08,2.3e+07,2.3e+07,-8556446.55291791,2.3e+07,1.588e+09,4.986e+09,1.079e+09,0.21133,0.17292,0.12004,0.03439,0.02044,1.60565,1.93441,0.68294,0.15163,0.56234,0.55309,4.68452,16.25774,0.90293,0.21255,6.37412572741413,0.03422,0.03987,0.37798,0.49307,0.80888
"2","2010_Q3",43.66765625,"Down",5.936e+09,-4.649e+09,1.287e+09,5.1e+07,-2.9e+08,-7.4e+07,-2.16e+08,1.048e+09,-5.4e+07,-5.4e+07,9.94e+08,9.94e+08,-1.77e+08,8.17e+08,8.17e+08,1e+06,8.18e+08,8.18e+08,3.078e+09,2.29e+08,2.849e+09,6.234e+09,6.234e+09,1.865e+09,1.053e+09,9.05e+08,1.223e+10,2.0135e+10,1.36e+09,5.854e+09,2.396e+09,1.0326e+10,2.0787e+10,3.3017e+10,6.009e+09,2.49e+08,5.76e+09,7.67e+08,6.776e+09,3.729e+09,2.628e+09,1.581e+09,1.047e+09,6.357e+09,1.3133e+10,4.92e+09,-5.42e+09,2.3007e+10,-2.729e+09,1.9778e+10,1.06e+08,1.9884e+10,3.3017e+10,8.17e+08,6.38e+08,-56000000.0000005,-1.02e+08,1.297e+09,-6.34e+08,-9.17e+08,1.052e+09,-4.99e+08,-2.51e+08,-1.11e+08,-4.86e+08,-8.34e+08,-3.6e+07,-3.6e+07,-1e+06,-3.7e+07,1.686e+09,4.496e+09,1.127e+09,0.21681,0.17655,0.1378,0.04114,0.02478,1.37775,1.8049,0.66048,0.13617,0.68567,0.67771,4.97569,16.57837,0.94468,0.21039,6.19953372128754,0.03958,0.04173,0.30685,0.84104,1.35305
"3","2010_Q4",55.3196875,"Up",6.845e+09,-5.473e+09,1.372e+09,5.4e+07,-3.14e+08,-7.5e+07,-2.39e+08,1.112e+09,-4.7e+07,-4.7e+07,1.065e+09,1.94e+09,-2.09e+08,1.731e+09,1.731e+09,3e+06,1.734e+09,1.734e+09,2.625e+09,1.114e+09,1.511e+09,8.6e+09,8.6e+09,3.941e+09,1.28e+09,1.28e+09,1.6446e+10,3.2808e+10,5.248e+09,1.3671e+10,1.005e+09,1.2884e+10,3.3408e+10,4.9854e+10,7.811e+09,2.86e+08,7.525e+09,1.916e+09,1.0061e+10,4.82e+09,3.857e+09,1.192e+09,1.108e+09,8.677e+09,1.8738e+10,1.1874e+10,-2.803e+09,2.4454e+10,-2.627e+09,3.0898e+10,2.18e+08,3.1116e+10,4.9854e+10,1.731e+09,6.93e+08,-1.442e+09,-1.72e+08,8.1e+08,-8.24e+08,3.9e+08,8.76e+08,4.42e+08,-2.51e+08,-2.22e+08,-2.68e+08,-7.41e+08,5.11e+08,5.11e+08,0,5.11e+08,1.805e+09,6.736e+09,1.018e+09,0.20044,0.16245,0.25332,0.05573,0.03478,0.58708,1.63463,0.6022,0.13511,1.38942,1.37728,5.48478,24.75801,0.81571,0.20112,6.07482514548283,0.04759,0.02441,0.14475,2.27756,3.69694
"4","2011_Q1",66.0709677419355,"Up",8.293e+09,-6.56e+09,1.733e+09,4.6e+07,-3.47e+08,-9e+07,-2.57e+08,1.432e+09,-6.1e+07,-6.1e+07,1.371e+09,1.31e+09,-2.79e+08,1.031e+09,1.043e+09,0,1.043e+09,1.043e+09,4.99e+09,1.764e+09,3.226e+09,8.278e+09,8.278e+09,3.804e+09,1.026e+09,9.75e+08,1.8098e+10,3.3185e+10,5.162e+09,1.3952e+10,1.071e+09,1.3e+10,3.3669e+10,5.1767e+10,8.27e+09,2.89e+08,7.981e+09,2.595e+09,1.0865e+10,5.517e+09,3.941e+09,1.262e+09,1.043e+09,9.458e+09,2.0323e+10,1.192e+10,-3.136e+09,2.521e+10,-2.768e+09,3.1226e+10,2.18e+08,3.1444e+10,5.1767e+10,1.031e+09,8.06e+08,-2.99e+08,8.75e+08,2.413e+09,-1.005e+09,-5.8e+07,-1.617e+09,-2.68e+09,-2.84e+08,1.557e+09,-3.4e+08,9.33e+08,6.66e+08,6.49e+08,1e+06,6.5e+08,2.238e+09,8.112e+09,2.387e+09,0.20897,0.17268,0.12577,0.03317,0.02015,2.28859,1.66572,0.64632,0.1567,0.76466,0.76076,6.07991,22.89296,1.75,0.20821,6,0.03051,0.05488,0.27229,1.395,2.18017
"5","2011_Q2",64.0860317460318,"Down",8.716e+09,-7.055e+09,1.661e+09,3.1e+07,-3.47e+08,-9.3e+07,-2.54e+08,1.345e+09,-7.3e+07,-7.3e+07,1.272e+09,1.238e+09,-2.95e+08,9.43e+08,9.43e+08,1e+06,9.44e+08,9.44e+08,4.163e+09,1.475e+09,2.688e+09,8.891e+09,8.891e+09,4.092e+09,1.065e+09,1.051e+09,1.8211e+10,3.3703e+10,5.079e+09,1.3978e+10,1.198e+09,1.3448e+10,3.4161e+10,5.2372e+10,8.21e+09,3.38e+08,7.872e+09,2.189e+09,1.0399e+10,6.422e+09,3.925e+09,1.253e+09,9.7e+08,1.0347e+10,2.0746e+10,1.1983e+10,-3.74e+09,2.5814e+10,-2.643e+09,3.1414e+10,2.12e+08,3.1626e+10,5.2372e+10,9.43e+08,7.88e+08,5.7e+07,-9.52e+08,8.36e+08,-7.7e+08,-7.4e+07,4.59e+08,-3.85e+08,-2.91e+08,1.52e+08,-6.08e+08,-7.47e+08,-2.96e+08,-2.96e+08,7e+06,-2.89e+08,2.133e+09,8.611e+09,7.06e+08,0.19057,0.15431,0.10831,0.02985,0.01802,0.74788,1.75123,0.65598,0.16442,0.69412,0.68655,6.40882,23.09853,0.51912,0.21397,5.97505828483906,0.02797,0.01599,0.30826,2.08533,3.30706
"6","2011_Q3",59.300625,"Down",8.396e+09,-6.452e+09,1.944e+09,2.9e+07,-4.19e+08,-1.38e+08,-2.81e+08,1.554e+09,-6.9e+07,-6.9e+07,1.485e+09,1.454e+09,-3.58e+08,1.096e+09,1.341e+09,-2e+06,1.339e+09,1.339e+09,4.933e+09,1.378e+09,3.555e+09,9.356e+09,9.356e+09,4.306e+09,1.347e+09,1.157e+09,1.9942e+10,3.3759e+10,4.996e+09,1.3935e+10,1.217e+09,1.3611e+10,3.4077e+10,5.4019e+10,8.559e+09,3.36e+08,8.223e+09,3.817e+09,1.2376e+10,5.745e+09,3.836e+09,1.244e+09,1.104e+09,9.581e+09,2.1957e+10,1.2044e+10,-4.417e+09,2.6815e+10,-2.594e+09,3.1848e+10,2.14e+08,3.2062e+10,5.4019e+10,1.096e+09,8.01e+08,-1.12e+08,-5.54e+08,1.231e+09,-9.46e+08,-4.9e+07,-4.98e+08,-1.493e+09,-3.4e+08,7.86e+08,-6.82e+08,-2.36e+08,-4.98e+08,-98000000.0000002,1e+06,-9.7e+07,2.355e+09,9.562e+09,1.213e+09,0.23154,0.18509,0.15948,0.04176,0.02479,0.9059,1.61134,0.68483,0.17701,0.99038,0.98095,6.21006,23.55621,0.89719,0.25148,6,0.03693,0.02668,0.25392,1.96561,2.97876
"7","2011_Q4",53.001746031746,"Down",9.546e+09,-7.444e+09,2.102e+09,3.4e+07,-3.53e+08,-8.8e+07,-2.65e+08,1.783e+09,-7e+07,-7e+07,1.713e+09,1.687e+09,-3.98e+08,1.289e+09,1.305e+09,-4e+06,1.301e+09,1.301e+09,6.064e+09,1.732e+09,4.332e+09,9.493e+09,9.493e+09,4.469e+09,1.234e+09,1.086e+09,2.126e+10,3.4066e+10,4.927e+09,1.4118e+10,1.222e+09,1.3799e+10,3.4321e+10,5.5581e+10,8.564e+09,3.34e+08,8.23e+09,2.743e+09,1.1307e+10,8.74e+09,3.911e+09,1.034e+09,1.215e+09,1.2651e+10,2.3958e+10,1.1606e+10,-5.088e+09,2.778e+10,-2.798e+09,3.15e+10,1.23e+08,3.1623e+10,5.5581e+10,1.289e+09,8.26e+08,-1.15e+08,-3.49e+08,1.651e+09,-1.041e+09,-2.5e+07,-8.03e+08,-1.869e+09,-3.37e+08,2.175e+09,-6.46e+08,5.76e+08,3.58e+08,3.63e+08,-9e+06,3.54e+08,2.609e+09,1.1483e+10,1.617e+09,0.2202,0.18678,0.13629,0.04114,0.02341,1.24289,1.88025,0.75761,0.2066,0.96801,0.96015,7.10268,23.4375,1.20312,0.25074,6,0.03484,0.03439,0.25903,2.07704,3.03926
"8","2012_Q1",56.6974193548387,"Up",9.921e+09,-7.851e+09,2.07e+09,3.6e+07,-3.59e+08,-9.8e+07,-2.61e+08,1.747e+09,-8.6e+07,-8.6e+07,1.661e+09,1.639e+09,-4.41e+08,1.198e+09,1.418e+09,-5e+06,1.413e+09,1.413e+09,4.827e+09,1.705e+09,3.122e+09,9.5e+09,9.5e+09,4.7e+09,1.512e+09,1.056e+09,2.0539e+10,3.4406e+10,4.882e+09,1.4154e+10,1.266e+09,1.4104e+10,3.4662e+10,5.5201e+10,9.161e+09,3.37e+08,8.824e+09,1.377e+09,1.0538e+10,8.556e+09,4.715e+09,1.732e+09,1.252e+09,1.3271e+10,2.3809e+10,1.1639e+10,-5.679e+09,2.886e+10,-3.557e+09,3.1263e+10,1.29e+08,3.1392e+10,5.5201e+10,1.198e+09,8.59e+08,-4.6e+07,1.51e+08,2.162e+09,-1.247e+09,-3.8e+07,1.134e+09,-1.51e+08,-3.32e+08,-1.34e+09,-6.24e+08,-2.293e+09,-2.82e+08,-2.5e+07,-2e+06,-27000000.0000001,2.606e+09,9.933e+09,1.951e+09,0.20865,0.17609,0.14243,0.04501,0.0256,1.38075,1.94904,0.75844,0.17994,1.05448,1.04744,7.40373,23.3306,1.45597,0.24776,6,0.0379,0.04238,0.23496,1.95932,2.92272
"9","2012_Q2",51.1947619047619,"Down",9.918e+09,-7.811e+09,2.107e+09,4.7e+07,-3.72e+08,-9.7e+07,-2.75e+08,1.782e+09,-8e+07,-8e+07,1.702e+09,1.687e+09,-4e+08,1.287e+09,1.306e+09,-5e+06,1.301e+09,1.301e+09,4.085e+09,1.346e+09,2.739e+09,1.0401e+10,1.0401e+10,5.118e+09,1.688e+09,1.201e+09,2.1292e+10,3.4793e+10,4.805e+09,1.4199e+10,1.303e+09,1.4486e+10,3.5074e+10,5.6366e+10,9.074e+09,3.69e+08,8.705e+09,1.728e+09,1.0802e+10,8.439e+09,4.637e+09,1.717e+09,1.171e+09,1.3076e+10,2.3878e+10,1.1685e+10,-5.767e+09,2.9794e+10,-3.365e+09,3.2347e+10,1.41e+08,3.2488e+10,5.6366e+10,1.287e+09,8.51e+08,-2.8e+07,-1.352e+09,7.58e+08,-9.6e+08,-536885014.935648,2.16e+08,-7.44e+08,-3.34e+08,9.9e+07,-1.21e+08,-3.56e+08,-3.42e+08,-3.69e+08,1e+07,-3.59e+08,2.633e+09,1.0167e+10,7.21e+08,0.21244,0.17967,0.13118,0.04005,0.02308,0.55419,1.97112,0.73498,0.18037,0.97526,0.96801,7.43478,24.24813,0.54048,0.25037,6,0.03457,0.01525,0.25673,2.30991,3.41302
"10","2012_Q3",54.9271428571429,"Up",1.0232e+10,-8.073e+09,2.159e+09,4.5e+07,-3.85e+08,-1.02e+08,-2.83e+08,1.819e+09,-7.8e+07,-7.8e+07,1.741e+09,1.719e+09,-4.33e+08,1.286e+09,1.414e+09,-1.2e+07,1.402e+09,1.402e+09,3.493e+09,1.521e+09,1.972e+09,1.0802e+10,1.0802e+10,4.762e+09,1.983e+09,1.525e+09,2.104e+10,3.5712e+10,4.98e+09,1.454e+10,1.264e+09,1.4928e+10,3.5973e+10,5.7013e+10,9.005e+09,3.69e+08,8.636e+09,2.521e+09,1.1526e+10,7.953e+09,4.567e+09,1.49e+09,1.277e+09,1.252e+10,2.4046e+10,1.1761e+10,-6.209e+09,3.083e+10,-3.572e+09,3.281e+10,1.57e+08,3.2967e+10,5.7013e+10,1.286e+09,8.55e+08,-2.49e+08,-1.253e+09,6.39e+08,-1.12e+09,-6.82e+08,6.21e+08,-1.181e+09,-3.67e+08,6.03e+08,-4.69e+08,-2.19e+08,-7.61e+08,1.87e+08,-1.2e+07,1.75e+08,2.674e+09,1.0474e+10,7.34e+08,0.211,0.17778,0.13702,0.04253,0.02459,0.52354,1.82544,0.7294,0.18371,1.05255,1.04783,7.68168,24.63213,0.55105,0.27553,4,0.03685,0.01529,0.26177,2.6107,3.83782
