"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",570.809047619048,"Up",142133,-3927874,-1883677,-3851307,-20129,-3871436,-3871436,-3871436,-3871436,-3871436,-3871436,10769909,10769909,134638,134638,11238735,3265782,1677789,1677789,4943571,16182306,2305754,1562059,743695,813947,813947,3226246,618158,618158,3246988,6473234,55049906,-45340834,9709072,9709072,16182306,-3871436,108887,592664,34006,-3135879,443355,394443,-27460,144568,-2596868,-2596868,-2596868,-3742420,2735375,-27.0965,-27.23812,-0.39874,-0.23924,3.48353,0.66672,0.16903,-23.62512,-23.62512,0.86735,59.2488,-0.29638,2.14688,2.08618
"2","2010_Q3",142.68734375,"Down",59132,-3429141,-2117906,-3403969,-18281,-3422250,-3422250,-3422250,-3422250,-3422250,-3422250,16397965,12523434,150133,150133,16846022,3270187,1775392,1775392,5045579,21891601,1520587,834085,686502,746062,746062,2372629,669167,669167,3271697,5644326,65010359,-48763084,16247275,16247275,21891601,-3422250,126002,750374,-764398,-3310272,-4043590,-4144867,-26865,9208664,1753525,1753525,1753525,-3277967,2708510,-57.5656,-57.87475,-0.21064,-0.15633,7.10015,0.3474,0.12372,-20.884,-20.884,0.36085,99.14764,-0.17438,4.1762,4.02162
"3","2010_Q4",114.4484375,"Down",80483,-2924548,-1932021,-2994432,-57618,-3052050,-3052050,-3052050,-3052050,-3052050,-3052050,14185742,8922955,127731,127731,14492642,3197943,1747282,1747282,4945225,19437867,1637484,1029934,607550,746062,746062,2489066,651401,651401,3225802,5714868,65538133,-51815134,13722999,13722999,19437867,-3052050,119390,652372,154613,-2125675,-1418406,-1446215,-28589,-28589,-3600479,-3600479,-3600479,-2875042,2679921,-37.20577,-37.92167,-0.2224,-0.15702,5.82252,0.41644,0.13787,-18.62488,-18.62488,0.49114,83.74346,-0.17896,4.00197,3.84241
"4","2011_Q1",130.156290322581,"Up",88481,-3180134,-1484082,-3199854,207871,-2991983,-2991983,-2991983,-2991983,-2991983,-2991983,11840268,8908080,393177,393177,12306621,3107134,1745350,1745350,4852484,17159105,1711427,1126172,585255,746062,746062,2731350,633636,633636,3180318,5911668,66054554,-54807117,11247437,11247437,17159105,-2991983,137881,407510,311804,-2134788,4708743,2273164,-153251,-153251,-14875,-14875,-14875,-3061973,2820543,-36.16431,-33.81498,-0.26601,-0.17437,4.50569,0.5256,0.16438,-18.25833,-18.25833,0.53995,68.63655,-0.20351,2.94572,2.81879
"5","2011_Q2",149.166666666667,"Up",115081,-2875468,-1603473,-2773214,-32620,-2805834,-2805834,-2805834,-2805834,-2805834,-2805834,9380743,8140814,297652,297652,9750876,3051345,1804552,1804552,4855897,14606773,2427783,1350761,1077022,71062,71062,2650254,615871,615871,3131568,5781822,66437902,-57612951,8824951,8824951,14606773,-2805834,134103,381944,137576,-2152211,1582356,1538382,-153437,-153437,-767266,-767266,-767266,-2639111,2667106,-24.09793,-24.38138,-0.31794,-0.19209,3.67922,0.65517,0.18259,-17.12237,-17.12237,0.70227,53.85353,-0.23174,2.5439,2.42089
"6","2011_Q3",133.9221875,"Down",73088,-2816591,-1360256,-2746252,-41040,-2787292,-2787292,-2787292,-2787292,-2787292,-2787292,7059792,6108117,192644,192644,7274609,2969818,1781429,1781429,4751247,12025856,2429539,1257327,1172212,71062,71062,2608056,598105,598105,3088484,5696540,66729559,-60400243,6329316,6329316,12025856,-2787292,118860,317033,156244,-2195155,252884,231730,-69272,-69272.0000000001,-2032697,-2032697,-2032697,-2627392,2597834,-37.5746,-38.13611,-0.44038,-0.23177,2.78928,0.90002,0.21602,-17.00922,-17.00922,0.44601,38.62412,-0.29262,1.69825,1.62474
"7","2011_Q4",90.304126984127,"Down",-13150,-2997677,-1405979,-3011209,-52241,-3063450,-3063450,-3063450,-3063450,-3063450,-3063450,4793416,2400866,530479,530479,5327946,2889886,1747534,1747534,4637420,9965366,2801703,1451819,1349884,71062,71062,3312339,580339,580339,3042117,6354456,67074603,-63463693,3610910,3610910,9965366,-3063450,118045,370727,507281,-2067397,-1470469,-1488542,-151312,-151312,-3707251,-3707251,-3707251,-2893164,2901352,228.98928,232.96198,-0.84839,-0.30741,1.60851,1.75979,0.29114,-18.27045,-18.27045,-0.07843,21.53551,-0.43192,0.65398,0.62834
"8","2012_Q1",35.1716129032258,"Down",44401,-2489527,-1205513,-2445513,-50608,-2496121,-1557225,-1557225,-1557225,-1557225,-1557225,3971228,2968104,314800,314800,4321044,2795149,1611652,1611652,4406801,8727845,997741,581713,416028,125970.391364965,125970.391353549,2071926,627911.422918212,627911.422918813,2830041,4901967,68846796,-65020918,3825878,3825878,8727845,-1557225,119507,-459661,-20800,-1918179,1336130,1329231,-299879,1156186,567238,567238,567238,-2326006,3904226,-55.07788,-35.07185,-0.40702,-0.17842,2.08552,1.28127,0.44733,-9.28731,-9.28731,0.26481,22.81758,-0.20145,0.02881,0.0273999999999999
"9","2012_Q2",24.4526984126984,"Down",7275,-1881293,-1204675,-1874202,-64069,-1938271,-1938271,-1938271,-1938271,-1938271,-1938271,1878240,1316462,205757,205757,2090985,2701548,1574077,1574077,4275625,6366610,688084,460578,227506,217231.255895388,217231.255876279,1654095,731319.989413534,731319.989414869,2602912,4257007,69068792,-66959189,2109603,2109603,6366610,-1938271,112325,263946,-172586,-1734586,418247,418247,-335303,-335303,-1651642,-1651642,-1651642,-1761877,3568923,-257.62227,-266.429,-0.91878,-0.30444,1.26413,2.01792,0.56057,-9.64226,-9.64226,0.03619,10.49458,-0.34133,-0.95959,-0.90208
"10","2012_Q3",12.4746031746032,"Down",27241,-2274324,-1393714,-2247095,-62664,-2309759,-2309759,-2309759,-2309759,-2309759,-2309759,11159927,10949955,146047,146047,11331170,2608950,1581789,1581789,4190739,15521909,1078161,435807,642354,204000,204000,2181815,856224.811202089,856224.81120349,2372537,4554352,80236505,-69268948,10967557,10967557,15521909,-2309759,112127,231805,635579,-1330248,321961,321961,-296732,10641780,9633493,9633493,9633493,-2134968,3272191,-82.48945,-84.7898,-0.2106,-0.14881,5.19346,0.41526,0.21081,-9.48216,-9.48216,0.11183,45.02466,-0.16221,3.69455,3.51019
"11","2012_Q4",17.3770967741935,"Up",10730,-2412358,-1346391,-2401628,-58459,-2460087,-2460087,-2460087,-2460087,-2460087,-2460087,10225916,9836750,465117,465117,10694271,2560243,1569182,1569182,4129425,14823696,1624602,642030,982572,63444,63444,4298225,968286,968286,1763063,6061288,80491443,-71729035,8762408,8762408,14823696,-2460087,110263,250448,1562184,-537192,-186119,-228143,-347870,-347870,-1113205,-1113205,-1113205,-2291365,3404956,-223.82367,-229.27185,-0.28075,-0.16596,2.48807,0.69174,0.2297,-2.53623,-2.53623,0.01106,9.03362,-0.18728,2.97681,2.84014
"12","2013_Q1",16.3351666666667,"Down",-3689,-2434652,-1240043,-2438737,-65361,-2504098,-2504098,-2504098,-2504098,-2504098,-2504098,12140878,10977974,387480,387480,12528358,2484539,1601894,1601894,4086433,16614791,1708858,613925,1094933,79803,79803,4078953,1081706,1081706,1844838,5923791,84924133,-74233133,10691000,10691000,16614791,-2504098,95513,210645,310991,-1886949,-826515,-828183,-351532,3856356,1141224,1141224,1141224,-2343224,3053424,661.08349,678.8013,-0.23422,-0.15071,3.07146,0.55409,0.18378,-2.31042,-2.31042,-0.00339999999999999,9.86411,-0.1689,3.87818,3.7263
"13","2013_Q2",11.56046875,"Down",18655,-2839928,-1427955,-2821273,19104,-2802169,-2802169,-2802169,-2802169,-2802169,-2802169,9267638,2491838,286761,286761,9554399,2428789,1610964,1610964,4039753,13594152,1189226,704782,484444,84995,84995,3219604,1254719,1254719,2001495,5221099,85408355,-77035302,8373053,8373053,13594152,-2802169,86808,465567,-222053,-2471847,-5642180,-5653024,-361265,-361265,-8486136,-8486136,-8486136,-2734465,2692159,-151.23415,-150.21008,-0.33467,-0.20613,2.96757,0.62356,0.19804,-2.25201,-2.25201,0.01499,6.72914,-0.22745,2.40467,2.33068
"14","2013_Q3",10.8565625,"Down",21249,-3154852,-1354330,-3133603,-11016,-3144619,-3144619,-3144619,-3144619,-3144619,-3144619,19993075,9736747,121164,121164,20114239,2376700,1609888,1609888,3986588,24100827,1805489,874917,930572,84995,84995,2034446,1233470,1233470,3457235,5491681,98789067,-80179921,18609146,18609146,24100827,-3144619,84989,392827,781860,-1884943,-3503236,-3515303,-324432,12645155,7244909,7244909,7244909,-3048614,2367727,-147.47061,-147.98903,-0.16898,-0.13048,9.88684,0.29511,0.09824,-1.70174,-1.70174,0.0115,10.07049,-0.14158,5.78143,5.62463
"15","2013_Q4",13.29484375,"Up",77776,-3129349,-1322976,-3072803,713,-3072090,-3072090,-3072090,-3072090,-3072090,-3072090,17287907,4355340,503034,503034,17847009,2319067,1615811,1615811,3934878,21781887,1886144,870356,1015788,92868,92868,2400881,1324514,1324514,3511700,5912581,99121317,-83252011,15869306,15869306,21781887,-3072090,80103,310542,108031,-2573414,-2703302,-2704632,-103361,-103361,-5381407,-5381407,-5381407,-2992700,2609055,-39.50837,-39.4992,-0.19359,-0.14104,7.43353,0.37258,0.11978,-1.14023,-1.14023,0.02887,5.89,-0.15513,4.90489,4.77702
"16","2014_Q1",18.3332786885246,"Up",-61612,-3013929,-1411243,-3075504,-54273,-3129777,-3129777,-3129777,-3129777,-3129777,-3129777,14301331,5658683,459396,459396,14760727,2266982,1612160,1612160,3879142,18639869,1837168,780514,1056654,92084,92084,2249023,1290441,1290441,3441049,5690072,99331585,-86381788,12949797,12949797,18639869,-3129777,74634,231812,23881,-2799450,4243544,4241469,-138676,-138676.000000002,1303343,1303343,1303343,-3000870,2470379,49.91729,50.79817,-0.24169,-0.16791,6.56317,0.43939,0.13253,-1.16436,-1.16436,-0.02292,4.81766,-0.18729,3.94251,3.84683
"17","2014_Q2",15.2925396825397,"Down",51728,-2923565,-1894442,-2903744,-43905,-2947649,-2947649,-2947649,-2947649,-2947649,-2947649,12858305,3985102,423891,423891,13282196,2217042,1624792,1624792,3841834,17124030,1380829,694992,685837,96698,96698,1695419,1331237,1331237,3443706,5139125,101314342,-89329437,11984905,11984905,17124030,-2947649,82595,379846,-352249,-2837457,-273642,-275842,-140018,1439718,-1673581,-1673581,-1673581,-2821149,2330361,-56.13486,-56.98363,-0.24595,-0.17214,7.83417,0.4288,0.13609,-1.08975,-1.08975,0.01912,4.43084,-0.18839,3.73179,3.62564
