"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","current_portion_of_long_term_debt","other_short_term_liabilities","deferred_revenue_short_term","liabilities_from_derivatives_hedging_short_term","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","liabilities_from_derivatives_hedging_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",26.5336507936508,"Up",3.462e+09,-1.636e+09,1.826e+09,-1.334e+09,-2.04e+08,-1.13e+09,4.92e+08,-1.41e+08,-1.49e+08,8e+06,3.51e+08,3.51e+08,-1.22e+08,2.29e+08,2.29e+08,2.29e+08,2.26e+08,604572612.554116,604572612.554116,1084316707.70909,1084316707.70909,1074843993.66909,1341408275.62131,573881097.143173,2763733313.93229,22118491548.9732,27763372734.6381,420336449.676125,5797421332.56213,3000125.3962145,406383041.569829,5388038165.59608,28336249331.2114,31099982645.1437,705759907.934577,233610063.682704,472149844.251873,787549060.766142,787549060.766142,2329652665.38496,284529782.774354,195007469.66104,-242547131.988274,2092662544.93784,3822961634.08568,10353013381.6854,10344259627.1386,6756573671.88244,231866701.195146,4677317156.91161,164713264.307167,1682676549.46852,17109587053.5678,20932548687.6535,10167433957.4902,31099982645.1437,2.29e+08,2.04e+08,2e+08,-6.32e+08,1e+06,-4.59e+08,-4.6e+08,-1.58e+08,4.3e+08,1.4e+07,-22258831.5495545,2.86e+08,-1.73e+08,-1.73e+08,-1.73e+08,6.96e+08,0,0.52744,0.14211,0.06528,0.0597245747057525,0.019110996547633,0.435822691678973,2.08145912130276,0.35184928593965,0.80313,0.79943,12.30277,0.56148,0.0275683168172402,0.69912,2.11591866450591,-3.71592686604274
"2","2010_Q3",28.63953125,"Up",3.016e+09,-1.294e+09,1.722e+09,-1.293e+09,-2.11e+08,-1.082e+09,4.29e+08,-1.37e+08,-1.5e+08,1.3e+07,2.92e+08,2.92e+08,-1.06e+08,1.86e+08,1.86e+08,1.86e+08,1.83e+08,1.78e+08,1.78e+08,1.075e+09,1.075e+09,1.905e+09,1.31e+08,1.774e+09,3.158e+09,2.3097e+10,2.8703e+10,4.02e+08,7.732e+09,3e+06,4.2e+08,7.309e+09,3.1231e+10,3.4389e+10,1.337e+09,1.094e+09,2.43e+08,3.05e+08,3.05e+08,1.033e+09,2.79e+08,1.6e+08,4.4e+07,5.5e+08,2.675e+09,1.0562e+10,1.0552e+10,1.0559e+10,3.012e+09,5.771e+09,1.37e+08,1.639e+09,2.1121e+10,2.3796e+10,1.0593e+10,3.4389e+10,1.86e+08,2.11e+08,-1.24e+08,5.21e+08,7.94e+08,-5.44e+08,-5.47e+08,-1.59e+08,-2999999.99999976,1.1e+07,-5e+06,-1.56e+08,9.1e+07,9.1e+07,9.1e+07,6.4e+08,1.0867e+10,0.57095,0.14224,0.06068,0.01728,0.00532,1.18056,2.24639,0.316,0.64894,0.64505,10.69504,0.56383,0.01068,0.86885,16.70156,24.91608
"3","2010_Q4",30.29890625,"Up",3.707e+09,-1.602e+09,2.105e+09,-1.399e+09,-2.11e+08,-1.188e+09,7.06e+08,-1.48e+08,-1.57e+08,9e+06,5.58e+08,5.58e+08,-2.05e+08,3.53e+08,3.53e+08,3.53e+08,3.5e+08,155975795.815295,155975795.815295,1117727764.09697,1117727764.09697,2205802002.1103,-26802758.5404381,1979456300.95228,3479505562.02257,23613586150.3423,29296959088.454,397054516.774625,8459192889.14596,2999958.20126183,426788986.14339,8029403944.8013,32469833556.2629,35949339118.2854,1502663364.02181,1301879978.77243,200783385.249376,69150313.0779528,69150313.0779528,795865778.205014,281823405.741882,138247510.112987,121182377.329425,254612485.02072,2367679455.30477,10659912206.1049,10650830124.2871,11950808776.0392,3744044432.93495,6432060947.69613,106595578.564278,1668107816.84383,22610720982.1441,24978400437.4488,10970938680.8366,35949339118.2854,3.53e+08,2.11e+08,5e+08,-8.85e+08,1.79e+08,-5.45e+08,-5.59e+08,-1.6e+08,5.08e+08,5.3e+07,-1e+06,4e+08,2e+07,2e+07,2e+07,9.17e+08,0,0.56784,0.19045,0.09442,0.00986680843141581,0.00289883448412232,1.46192993610701,2.27495279289908,0.298712738020117,1.23588,1.22936,13.08969,0.56497,0.00756806106091994,0.45714,18.8505479451647,29.1598072886809
"4","2011_Q1",31.1074193548387,"Up",3.14e+09,-1.222e+09,1.918e+09,-1.425e+09,-2.14e+08,-1.211e+09,4.93e+08,-1.43e+08,-1.53e+08,1e+07,3.5e+08,3.5e+08,-1.15e+08,2.35e+08,2.35e+08,2.35e+08,2.33e+08,3.38e+08,3.38e+08,1.173e+09,1.173e+09,2.158e+09,3.41e+08,1.655e+09,3.669e+09,2.3863e+10,2.9671e+10,4.03e+08,8.413e+09,3e+06,4.29e+08,7.981e+09,3.2679e+10,3.6348e+10,1.408e+09,1.151e+09,2.57e+08,5e+06,5e+06,1.117e+09,2.89e+08,1.25e+08,9e+07,6.13e+08,2.53e+09,1.0678e+10,1.0671e+10,1.1866e+10,3.287e+09,6.769e+09,7.7e+07,1.733e+09,2.2544e+10,2.5074e+10,1.1274e+10,3.6348e+10,2.35e+08,2.14e+08,-5.11e+08,1.469e+09,1.407e+09,-5.87e+08,-6.09e+08,-1.63e+08,-8.51e+08,3.61e+08,-5e+06,-6.58e+08,1.4e+08,1.4e+08,1.4e+08,7.07e+08,1.0683e+10,0.61083,0.15701,0.0742,0.02067,0.00641,1.4502,2.22406,0.29391,0.80179,0.79658,10.80523,0.56091,0.01171,0.69957,14.63225,20.98377
"5","2011_Q2",32.987619047619,"Up",3.349e+09,-1.349e+09,2e+09,-1.374e+09,-2.18e+08,-1.156e+09,6.26e+08,-1.43e+08,-1.52e+08,9e+06,4.83e+08,4.83e+08,-1.69e+08,3.14e+08,3.14e+08,3.14e+08,3.11e+08,5.16e+08,5.16e+08,1.178e+09,1.178e+09,1.896e+09,5.58e+08,1.338e+09,3.59e+09,2.4068e+10,2.9959e+10,4.13e+08,8.115e+09,3e+06,4.29e+08,7.683e+09,3.2596e+10,3.6186e+10,1.267e+09,9.67e+08,3e+08,5e+06,5e+06,1.404e+09,2.96e+08,1.17e+08,7e+07,9.21e+08,2.676e+09,1.0675e+10,1.067e+10,1.1391e+10,2.659e+09,6.871e+09,5.2e+07,1.809e+09,2.2066e+10,2.4742e+10,1.1444e+10,3.6186e+10,3.14e+08,2.18e+08,-2.98e+08,1.28e+08,3.62e+08,-4.73e+08,-4.96e+08,-1.76e+08,4.63e+08,2.5e+07,-8739333.75524683,3.12e+08,1.78e+08,1.78e+08,1.78e+08,8.44e+08,1.068e+10,0.59719,0.18692,0.09286,0.02718,0.00859,1.34155,2.16201,0.29514,1.06507,1.05926,11.46918,0.60274,0.01453,0.56592,12.04265,16.23642
"6","2011_Q3",34.940625,"Up",2.993e+09,-1.199e+09,1.794e+09,-1.396e+09,-2.19e+08,-1.177e+09,3.98e+08,-1.46e+08,-1.52e+08,6e+06,2.52e+08,2.52e+08,-8.3e+07,1.69e+08,1.69e+08,1.69e+08,1.66e+08,4.92e+08,4.92e+08,1.101e+09,1.101e+09,1.616e+09,1.47e+08,1.469e+09,3.209e+09,2.4414e+10,3.0284e+10,4.26e+08,7.97e+09,3e+06,4.29e+08,7.538e+09,3.281e+10,3.6019e+10,1.282e+09,1.033e+09,2.49e+08,5000000.00000001,5e+06,1.186e+09,2.99e+08,1.09e+08,1.56e+08,6.22e+08,2.473e+09,1.0673e+10,1.0669e+10,1.1409e+10,2.666e+09,6.853e+09,3.5e+07,1.855e+09,2.2082e+10,2.4555e+10,1.1464e+10,3.6019e+10,1.69e+08,2.19e+08,-7.3e+07,9.12e+08,1.227e+09,-6.06e+08,-6.33e+08,-1.76e+08,-4.66e+08,2.4e+07,-10403898.0549386,-6.18e+08,-2.4e+07,-2.4e+07,-2.4e+07,6.17e+08,1.0678e+10,0.5994,0.13298,0.05546,0.01448,0.00461,1.29761,2.14192,0.29645,0.56733,0.56424,10.22898,0.6015,0.01019,1.06024,16.50891,25.59296
"7","2011_Q4",37.8403174603175,"Up",3.63e+09,-1.384e+09,2.246e+09,-1.489e+09,-2.22e+08,-1.267e+09,7.57e+08,-1.46e+08,-1.44e+08,-2e+06,6.11e+08,6.11e+08,-2.25e+08,3.86e+08,3.86e+08,3.86e+08,3.83e+08,3.98e+08,3.98e+08,1.177e+09,1.177e+09,1.883e+09,4.69e+08,1.414e+09,3.458e+09,2.4698e+10,3.0659e+10,4.74e+08,7.905e+09,3e+06,4.29e+08,7.473e+09,3.3077e+10,3.6535e+10,1.368e+09,1.062e+09,3.06e+08,3.05e+08,3.05e+08,1.286e+09,3.02e+08,1.01e+08,1.66e+08,7.17e+08,2.959e+09,1.0371e+10,1.0369e+10,1.1538e+10,2.6e+09,7.11e+09,3e+07,1.798e+09,2.1909e+10,2.4868e+10,1.1667e+10,3.6535e+10,3.86e+08,2.22e+08,1.72e+08,-2.08e+08,5.72e+08,-4.75e+08,-4.82e+08,-1.76e+08,0,-8e+06,-10098795.4770069,-1.84e+08,-9.4e+07,-9.4e+07,-9.4e+07,9.79e+08,1.0676e+10,0.61873,0.20854,0.10551,0.03283,0.01048,1.16864,2.13148,0.29221,1.30761,1.29919,12.39331,0.60089,0.0165,0.45953,10.49847,13.57728
"8","2012_Q1",38.1854838709677,"Up",2.914e+09,-1.069e+09,1.845e+09,-1.387e+09,-2.25e+08,-1.162e+09,4.58e+08,-1.42e+08,-1.46e+08,4e+06,3.16e+08,3.16e+08,-1.23e+08,1.93e+08,1.93e+08,1.93e+08,1.91e+08,6.48e+08,6.48e+08,1.123e+09,1.123e+09,1.867e+09,1.45e+08,1.456e+09,3.638e+09,2.5093e+10,3.1144e+10,4.55e+08,1.0028e+10,3e+06,4.29e+08,9.596e+09,3.5576e+10,3.9214e+10,1.206e+09,9.55e+08,2.51e+08,5.3e+08,5.3e+08,1.251e+09,3.03e+08,1.69e+08,1.88e+08,5.91e+08,2.987e+09,1.0145e+10,1.0143e+10,1.4433e+10,4.835e+09,7.563e+09,4.8e+07,1.987e+09,2.4578e+10,2.7565e+10,1.1649e+10,3.9214e+10,1.93e+08,2.25e+08,2.47e+08,3.11e+08,9.76e+08,-5.16e+08,-5.39e+08,-1.76e+08,-999999.99999994,-1e+07,-7929128.59938349,-1.87e+08,2.5e+08,2.5e+08,2.5e+08,6.83e+08,1.0675e+10,0.63315,0.15717,0.06555,0.0164,0.00487,1.21794,2.3663,0.27222,0.6521,0.64746,9.94879,0.60089,0.00998,0.92147,14.68082,21.89301
"9","2012_Q2",39.4419047619048,"Up",3.078e+09,-1.085e+09,1.993e+09,-1.432e+09,-2.33e+08,-1.199e+09,5.61e+08,-1.47e+08,-1.5e+08,3e+06,4.14e+08,4.14e+08,-1.34e+08,2.8e+08,2.8e+08,2.8e+08,2.77e+08,7.69e+08,7.69e+08,1.069e+09,1.069e+09,2.066e+09,4.31e+08,1.35e+09,3.904e+09,2.5353e+10,3.1506e+10,4.4e+08,1.0004e+10,3e+06,4.29e+08,9.572e+09,3.5797e+10,3.9701e+10,1.147e+09,8.44e+08,3.03e+08,1.03e+09,1.03e+09,1.663e+09,3.06e+08,1.98e+08,2.29e+08,9.3e+08,3.84e+09,1.0043e+10,1.0041e+10,1.4273e+10,4.605e+09,7.712e+09,5.4e+07,1.902e+09,2.4316e+10,2.8156e+10,1.1545e+10,3.9701e+10,2.8e+08,2.33e+08,1e+07,-1.21e+08,4.02e+08,-4.81e+08,-4.9e+08,-1.78e+08,3.99e+08,-8e+06,-4e+06,2.09e+08,1.21e+08,1.21e+08,1.21e+08,7.94e+08,1.1073e+10,0.6475,0.18226,0.08999,0.02399,0.00698,1.01667,2.4388,0.27891,0.94572,0.94058,10.50871,0.60772,0.01233,0.6426,12.97733,18.3672
"10","2012_Q3",41.2750793650794,"Up",2.771e+09,-8.36e+08,1.935e+09,-1.46e+09,-2.36e+08,-1.224e+09,4.75e+08,-1.55e+08,-1.54e+08,-1e+06,3.2e+08,3.2e+08,-1.06e+08,2.14e+08,2.14e+08,2.14e+08,2.14e+08,1.381e+09,1.381e+09,1.034e+09,1.034e+09,1.687e+09,1.51e+08,1.4e+09,4.102e+09,2.5734e+10,3.1997e+10,4.51e+08,9.762e+09,3e+06,4.29e+08,9.33e+09,3.5947e+10,4.0049e+10,1.083e+09,8.13e+08,2.7e+08,1.231e+09,1.231e+09,2.066e+09,3.08e+08,1.1e+08,1.54e+08,1.494e+09,4.38e+09,9.842e+09,9.84e+09,1.4248e+10,4.385e+09,7.743e+09,5.1e+07,2.069e+09,2.409e+10,2.847e+10,1.1579e+10,4.0049e+10,2.14e+08,2.36e+08,-4.1e+08,8.05e+08,8.45e+08,-5.81e+08,-6.15e+08,-1.74e+08,7.99e+08,-2.43e+08,0,3.82e+08,6.12e+08,6.12e+08,6.12e+08,7.11e+08,1.1073e+10,0.6983,0.17142,0.07723,0.01848,0.00534,0.93653,2.45876,0.27649,0.73062,0.72715,9.46057,0.59406,0.01051,0.81308,13.6315,20.40421
