"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","total_noncurrent_assets","total_assets","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2017_Q4",82.9975806451613,"Down",576549270.335003,-332856,-276956,11049153.2241984,-55900,-332856,809858,809858,477002,477002,-256345,220657,220657,220657,220657,555254,555254,130792,130792,686046,378284003,378970049,13206239,13206239,14026008,303234311.46618,543685033.61943,426184635.98709,14026008,365458087,-514989,364944041,364944041,378970049,0,6.34214693153953,43.9875682550623,6e-04,0.00058,0.04891,0.03843,0,0.19594,0.19594,851.565662278726,324.0628,6e-04,1.66815
"2","2018_Q1",83.1086885245902,"Up",309850362.201002,-25236198,-19247098,-5991000,1900.00000000047,-10094198,-1353883,-1353883,-11448081,-11448081,-6614306,-18062387,-18062387,-18062387,-18062387,479055.000000001,479055.000000001,67479,67479,546533.999999999,379176865,379723399,13206239,13206239,14453853,137379155.73309,237204766.809715,198854317.993545,14453853,365458087,-189484,365269546,365269546,379723399,0,3.14295015892372,24.7905089530374,-0.04945,-0.04757,0.03781,0.03957,0,-16.4462,-16.4462,485.003465367235,332.58516,-0.04945,0.0474599999999994
"3","2018_Q2",84.03140625,"Up",144264681.100501,-218280,-168267,-10925801.0747328,-50013,-218280,1171260,1171260,952980,952980,-238269,714711,714711,714711,714711,319849,319849,56250,56250,376099,379825075,380201174,13206239,13206239,14216917,41013718.5776967,67489005.6032383,61505439.3311817,14216917,365458087,525227,365984257,365984257,380201174,0,1.22706007946186,11.9359544765187,0.00195,0.00188,0.02645,0.03885,0,0.64172,0.15153,240.870497683618,328.60776,0.00195,1.46532
"4","2018_Q3",86.2785714285714,"Up",57043227.0335003,-39435720,-25311733,-8921000,-5202987,-14819720,-1171260,-1171260,-15990980,-15990980,-8951731,-24942711,-24942711,-24942711,-24942711,48629.9999999963,48629.9999999963,189937,189937,238566.999999996,380712615,380951182,13206239,13206239,14284083,1e+05,1e+05,1e+05,14384083,365458087,1108069,366567099,366567099,380951182,0,0.285966693153953,4.29908482550623,-0.06804,-0.06547,0.0167,0.03924,0,-22.39516,-5.28838,94.9025692278726,329.12647,-0.06803,0.00328000000000173
"5","2018_Q4",77.6920634920635,"Down",25437000,-25153000,-18444000,-5483000,-1226000,284000,-881498.604500243,-2745960.904685,284000,284000,18923000,19207000,19207000,19207000,19207000,40565,40565,120375,120375,160940,382384785,382545725,13206239,13206239,16332279,6e+05,6e+05,6e+05,16932279,365458087,154416,365613446,365613446,382545725,0,0.01116,0.75508,0.05253,0.05021,0.00985,0.04631,0,17.24265,4.07229,22.83549,328.22027,0.05245,-0.14283
"6","2019_Q1",63.2134426229508,"Down",26697000,-24184000,-17366000,-5664000,-1154000,2513000,1608000,-2364275.53405933,4121000,4014000,768000.000000007,4782000,4782000,4782000,4782000,449935000,449935000,1379000,1379000,468030000,1389289000,1857319000,84926000,84926000,98521000,32012000,29369000,32012000,130533000,32000,-213746000,-213714000,1726786000,1857319000,2.3283064365387e-10,0.09413,0.17912,0.00277,0.00257000000000001,4.75056,0.07559,2.16840434497101e-19,0.0725599999999922,0.0867900000000015,0.405070000000002,-3.24268000000001,0.00272000000000003,-179.04298
"7","2019_Q2",42.5157142857143,"Down",33847000,-29616000,-19390000,-7651000,-2575000,4231000,2431000,-1097517.396404,6662000,6154000,-426000,5728000,5728000,5728000,5728000,616073299.420362,616073299.420362,-3688411.87008705,1982678.35858702,629382611.513773,1752956653.63245,2382339265.14622,84999667.9979105,84999662.2895775,106978071.037752,88696668.3779705,39661392.942309,40028831.5884436,147648930.267078,110540227.830952,-194087138.149665,-83609560.7604389,2234690334.87914,2382339265.14622,0,0.125,0.16923,-0.142454485680078,-0.0932383285668269,7.45310442584731,0.092847923712162,-0.00509809579145917,0.33087,0.33087,1.95512,-60.9579704421136,-0.0952704907316107,-106.180212137807
"8","2019_Q3",25.629375,"Down",24138000,-29080000,-16085000,-9107000,-3888000,-4942000,-509000,-17000,-5451000,-5928999.99999999,431000,-5498000,-5498000,-5498000,-9641000.00000001,376920000,376920000,1697000,1697000,394046000,2050688000,2444734000,47241000,47241000,70551000,131420000,33963000,131420000,201971000,473534000,-24156000.0000001,449178000,2242763000,2444734000,23310000,-0.20474,-0.39941,-0.00429999999999997,-0.00394000000000002,5.58526,0.09005,0.00953,-1.28668,-1.28668,3.22145,59.9471500000001,-0.00402,71.552
"9","2019_Q4",19.6803125,"Down",34009000,-31254000,-16305000,-11710000,-3239000,2755000,2181000,0,4936000,-8693000,505000,-8188000,-8188000,-8188000,-25668000,2594000,2594000,19336000,1153000,49972000,2611863000,2661835000,38816000,38816000,56378000,136473000,35156000,371473000,427851000,473534000,-29020000,444201000,2233984000,2661835000,252562000,0.08101,-0.75474,-0.01149,-0.00964,0.88637,0.19152,0.09488,-3.42688,-0.31116,4.54047,59.30429,-0.00979,90.73249
"10","2020_Q1",15.3316129032258,"Down",43804000,-30920000,-14379000,-13012000,-3529000,12884000,17950000,-605000,30834000,-1254352000,-65410000,-1319762000,-1319762000,-1319762000,-1336948000,5982999.99999997,5982999.99999997,1071000,1071000,31737000,1469117000,1500854000,23925000,23925000,33692000,167638000,64709000,563638000,597330000,39824000,-392633000,-353075000,903524000,1500854000,405767000,0.29413,-30.52114,-1.4797,-0.89079,0.94197,0.66111,0.27036,-178.45008,-178.45008,5.84677,-47.12694,-0.90522,31.02949
