"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q3",9.54507936507937,"Up",171954000,-134797000,37157000,-27382000,-16434000,-9948000,9775000,-9517000,-8512000,-1005000,258000,-213000,-2124000,-2337000,-2337000,-2337000,-2337000,-6376334.5499075,-6376334.5499075,337316448.613736,337316448.613736,136781171.577477,7228819.66313775,474950105.304443,44342522.0795833,59227945.7628485,12806699.7631336,37158468.230421,9262777.7692939,103570467.842432,578520573.146875,421506426.112394,437340669.96642,402462994.96283,315668333.649666,5899843.74468323,-4938316.71987303,321568177.394349,724031172.357179,-15726596.7636161,59243867.2301727,-189027872.128662,-145510599.335767,-145510599.210304,578520573.146875,-2337000,8991000,4743000,-10024000,1373000,-4278000,-4278000,-6404000,-1159491.73984384,-1159491.73984384,-938000,-7342000,-10247000,-10247000,-98000,-10345000,18766000,0,6588000,0.21609,0.05685,-0.01359,2.57802032201151,0.294795503534056,-2.819,1.04006948372074,51.9500508896578,0.552395977426321,-0.08425,-0.08425,6.19877,-2.05154493298981,0.23749,0.571277345519983,0.233911823842188,7.4343871042993,7.91346839510299
"2","2017_Q4",15.8519047619048,"Up",206974000,-159599000,47375000,-26990000,-17193000,-8797000,20385000,-9056000,-8294000,-762000,11329000,11329000,-3371000,7958000,7958000,7958000.00000001,7958000.00000001,22341000,22341000,174453000,174453000,135489000,15699000,347982000,52006000,75297000,8001000,45360000,21936000,127303000,475285000,232763000,210633000,245787000,197910000,4206000,2437000,202116000,447903000,170922000,3e+06,-146540000,27382000,27382000,475285000,7958000,7846000,3990000,-11088000,8706000,-3359000,-3359000,-6154000,348000,348000,2.98023223876953e-08,-5806000,-459000,-459000,-541000,-1e+06,28231000,210934000,17155000,0.22889,0.09849,0.03845,0.29063,0.01674,2.15569,1.41579,16.35757,0.44381,0.2845,0.24939,7.39933,0.97891,0.61329,0.03281,0.07074,6.68035,9.25156
"3","2018_Q1",18.8577049180328,"Up",223019000,-175011000,48008000,-27440000,-17722000,-9718000,20568000,-27019000,-6132000,-20887000,-6451000,-6451000,-3758000,-10209000,-10209000,-10209000,-10209000,22436000,22436000,183303000,183303000,127135000,14115000,346989000,55182000,77857000,5107000,46022000,26728000,133039000,480028000,217033000,189717000,239874000,154450000,3308000,3308000,157758000,397632000,232815000,-7209000,-143210000,82396000,82396000,480028000,-10209000,7839000,24523000,-16144000,6009000,-7315000,-7315000,156384000,58000,58000,-154938000,1504000,198000,198000,-103000,95000,28407000,177291000,8706000,0.21526,0.09223,-0.04578,-0.1239,-0.02127,-0.85278,1.44655,4.82587,0.36933,-0.23837,-0.26251,5.20732,1.92388,0.20328,-0.03882,0.0331,5.4513,7.52893
"4","2018_Q2",21.4175,"Up",265409000,-207573000,57836000,-26368000,-17818000,-8550000,31468000,-7314000,-4599000,-2715000,24154000,24154000,-3149000,21005000,21005000,21005000,21005000,23503000,23503000,236199000,236199000,128158000,12226000,400086000,55134000,74090000,3692000,44626000,25772000,129224000,529310000,256900000,235226000,279400000,148249000,2910000,1869000,151159000,430559000,235342000,13796000,-150387000,98751000,98751000,529310000,21005000,6270000,2142000,-15160000,14257000,-6039000,-6039000,-7473000.00000003,539000,539000,-299000,-7233000,985000,985000,-231000,754000.000000001,37738000,170749000,19688000,0.21791,0.11856,0.07914,0.21271,0.03968,0.9373,1.43195,4.36005,0.32259,0.48459,0.46236,6.12303,2.2782,0.45421,0.07711,0.07227,3.9018,4.67923
"5","2018_Q3",15.5792063492063,"Down",313965000,-240948000,73017000,-27939000,-18087000,-9852000,45078000,-1682000,-4230000,2548000,43396000,43396000,-6602000,36794000,36794000,36794000,36794000,51816000,51816000,223500000,223500000,148577000,18181000,442074000,53238000,69798000,2533000,45709000,21556000,123036000,565110000,249869000,225718000,272823000,142752000,2627000,1897000,145379000,418202000,240294000,50590000,-143976000,146908000,146908000,565110000,36794000,6358000,1968000,-10423000,34697000,-4352000,-4352000,-6427000,3638000,3638000,-469000,-3258000,27087000,27087000,1539000,28626000,51436000,165706000,43263000,0.23256,0.14358,0.11719,0.25046,0.06511,1.17582,1.62037,2.84669,0.29323,0.83947,0.79855,7.16324,3.35177,0.98706,0.11672,0.13724,2.21421,2.52651
"6","2018_Q4",15.1233333333333,"Down",335477000,-257423000,78054000,-29360000,-19597000,-9763000,48694000,-11243000,-4098000,-7145000,37451000,37451000,-5505000,31946000,31946000,31946000,31946000,64495000,64495000,262101000,262101000,147948000,20219000,494763000,53051000,65238000,1173000,42872000,21193000,118289000,613052000,285770000,264954000,307843000,136606000,2248000,1897000,138854000,446697000,245769000,82536000,-161950000,166355000,166355000,613052000,31946000,6028000,3745000,-13382000,28337000,-7759000,-7759000,-6093000,1993000,1993000,0,-4100000,16478000,16478000,-3799000,12679000,54722000,158679000,39086000,0.23267,0.14515,0.09523,0.19204,0.05211,1.2235,1.60719,2.6852,0.25883,0.71931,0.68536,7.55375,3.74572,0.88008,0.09761,0.11943,1.72114,1.9342
"7","2019_Q1",12.946393442623,"Down",373970000,-291291000,82679000,-40698000,-29039000,-11659000,41981000,-12204000,-6217000,-5987000,29777000,32777000,-3059000,29718000,29718000,29718000,29718000,31375000,31375000,237212000,237212000,221419000,32043000,522049000,56615000,94098000,26255000,45394000,22449000,150713000,672762000,268376000,223186000,295785000,184190000,5659000,5659000,189849000,485634000,250869000,112254000,-175995000,187128000,187128000,672762000,29718000,7526000,710000,-47338000,-9384000,-7283000,-49599000,21209000,1326000,1326000,0,22535000,-36448000,-36448000,2160000,-34288000,49507000,211599000,-2055000,0.22108,0.11226,0.07947,0.15881,0.04417,-0.06915,1.76496,2.5952,0.31452,0.66305,0.63454,8.34382,4.1751,-0.04585,0.07349,-0.00508,3.64037,4.29299
"8","2019_Q2",10.1093650793651,"Down",393879000,-308810000,85069000,-37270000,-25454000,-11816000,47799000,-9204000,-5875000,-3329000,38595000,38595000,-7619000,30976000,30976000,30976000,30976000,62954000,62954000,330473000,330473000,188390000,40351000,622168000,60412000,88495000,25279000,45655000,17561000,148907000,771075000,322972000,273655000,332840000,200532000,8038000,8038000,208570000,541410000,258294000,144264000,-172893000,229665000,229665000,771075000,30976000,6408000,5042000,-7074000,35352000,-13363000,-13363000,-1657000,3370000,3370000,-2805441.98122887,1713000,23702000,23702000,2018000,25720000,54207000,210400000,41389000,0.21598,0.12135,0.07864,0.13487,0.04017,1.33616,1.86927,2.35739,0.27287,0.68546,0.66595,8.71607,5.08221,0.91589,0.06913,0.09236,2.72005,3.08471
"9","2019_Q3",14.5053125,"Up",304063000,-246932000,57131000,-34680000,-23442000,-11238000,22451000,-5021000,-5273000,252000,17430000,17430000,-4644000,12786000,12786000,12786000,12786000,95174000,95174000,326470000,326470000,171843000,27927000,621414000,66860000,88134000,24302000,46130000,17702000,154994000,776408000,309324000,257316000,324018000,194537000,7563000,7563000,202100000,526118000,263294000,157050000,-170054000,250290000,250290000,776408000,12786000,6927000,4222000,15119000,39054000,-6200000,-6348000,-1712000,1071000,1071000,-219000,-860000,31846000,31846000,374000,32220000,29378000,209231000,42941000,0.18789,0.07384,0.04205,0.05108,0.01647,3.35844,1.91784,2.10203,0.26949,0.27952,0.27354,6.64735,5.47178,0.93877,0.02737,0.09193,3.88239,5.08026
"10","2019_Q4",15.48671875,"Up",235657000,-192622000,43035000,-35636000,-24306000,-11330000,7399000,-4904000,-5001000,97000,2495000,2495000,-550000,1945000,1945000,1945000,1945000,126099000,126099000,230177000,230177000,132816000,31052000,520144000,67135000,82734000,23326000,44805000,14603000,149869000,670013000,213578000,177519000,232665000,188428000,6840000,6840000,195268000,427933000,269348000,158995000,-186263000,242080000,242080000,670013000,1945000,6817000,5884000,31664000,46310000,-10478000,-10478000,-1704000,1632000,1632000,-11000,-82999.9999999995,35749000,35749000,-4824000,30925000,14216000,207515000,35952000,0.18262,0.0314,0.00825,0.00803,0.0029,18.48432,2.23559,1.76773,0.30972,0.04227,0.04139,5.12164,5.26124,0.78136,0.00426,0.07877,5.72707,11.00365
