"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",12.5490476190476,"Up",1457392000,1615489000,-891649000,565743000,-577166000,-276054000,-163134000,-137978000,-11423000,-145670000,-264175000,118505000,-157093000,-157093000,60352000,-96741000,-96741000,-9518937648.27743,-96741000,-96741000,2361638776.53413,2361638776.53413,482526596.932414,482526596.932414,119117605.858436,1028552731.56586,428934979.26802,3991835710.89084,14947262358.0942,4252200317.77933,371367043.931836,907520575.774662,1462432025.57028,1510880672.50255,19199462675.8735,23191298386.7643,719791949.726319,93738070.6266088,142723936.472046,483199883.44594,706110211.400747,12515150959.4478,4087247962.92413,4059037775.37288,28210187.5512558,16602398922.3719,17308509133.7726,5326524070.90056,136187883.756166,-5519441.5691522,5457192513.08757,19096046407.6695,5882789252.99166,23191298386.7643,-96741000,163134000,112448000,-223750000,-44909000,-53942000,-2.62e+08,-292000,-316234000,-1183646000,-70831000,-1254477000,-1615620000,-1615620000,188748915.592785,-1615620000,151711000,0,-186333000,0.38819,-0.00784,-0.06638,-0.593961679901362,-0.0828433352873784,1.9261,3.69958926036887,0.639576519954762,0.523730067215398,-0.25558,-0.25558,3.85031,10.8195070776935,-0.49228,-0.0872741554199682,-0.0909981894911057,1702.15777918575,708.470618340701
"2","2010_Q3",9.6534375,"Down",1556190000,1715741000,-942295000,613895000,-1662712000,-282404000,-164766000,-1215542000,-1048817000,-314154000,-291169000,-22985000,-1362971000,-1362971000,479495000,-883476000,-883476000,-5588867098.85162,-883476000,-883476000,1013208000,1013208000,363031000,363031000,96805000,318912000,89537000,1791956000,14814594000,3380997000,86353000,343192000,2118498000,832954000,18195591000,19987547000,1194987000,117463000,221447000,856077000,1194987000,13046639000,2896763000,2653470000,243293000,15943402000,17138389000,3461613000,-609685000,-2770000,2849158000,12697363938.4464,2849158000,19987547000,-883476000,164766000,791073000,322390000,394753000,-25054000,-4e+07,15102000,-49952000,338204000,-110384000,227820000,572621000,572621000,110639610.39519,572621000,-884051000,13046639000,-1066210000,0.39449,-0.67396,-0.56772,-0.31008,-0.0442,1.20684,1.49956,6.01525,0.65274,-2.00213,-2.00213,3.52662,6.45674,-2.41624,-0.04701,-0.05674,-13.61169,-11.47334
"3","2010_Q4",11.90109375,"Up",1567117000,1728450000,-933589000,633528000,-839429000,-292456000,-158857000,-388116000,-205901000,-305026000,-285139000,-19887000,-510927000,-510927000,192936000,-317991000,-317991000,-2899105659.31097,-317991000,-317991000,552757000,552757000,324206000,324206000,93479000,318359000,115497000,1288801000,14697192000,3150379000,86353000,342995000,2115760000,605271000,17847571000,19136372000,1318957000,153049000,223106000,942802000,1318957000,12623851000,2653193000,2400984000,252209000,15277044000,16596001000,3469666000,-927676000,-1619000,2540371000,8331637363.06782,2540371000,19136372000,-317991000,158857000,154927000,34761000,30554000,-42869000,-1.06e+08,94133000,-54736000,-435839000,-430000,-436269000,-460451000,-460451000,57186366.2371142,-460451000,-47044000,12623851000,-248088000,0.40426,-0.13139,-0.20291,-0.12518,-0.01662,0.78017,0.97714,6.5329,0.65968,-0.72053,-0.72053,3.5509,5.75618,-0.56214,-0.01785,-0.01392,-256.59157,-58.62572
"4","2011_Q1",13.6146774193548,"Up",1475302000,1629849000,-906184000,569118000,-461908000,-277889000,-146666000,-37353000,107210000,-292244000,-273097000,-19147000,-185034000,-185034000,45845000,-139189000,-139189000,-1223356329.65549,-139189000,-139189000,498964000,498964000,321894000,321894000,96392000,538395000,252321000,1455645000,14554350000,2941853000,77156000,342804000,1923155000,598738000,17496203000,18951848000,1246221000,167084000,211914000,867223000,1246221000,12047698000,2725767000,2526519000,199248000,14773465000,16019686000,4065711000,-1133248000,-301000,2932162000,5623589681.53391,2932162000,18951848000,-139189000,146666000,50657000,65482000,123616000,-8025000.00000001,-1.45e+08,-12132000,-165157000,-2973000,-9279000,-12252000,-53793000,-53793000,23888183.1185571,-53793000.0000001,253876000,12047698000,265488000,0.38576,0.0726700000000001,-0.09435,-0.04747,-0.00734,-1.90739,1.16805,5.46344,0.6357,-0.29123,-0.29123,3.08686,6.13514,0.5555,-0.00786,0.01499,45.48966,107.72068
"5","2011_Q2",12.8485714285714,"Down",1512851000,1661635000,-918795000,594056000,-424351000,-269562000,-152397000,-2392000,169705000,-314159000,-269914000,-44245000,-144454000,-144454000,54583000,-89871000,-89871000,-335322109.885162,-89871000,-89871000,431275000,431275000,317974000,317974000,95097000,522065000,264047000,1366411000,14426622000,2967316000,86352999.9999999,342626000,1941786000,596551000,17393938000,18760349000,1172440000,138533000,238175000,795732000,1172440000,12081108000,2587639000,2371875000,215764000,14668747000,15841187000,4073637000,-1156736000,2261000,2919162000,4197943893.84464,2919162000,18760349000,-89871000,152397000,-13516000,-25032000,23978000,-34459000,-76648000,570000,-110537000,19530000,-660000,18870000,-67689000,-67689000,6244061.03951903,-67689000,322102000,12081108000,208028000,0.39267,0.11218,-0.05941,-0.03079,-0.00479,-2.31474,1.16544,5.42662,0.64397,-0.18396,-0.18396,3.09668,5.97529,0.42582,-0.00510999999999999,0.01183,36.16815,68.64755
"6","2011_Q3",11.50125,"Down",1805985000,1968940000,-1098129000,707856000,-520101000,-301582000,-177467000,-41052000,187755000,-311243000,-270224000,-41019000,-123488000,3372517000,78174000,3450691000,3450691000,-8706000,3441985000,3441985000,921553000,921553000,370075000,370075000,105318000,396334000,245290000,1793280000,15017905000,10405005000,2906755000,5209866000,1690136000,598248000,25422910000,27216190000,1585025000,179703000,200746000,1202332000,1585025000,12630291000,2955600000,2736116000,219484000,15585891000,17170916000,4082122000,2285249000,-1520000,6365851000,3679423000,10045274000,27216190000,3450691000,177467000,-3528110000,172897000,272945000,-50719000,381046000,1356000,331683000,-113399000,-704000,-114103000,490525000,490525000,-247000,490278000,365222000,12630291000,409226000,0.39195,0.10396,1.90588,0.34265,0.12647,0.11889,1.13139,1.70935,0.46407,7.04446,6.203,3.69618,13.02852,0.83753,0.13429,0.01597,32.05924,62.36179
"7","2011_Q4",9.4868253968254,"Down",2233587000,2419823000,-1409982000,823605000,-711031000,-304049000,-249520000,-157462000,112574000,-298829000,-272542000,-26287000,-186255000,-186255000,79680000,-106575000,-106575000,-17211000,-123786000,-123786000,1815125000,1815125000,463407000,463407000,104279000,338996000,259538000,2721807000,14868394000,10262822000,2905378000,5120662000,1659719000,577063000,25131216000,27853023000,1663739000,158477000,240780000,1261843000,2015347000,13099074000,2796996000,2603418000,193578000,15896070000,17911417000,4090669000,2161463000,-3276000,6248856000,3692750000,9941606000,27853023000,-106575000,249520000,87638000,-46466000,184117000,-91146000,-5e+06,877000,-95269000,807996000,-3186000,804810000,893658000,893658000,-85999.9999999995,893572000,362094000,13450682000,144802000,0.36874,0.0504,-0.05542,-0.01245,-0.00444000000000003,-1.16978,1.35054,1.80166,0.48292,-0.25333,-0.25333,4.57107,12.78837,0.29634,-0.00473000000000001,0.00553,32.13408,103.35919
"8","2012_Q1",12.7543548387097,"Up",2296889000,2482337000,-1475392000,821497000,-730390000,-307312000,-237762000,-185316000,91107000,-301284000,-274152000,-27132000,-210177000,-210177000,190876000,-19301000,-19301000,-94390000,-113691000,-113691000,1865913000,1865913000,491730000,491730000,112735000,342342000,251282000,2812720000,14866644000,10086912000,2896609000,5048117000,1635572000,506614000,24953556000,27766276000,1744764000,170994000,203422000,1362737000,1744764000,13470167000,2669123000,2502096000,167027000,16139290000,17884054000,4099211000,1981389000,5978000,6086578000,3795644000,9882222000,27766276000,-19301000,237762000,8265000,-32640000,194086000,-124572000,-21200000,-1417000,-147189000,4320000.00000012,-1974999.99999999,2344999.99999976,49242000,49242000,1546000,50788000.0000001,328869000,13470167000,-19219000,0.35766,0.03967,-0.0495000000000001,-0.0115,-0.00409,0.16905,1.61209,1.80972,0.48513,-0.23258,-0.15979,4.69881,12.45147,-0.0393200000000001,-0.00437,-0.00074,35.28534,127.36951
"9","2012_Q2",11.2811111111111,"Down",2287590000,2472293000,-1470817000,816773000,-624167000,-303289000,-236809000,-84069000,192606000,-368784000,-284342000,-84442000,-176178000,-176178000,-27129000,-203307000,-203307000,-13946000,-217253000,-217253000,1634892000,1634892000,477484000,477484000,110674000,370627000,270692000,2593677000,14786820000,10010531000,2897049000,4965587000,1589915000,557980000,24797351000,27391028000,1892387000,163626000,253075000,1413507000,1892387000,13359953000,2647453000,2471425000,176028000,16007406000,17899793000,4107434000,1764136000,6837000,5878407000,3612828000,9491235000,27391028000,-203307000,236809000,110903000,147289000,291694000,-113737000,-12600000,16396000,-109941000,-176228000,-236694000,-412922000,-231169000,-231169000,148000,-231021000,429415000,13359953000,490096000,0.35705,0.0842,-0.09497,-0.02289,-0.00793,-2.25588,1.37058,1.88593,0.48775,-0.44441,-0.44441,4.67943,12.0247,1.00253,-0.00852,0.01922,27.30473,60.87589
"10","2012_Q3",9.64984126984127,"Down",2323765000,2506686000,-1447007000,876758000,-701383000,-309478000,-235643000,-156262000,175375000,-297113000,-276323000,-20790000,-121738000,-121738000,51304000,-70434000.0000001,-70434000.0000001,-75018000,-145452000,-145452000,1731921000,1731921000,478588000,478588000,113316000,353592000,231458000,2677417000,14783177000,9802414000,2900237000,4889311000,1498864000,514002000,24585591000,27263008000,1787710000,171878000,251373000,1364123000,1929384000,13225319000,2696098000,2513840000,182258000,15921417000,17850801000,4096055000,1618684000,11046000,5725785000,3686422000,9412207000,27263008000,-70434000.0000001,235643000,138102000,-82749000,220562000,-102397000,-12400000,-215000.000000006,-115012000,2.98023223876953e-08,-9192000,-9192000,96357999.9999999,96357999.9999999,671000,97029000,411018000,13366993000,174568000,0.3773,0.07547,-0.06259,-0.01545,-0.00534,-1.20018,1.38771,1.89656,0.4903,-0.29749,-0.29749,4.75275,11.71082,0.35704,-0.00571,0.00685,28.30794,66.34396
"11","2012_Q4",9.95516129032258,"Up",2254978000,2438253000,-1433490000,821488000,-684087000,-319106000,-228414000,-136567000,137401000,-294660000,-275771000,-18889000,-157259000,-157259000,2585000,-154674000,-154674000,-26485000,-181159000,-181159000,2443159000,2443159000,412390000,412390000,107772000,384496000,243665000,3347817000,14765349000,9718195000,2901273000,4813183000,1488662000,515077000,24483544000,27831361000,2025854000,201150000,249676000,1574670000,2025854000,13825451000,2714553000,2527828000,186725000,16540004000,18565858000,4103212000,1437525000,12533000,5553270000,3712233000,9265503000,27831361000,-154674000,228414000,101379000,199887000,375006000,-100387000,-1.2e+07,13933000,-98454000,451524000,-17112000,434412000,710964000,710964000,274000,711238000,365815000,13825451000,462730000,0.3643,0.06093,-0.08034,-0.01955,-0.00651,-2.55428,1.65255,2.00376,0.49676,-0.37051,-0.37051,4.61191,11.35761,0.94638,-0.00702,0.01793,31.11489,82.83995
"12","2013_Q1",12.057,"Up",2294511000,2484437000,-1457236000,837275000,-1221306000,-307901000,-226831000,-686574000,-384031000,-895007000,-279922000,-615085000,-1279038000,-1279038000,90541000,-1188497000,-1188497000,-35330000,-1223827000,-1223827000,1543509000,1543509000,443677000,443677000,107577000,412329000,232898000,2507092000,14194652000,9582994000,2902847000,4737833000,1444547000,497767000,23777646000,26284738000,1925671000,199620000,206736000,1517965000,1925671000,13589283000,2653768000,2473889000,179879000,16243051000,18168722000,4137547000,213698000,14303000,4365548000,3750468000,8116016000,26284738000,-1188497000,226831000,1145427000,-161672000,22089000,-105816000,-17300000,106000.000000004,-123010000,-689279000,-109978000,-799257000,-900178000,-900178000,528000,-899650000,-157200000,13589283000,-515229000,0.3649,-0.16737,-0.53337,-0.15079,-0.04656,0.420999999999998,1.30193,2.23863,0.517,-2.50162,-2.50162,4.69021,8.92361,-1.05318,-0.05024,-0.02115,-76.62706,-31.36667
"13","2013_Q2",13.33703125,"Up",2352148000,2535175000,-1467629000,884519000,-582702000,-303901000,-211918000,-66883000,301817000,-248808000,-225447000,-23361000,53009000,53009000,-30431000,22578000,22578000,-16032000,6546000,6546000,1480637000,1480637000,475581000,475581000,105047000,377980000,258784000,2439245000,14117778000,9500851000,2898087000,4666659000,1435136000,500969000,23618629000,26057874000,1870988000,178435000,205204000,1483005000,1870988000,13690699000,2617134000,2476384000,140750000,16307833000,18178821000,4144631000,220244000,7982000,4372857000,3506196000,7879053000,26057874000,22578000,211918000,91542000,-131382000,194656000,-97180000,-6400000,-36000,-103616000,1.03e+08,-255522000,-152522000,-61482000,-61482000,-1390000,-62872000,513735000,13690699000,315604000,0.37605,0.12832,0.00278,0.000829999999999997,0.00025,48.21326,1.30372,2.30723,0.5254,0.01338,0.0133,4.80726,8.93713,0.64502,0.000270000000000006,0.01305,23.76724,40.45518
"14","2013_Q3",16.43265625,"Up",2481265000,2669518000,-1552004000,929261000,-697659000,-314324000,-218151000,-165184000,231602000,-258315000,-214500000,-43814999.9999999,-26713000,-26713000,-3865000.00000001,-30578000.0000001,-30578000.0000001,-62380000,-92957999.9999999,-92957999.9999999,1278673000,1278673000,440326000,440326000,101110000,390131000,248615000,2210240000,14042309000,9469588000,2900543000,4609088000,1408139000,551818000,23511897000,25722137000,2098146000,229599000,193660000,1667205000,2098146000,13111961000,2654864000,2.505e+09,149864000,15766825000,17864971000,4150467000,127286000,11308000,4289061000,3568105000,7857166000,25722137000,-30578000.0000001,218151000,147405000,200428000,535406000,-145375000,-8e+06,16778000,-136597000,-579234000,-22242000,-601476000,-202667000,-202667000,703000,-201964000,449753000,13111961000,508671000,0.37451,0.09334,-0.03746,-0.01183,-0.00361,-5.47205,1.05343,2.27372,0.50975,-0.18991,-0.19109,5.06913,8.7624,1.0392,-0.00393,0.02153,26.31064,51.0932
"15","2013_Q4",19.22484375,"Up",2463037000,2653516000,-1552024000,911013000,-637285000,-342847000,-211682000,-82756000,273728000,-264124000,-208939000,-55185000,9604000,9604000,17363000,26967000,26967000,-55484000,-28517000,-28517000,1375403000,1375403000,411077000,411077000,98330000,399205000,272809000,2284015000,13969293000,9405527000,2900758000,4548415000,1416462000,539892000,23374820000,25658835000,2161470000,202792000,183958000,1772220000,2161470000,13034518000,2635676000,2478063000,157613000,15670194000,17831664000,4155311000,95427000,11619000,4262357000,3564814000,7827171000,25658835000,26967000,211682000,61529000,65517000,365695000,-136472000,-9453000,14786000,-131139000,-77028000,-60856000,-137884000,96672000,96672000,58000,96730000,485410000,13034518000,397092000,0.36987,0.11113,-0.01158,-0.00364,-0.00111,-13.92475,1.0567,2.27817,0.50799,-0.05824,-0.05824,5.02997,8.70451,0.81093,-0.00121,0.0169,24.01911,42.5938
