"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",5.44370967741935,"Up",1620435,-211622,1408813,-1136418,-639462,-496956,272395,-92211,180184,180184,0,180184,180184,180184,180184,1305049,1305049,-126241792.016201,1221599,1221599,180672,180672,2707320,34293,266843,38247,301136,3008456,425045,228514,196531,853242,831372,21870,1287480,39716,39716,719517,2006997,16495797,-15494338,263970.40151431,1001459,1001459,3008456,180184,53481,207502,-797254,-356087,-2634,0,-2634,19423,19423,168342,-190379,-190379,-190379,325876,688994,-474012,0.8694,0.1681,0.11119,0.17992,0.05989,-2.63071,2.10281,2.00407,0.22902,0.01068,0.01068,0.09607,0.05937,-0.0281,0.10414,-0.27397,-1.89046,-2.26162
"2","2011_Q2",6.17507936507937,"Up",1403562,-207699,1195863,-1611893,-1022556,-589337,-416030,-383005,-799035,-799035,-1692,-800727,-800727,-800727,-800727,12485584.8223687,21888656.1303788,-59743441.0081004,2640236.18015125,2640236.18015125,202350.51115513,202350.511155145,15328171.5136751,38623.2840569754,228895.215596744,-120547.719782382,-680367.808559025,14647803.705116,1132011.92391589,759405.160760937,372606.763154953,1703520.57112969,1406939.72418922,296580.846940466,2858093.29014267,90079.2801742419,90089.1067223367,360302.4078427,3218395.69798537,26384908.5058648,-14972762.5960035,122313.700757155,11429408.0071307,11429408.0071307,14647803.705116,-800727,94251,618167,89041.0000000002,732,-3446,12502674.603922,-3446,839153,839153,839153.000000001,836439,836439,836439,-321779,0,-234492,0.85202,-0.29641,-0.5705,0.145627784388888,0.0899664156827573,0.29285,2.43986731103876,0.929248547914076,0.0919822485179238,-0.04249,-0.04249,0.07448,0.577380835943371,-0.01244,0.115332411292481,-0.048334598167782,-440.444228207071,-797.053259595371
"3","2011_Q3",9.4978125,"Up",2868357,-256074,2612283,-2042071,-1399089,-642982,570212,527,570739,570739,-800,569939,569939,569939,569939,16507640.5223687,22982706.2303788,-18878955.6693668,3138813.38015125,3138813.38015125,247696.11115513,247696.111155145,19894150.0136751,64694.2840569754,191554.215596744,-89309.919782382,-483022.808559025,19411127.205116,1194536.42391589,761860.060760937,432676.363154953,1653018.67112969,1347604.32418922,305414.346940466,2867357.99014267,70735.3801742418,70745.2067223367,137018.2078427,3004376.19798537,31408966.3058648,-15015534.6960035,39130.5669190516,16406751.0071307,16406751.0071307,19411127.205116,569939,42535,295541,-804014,104001,-87106,8444945.703922,-87106,40929,40929,145929,162824,162824,162824,612747,0,-277573,0.91072,0.19879,0.1987,0.0852967843888881,0.0662284156827573,-0.48702,5.49692731103876,0.350564547914076,0.0232762485179238,0.02777,0.02777,0.13976,0.780700835943371,-0.01352,0.0777474112924807,0.014177401832218,-352.616782207071,-614.43691159537
"4","2011_Q4",8.8847619047619,"Down",2953917,-437696,2516221,-2190733,-1452365,-738368,325488,-377.000000000029,325111,325111,0,325111,325111,325111,325111,16435777,14024308,2411469,3045886,3045886,303130,303130,19784793,113212,155193,29464.9999999999,268405.000000001,20053198,957829,518446,439383,1202313,1027287,175026,2169335,27734.9999999999,27735,27735,2197070,33256232,-15400015,-89,17856128,17856128,20053198,325111,47387,393779,-544077,222200,-15727,-2411558.00000001,-2427285,13925081,13925081,13925081,11719996,11719996,11719996,372875,9193,-186929,0.85183,0.11019,0.11006,0.01821,0.01621,-0.57497,9.12021,0.12304,0.000460000000000016,0.0144,0.0112,0.13085,0.79099,-0.00828,0.01817,-0.0104500000000001,-44.0538599999995,-50.4675599999991
"5","2012_Q1",10.2456451612903,"Up",3040139,-270265,2769874,-2993146,-1967724,-1025422,-223272,3892,-219380,-219380,0,-219380,-219380,-219380,-219380,15843354,5655716,10187638,2956295,2956295,317382,317382,19117031,196519,120903,120903,734652,19851683,854916,358907,496009,918415,873230,45185,1773331,23061,23061,23061,1796392,33684541,-15619395,-9855,18055291,18055291,19851683,-219380,49063,363215,-203663,-10765,-98079,-8203165,-8301244,48417,48417,-56583,-8368592,-8368592,-8368592,-174209,0,-475951,0.9111,-0.07344,-0.07216,-0.01215,-0.01105,2.16953,10.78029,0.09949,0,-0.00911,-0.01244,0.12624,0.74975,-0.01976,-0.01213,-0.02633,90.94452,70.95988
"6","2012_Q2",4.01126984126984,"Down",3519484,-302269,3217215,-3193262,-2014156,-1179106,23953,6959,30912,30912,-4637,26275,26275,26275,26275,17540533,6711466,10829067,3065453,3065453,295719,295719,20901705,309503,88698,88698,398201,21299906,1187100,542222,644878,1268684,1232694,35990,2455784,94798,94798,94798,2550582,34347368,-15593120,-4924,18749324,18749324,21299906,26275,59997,505903,568453,1160628,-43304,-219267.999999999,-262572,161129.999999998,161129.999999998,157694,1055750,1055750,1055750,83950,-4.54747350886464e-13,613736,0.91412,0.00681000000000009,0.00746999999999998,0.00139999999999999,0.00123000000000001,23.35817,8.51121,0.13604,-2.16840434497101e-19,0.00108,0.00094,0.1443,0.76872,0.02516,0.00138999999999999,0.03257,-208.94024,-732.28961
"7","2012_Q3",4.23777777777778,"Up",1191737,-309736,882001,-3742671,-2011992,-1730679,-2860670,9476,-2851194,-2851194,3837,-2847357,-2847357,-2847357,-2847357,16617465,6221904,10395561,1450574,1450574,599695,599695,18667734,324416,54409,54409,1197602,19865336,1269645,761056,508589,1584415,1546749,37666,2854060,72217,72217,72217,2926277,35379342,-18440477,194,16939059,16939059,19865336,-2847357,63120,777605,1688357,-318275,-43743,-504593,-548336,380787,380787,377049,-489562,-489562,-489562,-2797550,0,-1156773,0.7401,-2.40042,-2.38925,-0.16809,-0.14333,0.40626,6.54076,0.17275,0,-0.11385,-0.13193,0.04765,0.67729,-0.04625,-0.16738,-0.068,5.94001,5.80894
"8","2012_Q4",2.96596774193548,"Down",3161730,-359221,2802509,-4821910,-2704736,-2117174,-2019401,10514,-2008887,-2008887,-9.09494701772928e-13,-2008887,-2008887,-2008887,-2008887,15044582,6193014,8851568,3190110,3190110,523950,523950,18758642,411159,42049,42049,855089,19613731,1994694,1279319,715375,1706674,1669133,37541,3701368,67948,67948,67948,3769316,36294657,-20449364,-878,15844415,15844415,19613731,-2008887,62368,900504,-821952,-1867967,-126252,1884817,1758565,84329,84329,80512,-28890,-28890,-28889.9999999995,-1957033,0,-2905237,0.88638,-0.6387,-0.635379999999999,-0.12679,-0.10242,1.44619,5.06803,0.2379,0,-0.07865,-0.07865,0.12379,0.62036,-0.11375,-0.12625,-0.18258,7.68743999999998,7.45001999999987
"9","2013_Q1",4.1765,"Up",1219732,-292694,927038,-3952084,-2315013,-1637071,-3025046,10211,-3014835,-3014835,4808,-3010027,-3010027,-3010027,-3010027,12521627,6702090,5819537,1097311,1097311,485165,485165,14104103,491079,42049,42049,2618818,16722921,1438915,711950,726965,1663741,1632085,31656,3102656,63586,63586,63586,3166242,37016686,-23459391,-616,13556679,13556679,16722921,-3010027,46496,673673,1536708,-753150,-126416,1286526,1160110,106041,106041,102116,509076,509076,509076,-2978550,0,-1573066,0.76003,-2.48009,-2.46778,-0.22203,-0.17999,0.52261,4.54582,0.23356,0,-0.11778,-0.11778,0.04773,0.53047,-0.06155,-0.221,-0.11549,4.20393,4.13932
"10","2013_Q2",5.373125,"Up",3309664,-339996,2969668,-4335734,-2932981,-1402753,-1366066,6424,-1359642,-1359642,3401.35019020608,-1359642,-1359642,-1359642,-1359642,14256109,9592950,4663159,1624225,1624225,431239,431239,16311573,757584,42049,42049,1627633,17939206,2027455,1155898,871557,2494989,2439581,55408,4522444,521576,521576,521576,5044020,37710457,-24819033,3762,12895186,12895186,17939206,-1359642,48616,751512,1355540,796026,-315121,2376778,2061657,37237.0000000001,37237.0000000001,33176.9999999999,2890860,2890860,2890860,-1317450,0,-1330171.05610886,0.89727,-0.41275,-0.41081,-0.10544,-0.07579,-0.341855155725707,3.6068,0.39116,0,-0.05225,-0.05225,0.12718,0.49551,-0.0498951805062187,-0.10134,-0.106481407812799,10.82099,10.43589
