"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2017_Q4",27.6514285714286,"Down",5.301e+09,-4.349e+09,9.52e+08,-7.95e+08,-7.95e+08,1.57e+08,-5e+07,-4.1e+07,4e+06,1.07e+08,-3.5e+08,-2.43e+08,-1.14e+08,-3.57e+08,-3.57e+08,2.23e+08,-1.34e+08,-1.34e+08,4.777e+09,4.777e+09,5.194e+09,5.194e+09,5.309e+09,1.301e+09,1.301e+09,1.6581e+10,6.255e+09,3.1974e+10,2.0395e+10,6.826e+09,3.24e+08,4.429e+09,3.8229e+10,5.481e+10,3.203e+09,3.203e+09,1.866e+09,3.663e+09,3.663e+09,8.732e+09,3.039e+09,2.891e+09,1.262e+09,6.33e+08,9.96e+08,5.93e+09,1.4662e+10,1.5716e+10,-1.04e+08,-6.27e+08,1.4985e+10,2.5163e+10,4.0148e+10,5.481e+10,-3.57e+08,4.26e+08,0,-2.65e+08,-1.96e+08,-2.1e+08,-1.74e+08,-3.749e+09,-7.6e+07,-2.8e+08,7.024e+09,6.668e+09,2.723e+09,2.723e+09,3.1e+07,2.754e+09,5.83e+08,4.905e+09,2.22e+08,0.17959,0.02962,-0.02528,-0.00334,-0.00244,-1.65672,1.89888,0.3652,0.08949,-0.31308,-0.31308,12.38551,35.01168,0.51869,0.17757,-0.00121,0.00463,-0.56716,0.21955,0.81529
"2","2018_Q1",26.5114754098361,"Down",5.799e+09,-4.94e+09,8.59e+08,-7.87e+08,-7.87e+08,7.2e+07,-3.6e+07,-5.6e+07,1.8e+07,3.6e+07,-1.83e+08,-1.47e+08,6.7e+07,-8e+07,-8e+07,1.11e+08,3.1e+07,3.1e+07,7.03e+09,7.03e+09,6.015e+09,6.015e+09,4.507e+09,8.72e+08,8.72e+08,1.8424e+10,6.959e+09,3.1117e+10,1.9927e+10,6.358e+09,7.15e+08,4.117e+09,3.8076e+10,5.65e+10,3.377e+09,3.377e+09,2.037e+09,3.813e+09,3.813e+09,9.227e+09,6.312e+09,2.551e+09,1.172e+09,4.9e+08,8.89e+08,8.863e+09,1.809e+10,1.5083e+10,-1.03e+08,-7.03e+08,1.4277e+10,2.4133e+10,3.841e+10,5.65e+10,-8e+07,3.87e+08,-2.93e+08,-2.28e+08,-2.14e+08,-1.52e+08,-1.02e+08,-2.44e+08,-7.9e+07,3.413e+09,-4.53e+08,2.707e+09,2.249e+09,2.249e+09,4e+06,2.253e+09,4.59e+08,8.349e+09,11999999.9999999,0.14813,0.01242,0.00535,0.000809999999999999,0.000550000000000001,0.387100000000004,1.99675,0.47097,0.14777,0.0725999999999999,0.0726,13.5808,33.4356,0.0280999999999995,0.18501,0.00223,0.000240000000000001,2.54839,2.87364,18.31944
"3","2018_Q2",29.56453125,"Up",5.399e+09,-4.558e+09,8.41e+08,-6.74e+08,-6.74e+08,1.67e+08,-6.4e+07,-4.6e+07,2e+06,1.03e+08,-2.08e+08,-1.05e+08,8.6e+07,-1.9e+07,-1.9e+07,8.9e+07,7e+07,7e+07,5.631e+09,5.631e+09,5.865e+09,5.865e+09,4.696e+09,8.62e+08,8.62e+08,1.7054e+10,6.593e+09,3.1574e+10,2.0435e+10,6.203e+09,1.287e+09,3.649e+09,3.8167e+10,5.5221e+10,3.439e+09,3.439e+09,1.176e+09,3.71e+09,3.71e+09,8.325e+09,6.296e+09,2.505e+09,1.172e+09,4.24e+08,9.09e+08,8.801e+09,1.7126e+10,1.4845e+10,-8e+06,-5.85e+08,1.4252e+10,2.3843e+10,3.8095e+10,5.5221e+10,-1.9e+07,3.88e+08,-2.33e+08,1.58e+08,2.94e+08,-6.9e+07,-6.5e+07,-1.34e+08,-7.6e+07,-8.29e+08,-4.58e+08,-1.553e+09,-1.393e+09,-1.393e+09,-6e+06,-1.399e+09,5.55e+08,7.472e+09,5.58e+08,0.15577,0.03093,0.01297,0.00184,0.00127,7.97143,2.04853,0.44956,0.13531,0.16627,0.16588,12.82423,33.85273,1.32542,0.18052,0.00304,0.01161,1.08571,3.31712,11.02395
"4","2018_Q3",28.9626984126984,"Down",5.548e+09,-4.612e+09,9.36e+08,-6.62e+08,-6.62e+08,2.74e+08,-5.4e+07,-6.3e+07,4.3e+07,2.2e+08,-1.96e+08,2.4e+07,-6.2e+07,-3.8e+07,-3.8e+07,1.9e+07,-1.9e+07,-1.9e+07,4.879e+09,4.879e+09,6.038e+09,6.038e+09,4.675e+09,8.5e+08,8.5e+08,1.6442e+10,6.335e+09,3.1313e+10,2.0758e+10,5.973e+09,1.187e+09,3.395e+09,3.7648e+10,5.409e+10,3.574e+09,3.574e+09,1.067e+09,3.992e+09,3.992e+09,8.633e+09,6.319e+09,2.321e+09,1.1e+09,1.48e+08,1.073e+09,8.64e+09,1.7273e+10,1.4625e+10,-2.7e+07,-7.87e+08,1.3811e+10,2.3006e+10,3.6817e+10,5.409e+10,-3.8e+07,3.92e+08,-6.7e+07,-1.48e+08,1.39e+08,-1.61e+08,1.33e+08,-2.8e+07,-7.4e+07,-1.19e+08,-4.29e+08,-8.19e+08,-7.08e+08,-7.08e+08,-4.4e+07,-7.52e+08,6.66e+08,7.386e+09,4.19e+08,0.16871,0.04939,-0.00342,-0.00052,-0.00035,-22.05263,1.90455,0.46916,0.13655,-0.04589,-0.04589,13.40097,33.3599,1.01208,0.17874,0.00118,0.00901,-3.89474,3.76426,9.14964
"5","2018_Q4",22.4847619047619,"Down",5.665e+09,-4.692e+09,9.73e+08,-6.08e+08,-6.08e+08,3.65e+08,-1.34e+08,-5.5e+07,6e+06,2.31e+08,-8.3e+07,1.48e+08,-1.1e+08,3.8e+07,3.8e+07,-2.5e+07,1.3e+07,1.3e+07,4.765e+09,4.765e+09,5.809e+09,5.809e+09,4.681e+09,8.63e+08,8.63e+08,1.6118e+10,6.226e+09,3.1256e+10,2.079e+10,5.831e+09,1.212e+09,3.423e+09,3.7482e+10,5.36e+10,3.686e+09,3.686e+09,1e+09,3.771e+09,3.771e+09,8.457e+09,6.293e+09,2.287e+09,1.082e+09,1.81e+08,1.024e+09,8.58e+09,1.7037e+10,1.4575e+10,-1.4e+07,-8.21e+08,1.374e+10,2.2823e+10,3.6563e+10,5.36e+10,3.8e+07,3.53e+08,-1.2e+07,-1.39e+08,2.4e+08,-9.3e+07,7.1e+07,-4.2e+07,-7.4e+07,-4.4e+07,-1.57e+08,-2.75e+08,-7.7e+07,-7.7e+07,-3.7e+07,-1.14e+08,7.18e+08,7.293e+09,5.96e+08,0.17176,0.06443,0.00229,0.00036,0.00024,45.84615,1.90588,0.46596,0.13606,0.03155,0.0314,13.75,33.34951,1.4466,0.17961,0.00189,0.01292,5.69231,3.52089,6.92603
"6","2019_Q1",22.4711475409836,"Down",6.265e+09,-5.029e+09,1.236e+09,-7.55e+08,-7.55e+08,4.81e+08,9.2e+07,-5.9e+07,1.51e+08,5.73e+08,-9.9e+07,4.74e+08,-1.72e+08,3.02e+08,3.02e+08,-1.71e+08,1.31e+08,1.31e+08,3.723e+09,3.723e+09,5.969e+09,5.969e+09,4.62e+09,6.59e+08,6.59e+08,1.4971e+10,6.228e+09,3.124e+10,2.0717e+10,5.719e+09,1.072e+09,3.732e+09,3.7468e+10,5.2439e+10,4.025e+09,4.025e+09,9.42e+08,4.053e+09,4.053e+09,9.02e+09,6.285e+09,2.121e+09,1.018e+09,1.43e+08,9.6e+08,8.406e+09,1.7426e+10,1.8659e+10,2.5e+07,-1.219e+09,1.7465e+10,1.7548e+10,3.5013e+10,5.2439e+10,3.02e+08,3.53e+08,2.16e+08,2.18e+08,1.089e+09,-2.14e+08,-1.03e+08,-3.74e+08,-9.1e+07,-6.8e+07,-1.557e+09,-1.716e+09,-1.001e+09,-1.001e+09,-4.1e+07,-1.042e+09,8.34e+08,7.227e+09,1.01e+09,0.19729,0.07678,0.02091,0.00374,0.0025,7.70992000000001,1.65976,0.4977,0.13782,0.28416,0.28112,13.59002,37.88503,2.19089,0.1974,0.005,0.02277,0.694659999999999,4.20144,7.28482
"7","2019_Q2",21.5642857142857,"Down",5.615e+09,-4.639e+09,9.76e+08,-7.04e+08,-7.04e+08,2.72e+08,-3.8e+07,-5.9e+07,2.1e+07,2.34e+08,-9.6e+07,1.38e+08,-6.7e+07,7.1e+07,7.1e+07,-3.9e+07,3.2e+07,3.2e+07,3.073e+09,3.073e+09,6.319e+09,6.319e+09,4.871e+09,6.49e+08,6.49e+08,1.4912e+10,6.218e+09,3.1999e+10,2.0762e+10,5.663e+09,9.97e+08,4.577e+09,3.8217e+10,5.3129e+10,3.918e+09,3.918e+09,9.06e+08,4.228e+09,4.228e+09,9.052e+09,6.27e+09,2.721e+09,1.033e+09,8.9e+07,1.599e+09,8.991e+09,1.8043e+10,1.8646e+10,0,-1.134e+09,1.7512e+10,1.7574e+10,3.5086e+10,5.3129e+10,7.1e+07,3.5e+08,-1.8e+07,-5.87e+08,-1.84e+08,-2.35e+08,-2.1e+07,-2.56e+08,-9.3e+07,-4.8e+07,-9.1e+07,-2.32e+08,-6.72e+08,-6.72e+08,2.2e+07,-6.5e+08,6.22e+08,7.176e+09,-1.33e+08,0.17382,0.04844,0.0057,0.00091,6e-04,-4.15625,1.64737,0.51425,0.13507,0.06214,0.06202,10.90291,34.00388,-0.25825,0.18058,0.00278,-0.00296,2.90625,6.59646,15.08456
"8","2019_Q3",21.1396875,"Down",5.993e+09,-4.932e+09,1.061e+09,-7e+08,-7e+08,3.61e+08,-1.87e+08,-5.6e+07,-1.31e+08,1.74e+08,-90000000.0000001,8.4e+07,-9.5e+07,-1.1e+07,-1.1e+07,2000000.00000003,-9e+06,-9e+06,3.138e+09,3.138e+09,6.31e+09,6.31e+09,4.807e+09,7.3e+08,7.3e+08,1.4985e+10,6.13e+09,3.1761e+10,2.0705e+10,5.51e+09,8.98e+08,4.648e+09,3.7891e+10,5.2876e+10,3.966e+09,3.966e+09,8.92e+08,4.483e+09,4.483e+09,9.341e+09,6.256e+09,2.498e+09,9.97e+08,7.5e+07,1.426e+09,8.754e+09,1.8095e+10,1.8668e+10,-8999999.99999997,-1.271e+09,1.7388e+10,1.7393e+10,3.4781e+10,5.2876e+10,-1.1e+07,3.59e+08,1.17e+08,1.28e+08,5.93e+08,-2.38e+08,1.49011611938477e-08,-3.07e+08,-9.2e+07,-1.8e+07,-8.5e+07,-1.95e+08,9.1e+07,9.1e+07,-2.6e+07,6.5e+07,7.2e+08,7.148e+09,7.05e+08,0.17704,0.06024,-0.0015,-0.000260000000000002,-0.000169999999999999,-78.33333,1.60422,0.52026,0.13518,-0.01748,-0.01744,11.63689,33.76311,1.36893,0.17864,0.00187,0.01587,-10.22222,5.56944,11.10803
"9","2019_Q4",20.67828125,"Down",5.882e+09,-4.781e+09,1.101e+09,-6.79e+08,-6.79e+08,4.22e+08,-7.3e+07,-5.9e+07,-1.4e+07,3.49e+08,-1.25e+08,2.24e+08,-1.07e+08,1.17e+08,1.17e+08,-6e+07,5.7e+07,5.7e+07,2.808e+09,2.808e+09,6.165e+09,6.165e+09,4.739e+09,1.057e+09,1.057e+09,1.4769e+10,6.141e+09,3.1639e+10,2.0654e+10,5.431e+09,9.43e+08,4.611e+09,3.778e+10,5.2549e+10,3.87e+09,3.87e+09,6.94e+08,4.768e+09,4.768e+09,9.332e+09,6.313e+09,2.468e+09,9.77e+08,7.4e+07,1.417e+09,8.781e+09,1.8113e+10,2.357e+10,0,-1.694e+09,2.1876e+10,1.256e+10,3.4436e+10,5.2549e+10,1.17e+08,3.56e+08,-7e+06,-1.06e+08,3.6e+08,-1.99e+08,3.4e+07,-9.6e+07,-9.3e+07,-1.61e+08,-3.15e+08,-5.69e+08,-3.05e+08,-3.05e+08,-2.5e+07,-3.3e+08,7.78e+08,7.007e+09,5.8e+08,0.18718,0.07174,0.00969,0.00166,0.00108,10.17544,1.58262,0.52599,0.13334,0.10575,0.10497,10.9128,40.58627,1.07607,0.17254,0.00342,0.01321,1.63158,5.39717,9.95024
"10","2020_Q1",17.2179032258065,"Down",6.348e+09,-5.054e+09,1.294e+09,-7.49e+08,-7.49e+08,5.45e+08,-2.3e+07,-6.3e+07,4e+07,5.22e+08,-214999999.999999,3.07e+08,-2.13e+08,93999999.999999,93999999.999999,-46000000.0000002,47999999.9999995,47999999.9999995,3.249e+09,3.249e+09,6.416e+09,6.416e+09,4.608e+09,9.49e+08,9.49e+08,1.5222e+10,6.24e+09,3.1907e+10,2.069e+10,5.381e+09,9.54e+08,4.882e+09,3.8147e+10,5.3369e+10,4.268e+09,4.268e+09,3.21e+08,5.425e+09,5.425e+09,1.0014e+10,6.301e+09,2.555e+09,1.079e+09,5.1e+07,1.425e+09,8.856e+09,1.887e+10,2.3565e+10,-5079863404.86822,-1.636e+09,2.1929e+10,1.257e+10,3.4499e+10,5.3369e+10,93999999.999999,3.53e+08,204000000.000001,7.06e+08,1.357e+09,-3.04e+08,1.7e+07,-3.86e+08,-1.17e+08,-3.6e+08,-6.1e+07,-5.38e+08,4.33e+08,4.33e+08,7999999.99999999,4.41e+08,8.98e+08,6.622e+09,1.513e+09,0.20384,0.08585,0.00756000000000009,0.00139000000000002,0.000900000000000014,31.52083,1.52007,0.54697,0.12408,0.0737300000000007,0.0735100000000004,9.75115,33.6851,2.32412,0.17972,0.00377999999999999,0.03464,2.4375,3.75612,6.18899
