"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",1.2078125,"Up",3334645,-1720177,1614468,-2107854,-957914,-465025,-684915,-493386,-400549,-400549,-400605,56,-893935,-893935,-893935,-893935,219113,-674822,-674822,-2456143.75019696,-2456143.75019696,459222.468474254,459222.468474254,260870.375530326,82125.7470711684,178744.683663266,-1736050.90619238,114703.98438455,25901514.4158924,26016218.4002769,24280167.4940846,-507684.09033597,-507684.090335704,17489298.865084,16976525.6743792,4504506.46978574,4504505.88378924,21481031.5581685,16448004.755442,-11409099.6465046,5038905.10893741,-2239769.17302133,2799135.93591608,24280167.4940846,-893935,465025,3177,201148,-224585,15638,-271463,-248324,417968,169644,-326404,-326404,-326404,-28361,0,0.48415,-0.14796,-0.20237,-0.620320332618406,-0.0758590691174667,-0.459664677597791,7.3743579270874,0.89316466790325,-0.0789,-0.0789,0.38989,0.596903417508998,-0.0778539095260836,1830.12760708753,-704.718255290151
"2","2011_Q1",1.2591935483871,"Up",3986560,-2092689,1893871,-2306020,-1030127,-452901,-822992,-412149,-396187,-396187,-396195,8,-808336,-808336,-835336,-835336,190675,-644661,-644661,494844,494844,661024,661024,580217,443043,137174,1736085,139887,26059126,26199013,27935098,2093228,2093228,8387698,10480926,14173571,14173571,24654497,15412926,-11456375,3956551,-675950,3280601,27935098,-835336,452901,39698,182403,-160334,46033,-386152,121000,1006334,954117,407631,407631,407631,40752,22561269,0.47506,-0.10338,-0.16171,-0.19651,-0.02308,0.16564,7.51524,0.80763,-0.07537,-0.07537,0.46611,0.4626,-0.02164,541.48079,-53.53992
"3","2011_Q2",1.57857142857143,"Up",4998782,-2172973,2825809,-2382607,-1134258,-449032,-799317,443202,-387078,-387078,-387221,143,56124,56124,56124,56124,-6018,50106,50106,1376241.58339899,1376241.58339899,748412.343841915,748412.343841915,577416.958156558,478489.167642944,98927.7721122447,2702070.88539746,142622.171871817,25921497.7780359,26064119.9499077,28766190.8353051,2548605.44677866,2548605.44677857,6737499.79497201,9287806.94187359,15852744.1767381,15852744.3720703,25140551.3139438,15241449.498186,-11500965.4511651,3740484.04702086,-114844.525659558,3625639.52136131,28766190.8353051,56124,449032,10875,-146548,369483,-22021,-289091,-261813,291583,29770,110162,110162,110162,892234,0,0.5653,0.08866,0.01002,-0.0671607224605314,-0.00823781029417776,0.309019892532597,7.00811235763753,0.78464094403225,0.00586,0.00586,0.58446,0.435523860830334,-0.00726453015797214,63.8519909708236,-7.86798656994979
"4","2011_Q3",1.69765625,"Up",4035441,-1950288,2085153,-2191294,-1022363,-437518,-731413,-106141,-383816,-383816,-384233,417,-489957,-489957,-489957,-489957,130970,-358987,-358987,1094092,1094092,758759,758759,415739,341596,74143,2268590,135259,25636577,25771836,28040426,1924481,1924481,8388976,10313457,13898988,13898988,24212445,15490425,-11549167,3941258,-113277,3827981,28040426,-489957,437518,12405,6734.00000000006,-33299.9999999999,85052,-129833,-208033,860252,652219,489086,489086,489086,331377,22287964,0.51671,-0.0263,-0.08896,-0.0937800000000001,-0.0128,0.21996,6.32512,0.79485,-0.04197,-0.04197,0.47183,0.46082,-0.01375,63.9569799999998,-199.67658
"5","2011_Q4",1.9431746031746,"Up",3645921,-1814660,1831261,-2123619,-898077,-422214,-803328,-292358,-384394,-384394,-385538,1144,-676752,-676752,-676752,-676752,151439,-525313,-525313,674476,674476,700224,700224,299833,215138,84695,1674533,133800,25364956,25498756,27173289,1554227,1554227,8257111,9811346,13718302,13718302,23529648,15405126,-11607646,3797480,-153839,3643641,27173289,-676752,422214,-1729,-181455,-437722,-10552,-148802,-312551,479459,166908,-419616,-419616,-419616,129856,21975413,0.50228,-0.08019,-0.14408,-0.14417,-0.01933,0.17067,6.45773,0.80871,-0.06181,-0.06181,0.42902,0.44685,-0.0205,164.03506,-72.85909
"6","2012_Q1",2.03629032258065,"Up",4387892,-1944913,2442979,-2412240,-1158185,-425970,-828085,30739.0000000001,-368498,-368498,-370515,2017,-337759,-337759,-337759,-337759,93212,-244547,-244547,983424,983424,619916,619916,379174,242366,136808,1982514,149377,25250367,25399744,27382258,2414763,2414763,2503939,4918702,19317969,19317969,24236671,14646261,-11682575,2963686,181901,3145587,27382258,-337759,425970,61949,887426,1037586,-52113,-401871,-219887,-21406,-326767,308948,308948,308948,456709,21821908,0.55675,0.00701,-0.05573,-0.07774,-0.00893,0.40306,7.70498,0.79694,-0.02896,-0.02896,0.51971,0.35102,-0.00641,45.62749,677.91678
"7","2012_Q2",1.96539682539683,"Down",4819625,-2163805,2655820,-1803480,-1080283,-433657,-289540,852340,-207518,-207518,-207626,108,644822,644822,644822,644822,-180608,464214,464214,836908,836908,922618,922618,275002,202423,72579,2034528,142220,25201622,25343842,27378370,1926792,1926792,1255104,3204415,19480023,19480023,22684438,16231322,-11762146,4469176,224756,4693932,27378370,644822,433657,9728,-709172,379035,64229,-209138,-1225666,909778,-316413,-146516,-146516,-146516,1285997,20735127,0.55104,0.17685,0.09632,0.0989,0.01696,0.63491,4.83272,0.75735,0.05499,0.05499,0.57097,0.52946,0.01826,15.47299,23.3454
"8","2012_Q3",2.02714285714286,"Up",3371502,-2171111,1200391,-1825360,-1131328,-433530,-260502,-624969,-272177,-272177,-277471,5294,-897146,-897146,-897146,-897146,211155,-685991,-685991,196333,196333,1065208,1065208,458596,366029,92567,1720137,134073,25142638,25276711,26996848,2015435,2015435,1261153,3632533,19197227,19197227,22829760,15718419,-11811337,3907082,260006,4167088,26996848,-897146,433530,25253,124722,-313641,-719138,-1103666,416460,360272,776732,-640575,-640575,-640575,-191439,20458380,0.35604,-0.18537,-0.20347,-0.16462,-0.02541,0.47354,5.47859,0.75781,-0.08148,-0.08148,0.40047,0.46409,-0.02786,-105.84075,-32.4208800000001
"9","2012_Q4",1.94774193548387,"Down",3235185,-1940887,1294298,-1627830,-1001943,-440016,-185871,-333532,-237445,-237445,-251567,14122,-570977,-570977,-570977,-570977,165023,-405954,-405954,96015,96015,446143,446143,722027,307357,414670,1264185,123960,25017957,25141917,26406102,1646567,1646567,1383150,3629717,19264143,19264143,22893860,15333018,-11852006,3481012,31230,3512242,26406102,-570977,440016,53924,65566,-11471,-741406,-1064637,-4411156,5386946,975790,-100318,-100318,-100318,106484,20647293,0.40007,-0.1031,-0.12548,-0.11558,-0.01537,0.34829,6.5183,0.78191,-0.04834,-0.04834,0.38521,0.41448,-0.0168,192.99874,-61.61711
"10","2013_Q1",1.59866666666667,"Down",3551307,-2044982,1506325,-1523242,-847850,-447086,-228306,-16917,-235632,-235632,-225045,-10587,-252549,-252549,-252549,-252549,-125865,-378414,-378414,493953,493953,568186,568186,282182,268399,13783,1344321,112977,24824664,24937641,26281962,2298497,2298497,1398164,4146661,18909016,18909016,23055677,14940048,-11877886,3062162,164123,3226285,26281962,-252549,447086,40894,578794,814225,1519340,1235588,3891433,-5459462,-1651875,397938,397938,397938,430169,20307180,0.42416,-0.00476000000000001,-0.10656,-0.11729,-0.0144,0.32419,7.1462,0.77267,-0.04503,-0.04503,0.42258,0.36437,-0.01252,46.0591699999999,-1171.20216
"11","2013_Q2",1.71203125,"Up",4796198,-2031116,2765082,-1794856,-1111669,-454631,-228556,970226,-187011,-187011,-187019,8,783215,783215,783215,783215,-347965,435250,435250,193216,193216,453863,453863,234014,229419,4595,881093,103006,24501794,24604800,25485893,1445185,1445185,1381156,3004542,18571207,18571207,21575749,15420781,-11900594,3520187,389957,3910144,25485893,783215,454631,12266,-688681,561431,9188,-128457,-626616,-87095,-733711,-300737,-300737,-300737,1424857,19952363,0.57652,0.20229,0.09075,0.11131,0.01708,0.29325,5.51789,0.78288,0.05189,0.05189,0.57183,0.4197,0.01824,13.86746,20.36551
"12","2013_Q3",1.43078125,"Down",3427012,-2033422,1393590,-1895986,-1192733,-444850,-258403,-502396,-208175,-208175,-209978,1803,-710571,-710571,-710571,-710571,44272,-666299,-666299,307627,307627,392933,392933,343388,301433,41955,1043948,99265,24155027,24254292,25298240,2020312,2020312,1360361,3980673,18252871,18252871,22233544,14760660,-11918290,2842370,222326,3064696,25298240,-710571,444850,36762,553081,324122,-37359.9999999998,-149761,71808,-131757.999999999,-59950,114411,114411,114411,-57546,19613232,0.40665,-0.1466,-0.19443,-0.21741,-0.02634,0.26225,7.25473,0.77528,-0.07955,-0.07955,0.40913,0.33934,-0.02938,-335.48127,-38.42707
"13","2013_Q4",1.556875,"Up",3039104,-1956882,1082222,-1592731,-960310,-434284,-198137,-510509,-208853,-208853,-208858,5,-719362,-719362,-719362,-719362,103956,-615406,-615406,140719,140719,314016,314016,334330,296959,37371,789065,98861,23865500,23964361,24753426,2477837,2477837,1351485,4579705,17925799,17925799,22505504,14153809,-11959007,2194802,53120,2247922,24753426,-719362,434284,2538,558835,276295,4584,-152624,-204396,-86183,-290579,-166908,-166908,-166908,-76225,19277284,0.3561,-0.16798,-0.2025,-0.27377,-0.02486,0.1723,10.01169,0.77877,-0.07358,-0.07358,0.36337,0.26242,-0.02859,-251.05366,-37.48526
"14","2014_Q1",1.57032786885246,"Up",3622328,-1867941,1754387,-1698820,-986264,-449830,-262726,55567,-212932,-212932,-216726,3794,-157365,-157365,-194513,-194513,19145,-175368,-175368,395903,395903,644566,644566,498396,384059,114337,1538865,89348,23780290,23869638,25408503,2221638,2221638,11834549,15406502,7099589,7099589,22506091,14024668,-11973459,2051209,851203,2902412,25408503,-194513,449830,42982,-740403,-442104,-76966,-431145,287118,904764,1128433,255184,255184,255184,505397,18934138,0.48433,0.01534,-0.04841,-0.06042,-0.0069,0.09988,7.75427,0.74519,-0.02101,-0.02101,0.43401,0.24577,-0.00421,36.68054,333.6195
"15","2014_Q2",1.84571428571429,"Up",4726070,-2275164,2450906,-1953296,-1248299,-444041,-260956,497610,-182833,-182833,-185189,2356,314777,314777,284037,284037,-223362,60675,60675,535117,535117,444187,444187,473672,283788,189884,1452976,82673,23842894,23925567,25378543,2012235,2012235,11716442,14583881,6816762,6816762,21400643,14174363,-12034717,2139646,1838254,3977900,25378543,284037,444041,17562,121005,866645,70910,-467214,-734078,473861,-260217,139214,139214,139214,941651,18533204,0.51859,0.10529,0.01284,0.01525,0.00239,0.09963,5.37988,0.73027,0.00724,0.00724,0.56401,0.25534,0.0027,19.11333,36.16906
"16","2014_Q3",1.84828125,"Up",3330331,-1994856,1335475,-1957373,-1304950,-447911,-204512,-621898,-204075,-204075,-206966,2891,-825973,-825973,-875233,-875233,29977,-845256,-845256,393926,393926,319160,319160,452091,261983,190108,1165177,83459,23622561,23706020,24871197,1842106,1842106,5855575,10188060,11242676,11242676,21430736,13432958,-12065097,1367861,2072600,3440461,24871197,-875233,447911,54880,-51362,-423804,17278,-236567,1013432,-494252,519180,-141191,-141191,-141191,-173987,17098251,0.401,-0.18674,-0.25381,-0.24568,-0.03399,0.11437,6.22903,0.68747,-0.10059,-0.10059,0.39631,0.16278,-0.04115,-96.00904,-26.86023
"17","2014_Q4",2.10703125,"Up",-5980936,3112506,-2868430,1448492,554840,516041,377611,-1419938,132717,132717,132073,644,-1287221,-1287221,-1287221,-671051,220886,-450165,-450165,445791,445791,362901,362901,276380,200532,75848,1085072,79701,23503685,23583386,24668458,2057545,2057545,5810220,11215367,10912325,10912325,22127692,12863924,-12150105,713819,1826947,2540766,24668458,-671051,440578,48509,193941,11977,-49699,-334910,448617,-73819,374798,51865,51865,51865,-979360,16722545,0.4796,0.23741,0.07527,-0.17718,-0.01825,0.09675,8.70906,0.67789,-0.0534,-0.0534,-0.70954,0.08468,-0.02337,-16.61979,-11.463
"18","2015_Q1",2.50918032786885,"Up",769657,-373117.000000001,396540,-758720,-607225,-121367,-30127.9999999999,-362180,-83329,-83329,-84094.0000000001,765,-445509,-445509,-564156,-978677,109786,-868891,-868891,147684,147684,117903,117903,867684,30098,1236,1133271,76092,25818446,25894538,27027809,690351,690351,592447,10210600,5150425,13851982,24062582,13812470,-12193491,1618979,1346248,2965227,27027809,-978677,449891,102544,571347,145105,74612,-263104,-2608389,2870948,179894,61895,61895,61895,87711,5742872,0.51522,-0.47057,-1.12893,-0.29303,-0.03215,0.11099,8.11492,0.21248,-0.10807,-0.10807,0.09573,0.20136,-0.04516,63.79118,-15.44864
"19","2015_Q2",2.41333333333333,"Down",1168385,-425903,742482,-821145,-662791,-128446,-29908,-78663,-82453,-82453,-82638,185,-161116,-161116,-202687,407155,-90620,316535,316535,326459,326459,274934,274934,166209,166209,0,767602,152311,25764920,25917231,26684833,2236285,2236285,5756342,9251942,13701881,13701881,22953823,14673108,-12231989,2441119,1289891,3731010,26684833,407155,456269,67048,-238170,692302,1236,-477727,-740613,344812,-395801,-181226,-181226,-181226,377606,19458223,0.63548,-0.06733,0.27092,0.08484,0.01186,0.08297,6.15217,0.72919,0.03828,0.02648,0.14128,0.29518,0.01365,50.66594,-243.21173
"20","2015_Q3",2.3365625,"Down",-875354,-113303.369752798,193268.246041514,-341580,-479307,107819,29908,-791031,58937,58937,58803,134,-732094,-732094,-762094,-978063,107160,-870903,-870903,300950,300950,312024,312024,160294,160294,7.27595761418343e-12,773268,142303,25680396,25822699,26595967,2338480,2338480,5408107,8547387,13599691,13599691,22147078,14827601,-12252277,2575324,1873565,4448889,26595967,-978063,457482,14112,94942.0000000001,-411527,0,-362949,-930466,1679432,748966,-25510,-25510,-25510,-333549,19007798,0.596219449162798,0.90367,0.99492,-0.19576,-0.03275,0.09047,4.97811,0.71469,-0.1052,-0.0728,-0.10573,0.31107,-0.03713,-56.08426,-23.64869
"21","2015_Q4",2.1459375,"Down",8517211,-778815.007844277,308534.820090648,-3473900,-2191824,-783355,-498721,442816,-584271,-584271,-584301,30,-141455,-141455,-141455,1337681,39336,1377017,1377017,1575410,1575410,62495,62495,1731054,18503,24651,3368959,132397,18739672,18872069,22241028,742629,742629,184107,3194906,5010736,13472257,16667163,17012161,-12269589,4742572,831293,5573865,22241028,1337681,122891,-2327249,185560,-681117,0,4237239,-535618,-1357259,-792877,2763245,2763245,2763245,565707,5194843,0.461860078204386,0.05199,0.16167,0.24705,0.06191,1.05448,2.99023,0.23357,0.16669,0.11528,1.03103,0.5741,0.07161,6.39807,8.17367
"22","2016_Q1",2.20065573770492,"Up",2806525,-1636894,1169631,-1421057,-1070311,-206155,-144591,-251426,-107955,-107955,-122022,14067,-359381,-359381,-384773,-427333,36800,-390533,-390533,1955534,1955534,250470,250470,1119918,127325,977945,3325922,19614767,1e+06,20614767,23940689,2163144,2163144,526795,3649473,13320487,13320487,16969960,18769849,-12285915,6483934,486795,6970729,23940689,-427333,141432,25963,56421,-203517,-1772184,-2742680,205892,-178025,1839689,-1106508,-1106508,-1106508,-109994,13847282,0.41675,-0.08959,-0.13915,-0.05602,-0.01631,0.91134,2.43446,0.5784,-0.04722,-0.0326700000000001,0.33937,0.78405,-0.01452,-108.1127,-47.29721
"23","2016_Q2",2.19859375,"Down",3638063,-1680617,1957446,-1772490,-1441466,-150404,-180620,184956,-164174,-164174,-185912,21738,20782,20782,20782,20782,-210478,-189696,-189696,753309,753309,547280,547280,1498635,41948,1083778,2799224,309243,20750147,21059390,23858614,196184,196184,159284,3358455,4938986,13446240,16804695,18603297,-12291337,6311960,741959,7053919,23858614,20782,150404,18270,-285108,-95652,69050,-525977,-363814,-160323,-524137,-1145766,-1145766,-1145766,335360,5098270,0.53805,0.05084,-0.05214,-0.02689,-0.00795,0.83349,2.38232,0.21369,-0.02152,-0.02152,0.41273,0.71608,-0.00918,12.95611,23.49186
"24","2016_Q3",2.0865625,"Down",1068016,-470176,597840,-1199865,-1068317,-44516.0000000001,-87032,-602025,-31447,-31447,-21492,-9955,-633472,-633472,-633472,-273462,-101195,-374657,-374657,25121.9999999999,25122,415715,415715,1377506,46250,438334,1818343,353843,21319179,21673022,23491365,518348,518348,11283,3119596,65167.0000000009,13793208,16912804,18307410,-12305591,6001819,576742,6578561,23491365,-273462,44516.0000000001,47943.0000000001,-469103,-650106,464800,-193231.000000001,289815,4488.99999999988,294304,-549033,-549033,-549033,-557509,76450,0.55977,-0.56369,-0.3508,-0.05695,-0.01595,0.58288,2.5709,0.00325000000000003,-0.04252,-0.02316,0.12122,0.68118,-0.01838,-0.0920700000000014,-0.0852599999999946
"25","2016_Q4",2.00079365079365,"Down",2118681,-1093641,1025040,-2393899,-1334994,-953367,-105538,-1368859,-124918,-124918,-149265,24347,-1493777,-1493777,-1496545,-1881327,0,-1881327,-1881327,496037,496037,441622,441622,284855,150067,115517,1222514,19785128,949750,20734878,21957392,1910425,1910425,590082,3996295,12941953,13540564,17536859,17229284,-12328300,4900984,-480451,4420533,21957392,-1881327,1527895,42724,243397,-67311,322817,-267051,832172,-264661,567511,233149,233149,233149,159036,13532035,0.48381,-0.64609,-0.88797,-0.42559,-0.08568,0.30591,3.96714,0.61629,-0.21374,-1.31223,0.24071,0.55681,-0.10141,81.96885,-9.52326
"26","2017_Q1",1.91129032258065,"Down",2372419,-1127837,1244582,-1814121,-1385955,-314285,-113881,-569539,-138984,-138984,-133123,-5860.99999999999,-708523,-708523,-478187,-492747,746455,253708,253708,478835,478835,626174,626174,359958,130831,0,1464967,13694268,7013597,20707865,22172832,1908498,1763498,885850,4405500,7762975,14142083,18547583,16794132,-12362952,4431180,-805931,3625249,22172832,-492747,438586,37969.9999999999,-41705.9999999999,-57897.0000000001,-1759815,83110.9999999999,-112359,256134,47145,72359.0000000001,72359.0000000001,72359.0000000001,-130953,8648825,0.5246,-0.24007,0.10694,0.0699800000000001,0.01144,0.33253,5.11622,0.39006,0.02062,0.00937999999999994,0.19283,0.36016,0.01878,-62.38872,-14.34492
"27","2017_Q2",1.79761904761905,"Down",3053801,-1122951,1930850,-1862288,-1430220,-305008,-127060,68562,-140682,-140682,-140686,4,-72120,-72120,-132120,58101,-297870,-239769,-239769,468248,468248,1173540,1173540,185313,185313,1089679.37276875,1827101,20001683,916250,20917933,22745034,2555693,2553309,1156426,4109203,12681247,13508275,17617478,18314109,-12381053,5933056,-805499,5127557,22745035,58101,430148,34170,-63435,458984,-654022,-654022,-1142105,1036996,94891,-100147,-100147,-100147,498710,13837673,0.63228,0.02245,-0.07851,-0.04676,-0.01054,0.44464,3.43584,0.60838,-0.02448,-0.02448,0.31184,0.60586,-0.01211,26.80801,194.99759
"28","2017_Q3",1.77555555555556,"Down",1883553,-1227398,656155,-840680,-473611,-249970,-117099,-184525,-121050,-121050,-121806,756,-305575,-305575,-575575,9499130,161634,9660764,9660764,7476881,7476881,1184957,1184957,2084188,153645,1799354,10746026,14476568,899500,15376068,26122094,2702044,2702044,1354316,4411361,10545551,11418892,15830253,21733557,-12609129,9124428,1167413,10291841,26122094,9499129,385856,-11433986,209754,-1339247,-2065381,7538229,3908694,-2711017,1301324,7500306,7500306,7500306,201331,11899867,0.34836,-0.09797,5.12901,0.93868,0.36983,2.43599,1.53814,0.45555,0.9691,0.57429,0.18894,0.9153,0.42303,21.96873,-23.96958
"29","2017_Q4",1.63428571428571,"Down",-700488,150833,-549655,-313830,-289925,28411,-52316,-863485,74761,74761,69233,5528,-788724,-788724,-788724,-826877,22717,-804160,-804160,7615198,7615198,1483998,1483998,1244824,97754,1135285,10344020,14725726,882750,15608476,25952496,2906469,2906469,1377640,4515460,10448278,11275502,15790962,21964715,-12621232,9343483,818051,10161534,25952496,-826876,365423,-7223,-38301,-506977,-777831,-777831,-618038,1563800,943236,-341572,-341572,-341572,-498062,11825918,0.78467,1.23269,1.148,-0.07914,-0.03099,2.2908,1.55399,0.45568,-0.08223,-0.06248,-0.07163,0.95539,-0.03514,-8.45421,-4.87643
