"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"27","2019_Q2",86.2590476190476,"Up",75343000,-17709000,57634000,-43583000,-27746000,-17315000,-10431000,-15837000,14051000,1786000,2009000,2051000,-223000,15837000,15837000,-2571000,13266000,13266000,13266000,13266000,298136000,93127000,205009000,67863000,67863000,16538000,16538000,382537000,60486000,96796000,21356000,7325000,43462000,253604000,636141000,32583000,566000,32017000,174452000,174452000,208188000,54550000,20450000,34100000,54550000,262738000,338605000,34488000,310000,373403000,373403000,636141000,13266000,7935000,9613000,13533000,44347000,-9458000,-9458000,-8608000,24822000,15364000,-3824000,-3824000,-7610000,52101000,52101000,52101000,21986000,1153000,28632000,0.76495,0.18649,0.17607,0.03553,0.02085,2.1583,1.83746,0.70363,0.00181,0.33921,0.31931,1.92649,9.54775,0.73211,0.03092,0.06672,-13.50782,-21.13608
"28","2019_Q3",83.334375,"Down",78929000,-17537000,61392000,-45284000,-27589000,-17165000,-10424000,-17695000,16108000,2401000,2170000,2198000,231000,18509000,18509000,-2277000,16232000,16232000,16232000,16232000,299007000,91381000,207626000,63184000,63184000,19395000,19395000,381586000,59359000,93146000,19836000,7325000,43009000,264026000,645612000,25278000,963000,24315000,183435000,176609000,208713000,53301000,20835000,32466000,53301000,262014000,345676000,36682000,1240000,383598000,383598000,645612000,16232000,7874000,9423000,3399000,36928000,-6530000,-6530000,-5530000,-16381000,-22911000,-11302000,-11302000,-15763000,-1746000,-1746000,-1746000,23982000,0,23128000,0.77781,0.20408,0.20565,0.04232,0.02514,1.42484,1.82828,0.68304,0,0.41432,0.39025,2.01468,9.79141,0.59035,0.03715,0.05294,-12.46798,-18.56264
"29","2019_Q4",82.9246875,"Down",82671000,-17108000,65563000,-43014000,-26115000,-17009000,-9106000,-16899000,22549000,1786000,2114000,2142000,-328000,24335000,24335000,-5161000,19174000,19174000,19174000,19174000,298036000,75615000,222421000,61314000,61314000,20459000,20459000,379809000,58705000,86459000,18316000,7447000,42394000,246115000,625924000,26504000,909000,25595000,187241000,180304000,213745000,51156000,20156000,3.1e+07,51156000,264901000,345417000,13335000,2271000,361023000,361023000,625924000,19174000,7677000,12373000,6450000,45674000,-5335000,-5335000,-5335000,-3853000,-9813000,-47737000,-47737000,-51627000,-15766000,-15766000,-15766000,30226000,0,36502000,0.79306,0.27276,0.23193,0.05311,0.03063,1.90372,1.77693,0.73375,0,0.4915,0.46538,2.11917,9.25439,0.93568,0.04652,0.08856,-9.86025,-13.21726
"30","2020_Q1",83.9517741935484,"Up",84664000,-17163000,67501000,-47956000,-30148000,-19344000,-10804000,-17808000,19545000,1757000,2044000,2052000,-287000,21302000,21302000,-638000.000000001,20664000,20664000,20664000,20664000,298890000,87559000,211331000,78034000,78034000,18692000,18692000,395616000,60579000,99905000,16795000,7447000,56833000,279992000,675608000,23632000,848000,22784000,199835000,192172000,223467000,65338000,20935000,44403000,65338000,288805000,362447000,23194000,1162000,386803000,386803000,675608000,20664000,7715000,9430000,-4151000,33658000,-10300000,-10300000,-8100000,-7369000,-17669000,1270000,87694000,-4044999.99999999,11944000,11944000,11944000,27260000,-2.91038304567337e-11,13447000,0.79728,0.23085,0.24407,0.05342,0.03059,0.65075,1.77036,0.74665,5.42101086242752e-20,0.52981,0.50352,2.1707,9.91726,0.34477,0.0457,0.02974,-10.96442,-15.2924
"31","2020_Q2",104.768095238095,"Up",86263000,-18495000,67768000,-47337000,-29354000,-18230000,-11124000,-17983000,20431000,1786000,1921000,1924000,-135000,22217000,22217000,-3523000,18694000,18694000,18694000,18694000,331952000,147565000,184387000,72696000,72696000,20490000,20490000,425138000,61665000,94912000,15275000,7447000,55260000,259354000,684492000,24406000,653000,23753000,209829000,201861000,234235000,63527000,21823000,41704000,63527000,297762000,368055000,17122000,1553000,386730000,386730000,684492000,18694000,7747000,11865000,14129000,52435000,-7271000,-7271000,-7271000,44084000,36813000,-24212000,4714000,-29242000,60006000,60006000,60006000,28178000,0,38559000,0.7856,0.23685,0.21671,0.04834,0.02731,2.06264,1.81501,0.76995,0,0.47796,0.45767,2.20554,9.88776,0.98586,0.04152,0.08564,-11.78054,-16.24747
"32","2020_Q3",106.95265625,"Up",88830000,-18891000,69939000,-44431000,-26373000,-15783000,-10590000,-18058000,25508000,1586000,1392000,1392000,194000,27094000,27094000,-775000,26319000,26319000,26319000,26319000,347831000,113909000,233922000,75938000,75938000,24338000,24338000,448107000,63098000,98327000,13755000,7447000,60154000,258908000,707015000,26205000,1395000,24810000,208893000,199732000,235098000,64143000,19070000,45073000,64143000,299241000,384241000,21098000,2435000,407774000,407774000,707015000,26319000,7886000,9123000,-14114000,29214000,-4297000,-4297000,-4297000,-42887000,-47184000,-9540000,15716000,-15686000,-33656000,-33656000,-33656000,33394000,0,15758000,0.78734,0.28716,0.29629,0.06454,0.03723,0.59873,1.90604,0.73384,3.3881317890172e-21,0.67205,0.64177,2.26827,10.41249,0.40238,0.05577,0.03339,-10.41597,-13.63615
"33","2020_Q4",98.925,"Down",93069000,-20619000,72450000,-46147000,-28283000,-16060000,-12223000,-17864000,26303000,1331000,1122000,1123000,209000,27634000,27634000,-4891000,22743000,22743000,22743000,22743000,318761000,93027000,225734000,64291000,64291000,22480000,22480000,405532000,67574000,100718000,13651000,7447000,66039000,301552000,707084000,26995000,2223000,24772000,212060000,200283000,239055000,67730000,19157000,48573000,67730000,306785000,388853000,10371000,1075000,400299000,400299000,707084000,22743000,8342000,14567000,13996000,59648000,-12674000,-12674000,-11174000,-28435000,-41109000,-34167000,3532000,-39421000,-20882000,-20882000,-20882000,34645000,0,40858000,0.77845,0.28262,0.24437,0.05682,0.03216,1.79651,1.6964,0.76639,0,0.5796,0.55654,2.37185,10.20156,1.04126,0.04859,0.0873,-9.20078,-12.11881
"34","2021_Q1",111.922786885246,"Up",94801000,-21221000,73580000,-49168000,-30525000,-17892000,-12633000,-18643000,24412000,680000,941000,946000,-261000,25092000,25092000,-1276000,23816000,23816000,23816000,23816000,356024000,74132000,281892000,100179000,100179000,19142000,19142000,475345000,64850000,98166000,12006000,7447000,62902000,261474000,736819000,30564000,731000,29833000,225166000,213494000,255730000,76607000,30540000,46067000,76607000,332337000,401398000,3568000,-484000,404482000,404482000,736819000,23816000,8870000,9410000,-3307000,38789000,-6876000,-7295000,-7295000,-22576000,-29452000,-24349000,10499000,-28232000,-18895000,-18895000,-18895000,33282000,2.27373675443232e-13,24375000,0.77615,0.25751,0.25122,0.05888,0.03232,1.02347,1.85878,0.82164,0,0.60825,0.58702,2.42117,10.33028,0.62253,0.0495,0.05067,-10.69719,-14.58398
"35","2021_Q2",101.793968253968,"Down",96756000,-21680000,75076000,-77781000,-60032000,-17989000,-42043000,-17749000,-2705000,498000,742000,746000,-244000,-2207000,-2207000,2435000,228000,228000,228000,228000,356735000,108753000,247982000,85222000,85222000,22099000,22099000,464056000,64143000,100269000,10361000,7447000,61675000,265886000,729942000,2.9e+07,1164000,27836000,230744000,218898000,259744000,73090000,29010000,44080000,73090000,332834000,420989000,-24001000,120000,397108000,397108000,729942000,228000,9078000,34145000,14403000,57854000,-6259000,-6259000,-6259000,29434000,23175000,-28765000,2264000,-46408000,34621000,34621000,34621000,6373000,0,12082000,0.77593,-0.02796,0.00236,0.00057,0.00031,52.99123,1.78659,0.83814,0,0.00581,0.00564,2.4677,10.12798,0.30814,0.00048,0.0257,-55.97599,131.87985
"36","2021_Q3",109.53046875,"Up",99702000,-21552000,78150000,-48788000,-28983000,-17770000,-11213000,-19805000,29362000,487000,567000,567000,-80000,29849000,29849000,-8707000,21142000,21142000,21142000,21142000,360219000,97278000,262941000,86044000,86044000,21979000,21979000,468242000,65959000,92214000,8715000,7447000,59583000,269063000,737305000,32282000,1597000,30685000,240426000,228180000,272708000,71602000,28681000,42921000,71602000,344310000,424546000,-31286000,-265000,392995000,392995000,737305000,21142000,8791000,14081000,10372000,54386000,-6646000,-6652000,-6652000,-25702000,-32348000,-30049000,2174000,-33513000,-11475000,-11475000,-11475000,38153000,0,50586000,0.78384,0.2945,0.21205,0.0538,0.02867,2.39268000000001,1.71701,0.87612,-2.64697796016969e-23,0.53921,0.52293,2.54283,10.02308,1.29016,0.04551,0.10888,-9.44143000000001,-12.2682
"37","2021_Q4",127.75859375,"Up",104934000,-22479000,82455000,-50478000,-29142000,-17739598.0711806,6621427.5570847,-21336000,31977000,74000,525000,436607.112895633,-451000,32051000,32051000,-4282000,27769000,27769000,27769000,27769000,345687000,145740000,199947000,84267000,84267000,22899000,22899000,452853000,63257000,103946000,8250000,7447000,56882000,303327000,756180000,34977000,1099000,33878000,249715000,237539000,284692000,68502000,27528000,40974000,68502000,353194000,433853000,-31695000,828000,402986000,402986000,756180000,27769000,8883000,-4726000,16575000,48501000,-8258000,-7656620.42208104,-7717683.13147635,36553000,28295000,-25157000,6510000,-28334000,48462000,48462000,48462000,40860000,0,53459000,0.78578,0.30473,0.26463,0.06891,0.03672,1.92513,1.59068,0.87644,0,0.7134,0.6953,2.6958,10.35288,1.37338,0.0589,0.11338,-8.46028,-10.81049
"38","2022_Q1",127.723064516129,"Down",109780000,-23728000,86052000,-57003000,-34604000,-18336480.5907513,-186227.918218821,-22399000,29049000,655000,453000,402004.52638813,202000,29704000,29704000,-7883000,21821000,21821000,21821000,21821000,405288000,137328000,267960000,108998000,108998000,32112000,32112000,546398000,61854000,95109000,6545000,7447000,56030000,268161000,814559000,33800000,1296000,32504000,270480000,257872000,304280000,73565000,32753000,40812000,73565000,377845000,477362000,-41655000,1007000,436714000,436714000,814559000,21821000,9145000,19264000,-10355000,39875000,-4485000,-8510367.5413243,-8549225.62912131,-44794000,-48654000,3988000,39046000,367000,-8412000.00000001,-8412000.00000001,-8412000.00000001,38194000,0,31237000,0.78386,0.26461,0.19877,0.04997,0.02679,1.43151,1.79571,0.8652,0,0.56059,0.54637,2.8203,11.21937,0.80249,0.04276,0.06122,-10.6113,-13.95187
"39","2022_Q2",130.992580645161,"Up",113420000,-24002000,89418000,-55883000,-32776000,-20142000,-12634000,-23107000,33535000,-192000,518000,518000,-710000,33343000,33343000,-7933000,25410000,25410000,25410000,25410000,457138000,166287000,290851000,89294000,89294000,26752000,26752000,573184000,63377000,95629000,4839000,7447000,53357000,241366000,814550000,39560000,2477000,37083000,278978000,266934000,318538000,69377000,31117000,38260000,69377000,387915000,485715000,-58410000,-670000,426635000,426635000,814550000,25410000,8982000,7558000,37090000,79040000,-7639000,-7639000,-7639000,3115000,-4524000,-41926000,4655000,-45557000,28959000,28959000,28959000,42517000,0,79901000,0.78838,0.29567,0.22403,0.05956,0.0312,3.14447,1.79942,0.90924,0,0.65336,0.63476,2.91636,10.97002,2.05449,0.05123,0.16109,-10.75189,-13.63167
"40","2022_Q3",140.92640625,"Up",119893000,-25046000,94847000,-61854000,-37063000,-23730000,-13333000,-24791000,32993000,-871000,839000,839000,-1710000,32122000,32122000,-5526000,26596000,26596000,26596000,26596000,419089000,120965000,298124000,97692000,97692000,34959000,34959000,551740000,57830000,99319000,3365000,7447000,53081000,237271000,789011000,40119000,2132000,37987000,287270000,275725000,327389000,64784000,28358000,36426000,64784000,392173000,493764000,-96301000,-625000,396838000,396838000,789011000,26596000,8570000,7606000,-8961000,33811000,-3511000,-3511000,-3511000,-6364000,-9875000,-64728000,6504000,-69258000,-45322000,-45322000,-45322000,41563000,0,34617000,0.7911,0.27519,0.22183,0.06702,0.03371,1.30159,1.68527,0.98824,-2.06795153138257e-25,0.68656,0.67011,3.09497,10.24415,0.89362,0.05761,0.07499,-10.08322,-12.70236
