"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"17","2016_Q4",35.2001587301587,"Up",50987000,-11465000,39522000,-31535000,-21779000,-14498000,-7281000,-9756000,7987000,230000,354000,363000,-124000,8217000,8217000,-3221000,4996000,4996000,4996000,4996000,209977000,98299000,111678000,41910000,41910000,9072000,9072000,260959000,40670000,18477000,1080000,317000,1939000,124077000,385036000,17815000,1491000,16324000,109026000,109026000,126841000,16802000,14416000,2386000,16802000,143643000,255545000,-14168000,16000,241393000,241393000,385036000,4996000,4536000,5273000,5438000,20243000,-9843000,-9843000,-9843000,-34245000,-44088000,3033000,3033000,3950000,-19895000,-19895000,-19895000,12523000,0,11339000,0.77514,0.15665,0.09799,0.0207,0.01298,2.26962,2.05737,0.59506,0,0.1408,0.1293,1.4369,6.80287,0.31955,0.01935,0.04392,-16.76731,-26.28985
"18","2017_Q1",35.1274193548387,"Down",52224000,-11852000,40372000,-31561000,-22323000,-15592000,-6731000,-9238000,8811000,-116000,414000,417000,-530000,8695000,8695000,-2788000,5907000,5907000,5907000,5907000,243856000,86737000,157119000,47024000,47024000,9808000,9808000,300688000,39401000,21190000,987000,317000,3296000,106316000,407004000,15368000,2051000,13317000,114964000,114964000,130332000,18259000,15528000,2731000,18259000,148591000,266830000,-8261000,-156000,258413000,258413000,407004000,5907000,4630000,234000,3835000,14606000,-4436000,-4436000,-4436000,-26792000,-31228000,2628000,2628000,6260000,-10362000,-10362000,-10362000,13441000,0,15628000,0.77305,0.16872,0.11311,0.02286,0.01451,2.64567,2.30709,0.57501,0,0.16516,0.152,1.46016,7.2251,0.43695,0.02135,0.05649,-18.1427,-27.67631
"19","2017_Q2",40.1642857142857,"Up",53121000,-12294000,40827000,-33171000,-23348000,-16014000,-7334000,-9823000,7656000,453000,479000,481000,-26000,8109000,8109000,13821000,21930000,21930000,21930000,21930000,244779000,109651000,135128000,41639000,41639000,9043000,9043000,295461000,40823000,41553000,894000,317000,3063000,146060000,441521000,17676000,4338000,13338000,120044000,120044000,137720000,19333000,18461000,872000,19333000,157053000,262657000,22037000,-226000,284468000,284468000,441521000,21930000,4820000,-9421000,15096000,32425000,-4543000,-4543000,-4543000,3537000,-1006000,5602000,5602000,-8505000,22914000,22914000,22914000,12476000,0,9208000,0.76857,0.14412,0.41283,0.07709,0.04967,0.41988,2.14537,0.55209,0,0.60094,0.56455,1.45565,7.79514,0.25232,0.07219,0.03031,-19.61999,-31.97218
"20","2017_Q3",45.8880952380952,"Up",55302000,-12153000,43149000,-34140000,-23615000,-15383000,-8232000,-10525000,9009000,360000,540000,541000,-180000,9369000,9369000,-2167000,7202000,7202000,7202000,7202000,278862000,130572000,148290000,46359000,46359000,19055000,19055000,344276000,42768000,39899000,801000,317000,3159000,127670000,471946000,15760000,1924000,13836000,124738000,124738000,140498000,25386000,16701000,8685000,25386000,165884000,277058000,29239000,-235000,306062000,306062000,471946000,7202000,4963000,8819000,-4467000.00000001,16517000,-8636000,-8636000,-8636000,5086000,-3550000,9001000,9001000,7954000,20921000,20921000,20921000,13972000,0,3036000,0.78024,0.16291,0.13023,0.02353,0.01526,0.42155,2.4504,0.54199,-2.64697796016969e-23,0.19318,0.18201,1.48338,8.2096,0.08144,0.02173,0.00916,-19.95863,-30.95371
"21","2017_Q4",56.2214285714286,"Up",59490000,-12728000,46762000,-35913000,-25021000,-15475000,-9546000,-10892000,10849000,671000,753000,753000,-82000,11520000,11520000,-3068000,8452000,8452000,8452000,8452000,302727000,90517000,212210000,46354000,46354000,18299000,18299000,367380000,51281000,42308000,5801000,9e+05,3248000,133947000,501327000,16077000,1398000,14679000,132167000,132167000,148244000,25442000,16041000,9401000,25442000,173686000,290558000,37203000,-120000,327641000,327641000,501327000,8452000,5271000,10884000,8230000,32837000,-19186000,-19186000,-13433000,-59464000,-78650000,8175000,8175000,5758000,-40055000,-40055000,-40055000,16120000,0,8232000,0.78605,0.18237,0.14207,0.0258,0.01686,0.97397,2.47821,0.53011,0,0.22412,0.20221,1.57748,8.68798,0.21829,0.02394,0.02331,-18.77959,-27.90368
"22","2018_Q1",69,"Up",62915000,-14405000,48510000,-38781000,-27205000,-16983000,-10222000,-11576000,9729000,651000,899000,899000,-248000,10380000,10380000,-7524000,2856000,2856000,2856000,2856000,288414000,86591000,201823000,64412000,64412000,16524000,16524000,369350000,58557000,42394000,12401000,1549000,3378000,168175000,537525000,22588000,1144000,21444000,143186000,143186000,165774000,28207000,17136000,11071000,28207000,193981000,304194000,39924000,-574000,343544000,343544000,537525000,2856000,5582000,16103000,1326000.00000001,25867000,-17935000,-17935000,-11206000,-17054000,-34989000,8549000,8549000,5196000,-3926000,-3926000,-3925999.99999999,15311000,2.27373675443232e-13,6226000,0.77104,0.15464,0.04539,0.00831,0.00531,2.17997,2.22803,0.56465,4.2351647362715e-22,0.0746,0.07127,1.64329,8.9731,0.16262,0.00768,0.01675,-18.83705,-29.64477
"23","2018_Q2",80.379375,"Up",64878000,-15901000,48977000,-40571000,-28018000,-16233000,-11785000,-12553000,8406000,1245000,1052000,1090000,193000,9651000,9651000,-509000,9142000,9142000,9142000,9142000,328527000,93174000,235353000,49874000,49874000,15488000,15488000,393889000,60696000,45664000,11769000,1549000,8261000,171723000,565612000,23491000,1310000,22181000,147656000,147656000,171147000,28146000,14995000,13151000,28146000,199293000,316733000,50551000,-965000,366319000,366319000,565612000,9142000,7043000,9074000,17730000,42989000,-5985000,-5985000,-5985000,-32096000,-38081000,6452000,6452000,1675000,6583000,6583000,6583000,15449000,0,27703000,0.75491,0.12957,0.14091,0.02496,0.01616,3.0303,2.30147,0.54404,0,0.23569,0.21801,1.67259,9.44389,0.7142,0.02318,0.07023,-21.26526,-39.08244
"24","2018_Q3",89.9,"Up",68153000,-16248000,51905000,-41010000,-27882000,-18976000,-8906000,-13128000,10895000,884000,1413000,1452000,-529000,11779000,11779000,-1486000,10293000,10293000,10293000,10293000,322519000,86779000,235740000,52535000,52535000,15815000,15815000,390869000,64973000,48358000,14605000,1849000,8334000,180046000,570915000,28478000,1024000,27454000,151419000,151419000,179897000,25779000,13327000,12452000,25779000,205676000,320265000,45795000,-821000,365239000,365239000,570915000,10293000,7206000,7361000,-622000,24238000,-10614000,-10614000,-7255000,1109000,-12005000,-13634000,-13634000,-18586000,-6353000,-6353000,-6395000,18101000,3.63797880709171e-12,8351000,0.7616,0.15986,0.15103,0.02818,0.01803,0.81133,2.17274,0.56313,6.7762635780344e-21,0.26462,0.24383,1.75214,9.3899,0.2147,0.02632,0.02136,-17.81774,-29.60248
"25","2018_Q4",75.3569841269841,"Down",71658000,-16511000,55147000,-37030000,-24529000,-15489000,-9040000,-12501000,18117000,1116000,1616000,1651000,-5e+05,19233000,19233000,4236000,23469000,23469000,23469000,23469000,326506000,97964000,228542000,58612000,58612000,16623000,16623000,401741000,64503000,53153000,13741000,1849000,9315000,184259000,5.86e+08,27931000,4723000,23208000,155115000,155115000,183046000,28814000,17558000,11256000,28814000,211860000,329084000,45808000,-752000,374140000,374140000,5.86e+08,23469000,6975000,1658000,-509000,31593000,-6256000,-6256000,-6256000,7796000,1540000,-18464000,-18464000,-21948000,11185000,11185000,11185000,25092000,0,14091000,0.76959,0.25283,0.32751,0.06273,0.04005,0.60041,2.19475,0.56626,0,0.60123,0.56493,1.83574,9.58473,0.36098,0.05824,0.03497,-13.01235,-18.02208
"26","2019_Q1",83.2524590163934,"Up",74200000,-17525000,56675000,-43732000,-28659000,-19341000,-9318000,-15073000,12943000,1862000,1827000,1887000,34999.9999999999,14805000,14805000,-404999.999999998,14400000,14400000,14400000,14400000,289166000,41026000,248140000,75825000,75825000,13974000,13974000,378965000,61442000,68563000,21976000,7225000,12975000,206715000,585680000,32283000,5588000,26695000,164624000,164624000,196907000,30784000,20423000,10361000,30784000,227691000,330611000,27964000,-586000,357989000,357989000,585680000,14400000,7680000,8435000,-3871000,26644000,80000,79999.9999999991,-3279000,-31447000,-4.5e+07,-35341000,49699000,-38624000,-56980000,-56980000,-56938000,20623000,5.82076609134674e-11,17237000,0.76381,0.17443,0.19407,0.04022,0.02459,1.19701,1.92459,0.63603,0,0.3713,0.3437,1.91321,9.23056,0.44445,0.03704,0.04434,-14.02153,-22.3415
