"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_liabilities","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",9.93650793650794,"Up",14952147,-6246269,-6179176,-67093,8702972,-1539373,-1539373,7163599,5812303,-2236465,3575838,3575838,3575838,3575838,-48531046.0412756,-48531046.0412756,199544730.94968,199544730.94968,3473203.05054904,-9204059.27840395,154486887.958953,565708.311296777,6479825.97927965,6480191.95924442,7045534.29057642,161532422.24953,-113482821.365455,23223426.0758209,80874171.3776098,80874171.3776097,58849445.1372811,80646241.5734896,80646241.5734896,161520412.951099,3575838,67093,1284119,2964337,7891387,-65780,-65780,-65780,-10383056,-10448836,2747146,48170,3344882,787433,787433,787433,8770065,0,13905087,0.58206,0.23915,-2122.15208799881,-1003.51688416724,3.88862,1.89603037437535,1.08265318612261,0.94374049476557,0.30807,0.30065,1.28816,4.8282782826027,1.19796,-1048.27384535489,-3036.08253129048,-230.082133823308,-231.829706565448
"2","2011_Q3",8.93390625,"Down",15731853,-6238173,-6171867,-66305.9999999404,9490269.00000763,-1449757,-1449757,8040512,6466467,-2484123,3982344,3982344,3982344,3982344,-20232502.0206378,-20232502.0206378,213178590.97484,213178590.97484,1983592.52527452,-3703819.13920198,194929681.479477,629039.655648388,7732581.98963982,7732764.97962221,8361621.64528821,203291303.124765,-45180169.1827275,14268628.5379105,107540931.688805,107540931.688805,72032887.5686405,95745366.7867448,95745366.7867448,203286298.47555,3982344,66305.9999999404,1473051,-3102084.00000024,2419616.99999619,-94413,-108667.99999994,-108667.99999994,-10275043.0000076,-10369455.9999924,6977882.99999619,1220,6637177,-1312662,-1312662,-1312662,9556575,0,8844201,0.60325,0.25314,-1061.0569589994,-501.749962083621,2.22085,1.82290518718767,1.14127659306131,0.696620247382785,0.343090000000259,0.33483000000056,1.35534000000001,7.38120914130135,0.761950000000558,-524.137352677446,-1517.95182564524,-108.934401911654,-109.759798282724
"3","2011_Q4",9.08079365079365,"Up",46648666000,-18713476558,-18514586957,-198889601,27926021759,-4369090870,-4369090870,23556930889,19529099230,-7503655412,12025443818,12025443818,12025443818,12025443818,-4552940.3402126,-4552940.3402126,223189588.324947,223189588.324947,1521395.84175817,-625880.379733992,220158043.826492,702569.551882796,8523538.32987994,8523599.32654074,9226107.88176274,229384151.708255,-6908744.3942425,9307147.17930348,122405685.896268,122405685.896268,81767753.8562135,106977130.928915,106977130.928915,229382816.825183,12025443818,198889601,3889137830,-593374253,15520096996,-210148807,-225889552,-225889552,-24550024901,-24760173708,10732177971,20233610,11058417941,1818341229,1818341229,1818341229,28124911360,0,34825043712,0.59865,0.25779,-423.216836333135,-200.130024027874,2.89595,1.80246172906256,1.14692553102044,0.552633415794262,1036.02055,1011.09225,4018.89339,8.99784638043378,3000.26024,-209.066057559149,-605.41295521508,-36.160010637218,-36.4327627609079
"4","2012_Q1",10.8441935483871,"Up",-46605634921,18700262180,18501505866,198756314,-27896211607,4366480049,4366480049,-23529731558,-19514090966,7497857260,-12016233706,-12016233706,-12016233706,-12016233706,2017540,2017540,230163854,230163854,1735755,680615,233917149,771311,8954665,8954665,9725976,243643125,9321750,7209387,128429657,128429657,88875737,115213468,115213468,243643125,-12016233706,-198756314,-3888031141,593970785,-15509050376,209957888,225670218,225670218,24538363670,24748321558,-10731177971,-20227390,-11056603536,-1817332354,-1817332354,-1817332354,-28094967921,1.18e+08,-34788896508,0.59856,0.25783,-104.29539,-49.31899,2.89516,1.82136,1.11471,0.48431,-1035.22708,-1010.31786,-4015.18616,9.92591,-2997.14607,-51.52461,-149.1719,-0.00413,-0.00416
"5","2012_Q2",10.5292063492063,"Down",16634305,-6692530,-6619989,-72541,9939019,-1228978,-1228978,8710041,8630626,-3327833,5302793,5302793,5302793,5302793,2988840,2988840,234687519,234687519,2275812,866525,239952171,820277,9127932,9127932,9948209,249900380,11501611,6845753,128574068,128574068,94178530,121326312,121326312,249900380,5302793,72541,-38613,2291145,7627866,-118981,-138131,-138131,-4957227,-5076208,-2e+06,529826,-1580358,971300,971300,971300,10011560,1.16e+08,15511557,0.5975,0.31879,0.0437100000000044,0.0212200000000067,2.92517,1.86626,1.05974,0.46418,0.45512,0.44317,1.42768,10.41312,1.33132,0.0223399999999927,0.0653600000000552,11.28807,11.37045
"6","2012_Q3",11.054126984127,"Up",17210998.9999924,-6776279,-6703283,-72996,10431876.9999962,-1236893.00000095,-1236893.00000095,9194984,9016954.99999619,-3496851,5520103.99999809,5520103.99999809,5520103.99999809,5520103.99999809,2719693,2719693,236932524,236932524,2743513,611034,242395730,828169,9142387,9142387,9970556,252366286,8162262,6768489,126233108,126233108,98501720,126133178,126133178,252366286,5520103.99999809,72996,339220,-3592774.00000012,2339545.99999809,-79387.9999999702,-80887.9999999702,-80887.9999999702,-2486729,-2566117,1000000.00000191,169332.999999996,-42576.0000019073,-269147,-269147,-269147,10504872.9999962,1.17e+08,10329561.9999924,0.60612,0.32073,0.04376,0.02187,1.87126,1.92022,1.00079,0.46361,0.468890000000022,0.458960000000038,1.46193000000016,10.71393,0.877409999999822,0.02763,0.04249,10.87879,10.95491
"7","2012_Q4",10.9767741935484,"Down",17139971,-6631525,-6560845,-70680,10504395,-1236866,-1236866,9267529,8693483,-3330762,5362721,5362721,5362721,5362721,4720000,4720000,237485000,237485000,2788000,565000,244993000,780000,9100000,9100000,9880000,254873000,7294000,5848000,124368000,124368000,102667000,130506000,130506000,254874000,5362721,70680,660033,-697260,5396174,-17142,-51642,-51642,-1272193,-1289335,-1e+06,-68096,-2106446,2000393,2000393,2000393,10575075,1.16e+08,13191435,0.61286,0.31288,0.0410899999999998,0.0210400000000003,2.45984,1.9699,0.95297,0.45513,0.45513,0.44506,1.45467,11.07606,1.11956,0.0266099999999995,0.0535100000000003,10.52286,10.59366
"8","2013_Q1",13.067,"Up",29529775,-6255651.00000024,-6184029,-71621.9999999981,23271597,-1189117,-1189117,22082479.9999998,9807210.99999976,-3771070,6036141,6036141,6036141,6036141,2803054,2803054,241253430,241253430,2621576,751040,246678060,758784,9123300,9123300,9882084,256560144,8214508,6612429,121296983,121296983,106837118,135263161,135263161,256560144,6036141,71621.9999999981,-171255,574785.000000007,6511293.00000024,-32856,-49876.0000000037,-49876.0000000037,-3791698.00000024,-3824554,-4e+06,199214,-4603771,-1917032,-1917032,-1917032,23343219.0000005,1.12e+08,27656218.0000005,0.78807,0.20441,0.04463,0.02353,4.58177,2.03367,0.89675,0.43654,0.512329999999995,0.499270000000012,2.50638999999999,11.48068,2.34737,0.02926,0.11185,4.67789,4.69228
"9","2013_Q2",14.358125,"Up",20427726,-7070223,-6997756,-72467,13354140,-1192140,-1192140,12162000,8789217,-3381761,5407456,5407456,5407456,5407456,5049384,5049384,244597019,244597019,2236498,753997,251882901,772783,8978840,8978840,9751623,261634524,10855566,6264353,121165834,121165834,111678205,140468690,140468690,261634524,5407456,72467,-16593,3475699,8939029,-86466,-86466,-86466,-2368370,-2454836,-3e+06,51210,-4237863,2246330,2246330,2246330,13426607,1.09e+08,20197601,0.65373,0.26471,0.0385000000000001,0.02067,3.73514,2.07883,0.86258,0.41661,0.45288,0.444,1.71084,11.76435,1.69156,0.02652,0.0809599999999999,7.74214,7.78415
"10","2013_Q3",15.58140625,"Up",20705421,-7257002.99999999,-7186750.00000001,-70252.9999999999,13446609,-1250231,-1250231,12196378,8388596.00000001,-3238458.00000001,5150138.00000001,5150138.00000001,5150138.00000001,5150138.00000001,3722550,3722550,249072304,249072304,3473893,549355,256268747,764575,8089112,8089112,8853687,265122434,8585675,7020812,120398131,120398131,115399320,144724303,144724303,265122434,5150138.00000001,70253,1497962,-2921003,3797350,-56430,-63100,-63100,-4942773.99999999,-4999204,1e+06,168926,-124979.999999993,-1326834,-1326834,-1326834,13516862,1.1e+08,13777887,0.64942,0.24873,0.03559,0.01943,2.67525,2.12851,0.83191,0.4149,0.43048,0.42276,1.7307,12.09706,1.15165,0.02587,0.05409,7.86258,7.90366
