"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",11.2752380952381,"Down",502400000,-373400000,1.29e+08,-155500000,-16200000,-139300000,-26500000,28200000,-1e+05,-28313619.753456,28300000,1700000,1700000,4400000,6200000,6200000,-10600000,-4400000,-4400000,1035700000,1010500000,197500000,197500000,287200000,29400000,6400000,1549800000,789700000,293600000,9e+05,247100000,1083300000,2633100000,463500000,1.81e+08,242885273.117525,169800000,112200000,633300000,4900000,4900000,255900000,5.6e+07,199900000,260800000,894100000,726500000,5e+05,7.26e+08,1038900000,-54200000,1711200000,27800000,1.739e+09,2633100000,6200000,28300000,-15100000,1800000,1e+05,-1.7e+07,28100000,-26400000,-78800000,7900000,125400000,47500000,-2.3e+07,6e+06,6e+06,-2.9e+07,-2.9e+07,158100000,302200000,-4800000,3e+05,3e+05,-31700000,-36200000,313500000,313500000,-1e+05,313400000,1800000,4900000,2500000,0.25677,-0.05275,-0.00876,-0.00253,-0.00167,-0.56818,2.44718,0.51415,0.00186,-0.01811,-0.01811,2.06749,7.04198,0.01029,0.01975,63.5565143955687,2e-04,0.00125,-1.09091,-572.66667,38.89811
"2","2010_Q3",13.10078125,"Up",1307900000,-911100000,396800000,-38600000,-28300000,-10300000,358200000,-110200000,-111500000,1500000,-199999.999999996,2.48e+08,221700000,-89900000,136600000,136600000,-31500000,105100000,105100000,601400000,601400000,347400000,347400000,287300000,31300000,23700000,1267400000,3907600000,3420300000,2096400000,384500000,7327900000,8595300000,371700000,331600000,29300000,190300000,101800000,580600000,2582600000,2582600000,1.237e+09,935300000,301700000,3819600000,4400200000,2719500000,7e+05,2718800000,1136800000,-85300000,3.771e+09,424100000,4195100000,8595300000,136600000,149800000,-15900000,2e+06,-6400000,-11500000,-2.72e+08,-18500000.0000001,179500000,-32700000,-400300000,-1499999.99999988,-71700000,3600000,3600000,-75300000,-75300000,61600000,-3187900000,-27200000,1150200000,1150200000,-181300000,2780200000,-409200000,-409200000,1e+05,-409100000,5.08e+08,2601200000,254200000,0.30339,0.27387,0.08036,0.02505,0.01223,2.41865,2.18291,1.04889,0.30263,0.31187,0.30821,3.88101,11.18991,0.7543,0.08071,33.23014101097,0.01647,0.03164,0.2588,3.93660999999986,5.58290999999999
"3","2010_Q4",18.234375,"Up",917100000,-747300000,169800000,-30100000,-28800000,-1300000,139700000,-51800000,-5.8e+07,5700000,5e+05,87900000,79300000,-18900000,71200000,71200000,-2.3e+07,48200000,48200000,648400000,648400000,228800000,228800000,271100000,50700000,22100000,1.199e+09,3928800000,3489700000,2096400000,404800000,7418500000,8617500000,650600000,329500000,-2586757.70584157,74700000,31200000,725300000,2255600000,2255600000,1334700000,1031600000,303100000,3590300000,4315600000,2722200000,7e+05,2721500000,1177600000,-36100000,3863700000,438200000,4301900000,8617500000,71200000,110400000,55900000,2e+06,47800000,6100000,350500000,122500000,-24400000,-42200000,294600000,5.88e+08,-81100000,3100000,3100000,-84200000,-84200000,1600000,-79500000,-7100000,7e+05,7e+05,-105400000,-461800000,46700000,46700000,3e+05,4.7e+07,250100000,2255600000,538400000,0.18515,0.15233,0.05256,0.0112,0.00559,11.17012,1.65311,1.00318,0.26175,0.13558,0.13408,2.57975,10.86835,1.51449,0.01997,14.9613028791137,0.00701,0.06822,0.1473,6.42623,11.50465
"4","2011_Q1",20.6488709677419,"Up",1237600000,-753700000,483900000,-48600000,-32800000,-15800000,435300000,-46600000,-50200000,3400000,2e+05,388700000,3.85e+08,-169300000,226700000,226700000,-26400000,200300000,200300000,800800000,797700000,238900000,238900000,270300000,31400000,31400000,1341400000,3942300000,3470300000,2064500000,428700000,7412600000,8.754e+09,816900000,323200000,62200000,126800000,88200000,948600000,1954100000,1954100000,1417900000,1074700000,343200000,3.372e+09,4320600000,2732900000,7e+05,2732200000,1370800000,-53300000,4050400000,3.83e+08,4433400000,8.754e+09,226700000,106300000,-2100000,2500000,47100000,-51700000,229500000,-6999999.99999999,3500000,-4300000,237300000,560400000,-65800000,3800000,3800000,-69600000,-69600000,-39200000,-1.05e+08,12900000,3799999.99999988,3799999.99999976,-21900000,-305200000,150200000,150200000,-9e+05,149300000,541600000,1.959e+09,874600000,0.391,0.35173,0.16185,0.04518,0.02288,4.36645,1.41408,0.97456,0.22378,0.55872,0.54952,3.45216,11.29819,2.43961,-0.03598,6,0.02399,0.11198,-0.0644000000000001,2.13848,2.66069
"5","2011_Q2",21.5119047619048,"Up",1.174e+09,-6.49e+08,5.25e+08,0,-3.1e+07,3.1e+07,5.25e+08,-4e+07,-51800000,11500000,3e+05,4.85e+08,482900000,-158800000,332600000,332600000,-50600000,2.82e+08,2.82e+08,1137300000,1134100000,260300000,260300000,395200000,1.6e+07,1.6e+07,1808800000,3924100000,3.457e+09,2064500000,411700000,7381100000,9189900000,1222100000,338300000,136500000,156700000,82900000,1383900000,1.613e+09,1.613e+09,1401400000,1053200000,348200000,3014400000,4398300000,2744200000,7e+05,2743500000,1645700000,-26800000,4363100000,428500000,4791600000,9189900000,332600000,118500000,-45300000,2400000,16600000,-64300000,265400000,-18300000,-123400000,14200000,392900000,671200000,-15700000,39200000,39200000,-54900000,-54900000,31800000,16100000,-7100000,2900000,2900000,-3e+05,-350500000,336800000,336800000,-4e+05,336400000,643500000,1618100000,1.052e+09,0.44719,0.44719,0.2402,0.05885,0.03069,3.7305,1.30703,0.91792,0.17607,0.79102,0.78225,3.29313,12.23871,2.95091,0.01992,3.59623237362875,0.03701,0.13468,0.02518,0.74716,0.91581
"6","2011_Q3",24.54265625,"Up",1801700000,-934300000,867400000,-35600000,-31700000,-3899999.99999999,831800000,-15500000,-29900000,14200000,2e+05,816300000,8.15e+08,-2.81e+08,543800000,543800000,-56400000,487400000,487400000,1358800000,1355600000,424500000,424500000,2.77e+08,20100000,20100000,2080400000,3869500000,3470100000,2064500000,402100000,7339600000,9.42e+09,884100000,346800000,1.36e+08,205400000,100100000,1094600000,1.613e+09,1.613e+09,1380600000,1030500000,350100000,2993600000,4088200000,2764800000,7e+05,2764100000,2125900000,-22200000,4868500000,463300000,5331800000,9.42e+09,543800000,94800000,-10900000,2700000,9200000,-22800000,-376800000,-160400000,119500000,8300000,-344200000,250900000,-42300000,8300000,8300000,-50600000,-50600000,24100000,-18200000,-7200000,5700000,5700000.00000001,-9700000,-11200000,221500000,221500000,-1.16415321826935e-10,221500000,926600000,1618100000,788500000,0.48143,0.46168,0.27052,0.09141,0.05174,1.61777,1.9006,0.76676,0.17177,1.36145,1.35014,5.03268,13.59916,2.20251,0.02011,5,0.05937,0.09465,0.01477,0.27984,0.31173
"7","2011_Q4",22.732380952381,"Down",1403800000,-765800000,6.38e+08,-69900000,-30500000,-39400000,568100000,-16700000,-31800000,1.5e+07,1e+05,551400000,550600000,-184900000,382400000,382400000,-51500000,330900000,330900000,1426100000,1426100000,268600000,268600000,341600000,21600000,21600000,2057900000,3739300000,3448600000,2064500000,398200000,7187900000,9245800000,1396300000,440400000,77700000,101500000,27700000,1502500000,1.613e+09,1.613e+09,1380500000,1029400000,351100000,2993500000,4.496e+09,2780400000,7e+05,2779700000,2428200000,-67400000,4262800000,4.87e+08,4749800000,9245800000,382400000,101600000,31500000,2900000,-9400000,3.8e+07,517500000,1.45e+08,-71200000,2e+07,423700000,1.033e+09,-59900000,3800000,3800000,-63700000,-63700000,12200000,-47700000,-28300000,-7.96e+08,5900000,-93200000,-917500000,67800000,67800000,2700000,70500000,669700000,1617700000,1312200000,0.45448,0.40469,0.23572,0.06967,0.03579,3.96555,1.36965,0.94657,0.17497,0.9536,0.94678,4.04553,12.28473,3.78156,0.08156,7,0.04636,0.16936,0.08552,0.2861,0.33726
"8","2012_Q1",27.3104838709677,"Up",1718400000,-853200000,865200000,-45400000,-36800000,-8600000,819800000,-22500000,-3.2e+07,9500000,0,797300000,797100000,-301800000,502200000,502200000,-63300000,438900000,438900000,1.207e+09,1.207e+09,269400000,269400000,304200000,1.8e+07,1.8e+07,1798600000,3.736e+09,3439900000,2064500000,446800000,7175900000,8974500000,713400000,327700000,128500000,317800000,227700000,1031200000,1617800000,1617800000,1392600000,956800000,435800000,3010400000,4041600000,2805500000,7e+05,2804800000,2.841e+09,-99300000,4.547e+09,385900000,4932900000,8974500000,502200000,101300000,66500000,2600000,-49300000,113200000,-546200000,-1799999.99999994,36600000,-37300000,-543700000,123800000,-74600000,3400000,3400000,-7.8e+07,-7.8e+07,-49400000,-1.24e+08,-26100000,-197300000,1e+06,3200000,-220200000,-220400000,-220400000,1300000,-219100000,921100000,1617800000,602100000,0.50349,0.47707,0.25541,0.08897,0.04891,1.37184,1.74418,0.81932,0.18027,1.34426,1.33404,5.26309,13.92649,1.8441,0.07994,7,0.05854,0.0758,0.05947,0.44599,0.5011
"9","2012_Q2",27.217619047619,"Down",1527600000,-815800000,711800000,-56100000,-33800000,-22300000,655700000,-14900000,-30500000,15500000,1e+05,640800000,640800000,-206800000,431700000,431700000,-63300000,368400000,368400000,1713300000,1713300000,464900000,464900000,265500000,14700000,14700000,2458400000,3712500000,3.446e+09,2064500000,446800000,7158500000,9616900000,858900000,319300000,139700000,391600000,284900000,1250500000,1617900000,1617900000,1387600000,948200000,439400000,3005500000,4.256e+09,2820900000,7e+05,2820200000,3183200000,-7.2e+07,4931900000,4.29e+08,5360900000,9616900000,431700000,103100000,61800000,3200000,-6300000,64900000,6600000,-191700000,43500000,-9300000,164100000,603200000,-60400000,3900000,3900000,-64300000,-64300000,-2200000,-62600000,-26200000,3500000,3500000,-11500000,-34200000,506400000,506400000,-1e+05,506300000,758800000,1617900000,911800000,0.46596,0.42924,0.24116,0.06872,0.03831,2.47503,1.96593,0.7939,0.16824,1.12489,1.10797,4.66443,15.05924,2.78412,0.08,8,0.04716,0.10898,0.07112,-0.12572,-0.14549
"10","2012_Q3",31.754126984127,"Up",1735600000,-692300000,1043300000,-52100000,-41300000,-10800000,991200000,-30900000,-45300000,13800000,6e+05,960300000,960300000,-309200000,678300000,678300000,-7.2e+07,606300000,606300000,1.383e+09,1.383e+09,360200000,360200000,229600000,23900000,23900000,1996700000,3700800000,3421400000,2064500000,412600000,7122200000,9118900000,456700000,334400000,1300000,98600000,52900000,555300000,1604800000,1604800000,1458600000,1017300000,441300000,3063400000,3618700000,2457100000,6e+05,2456500000,2637500000,-75200000,5019400000,480800000,5500200000,9118900000,678300000,115900000,-89100000,2400000,19500000,-1.11e+08,-259600000,102100000,32900000,15600000,-410200000,445500000,-90200000,3300000,3300000,-93500000,-93500000,1.6e+07,-74200000,-26100000,-498100000,1900000,-166400000,-703600000,-332300000,-332300000,2e+06,-330300000,1107100000,1604800000,1066500000,0.60112,0.5711,0.34933,0.11023,0.06649,1.75903,3.59571,0.65792,0.17599,1.88585,1.85982,5.39844,15.61244,3.31726,0.08118,6,0.07385,0.12454,0.04305,0.20034,0.22377
