"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q4",26.29421875,"Up",453100000,-301400000,151700000,-87600000,-87600000,64100000,-45600000,-40400000,-5200000,18500000,-3900000,14600000,-6600000,8e+06,6300000,6700000,6700000,139904461.199362,139904461.199363,648393458.306844,648393458.306844,118590937.805193,40281239.0802104,40281239.0802104,947170096.39161,997039876.925721,1946336790.14992,1349898412.96832,472053430.146398,55037352.0829688,69347594.9522323,2943376667.07564,3890546763.46725,594991530.117632,247309748.871552,347681781.24608,-28497936.5092915,566493593.60834,5909242113.53531,441197235.499544,172662854.047711,134912578.3184,133621803.133433,6350439349.03486,6916932942.6432,-1850719429.09163,-1192058007.23821,14588324.5905588,-3028189111.68985,-3026386179.17594,3890546763.46725,8e+06,35100000,2600000,8e+06,52900000,-22200000,-22200000,-22200000,-24700000,-3.7e+07,0,-3.7e+07,-8800000,-8800000,3e+05,-8500000,99200000,0,91600000,0.3348,0.14147,0.01479,0.298174861208537,0.137379136097762,13.67164,1.85101537924002,-52.3178174915554,1.74434923956338,0.08928,0.08801,6.0377,-33.871832212001,1.2206,0.155486444599633,0.234991976126578,-7.50638099683735,-65.6944903127609
"2","2015_Q1",28.8073770491803,"Up",519600000,-329300000,190300000,-78600000,-78600000,111700000,-47900000,-40300000,-7600000.00000001,63800000,-10600000,53200000,-26200000,2.7e+07,2.7e+07,27200000,27200000,74400000,74400000,403700000,403700000,134800000,74600000,74600000,687500000,8.73e+08,1529700000,1097100000,357600000,26300000,48700000,2402700000,3090200000,427800000,148100000,279700000,25200000,4.53e+08,2685400000,319100000,154700000,103200000,61200000,3004500000,3457500000,1032100000,-1379100000,-24200000,-371200000,-367300000,3090200000,2.7e+07,3.4e+07,3300000,20700000,8.5e+07,-60300000,-60400000,-60400000,-60500000,1400000,-7200000,-5800000,18700000,18700000,0,18700000,145700000,2710600000,132300000,0.36624,0.21497,0.0523499999999999,-0.07405,0.0088,4.86397,1.51766,-9.41329,0.87716,0.36245,0.35731,6.92383,-4.94636,1.76294,0.01022,0.04969,18.09334,23.60072
"3","2015_Q2",30.1539682539683,"Up",418300000,-2.93e+08,125300000,-81400000,-81400000,43900000,-76800000,-35500000,-41300000,-32900000,-1400000,-34300000,1.4e+07,-20300000,-19900000,-19500000,-19500000,63200000,63200000,332200000,332200000,142400000,81300000,81300000,619100000,853300000,1478900000,1057900000,360900000,24400000,35700000,2332200000,2951300000,341200000,116700000,224500000,36400000,377600000,1780300000,286100000,148100000,97600000,40400000,2066400000,2.444e+09,1980200000,-1398600000,-77800000,503800000,507300000,2951300000,-20300000,3.5e+07,-5e+05,-54400000,-39800000,-31200000,-31200000,-31200000,-44700000,-852100000,9.39e+08,86900000,2400000,2400000,-13600000,-11200000,78900000,1816700000,-20700000,0.29955,0.10495,-0.04662,-0.03844,-0.00661,1.06154,1.63957,4.81766,0.61556,-0.18477,-0.18477,3.9636,4.77375,-0.19614,-0.00747,-0.00792999999999999,22.22433,39.94305
"4","2015_Q3",30.356875,"Up",455800000,-299700000,156100000,-88100000,-88100000,6.8e+07,-20300000,-23900000,3600000,47700000,-5600000,42100000,4099999.99999999,46200000,4.6e+07,46500000,46500000,84100000,84100000,336400000,336400000,144300000,72700000,72700000,637500000,865100000,1535500000,1082400000,392700000,30900000,29500000,2400600000,3038100000,317700000,118400000,199300000,28800000,346500000,1905400000,289900000,143400000,104400000,42100000,2195300000,2541800000,1982300000,-1352100000,-136900000,493300000,496300000,3038100000,46200000,35200000,-6400000,-34600000,40200000,-40100000,-40100000,-40100000,-151700000,139200000,-3499999.99999988,135700000,24200000,24200000,-3300000,20900000,103200000,1934200000,24400000,0.34247,0.14919,0.10202,0.09369,0.01531,0.52473,1.83983,5.1215,0.63665,0.44061,0.44061,4.31893,4.67426,0.2312,0.01709,0.00897,17.92733,27.20735
"5","2015_Q4",26.385625,"Down",446600000,-294400000,152200000,-80900000,-80900000,71300000,-23800000,-2.3e+07,-8e+05,47500000,-5500000,4.2e+07,-11200000,30800000,30800000,31500000,31500000,116100000,116100000,331600000,331600000,142200000,63200000,63200000,653100000,847300000,1473700000,1039900000,373600000,3.2e+07,28200000,2.321e+09,2974100000,340600000,120900000,219700000,24800000,365400000,1.857e+09,2.79e+08,133900000,105500000,39600000,2.136e+09,2501400000,1975400000,-1320600000,-186600000,468200000,472700000,2974100000,30800000,34400000,2e+06,27100000,94300000,-37400000,-37400000,-37400000,-43900000,-6700000,-6900000,-13600000,36800000,36800000,-4800000,3.2e+07,105700000,1881800000,106600000,0.3408,0.15965,0.07053,0.06664,0.01059,3.38413,1.78736,5.29173,0.63273,0.26343,0.25958,3.73488,3.91552,0.89149,0.01196,0.04048,16.70482,24.76438
"6","2016_Q1",24.3547540983607,"Down",510100000,-328400000,181700000,-86900000,-86900000,94800000,-26500000,-22600000,-3900000,68300000,-5600000,62700000,90800000,153500000,153400000,153700000,153700000,151300000,151300000,372400000,372400000,132900000,80900000,80900000,737500000,885200000,1515600000,1061500000,368700000,64100000,21300000,2400800000,3138300000,375200000,128200000,2.47e+08,23800000,3.99e+08,1.857e+09,242500000,143700000,56300000,42500000,2099500000,2498500000,1974900000,-1166900000,-1.74e+08,6.34e+08,639800000,3138300000,153500000,36200000,-86100000,-26400000,77100000,-32300000,-32300000,-32300000,-31500000,-9800000,-2700000,-12500000,33100000,33100000,2100000,35200000,1.31e+08,1880800000,-18500000,0.3562,0.18585,0.30131,0.24023,0.04898,-0.12036,1.84837,3.90513,0.59931,1.28538,1.2666,4.26592,5.30209,-0.15471,0.05563,-0.0067,13.20229,18.24367
"7","2016_Q2",26.36921875,"Up",4.23e+08,-301500000,121500000,-82300000,-82300000,39200000,-23300000,-22700000,-6e+05,15900000,-2200000,13700000,-2e+06,11700000,11700000,11900000,11900000,151400000,151400000,308200000,308200000,150900000,80700000,80700000,691200000,884300000,1480900000,1038100000,348100000,67500000,27200000,2365200000,3056400000,328900000,127400000,201500000,2.4e+07,352900000,1859900000,240600000,141800000,57700000,41100000,2100500000,2453400000,1971600000,-1157800000,-216600000,597200000,6.03e+08,3056400000,11700000,35500000,1600000,-3900000,44900000,-33200000,-33200000,-33200000,-33200000,-4700000,-5600000,-10300000,1400000,1400000,-1300000,1e+05,74700000,1883900000,39600000,0.28723,0.09267,0.02813,0.01973,0.00389,3.32773,1.95863,4.06866,0.61638,0.09539,0.0943,3.39069,4.78705,0.31743,0.00436,0.01452,23.19277,44.19643
"8","2016_Q3",24.86703125,"Down",454900000,-302800000,152100000,-92900000,-92900000,59200000,-18800000,-22300000,3500000,40400000,-5e+05,39900000,-9200000,30700000,30700000,30800000,30800000,115500000,115500000,3.32e+08,3.32e+08,159300000,72700000,72700000,679500000,9.02e+08,1453700000,1027200000,332700000,66100000,27700000,2355700000,3035200000,315800000,128500000,187300000,24400000,340200000,1848300000,239300000,138900000,59300000,41100000,2087600000,2427800000,1974100000,-1127100000,-239600000,607400000,607400000,3035200000,30700000,35200000,8e+06,-47300000,26600000,-49300000,-49300000,-49300000,-49300000,-4800000,-5800000,-10600000,-33300000,-33300000,-2600000,-35900000,94400000,1872700000,6999999.99999999,0.33436,0.13014,0.06771,0.05071,0.01015,0.22727,1.99735,3.99704,0.61699,0.24676,0.24504,3.6445,4.86628,0.0560800000000001,0.01133,0.00257,18.61441,29.68243
"9","2016_Q4",24.7869841269841,"Down",4.38e+08,-311800000,126200000,-93400000,-93400000,32800000,-17500000,-21700000,4200000,15300000,-1500000,13800000,-3100000,10700000,10700000,10700000,10700000,133900000,133900000,343700000,343700000,167700000,82200000,82200000,727500000,906300000,1423900000,1020300000,316300000,65800000,21500000,2330200000,3057700000,345600000,135100000,210500000,25900000,371500000,1844900000,238400000,138500000,60300000,39600000,2083300000,2454800000,1975100000,-1117300000,-254900000,602900000,602900000,3057700000,10700000,34800000,5700000,-1300000,49900000,-25300000,-25300000,-25300000,-25300000,-3800000,-2400000,-6200000,18400000,18400000,0,18400000,67600000,1870800000,44100000,0.28813,0.07489,0.02443,0.01775,0.0035,4.1215,1.95828,4.07165,0.61183,0.08575,0.08501,3.50996,4.8314,0.3534,0.00395,0.01626,25.69379,52.95427
"10","2017_Q1",27.9709677419355,"Up",532200000,-344400000,187800000,-89500000,-89500000,98300000,-13300000,-21800000,8500000,8.5e+07,-7500000,77500000,-19400000,58100000,58100000,58100000,58100000,131600000,131600000,414800000,414800000,154800000,8.9e+07,8.9e+07,790200000,905800000,1395100000,996500000,2.94e+08,37500000,67100000,2300900000,3091100000,363500000,143700000,219800000,27700000,391200000,1832800000,231200000,1.51e+08,41400000,38800000,2.064e+09,2455200000,1977700000,-1036100000,-305700000,635900000,635900000,3091100000,58100000,35100000,-10100000,-49200000,33900000,-29900000,-31800000,-31800000,-29900000,-3e+06,-7e+05,-3700000,3e+05,3e+05,-2600000,-2300000,133400000,1860500000,73700000,0.35287,0.1847,0.10917,0.09137,0.0188,1.2685,2.01994,3.86098,0.60189,0.46559,0.46159,4.26484,5.09585,0.5906,0.0213,0.02702,12.96027,17.588
