"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",56.3215873015873,"Down",3071970000,-2158239000,913731000,-858228000,-858228000,55503000,-11136000,-17235000,6099000,44367000,-1078277509.86619,44367000,-15127000,29240000,29240000,29468000,19993000,663299000,663299000,1009642000,1009642000,1142478000,169633000,169633000,2985052000,1236772000,412977000,19431000,24066000,76634000,292846000,1649749000,4634801000,992074000,973422000,59128000,1171088000,2222290000,661104000,615300000,615300000,-2.60699958530433e-10,1276404000,3498694000,1192425000,-57733000,-560727000,201474000,1131418000,1136107000,4634801000,29240000,52702000,12195000,-41503000,52634000,-27670000,-27670000,-2799000,-3545000,-6344000,18620000,18620000,-15219000,3401000,108205000,720232000,54159000,0.29744,0.01807,0.00651,0.0176,0.00431,2.7089,1.34323,3.07955,0.1554,0.72905,0.72905,112.02044,28.27665,1.97493,-107.53241653406,0.00809,0.02191,0.52616,1.02576
"2","2010_Q3",36.7175,"Down",2699475000,-1932787000,766688000,-794284000,-794284000,-27596000,-11467000,-16148000,4681000,-39063000,-541659754.933093,-39063000,22923000,-16140000,-16140000,-15934000,-25147000,577840000,577840000,936260000,936260000,1176018000,180327000,180327000,2870445000,1230351000,410525000,19431000,22782000,62818000,305494000,1640876000,4511321000,1003024000,984915000,66158000,1123461000,2192643000,656995000,593054000,593054000,0,1250049000,3442692000,1187748000,-57733000,-576664000,155148000,1064478000,1068629000,4511321000,-16140000,50879000,15775000,-68511000,-17997000,-37786000,-48738000,-57999.9999999981,-1268000,-10539000,-77273999.9999999,-77274000,-8185000,-85459000,23283000,723153000,-105937000,0.28401,-0.01022,-0.00932000000000001,-0.02353,-0.00557,4.21271,1.30913,3.2216,0.1603,-0.91337,-0.913369999999999,98.04828,25.73356,-3.84776,-70.0216110227068,-0.00668,-0.04442,6.24116,-5.26573
"3","2010_Q4",41.82140625,"Up",2899717000,-2070534000,829183000,-820870000,-820870000,8313000,7609000,-3580000,11189000,15922000,-215590251.644364,15922000,24700000,40622000,40622000,41254000,32044000,678717000,678717000,987013000,987013000,1183854000,163119000,163119000,3012703000,1219151000,437088000,19431000,22634000,81395000,313628000,1656239000,4668942000,1051774000,1045121000,73475000,1170788000,2296037000,657164000,582081000,582081000,0,1239245000,3535282000,1167355000,-57733000,-535407000,205761000,1135955000,1133660000,4668942000,40622000,52100000,14814000,39713000,147249000,-29189000,-29189000,188000,-20716000,-30003000,88057000,88057000,12820000,100877000,60413000,730639000,46237000,0.28595,0.00287,0.01105,0.02827,0.00686,1.44292,1.31213,3.11847,0.15649,1.1612,1.1612,105.07896,28.26451,1.67552,-41.2129666136241,0.01697,0.0189,0.85945,6.24588
"4","2011_Q1",47.6848387096774,"Up",2961932000,-2114397000,847535000,-869751000,-869751000,-22216000,-4390000,-16872000,12482000,-26606000,-51295000,-77901000,-22026000,-99927000,-99927000,-99411000,-108626000,627478000,627478000,963787000,963787000,1233657000,203020000,203020000,3027942000,1157013000,384482000,19431000,21840000,33319000,309892000,1541495000,4569437000,1082844000,1080276000,72368000,1188233000,2343445000,659820000,514218000,514218000,0,1174038000,3517483000,1164240000,-57733000,-634818000,223807000,1051475000,1051954000,4569437000,-99927000,52638000,122936000,-23772000,51875000,-39414000,-116558000,24873000,65999.9999999963,15988000,-48695000,-48695000,-2544000,-51239000,30422000,732188000,-10738000,0.28614,-0.0075,-0.03667,-0.10326,-0.02377,0.0988499999999997,1.29209,3.34376,0.16024,-3.92551,-1.81145,107.03792,25.13375,-0.38805,-20.106483306812,-0.04337,-0.00466999999999999,3.44192,-4.71327
"5","2011_Q2",36.3552380952381,"Down",2972960000,-2094772000,878188000,-859712000,-859712000,18476000,-10043000,-17388000,7345000,8433000,0,8433000,-13823000,-5390000,-5390000,-5414000,-14627000,494207000,494207000,990080000,990080000,1217192000,190969000,190969000,2892448000,1138657000,476948000,62907000,41524000,44363000,328154000,1615605000,4508053000,1011850000,1008969000,91412000,1108437000,2211699000,657015000,556998000,556998000,-1.03397576569128e-25,1214013000,3425712000,1158028000,-57733000,-640232000,265781000,1081823000,1082341000,4508053000,-5390000,51269000,18413000,-158912000,-94620000,-24349000,-50507000,9927000,-111000,603000,-144524000,-144524000,11253000,-133271000,69745000,748427000,-99693000,0.29539,0.00621,-0.00492,-0.01351,-0.00324,6.81568,1.30779,3.16509,0.16602,-0.52808,-0.52808,107.3325,26.20508,-3.59921,-5.70216110227068,-0.00227,-0.04175,3.64499,13.75947
"6","2011_Q3",25.855,"Down",2710141000,-1916089000,794052000,-809494000,-809494000,-15442000,-11601000,-18589000,6988000,-27043000,-669000,-27712000,7596000,-20116000,-20116000,-20114000,-29327000,374155000,374155000,954264000,954264000,1253231000,174217000,174217000,2755867000,1119505000,459652000,64448000,39569000,42669000,312966000,1579157000,4335024000,955933000,950108000,79987000,1046185000,2082105000,652692000,543511000,543511000,0,1196203000,3278308000,1151839000,-57733000,-660346000,266723000,1056462000,1056716000,4335024000,-20116000,52842000,11582000,-97686000,-53378000,-28465000,-28465000,-19260000,-11123000,-39596000,-121439000,-121439000,1387000,-120052000,37400000,732679000,-96347000,0.29299,-0.0057,-0.01082,-0.02775,-0.00677,3.28527,1.3236,3.10235,0.16901,-1.05745,-0.67296,97.72049,25.25756,-3.47402,3,-0.00861999999999999,-0.0413,9.5862,-23.21746
"7","2011_Q4",19.69,"Down",2836737000,-1981717000,855020000,-831375000,-831375000,23645000,23159000,17623000,5536000,46804000,-4528000,42276000,58573000,100849000,100849000,100872000,91659000,452652000,452652000,918580000,918580000,1124013000,165620000,165620000,2660865000,1081905000,427721000,61608000,36752000,37913000,291448000,1509626000,4170491000,881142000,877090000,35253000,1039776000,1956171000,647674000,464586000,464586000,8.27180612553028e-25,1112260000,3068431000,1146802000,-57733000,-559474000,216273000,1101847000,1102060000,4170491000,100849000,53650000,18036000,-4544000,167991000,-28438000,-28438000,-49250000,116000,-58347000,81206000,81206000,-2709000,78497000,77295000,682927000,-14260000,0.30141,0.00834,0.03231,0.08317,0.02198,-0.15558,1.36024,2.78427,0.16375,3.29047,2.56056,101.83613,26.77594,-0.51192,7,0.04484,-0.00634,2.97917,9.73885
"8","2012_Q1",26.4625806451613,"Up",2969162000,-2791422000,177740000,-103419000,-103419000,74321000,-2515000,-13646000,11131000,71806000,-61803000,10003000,10654000,20657000,20657000,20656000,12295000,570681000,570681000,862831000,862831000,1146974000,163646000,163646000,2744132000,1067040000,439812000,61899000,35223000,47791000,294899000,1506852000,4250984000,1001025000,993636000,36401000,1010011000,2047437000,648313000,452313000,452313000,0,1100626000,3148063000,1141406000,-57733000,-539124000,194522000,1102707000,1102921000,4250984000,20657000,53239000,55969000,81142000,211007000,-40748000,-80590000,-417000,9118000,-660000,129757000,129757000,-10931000,118826000,127560000,684714000,157300000,0.05986,0.02503,0.00414,0.01115,0.00289,12.79382,1.34028,2.8543,0.16107,0.44049,0.34415,106.37621,26.47871,5.63559,7,0.00967,0.07022,0.89396,1.53433
"9","2012_Q2",22.0777777777778,"Down",2872809000,-2178406000,694403000,-667133000,-667133000,27270000,-5132000,-14111000,8979000,22138000,38351000,60489000,-10990000,49499000,49499000,49503000,41287000,488774000,488774000,872839000,872839000,1113128000,153700000,153700000,2628441000,1021402000,475306000,63650000,34585000,44776000,332295000,1496708000,4125149000,965223000,952812000,35770000,890908000,1891901000,642513000,402920000,402920000,0,1045433000,2937334000,1136254000,-57733000,-489621000,226851000,1187602000,1187815000,4125149000,49499000,50902000,-67486000,-126280000,-93365000,-24641000,33770000,-6275000,-20260000,-26535000,-86130000,-86130000,4223000,-81907000,78172000,678283000,-61759000,0.24172,0.00949,0.01437,0.03476,0.01001,-1.49585,1.38931,2.47289,0.16443,1.4822,1.15049,103.13367,29.28541,-2.21714,4,0.0182,-0.02722,2.42426,6.94936
"10","2012_Q3",17.0628571428571,"Down",2507150000,-1934954000,572196000,-606982000,-606982000,-34786000,-12781000,-16748000,3967000,-47567000,-23902000,-71469000,14082000,-57387000,-57387000,-57382000,-64281000,422679000,422679000,809353000,809353000,1122007000,154171000,154171000,2508210000,971930000,477172000,61683000,32169000,41689000,341631000,1449102000,3957312000,913801000,906103000,35527000,875005000,1824333000,639028000,391056000,391056000,0,1030084000,2854417000,1133955000,-57733000,-547007000,194829000,1102795000,1102895000,3957312000,-57387000,50720000,39389000,-71198000,-38476000,-17206000,-17206000,-4923000,-613000,-5536000,-61218000,-61218000,-4877000,-66095000,15934000,674555000,-86552000,0.22823,-0.01387,-0.02564,-0.05828,-0.01624,1.34646,1.37486,2.58811,0.17046,-2.29968,-1.77931,89.69419,25.90293,-3.09643,3,-0.02964,-0.03991,15.80746,-7.24073
