"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",4.35793650793651,"Down",5233000,-3421000,1812000,-3034000,-2375000,-89000,-1222000,13000,13000,-1209000,-1209000,412000,-797000,-797000,-797000,-797000,34452996.1358483,34452996.1358483,-16018532.9181526,-16018532.9181526,13234468.9836338,-354019.171461353,1849748.89008262,31314913.0298681,3102533.30198715,-6067869.96986658,204619.366758674,-2965336.66787943,28349576.3619887,-5710602.41824635,-2913916.35884904,-2796686.05939731,-4735802.26096111,-10446404.6793128,743439.594987658,2359611.50442881,743439.594670062,-9702965.08464272,22844819.9430945,15206827.4519495,38052541.4466314,38052541.4466314,28349576.3619887,-797000,250000,157000,2127000,1737000,-206000,-206000,-144000,-62000,-206000,9000,1540000,1540000,1540000,-972000,0,537000,0.34626,-0.23352,-0.1523,0.211638175354136,0.17141765327018,-0.67378,27.1827921512633,-0.467755158480705,-1.17279039319874e-11,-0.05346,-0.05346,0.35104,2.67647233286552,0.03602,0.209866415388476,-5876.96775818885,-22313.5696413253
"2","2011_Q3",3.80578125,"Down",4611000,-3385000,1226000,-2426000,-2339000,-87000,-1200000,15000,15000,-1185000,-1185000,378000,-807000,-807000,-807000,-807000,24814498.0679241,24814498.0679241,-4748266.45907628,-4748266.45907628,6481734.49181688,368990.414269323,1249874.44504131,26916956.5149341,4491766.65099357,-2116434.98493329,253809.683379337,2375331.66606028,29292288.1809944,-1527301.20912317,-890958.17942452,-636343.029698654,-1126401.13048055,-2653702.33965639,881719.797493829,1332805.7522144,881719.797335031,-1771982.54232136,22142909.9715472,8920913.72597475,31064270.7233157,31064270.7233157,29292288.1809944,-807000,249000,-62000,-1972000,-2592000,-126000,-126000,-104000,-22000,-126000,957000,-1761000,-1761000,-1761000,-951000,0,-3427000,0.26589,-0.26025,-0.17502,0.0507440876770679,0.0396388266350901,4.24659,15.6733110756316,-0.108127579240353,-5.86395196599369e-12,-0.05409,-0.05409,0.30905,2.13623616643276,-0.22969,0.0511332076942382,-2528.73606909443,-9425.32279066264
"3","2011_Q4",4.22714285714286,"Up",4518000,-3109000,1409000,-2527000,-2438000,-89000,-1118000,14000,14000,-1104000,-1104000,445000,-659000,-659000,-659000,-659000,19918499.3559747,19918499.3559747,1073577.84697457,1073577.84697457,2971578.16393896,823330.138089775,950958.148347104,24786985.504978,5175588.88366453,110521.671688903,292936.561126446,5286110.55535343,30073096.0603314,986899.596958942,342347.27352516,644552.323433782,879199.623173149,1866099.22011454,876906.59916461,706935.250738134,876906.599111677,2743005.81922621,21806969.9905157,5522971.24199158,27330090.2411052,27330090.2411052,30073096.0603314,-659000,252000,-322000,91000,-638000,-349000,-349000,-308000,-41000,-349000,-24000,-1011000,-1011000,-1011000,-866000,0,-1569000,0.31186,-0.24745,-0.14586,-0.0176886374409774,-0.0158970577883033,2.38088,9.08442702521054,0.0948441402532158,-1.95465065533123e-12,-0.04409,-0.04409,0.30225,1.84341205547759,-0.10496,-0.0166455974352539,-703.410019698142,-2558.54729688755
"4","2012_Q1",3.83693548387097,"Down",5033000,-3256000,1777000,-2773000,-2685000,-88000,-996000,13000,13000,-983000,-993000,281000,-712000,-712000,-712000,-712000,18280000,18280000,3065000,3065000,1770000,1060000,857000,24175000,5350000,1073000,325000,6423000,30598000,2225000,965000,1260000,1724000,3949000,784000,383000,784000,4733000,21753000,4112000,25865000,25865000,30598000,-712000,252000,-161000,2149000,1528000,-170000,-170000,-146000,-24000,-170000,86000.0000000001,1444000,1444000,1444000,-744000,4.2351647362715e-22,954000,0.35307,-0.19789,-0.14147,-0.02753,-0.02327,-1.33989,6.1218,0.18299,0,-0.04746,-0.04746,0.33551,1.72422,0.0636,-0.02672,24.56989,18.35341
"5","2012_Q2",3.53619047619048,"Down",5743000,-3924000,1819000,-2317000,-2210000,-107000,-498000,10000,10000,-488000,-501000,176000,-325000,-325000,-325000,-325000,18414000,18414000,2844000,2844000,1943000,1130000,872000,24331000,5211000,1231000,353000,6442000,30773000,2580000,1156000,1424000,1851000,4431000,658000,262000,658000,5089000,21897000,3787000,25684000,25684000,30773000,-325000,270000,-54000,390000,281000,-172000,-172000,-137000,-35000,-172000,25000,134000,134000,134000,-228000,0,-186000,0.31673,-0.08671,-0.05659,-0.01265,-0.01056,0.57231,5.49109,0.19814,0,-0.02157,-0.02157,0.38121,1.70488,-0.01235,-0.01234,80.7631599999999,36.9759000000002
"6","2012_Q3",2.93,"Down",6212000,-4065000,2147000,-2113000,-1997000,-116000,34000,9000,9000,43000,43000,-15000,28000,28000,28000,28000,18343000,18343000,2600000,2600000,2483000,1150000,917000,24576000,4993000,1266000,376000,6259000,30835000,2524000,1193000,1331000,1773000,4297000,569000,240000,569000,4866000,22154000,3815000,25969000,25969000,30835000,28000,278000,270000,-565000,11000,-82000,-82000,-52000,-30000,-82000,1.45519152283669e-11,-71000.0000000001,-71000.0000000001,-71000.0000000001,312000,0,-320000,0.34562,0.00547,0.00451,0.00108,0.00091,-11.42857,5.71934,0.18738,0,0.00186,0.00182,0.41202,1.72242,-0.02122,0.00106,-58.79167,-539.5
"7","2012_Q4",2.68387096774194,"Down",5291000,-3766000,1525000,-2333000,-2218000,-115000,-808000,8000,8000,-8e+05,-8e+05,280000,-520000,-520000,-520000,-520000,16582000,16582000,3951000,3951000,2456000,1171000,896000,24160000,4892000,1638000,397000,6530000,30690000,2450000,1255000,1195000,1933000,4383000,572000,218000,572000,4955000,22440000,3295000,25735000,25735000,30690000,-520000,281000,-199000,-1214000,-1652000,-202000,-202000,-173000,-29000,-202000,93000,-1761000,-1761000,-1761000,-527000,0,-2223000,0.28823,-0.15271,-0.09828,-0.02021,-0.01694,4.275,5.51221,0.19254,4.03896783473158e-28,-0.03441,-0.03441,0.35014,1.70306,-0.14711,-0.01977,31.4649,20.5222799999999
"8","2013_Q1",2.75166666666667,"Up",4541000,-3491000,1050000,-2299000,-2184000,-115000,-1249000,9000,9000,-1240000,-1240000,-1564000,-2804000,-2804000,-2804000,-2804000,17498000,17498000,2215000,2215000,2219000,610000,610000,22542000,4632000,464000,464000,5096000,27638000,2054000,752000,1302000,1881000,3935000,523000,165000,523000,4458000,22689000,491000,23180000,23180000,27638000,-2804000,288000,1802000,1763000,1049000,-165000,-165000,-90000,-75000,-165000,32000,916000,916000,916000,-961000,5.42101086242752e-20,2201000,0.23123,-0.27505,-0.61749,-0.12097,-0.10145,-0.78495,5.72859,0.19232,0,-0.18468,-0.18875,0.29908,1.52671,0.14496,-0.1183,18.20812,14.00961
"9","2013_Q2",2.9096875,"Up",5153000,-3601000,1552000,-2193000,-2080000,-113000,-641000,8000,8000,-633000,-633000,-6000,-639000,-639000,-639000,-639000,16843000,16843000,3409000,3409000,2041000,439000,439000,22732000,4562000,537000,537000,5099000,27831000,2526000,1315000,1211000,2041000,4567000,547000,77000,547000,5114000,22865000,-148000,22717000,22717000,27831000,-639000,276000,174000,-189000,-378000,-279000,-279000,-201000,-78000,-279000,2000,-655000,-655000,-655000,-365000,0,-827000,0.30118,-0.12439,-0.12401,-0.02813,-0.02296,1.29421,4.97745,0.22512,0,-0.04201,-0.04201,0.33881,1.49366,-0.05438,-0.02747,46.14521,26.27613
"10","2013_Q3",2.70203125,"Down",5717000,-4017000,1700000,-2131000,-2020000,-111000,-431000,8000,8000,-423000,-423000,-5000,-428000,-428000,-428000,-428000,16785000,16785000,2901000,2901000,1967000,315000,315000,21968000,4492000,587000,587000,5079000,27047000,2179000,830000,1349000,1706000,3885000,723000,135000,723000,4608000,23015000,-576000,22439000,22439000,27047000,-428000,277000,150000,2e+05,199000,-257000,-257000,-201000,-56000,-257000,-3.63797880709171e-12,-58000,-58000,-58000,-154000,0,-206000,0.29736,-0.07539,-0.07486,-0.01907,-0.01582,0.48131,5.65457,0.20536,0,-0.0281,-0.0281,0.3753,1.47305,-0.01352,-0.01848,108.99351,38.94432
