"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q4",4.64,"Up",13121000,-9881000,3240000,-2795000,-2795000,445000,-160000,-218000,58000,285000,285000,150000,-419000,-419000,-419000,2582510.00265748,2582114.95167583,6625994.85054933,6625994.85054933,32221893.8231141,25279539.4387861,572880.337225095,7600489.4994014,66689670.9871305,4691062.86034816,24467451.5736775,-19776388.7133293,6001558.71659937,-460693.635695263,10692621.5769367,77382292.5640672,9127230.38260235,2945689.65524296,6183628.7587417,20006702.1430727,36658436.9606257,6038074.07997145,809964.823779285,337847.367050932,6848038.90375073,43506475.8643764,7484526.61696068,-3156169.20114578,29547459.2838758,33875816.6996907,33875816.6996907,77382292.5640672,150000,290000,721000,735000,1896000,-68000,-68000,-1106000,-1106000,722000,736000,736000,735000,0,0.24693,0.03392,-0.03193,0.00617838795199446,0.0122548392770496,1.70555576776232,1.35437737881933,0.332801621386459,-0.05009,-0.04816,1.56856,3.54395178757874,0.0093068767715312,5.19943482797967,1.86818114347112
"2","2012_Q1",5.80451612903226,"Up",14511000,-10973000,3538000,-2826000,-2826000,712000,-215000,-231000,16000,497000,497000,290000,-415000,-415000,-415000,1399000,1399000,8496000,8496000,30593000,13544000,825000,3580000,54032000,4522000,24259000,-19737000,4916000,5000,9438000,63470000,8077000,4387000,3690000,14675000,26986000,7196000,484000,296000,7680000,34666000,7468000,-7152000,28488000,28804000,28804000,63470000,290000,288000,1052000,826000,2456000,-593000,-1981000,-684000,-684000,-209000,-618999.999999999,-618999.999999999,1e+06,21871000,0.24382,0.04907,-0.0286,-0.01441,-0.00654,2.00222,1.20351,0.34459,-0.04958,-0.0476999999999999,1.73369,3.44134,-0.00811,20.472,28.75281
"3","2012_Q2",4.31063492063492,"Down",17025000,-11695000,5330000,-3280000,-3280000,2050000,-244000,-234000,-10000,1806000,1806000,1238000,1238000,1238000,1238000,619246.665780839,619378.34944139,8883085.04981689,8883085.04981689,30038118.7256286,7964820.18707131,888289.887591635,2271003.50019953,47512026.3376232,4423812.37988394,24302016.1421075,-19878203.7622236,4095480.42780021,97981.2118984211,8519292.80768777,56031319.1453109,7170839.87246588,4498936.78158568,2671207.08041943,12393515.9523091,21476354.3464581,6964808.64000952,254345.058740238,208050.877649689,7219153.69874976,28695508.0452079,7460574.46101311,-9323526.93295141,29198763.5720414,27335811.1001031,27335811.1001031,56031319.1453109,1238000,288000,478000,-1501000,503000,-148000,1291000,-1095000,-1095000,699000,699000,699000,2338000,0,0.31307,0.12041,0.07272,0.00461137068266852,0.00135922024098348,2.22759557741256,1.04155670706022,0.345571126204514,0.1627,0.15584,2.23748,3.51429940414042,0.00210854107615627,18.4378767240068,25.844042118843
"4","2012_Q3",4.04301587301587,"Down",16541000,-11327000,5214000,-3631000,-3631000,1583000,-125000,-205000,80000,1458000,1458000,1001000,1001000,1001000,1001000,183000,183000,8384000,8384000,30138000,6427000,848000,2573000,45132000,4392000,24538000,-20146000,3538000,6000,7930000,53062000,6424000,3915000,2509000,12026000,18937000,6048000,123000,123000,6171000,25108000,7455000,-10228000,30727000,27954000,27954000,53062000,1001000,278000,732000,-1292000,719000,-131000,-131000,-2503000,-2503000,-1915000,-1915000,-1915000,1861000,18074000,0.31522,0.0957,0.06052,0.03581,0.01886,2.38327,0.89819,0.34062,0.13138,0.12613,2.17102,3.66899,0.02169,9.61365,11.30196
"5","2012_Q4",3.8458064516129,"Down",16036000,-10667000,5369000,-3453000,-3453000,1916000,-118000,-185000,67000,1798000,1798000,1258000,1258000,1258000,1258000,48000,48000,7625000,7625000,30140000,6695000,806000,3246000,44508000,4387000,24730000,-20343000,3321000,6000,7708000,52216000,5744000,3285000,2459000,12254000,17998000,5114000,123000,123000,5237000,23235000,7439000,-10443000,31985000,28981000,28981000,52216000,1258000,265000,839000,-1382000,980000,-192000,-192000,-706000,-923000,-135000,-135000,-135000,2181000,17368000,0.33481,0.11948,0.07845,0.04341,0.02409,2.47294,0.80173,0.33262,0.1649,0.1637,2.10198,3.79879,0.02707,7.94131,9.03967
"6","2013_Q1",3.825,"Down",14629000,-10597000,4032000,-3558000,-3558000,474000,-186000,-169000,-17000,288000,288000,80000,80000.0000000002,80000.0000000002,80000.0000000002,148000,148000,7193000,7193000,29736000,6694000,842000,3236000,43771000,4416000,24879000,-20463000,3416000,256000,7832000,51603000,5182000,3237000,1945000,12002000,17526000,4878000,246000,246000,5124000,22650000,7407000,-10519000,32065000,28953000,28953000,51603000,80000,260000,1028000,592000,1960000,-141000,-941000,-488000,-919000,1e+05,1e+05,1e+05,734000,16880000,0.27562,0.0324,0.00547,0.00276000000000001,0.00155,2.49749,0.7823,0.32711,0.01054,0.01047,1.92715,3.81412,0.00174,22.79564,35.29958
"7","2013_Q2",3.903125,"Up",12560000,-8950000,3610000,-3437000,-3437000,173000,16000,-182000,198000,189000,189000,159000,159000,159000,159000,150846.692355665,147027.866199703,6700000,6700000,31706000,6696000,747000,3173000,45102000,4682000,25351000,-20669000,3156000,32000,7838000,52940000,5389000,3291000,2098000,13402000,18969000,4641000,272000,272000,4913000,23882000,7414000,-10580000,32224000,29058000,29058000,52940000,159000,267000,22000,-1223000,-775000,-475000,-475000,1163000,1102000,-148000,-148000,-148000,440000,18043000,0.28742,0.01377,0.01266,0.00547,0.003,2.37767,0.82187,0.34082,0.02098,0.02091,1.65699,3.83351,0.00336,12.5430325038034,20.851228553554
"8","2013_Q3",3.70046875,"Down",-3529000,1007000,-2522000,512000,512000,-2010000,-209000,-171000,-38000.0000000001,-2219000,-2219000,-1434000,143000,143000,143000,28000,28000,5656000,5656000,32009000,5149000,614000,2214000,42842000,4467000,21487000,-17020000,3762000,673000,8229000,51071000,4248000,2170000,2020000,16200000,20782000,305000,803000,803000,1108000,21890000,7408000,-10594000,32367000,29181000,29181000,51071000,-1434000,-11000,-96999.9999999999,3125000,1583000,142000,142000,-1538000,-1557000,168000,156000,156000,-2021000,16505000,0.71465,0.56957,-0.04052,0.0049,0.0028,2.0615,0.75015,0.32318,0.0189,0.01869,-0.46643,3.85686,0.00308,-8.15289000000001,-8.19751000000002
"9","2013_Q4",3.6821875,"Down",4543000,-4089000,454000,-1411000,-1411000,-957000,-78000,-163000,85000,-1035000,-1035000,-636000,148000,148000,148000,0,0,5963000,5963000,31584000,6361000,760000,3244000,43908000,4301000,21512000,-17211000,3712000,652000,8013000,51921000,5375000,3368000,2007000,15906000,21477000,293000,803000,803000,1096000,22573000,7407000,-10574000,32515000,29348000,29348000,51921000,-636000,122000,235000,530000,251000,-1000,-1000,-307000,-297000,-47000,-48000,-48000,-835000,16199000,0.09993,-0.21065,0.03258,0.00504,0.00285,2.04442,0.76915,0.31199,0.01956,0.01944,0.60037,3.87842,0.00319,-19.4,-16.92685
"10","2014_Q1",3.79180327868852,"Up",-1549000,1315000,-234000,-222000,-222000,-456000,-394000,-181000,-213000,-850000,-850000,-571000,-442000,-442000,-442000,403000,379000,3125000,3125000,11173000,29829000,319000,176000,44530000,1851000,11737000,-9886000,5912000,651000,7763000,52293000,3224000,2029000,1195000,15036000,22301000,281000,803000,677000,1084000,23385000,7409000,-10574000,32073000,28908000,28908000,52293000,-571000,19000,167000,1506000,1121000,-65000,-65000,-880000,-880000,176000,163000,163000,-437000,15317000,0.15107,0.29438,0.28535,-0.01529,-0.00845,1.99677,0.80895,0.29291,-0.05841,-0.05801,-0.2047,3.82027,-0.00982,-34.12815,-32.70614
